"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh PVALB HTR4",0.0319213699320053,2.63687290016576,0.176682207009532,0.674495930238327,0.88112072764889,0.88112072764889,"Apoe_e4"
"2","AL669831.5","Inh PVALB HTR4",-0.00137576559366183,5.0468397578751,0.00101148188874442,0.974646490672656,0.997347264493227,0.997347264493227,"Apoe_e4"
"3","NOC2L","Inh PVALB HTR4",0.000501818143789587,4.38556464877998,0.000198768208744007,0.988759348699589,0.99956879443208,0.99956879443208,"Apoe_e4"
"4","KLHL17","Inh PVALB HTR4",0.275386102612829,2.74103863903942,16.7125901759267,5.38946580687409e-05,0.00314005072520503,0.00314005072520503,"Apoe_e4"
"5","HES4","Inh PVALB HTR4",-0.458898476546496,3.3316414329199,19.415696877879,1.39654775502941e-05,0.00119933583794636,0.00119933583794636,"Apoe_e4"
"6","ISG15","Inh PVALB HTR4",-0.154357907535382,1.84677018720781,1.11454774019316,0.291817604799147,0.610261591574502,0.610261591574502,"Apoe_e4"
"7","AGRN","Inh PVALB HTR4",0.0943497494020223,2.49400516657816,0.944466781594668,0.33179728147116,0.648705383710623,0.648705383710623,"Apoe_e4"
"8","C1orf159","Inh PVALB HTR4",0.0278889725559426,5.19073199848735,0.665932381509393,0.415023763738958,0.718230408604508,0.718230408604508,"Apoe_e4"
"9","SDF4","Inh PVALB HTR4",-0.0202354689892139,5.21673024390083,0.307345534447723,0.579664760733816,0.829649868568497,0.829649868568497,"Apoe_e4"
"10","B3GALT6","Inh PVALB HTR4",-0.0914158888639173,2.69415881020241,1.72153719608402,0.1903479914146,0.495098058201454,0.495098058201454,"Apoe_e4"
"11","UBE2J2","Inh PVALB HTR4",0.0110015386084786,4.90939039258141,0.132302656541736,0.716274191062908,0.905059164536624,0.905059164536624,"Apoe_e4"
"12","LINC01786","Inh PVALB HTR4",-0.127312941525768,2.84505064857706,4.14286857591489,0.0425568805239981,0.231079273030239,0.231079273030239,"Apoe_e4"
"13","SCNN1D","Inh PVALB HTR4",-0.0375332304459713,3.60571795561817,0.500774893271675,0.479626852913926,0.764532098389315,0.764532098389315,"Apoe_e4"
