"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh LAMP5 NRG1 (Rosehip)",-0.0019705586427072,3.10548846736956,0.0352086109435462,0.938131371553865,0.970941804753013,0.970941804753013,"amyloid"
"2","AL669831.5","Inh LAMP5 NRG1 (Rosehip)",0.0107385428625651,5.41564685068375,5.85356991824852,0.016040060418234,0.0471238496686711,0.0471238496686711,"amyloid"
"3","NOC2L","Inh LAMP5 NRG1 (Rosehip)",-0.0103521254634743,4.57137918370213,3.7150298797686,0.0547106739728599,0.124958023494703,0.124958023494703,"amyloid"
"4","KLHL17","Inh LAMP5 NRG1 (Rosehip)",0.00518650935187266,2.93285477497444,0.214866970780808,0.643259120375858,0.763425173235387,0.763425173235387,"amyloid"
"5","HES4","Inh LAMP5 NRG1 (Rosehip)",-0.0434382833826657,5.23404631982867,57.3365701696078,3.11623959165556e-13,1.38448548707355e-11,1.38448548707355e-11,"amyloid"
"6","ISG15","Inh LAMP5 NRG1 (Rosehip)",-0.0205220828629724,3.44063379453031,2.21076443159352,0.137925462988859,0.253910462800408,0.253910462800408,"amyloid"
"7","AGRN","Inh LAMP5 NRG1 (Rosehip)",0.00474410941230304,3.42822951976108,0.239539277771874,0.624836954395126,0.749654102410799,0.749654102410799,"amyloid"
"8","C1orf159","Inh LAMP5 NRG1 (Rosehip)",0.0107942015127425,5.35422268990022,5.57100032232401,0.0187927025152478,0.0534644144145415,0.0534644144145415,"amyloid"
"9","SDF4","Inh LAMP5 NRG1 (Rosehip)",-0.00367088571340455,5.63801327715942,0.649752129104139,0.420733107943579,0.57807356591316,0.57807356591316,"amyloid"
"10","B3GALT6","Inh LAMP5 NRG1 (Rosehip)",-0.0162488919863723,3.41501272397363,3.46338517069827,0.0635562100660524,0.140438547638715,0.140438547638715,"amyloid"
"11","UBE2J2","Inh LAMP5 NRG1 (Rosehip)",0.00340424086844327,5.15083547487508,0.609852608944163,0.435356195936136,0.591710416959612,0.591710416959612,"amyloid"
"12","LINC01786","Inh LAMP5 NRG1 (Rosehip)",0.00876474581420762,2.74746933342203,0.590240754266003,0.498593144026585,0.647342759953651,0.647342759953651,"amyloid"
"13","SCNN1D","Inh LAMP5 NRG1 (Rosehip)",-0.0120933402651945,3.46219487665645,2.0216710621141,0.155933612479668,0.27783638987759,0.27783638987759,"amyloid"
"14","ACAP3","Inh LAMP5 NRG1 (Rosehip)",0.0111717991514698,6.14915512622149,9.84779570089237,0.0018405279408693,0.00787245927362263,0.00787245927362263,"amyloid"
"15","PUSL1","Inh LAMP5 NRG1 (Rosehip)",-0.00968811561456301,2.39713116037899,0.487547150972004,0.509875659777095,0.657385900843595,0.657385900843595,"amyloid"
"16","INTS11","Inh LAMP5 NRG1 (Rosehip)",-0.0114548662220583,5.45369150066803,8.88491372673009,0.00307072385365931,0.0121526847326181,0.0121526847326181,"amyloid"
"17","CPTP","Inh LAMP5 NRG1 (Rosehip)",-0.00914510173307857,3.3113673436723,0.969750626921266,0.325403320408054,0.480202169907141,0.480202169907141,"amyloid"
"18","DVL1","Inh LAMP5 NRG1 (Rosehip)",-0.00684858970864208,4.37109868668342,1.51045895671243,0.230440256914341,0.373968157737021,0.373968157737021,"amyloid"
"19","AURKAIP1","Inh LAMP5 NRG1 (Rosehip)",-0.0416747600638875,4.29307295494705,42.0682838038878,2.91144824874974e-10,6.91762236832057e-09,6.91762236832057e-09,"amyloid"
"20","CCNL2","Inh LAMP5 NRG1 (Rosehip)",-0.000773492577558123,6.12991628712607,0.0585808362278151,0.836844084416601,0.907420453622247,0.907420453622247,"amyloid"
