"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh VIP ABI3BP",0.000404395522959069,5.43025712761941,0.0674770707551291,0.795208000839567,0.988768337573168,0.988768337573168,"bradysc_lv"
"2","NOC2L","Inh VIP ABI3BP",-0.000855547660190693,4.8222308398789,0.273051723025382,0.605847367028698,0.949400676889385,0.949400676889385,"bradysc_lv"
"3","HES4","Inh VIP ABI3BP",-0.00531484108121859,4.61222524903346,5.51471748520023,0.01944615537489,0.472491480127596,0.472491480127596,"bradysc_lv"
"4","C1orf159","Inh VIP ABI3BP",-0.00156746678165485,5.42688591578783,1.17162180086403,0.279857566310638,0.842122126121577,0.842122126121577,"bradysc_lv"
"5","SDF4","Inh VIP ABI3BP",-0.00197768631127881,5.81778514237357,2.02851063574279,0.155315569160434,0.769211758618562,0.769211758618562,"bradysc_lv"
"6","B3GALT6","Inh VIP ABI3BP",-0.00364594530996568,4.00389387322921,1.87627926720559,0.171687784970802,0.778974265380468,0.778974265380468,"bradysc_lv"
"7","UBE2J2","Inh VIP ABI3BP",-0.00122042736953716,5.2918964419508,0.831127732429809,0.362611292695415,0.88354427667885,0.88354427667885,"bradysc_lv"
"8","ACAP3","Inh VIP ABI3BP",-0.000370240309979283,6.3189649562379,0.143462159222014,0.705106397641218,0.972275503445961,0.972275503445961,"bradysc_lv"
"9","INTS11","Inh VIP ABI3BP",0.000717036248488891,5.52320160293091,0.323258860702896,0.570041961529598,0.944898370978745,0.944898370978745,"bradysc_lv"
"10","DVL1","Inh VIP ABI3BP",-0.000102043070041249,4.67210974683217,0.00330887335647073,0.954163509859406,0.999970284864367,0.999970284864367,"bradysc_lv"
"11","AURKAIP1","Inh VIP ABI3BP",-0.00454329154416242,4.36157595045186,3.91725693129832,0.0486226064906981,0.606298661429356,0.606298661429356,"bradysc_lv"
"12","CCNL2","Inh VIP ABI3BP",0.000672827929908344,6.30939825508707,0.500713420043039,0.479685636700915,0.923611732225477,0.923611732225477,"bradysc_lv"
"13","MRPL20","Inh VIP ABI3BP",-0.00312194960064175,4.88865623308298,3.59473855029883,0.060513725604152,0.640678449787981,0.640678449787981,"bradysc_lv"
"14","ATAD3B","Inh VIP ABI3BP",-0.00334857141912272,4.53772562910575,2.69793369176584,0.101429714813376,0.718316239719302,0.718316239719302,"bradysc_lv"
"15","ATAD3A","Inh VIP ABI3BP",0.000839669798402627,4.22276979344679,0.1367543162185,0.711766133751018,0.974451813260731,0.974451813260731,"bradysc_lv"
"16","SSU72","Inh VIP ABI3BP",0.000529631535555764,5.49640328860014,0.15379700221576,0.695185739787934,0.970856194650371,0.970856194650371,"bradysc_lv"
"17","FNDC10","Inh VIP ABI3BP",0.00291033372535252,4.31042713568789,1.61691458460499,0.204416884900524,0.794171736964936,0.794171736964936,"bradysc_lv"
"18","MIB2","Inh VIP ABI3BP",0.00309102594066944,5.23147629919004,4.28557173363565,0.0392137183275882,0.576313640268492,0.576313640268492,"bradysc_lv"
"19","CDK11B","Inh VIP ABI3BP",-0.000892218035590111,5.01589291248289,0.289055812988798,0.591188144164665,0.948292430443829,0.948292430443829,"bradysc_lv"
"20","SLC35E2B","Inh VIP ABI3BP",-0.00250602729504383,5.09353542544519,2.31698242625519,0.128924508627667,0.751685020061297,0.751685020061297,"bradysc_lv"
"21","CDK11A","Inh VIP ABI3BP",0.00527477843048477,4.45578037106933,5.87638293111889,0.0158815345607795,0.431747383211649,0.431747383211649,"bradysc_lv"
"22","SLC35E2A","Inh VIP ABI3BP",0.00011999342268607,5.02667207613889,0.00484329539914265,0.944559080902197,0.999970284864367,0.999970284864367,"bradysc_lv"
"23","NADK","Inh VIP ABI3BP",-0.00143463385587309,4.64339386118821,0.64198484915467,0.423568776145703,0.909981726012545,0.909981726012545,"bradysc_lv"
"24","GNB1","Inh VIP ABI3BP",0.00080907102605838,7.80867537959276,2.00615765227608,0.157603725842379,0.769477014406911,0.769477014406911,"bradysc_lv"
"25","PRKCZ","Inh VIP ABI3BP",-0.000501343513706246,6.69725133517302,0.308175662540976,0.579177465263047,0.947039590560143,0.947039590560143,"bradysc_lv"
"26","FAAP20","Inh VIP ABI3BP",0.00299482349774891,4.46076509061083,2.30745357493687,0.129711103701689,0.751685020061297,0.751685020061297,"bradysc_lv"
"27","SKI","Inh VIP ABI3BP",-0.000538734050755143,6.55168896410537,0.272697535580009,0.601877878299297,0.948292430443829,0.948292430443829,"bradysc_lv"
"28","MORN1","Inh VIP ABI3BP",-0.000764000846849656,4.10982531660871,0.0956865666346768,0.757263624576094,0.983404684458799,0.983404684458799,"bradysc_lv"
"29","RER1","Inh VIP ABI3BP",-0.0007725044204477,4.96370516253532,0.202704716968742,0.652841739587501,0.961833718861165,0.961833718861165,"bradysc_lv"
"30","PLCH2","Inh VIP ABI3BP",-0.000285624301064219,4.59208275698248,0.020989658538316,0.884895466222893,0.999970284864367,0.999970284864367,"bradysc_lv"
"31","FAM213B","Inh VIP ABI3BP",0.00230680210221225,4.07901936045759,0.803116959319785,0.370815527019703,0.886430009509307,0.886430009509307,"bradysc_lv"
"32","TPRG1L","Inh VIP ABI3BP",-0.00156637198869597,4.61549294245015,0.663175144241052,0.416027765899378,0.907355070676066,0.907355070676066,"bradysc_lv"
"33","LRRC47","Inh VIP ABI3BP",-0.00278203449762433,4.61960054655353,2.28663372131329,0.131448520577605,0.753720990051393,0.753720990051393,"bradysc_lv"
"34","CEP104","Inh VIP ABI3BP",0.000613281878077783,5.69743279669745,0.248080315411837,0.61876139749809,0.952839750499756,0.952839750499756,"bradysc_lv"
"35","DFFB","Inh VIP ABI3BP",0.00165147304867857,4.9737413770824,0.885552811197056,0.347372793842288,0.875605621018887,0.875605621018887,"bradysc_lv"
"36","AJAP1","Inh VIP ABI3BP",-0.000352036072527218,5.70339424988412,0.0586539252188945,0.808786508953023,0.992686969346987,0.992686969346987,"bradysc_lv"
"37","NPHP4","Inh VIP ABI3BP",0.000780482427347567,5.63233822945095,0.318061442505305,0.573157576205218,0.944898370978745,0.944898370978745,"bradysc_lv"
"38","KCNAB2","Inh VIP ABI3BP",0.0022290304952995,5.57314895222763,3.22176448602798,0.0735791249774751,0.664845315901745,0.664845315901745,"bradysc_lv"
"39","CHD5","Inh VIP ABI3BP",0.00122913819389734,7.2967799522796,2.83327536385195,0.0932744404844463,0.70150712486109,0.70150712486109,"bradysc_lv"
"40","RPL22","Inh VIP ABI3BP",0.00159558877837448,5.42729340245152,1.26637049939101,0.261265451891772,0.833035162668786,0.833035162668786,"bradysc_lv"
"41","RNF207","Inh VIP ABI3BP",0.000256788271510651,4.52155716758109,0.0168811326015614,0.916700704361486,0.999970284864367,0.999970284864367,"bradysc_lv"
"42","ICMT","Inh VIP ABI3BP",-0.00256380082581679,4.24035920391941,1.28356345663618,0.260688781962599,0.832889909779918,0.832889909779918,"bradysc_lv"
"43","ACOT7","Inh VIP ABI3BP",-0.00240584858795711,6.33639698889989,6.44705890019585,0.0115717710764037,0.376864246191819,0.376864246191819,"bradysc_lv"
"44","TNFRSF25","Inh VIP ABI3BP",-0.000270048093216425,5.42257810106279,0.0289028439110769,0.865107605698984,0.999959689440474,0.999959689440474,"bradysc_lv"
"45","PLEKHG5","Inh VIP ABI3BP",0.00294521346559379,4.58145480242325,2.57353039687565,0.109620377643217,0.733145253853306,0.733145253853306,"bradysc_lv"
"46","NOL9","Inh VIP ABI3BP",-0.00455926522415957,5.15750976218219,7.80899511647403,0.00550224762642177,0.296132375896013,0.296132375896013,"bradysc_lv"
"47","ZBTB48","Inh VIP ABI3BP",0.000432887759459517,4.2282959965601,0.0364030335803072,0.897044720748841,0.999970284864367,0.999970284864367,"bradysc_lv"
"48","KLHL21","Inh VIP ABI3BP",-0.00169257729103633,4.9856288399617,1.08057708713634,0.299328574379158,0.846585932750215,0.846585932750215,"bradysc_lv"
"49","THAP3","Inh VIP ABI3BP",0.00275821962558937,3.99182299745639,1.10256280943528,0.294471763473892,0.84559771548343,0.84559771548343,"bradysc_lv"
"50","DNAJC11","Inh VIP ABI3BP",0.000416514546767654,5.87320815537221,0.14517853139349,0.703431051636569,0.971525181140762,0.971525181140762,"bradysc_lv"
"51","CAMTA1","Inh VIP ABI3BP",-0.000404780465649258,9.26188794168535,0.820290873459532,0.365755105218864,0.88467731658666,0.88467731658666,"bradysc_lv"
"52","VAMP3","Inh VIP ABI3BP",-0.00317384765807326,4.12921434864289,1.78004351024039,0.183062795106025,0.786791162520159,0.786791162520159,"bradysc_lv"
"53","PER3","Inh VIP ABI3BP",0.000791801545610053,7.2311209949258,0.566108708117282,0.452345052613602,0.921308126549176,0.921308126549176,"bradysc_lv"
"54","PARK7","Inh VIP ABI3BP",-0.00200549456301873,5.2058889115384,1.88874268486068,0.170275259597375,0.778974265380468,0.778974265380468,"bradysc_lv"
"55","ERRFI1","Inh VIP ABI3BP",-0.00206631350759342,4.61302217367035,1.14344080671761,0.285707007575572,0.844896396718433,0.844896396718433,"bradysc_lv"
"56","SLC45A1","Inh VIP ABI3BP",-0.00115646558906916,4.40876680597158,0.347501455795702,0.555933775810253,0.944690281907427,0.944690281907427,"bradysc_lv"
"57","RERE","Inh VIP ABI3BP",0.0012385788827592,8.92840289225592,7.46167893467711,0.00664119017835222,0.316464737460378,0.316464737460378,"bradysc_lv"
"58","ENO1","Inh VIP ABI3BP",-0.00124850238026535,5.70361988058406,0.88583536482775,0.347295988670664,0.875605621018887,0.875605621018887,"bradysc_lv"
"59","MIR34AHG","Inh VIP ABI3BP",-0.00280472672119104,4.3146350855199,1.06599469109508,0.302607037645799,0.846647121160459,0.846647121160459,"bradysc_lv"
"60","H6PD","Inh VIP ABI3BP",-0.000833240007482871,4.7377366901542,0.206154103362677,0.650096727888774,0.960902732927256,0.960902732927256,"bradysc_lv"
"61","SLC25A33","Inh VIP ABI3BP",-0.000838141184251684,5.06748381184153,0.292611852789478,0.613665694082762,0.952191597967403,0.952191597967403,"bradysc_lv"
