"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","HES4","End",-0.0424118865312941,7.02776059511128,0.377525438156874,0.539506739093619,0.969126816457184,0.969126816457184,"caa_4gp"
"2","ISG15","End",0.0228504267024728,7.38543755797832,0.0772127325962722,0.781347595013361,0.998380203185712,0.998380203185712,"caa_4gp"
"3","CCNL2","End",0.0251349374500575,7.64375684132008,0.398060459670739,0.663909849938502,0.983617496934798,0.983617496934798,"caa_4gp"
"4","VWA1","End",-0.0717491148281465,7.00298155364391,1.05144303239431,0.306196975287217,0.919193838158159,0.919193838158159,"caa_4gp"
"5","GNB1","End",-0.0314129283970153,9.01084860426926,1.15889517926729,0.282764842711721,0.905053894372918,0.905053894372918,"caa_4gp"
"6","SKI","End",0.0586215647708072,7.84325678258925,1.84438580344972,0.175700268771895,0.836640210459538,0.836640210459538,"caa_4gp"
"7","CAMTA1","End",-0.0334531438260219,8.9816251207805,0.914791401322759,0.385447700037819,0.934863863541427,0.934863863541427,"caa_4gp"
"8","PER3","End",-0.0680570193034897,7.33502670604151,1.07991914590279,0.29975091164942,0.914925345648391,0.914925345648391,"caa_4gp"
"9","PARK7","End",-0.0408465454428072,6.79942922349756,0.308952767870822,0.578836098638996,0.976864039134969,0.976864039134969,"caa_4gp"
"10","RERE","End",-0.0355302723983516,9.54743574878788,1.64791338051591,0.279695708409018,0.902642635785497,0.902642635785497,"caa_4gp"
"11","ENO1","End",0.0848752369358797,7.1792513157452,1.94815200859952,0.164063044278537,0.827383633534935,0.827383633534935,"caa_4gp"
"12","CLSTN1","End",0.0268858984408724,7.31681499927268,0.277893530779081,0.598567238911355,0.976864039134969,0.976864039134969,"caa_4gp"
"13","UBE4B","End",0.0787909806422301,7.56327648606567,2.99373664451578,0.0848596128988613,0.741278433730389,0.741278433730389,"caa_4gp"
"14","KIF1B","End",-0.0315829664759081,8.20396011532923,0.617112674792978,0.432889300670234,0.947924885612472,0.947924885612472,"caa_4gp"
"15","PEX14","End",-0.0907778978405629,6.92131189840745,1.81024837455379,0.179735443469865,0.837333247931322,0.837333247931322,"caa_4gp"
"16","MTOR","End",0.0566667515455682,7.11040426336393,1.13298608497107,0.288198260885691,0.911022098174335,0.911022098174335,"caa_4gp"
"17","TNFRSF1B","End",0.0652666458951424,7.59628737611019,1.73243893174449,0.189342775007896,0.840060349707037,0.840060349707037,"caa_4gp"
"18","VPS13D","End",0.0342518014359129,8.51900878737218,0.941237885798763,0.332926573989696,0.921969750672674,0.921969750672674,"caa_4gp"
"19","PRDM2","End",0.0823959614679363,8.02058895846322,4.06715330886133,0.0448275053726259,0.702851278998925,0.702851278998925,"caa_4gp"
"20","KAZN","End",-0.315220391274396,6.94575405756493,10.9635928401692,0.00107082439945071,0.288957845636392,0.288957845636392,"caa_4gp"
"21","SPEN","End",0.0976765853190536,8.24408684066233,5.63531548458741,0.0183820857604925,0.608342989130262,0.608342989130262,"caa_4gp"
"22","SRARP","End",0.0119343989068837,8.73356945934647,0.0949038080776386,0.75829767246305,0.998380203185712,0.998380203185712,"caa_4gp"
"23","FBXO42","End",-0.00853612023369337,7.33192889857819,0.024012505192202,0.876982026359513,0.998380203185712,0.998380203185712,"caa_4gp"
"24","UBR4","End",0.0251923473449387,7.81123585326274,0.351337352023922,0.55390952229769,0.972607085358016,0.972607085358016,"caa_4gp"
"25","CAPZB","End",0.0605436194815817,8.04937856897424,2.86676571663791,0.091710884107982,0.748190189420467,0.748190189420467,"caa_4gp"
"26","CDA","End",0.0156001783128555,7.20089808200897,0.0536711613228734,0.816989460096703,0.998380203185712,0.998380203185712,"caa_4gp"
"27","PINK1","End",-0.0135342902855457,7.21778101062343,0.064109021155741,0.800330091791654,0.998380203185712,0.998380203185712,"caa_4gp"
"28","HP1BP3","End",0.00923217755754073,8.37381539429764,0.0701272108396842,0.95243866688729,0.998380203185712,0.998380203185712,"caa_4gp"
"29","EIF4G3","End",-0.0224330013702165,9.36337816696597,0.571042931267965,0.450578335136448,0.951150810912105,0.951150810912105,"caa_4gp"
"30","ECE1","End",-0.00646397024112242,8.25917348499682,0.0222746131057065,0.881482950429719,0.998380203185712,0.998380203185712,"caa_4gp"
"31","ALPL","End",0.0849717074188059,7.87509274915292,1.72778316051857,0.189936408501249,0.840060349707037,0.840060349707037,"caa_4gp"
"32","USP48","End",-0.00246459898427585,7.50077465115704,0.00240859755055951,0.960897968599066,0.998380203185712,0.998380203185712,"caa_4gp"
"33","HSPG2","End",0.0431981401708296,7.69214463194414,0.459773336647007,0.498376556011874,0.966325241730527,0.966325241730527,"caa_4gp"
"34","CDC42","End",0.0378388086863939,7.86662869716949,0.862027192047895,0.354095451271147,0.925862535824042,0.925862535824042,"caa_4gp"
"35","LUZP1","End",-0.0233977217748751,8.20064532580078,0.339333312927829,0.560755660038104,0.972607085358016,0.972607085358016,"caa_4gp"
