"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6b",0.141491425674901,3.09156610934279,5.32155984923491,0.022338060972666,0.381760839408073,0.381760839408073,"chd_cogact_freq"
"2","AL669831.5","Exc L6b",0.0371766669664676,5.81572564711822,1.3027967211314,0.255398757197153,0.753145561482238,0.753145561482238,"chd_cogact_freq"
"3","NOC2L","Exc L6b",-0.00531966483710117,4.82608834834636,0.0296232450582556,0.863564144153317,0.999843906011987,0.999843906011987,"chd_cogact_freq"
"4","KLHL17","Exc L6b",0.138335116201537,2.98635778956059,5.91791652142427,0.0160835669866264,0.341469748429144,0.341469748429144,"chd_cogact_freq"
"5","HES4","Exc L6b",-0.0115041342321739,3.86258524356103,0.0307625106173708,0.860991786541637,0.999843906011987,0.999843906011987,"chd_cogact_freq"
"6","ISG15","Exc L6b",-0.178897141144715,1.55491402874751,1.70476515124403,0.193529600995615,0.707295173369166,0.707295173369166,"chd_cogact_freq"
"7","AGRN","Exc L6b",0.00195874584736185,4.8534172112044,0.00218430721927786,0.962781134928241,0.999843906011987,0.999843906011987,"chd_cogact_freq"
"8","C1orf159","Exc L6b",-0.006804422589016,5.89355751076573,0.0787370246318445,0.77937675068607,0.991940271829165,0.991940271829165,"chd_cogact_freq"
"9","SDF4","Exc L6b",-0.0606910915677115,5.2185766352237,3.11155257683087,0.0796364822211772,0.557650973409243,0.557650973409243,"chd_cogact_freq"
"10","B3GALT6","Exc L6b",-0.101628097913752,2.95381156355879,2.66155972143543,0.104755488626389,0.604193726068724,0.604193726068724,"chd_cogact_freq"
"11","UBE2J2","Exc L6b",0.0199361128329179,4.91109322331641,0.458343090046814,0.499371462992483,0.897507338316003,0.897507338316003,"chd_cogact_freq"
"12","LINC01786","Exc L6b",0.0403780415687319,2.24307698975537,0.231256263311132,0.882757397659826,0.999843906011987,0.999843906011987,"chd_cogact_freq"
"13","SCNN1D","Exc L6b",0.0189112701749266,2.99851633420241,0.104428005091901,0.74699876203546,0.983437717169458,0.983437717169458,"chd_cogact_freq"
"14","ACAP3","Exc L6b",0.038933442130694,6.66943837832164,3.30357446581903,0.0709894783742264,0.545694716712599,0.545694716712599,"chd_cogact_freq"
"15","PUSL1","Exc L6b",0.0433425325514085,1.888837228597,0.216676752747904,0.642213197115875,0.952209523503195,0.952209523503195,"chd_cogact_freq"
"16","INTS11","Exc L6b",0.00683360032923883,5.19286641138204,0.0734067537904318,0.786786869538407,0.993008561006865,0.993008561006865,"chd_cogact_freq"
"17","CPTP","Exc L6b",-0.0779599399357776,3.05872861980274,1.97076048059517,0.162294160176722,0.671665974331378,0.671665974331378,"chd_cogact_freq"
"18","DVL1","Exc L6b",0.0635142425293155,4.34190376282218,3.40062592582456,0.0670106161177233,0.537288134337867,0.537288134337867,"chd_cogact_freq"
"19","AURKAIP1","Exc L6b",-0.0418704683522969,3.95781417501046,0.788390659828222,0.375912476836404,0.839110481489734,0.839110481489734,"chd_cogact_freq"
"20","CCNL2","Exc L6b",0.0334079402540569,5.77554570551778,2.35359298805252,0.126958438318779,0.638877549584982,0.638877549584982,"chd_cogact_freq"
