"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","GNB1","T cells",-0.00160214588298387,10.047671031537,4.17075420452298e-05,0.994883371113746,1,1,"chd_cogact_freq"
"2","RERE","T cells",0.0348333242795698,10.6335033591538,0.0142271496324225,0.905728372008981,0.996658890002795,0.996658890002795,"chd_cogact_freq"
"3","PIK3CD","T cells",0.347835192914748,9.76333550205719,0.906131093275482,0.34758448768664,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"4","TNFRSF1B","T cells",0.133094407196079,10.0534514320578,0.176952631340931,0.676542890048789,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"5","VPS13D","T cells",0.379070726794203,9.52334609413688,0.796789064167226,0.378070832372194,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"6","PRDM2","T cells",-0.0827187512086364,9.77257433536879,0.0606443335058981,0.806899890476496,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"7","CAPZB","T cells",-0.36019108333731,10.0624430737683,1.45251059372459,0.236104165332641,0.966650685868614,0.966650685868614,"chd_cogact_freq"
"8","EIF4G3","T cells",-0.136507149312196,10.4983429467815,0.213415020526097,0.646924672107371,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"9","RUNX3","T cells",-0.25998552844636,10.3627229498558,0.734909270425288,0.397051399098818,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"10","RSRP1","T cells",-0.304015853548732,10.0005256268378,0.981475129844192,0.3285448385929,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"11","ARID1A","T cells",0.364265808774343,9.69745848827503,0.787383093906589,0.38086960736158,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"12","EPB41","T cells",0.554464497505105,10.3243006877957,3.80495531091632,0.0590363858649313,0.831202527253502,0.831202527253502,"chd_cogact_freq"
"13","LAPTM5","T cells",0.438534365683801,9.46912636630111,1.01504585329101,0.320520346572496,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"14","PUM1","T cells",-0.514978583104806,9.83416510070344,2.43478352246898,0.127548563814317,0.851318608608591,0.851318608608591,"chd_cogact_freq"
"15","SFPQ","T cells",-0.327188714772702,9.27269951242931,0.5650070203772,0.457208316044073,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"16","MACF1","T cells",-0.345637399417733,10.849498732326,2.16068787965324,0.150395790420201,0.867896634074419,0.867896634074419,"chd_cogact_freq"
"17","RLF","T cells",-0.143888374781208,9.08520425608203,0.0488286442241726,0.826381213561612,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"18","SMAP2","T cells",-0.192570115338989,10.4050966425328,0.410043052551652,0.526062651085548,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"19","HIVEP3","T cells",-0.501257975145743,10.1669804647235,2.15918321143792,0.150533808477401,0.867896634074419,0.867896634074419,"chd_cogact_freq"
"20","FAF1","T cells",-0.715762152578206,10.2139803556155,5.24118607301857,0.0281194691606782,0.830493732728806,0.830493732728806,"chd_cogact_freq"
"21","EPS15","T cells",0.193774896400276,10.3072857725563,0.441530080487105,0.510681559383472,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"22","TUT4","T cells",0.412755100195062,9.92987610995674,1.59810651706378,0.214415596103744,0.941160765589992,0.941160765589992,"chd_cogact_freq"
"23","USP24","T cells",-0.0558632277944142,9.86464672746621,0.0238721301967096,0.878086460621634,0.98852396861597,0.98852396861597,"chd_cogact_freq"
"24","NFIA","T cells",0.475223862474157,9.23005323935955,0.807265824618014,0.374988262803779,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"25","JAK1","T cells",-0.0863084031407226,10.5946551071777,0.093332500433233,0.761768175368681,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"26","PDE4B","T cells",-0.64810565089346,9.86981589349896,2.4095260508666,0.129476165367039,0.851318608608591,0.851318608608591,"chd_cogact_freq"
"27","SRSF11","T cells",0.1302478969561,9.85111780363954,0.166085163732484,0.686063856699234,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"28","ST6GALNAC3","T cells",1.08939724712722,8.90206031182056,1.76034765506258,0.19305920875302,0.908881892051502,0.908881892051502,"chd_cogact_freq"
"29","PRKACB","T cells",-0.344256879953659,9.19886111252922,0.36145078603384,0.551524448971487,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"30","PKN2","T cells",-0.142370546471986,9.57331126751935,0.118481810534707,0.732719203125932,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"31","GBP2","T cells",-0.00804857625839011,8.99831694255015,0.000548992550111934,0.981438114309765,1,1,"chd_cogact_freq"
"32","ZNF644","T cells",0.0416677176973667,9.95598130561855,0.0173295722515779,0.963692053972651,1,1,"chd_cogact_freq"
"33","TGFBR3","T cells",-0.076527471184542,10.1322355976074,0.0519383740272511,0.821032607038342,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"34","DPYD","T cells",-0.176671110523927,11.0991324209772,0.485965640060446,0.490276233686839,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"35","CDC14A","T cells",-0.236848839108285,9.93860398247717,0.4305385165104,0.515958732130253,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"36","VAV3","T cells",0.151019721150286,10.2697789706782,0.209545296931797,0.649915720355626,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"37","CD53","T cells",-0.200410386756523,10.1966604063073,0.444658563955021,0.509196923033337,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"38","RAP1A","T cells",-0.0329284566944648,10.2480058681421,0.0112419588266227,0.916157391040388,0.998926111944237,0.998926111944237,"chd_cogact_freq"
"39","CAPZA1","T cells",-0.305596118589363,9.50713757277101,0.536885602497826,0.468540694896298,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"40","PTPN22","T cells",-0.223574218753787,9.89462516577348,0.35598795792249,0.554531946932292,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"41","CD2","T cells",-0.290608610862417,9.37124139582293,0.458647621411843,0.502649804443108,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"42","LINC00623","T cells",0.11556515126669,10.3207028060968,0.166054182848126,0.6860915138051,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"43","RNF115","T cells",0.0477716954831208,9.76014859330555,0.0199003173030141,0.8886139117149,0.990603786807941,0.990603786807941,"chd_cogact_freq"
"44","TXNIP","T cells",0.450278126049481,10.8302236946405,2.48985470969758,0.123459582879425,0.851318608608591,0.851318608608591,"chd_cogact_freq"
"45","AC245297.3","T cells",-0.0281171214701308,10.0803626559998,0.00832623780104601,0.927808699812391,0.998926111944237,0.998926111944237,"chd_cogact_freq"
"46","RPRD2","T cells",-0.606441645104453,9.38380070442209,2.02730855005064,0.163231344474085,0.886317882752097,0.886317882752097,"chd_cogact_freq"
"47","S100A4","T cells",0.237701393684106,9.06630461332149,0.153663639231175,0.697403831557504,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"48","GATAD2B","T cells",0.33885835807881,9.85813053747405,1.00718009219909,0.322376440304089,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"49","ASH1L","T cells",0.0643384995373884,10.4547230963724,0.0555484479958685,0.815030874257976,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"50","PYHIN1","T cells",-0.137469271100771,10.2374639297171,0.20030939784371,0.657192489253817,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"51","IFI16","T cells",0.0986110738590518,10.1250861130777,0.0980678340104403,0.755994645765016,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"52","SLAMF6","T cells",-0.0285350740011937,9.1234421630016,0.00322484087590061,0.955032998714208,1,1,"chd_cogact_freq"
"53","FCGR3A","T cells",-0.354986322068351,9.00684887827159,0.364819341634749,0.54968538708877,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"54","CD247","T cells",-0.145850629671266,11.7953782136794,0.343888873280064,0.561306486626601,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"55","RCSD1","T cells",-0.542135509783415,10.2380739976821,3.0207045110728,0.0908829698645859,0.847715231210662,0.847715231210662,"chd_cogact_freq"
"56","PRRC2C","T cells",0.0103205637636545,10.288593691469,0.00142602741370924,0.970088544672659,1,1,"chd_cogact_freq"
"57","RABGAP1L","T cells",0.138209905455805,11.995099431685,0.400210415194158,0.531037678190746,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"58","COP1","T cells",0.020714011294831,10.3443685213327,0.00496819951945384,0.94420315637674,1,1,"chd_cogact_freq"
"59","RALGPS2","T cells",1.53491649973557,9.05383378113188,4.3790915992171,0.0436010792501811,0.830493732728806,0.830493732728806,"chd_cogact_freq"
"60","XPR1","T cells",0.00070976158089836,9.20838120406699,0.00018277100213208,0.989289252810969,1,1,"chd_cogact_freq"
"61","C1orf21","T cells",0.606623757811553,8.64922268902021,1.20059825052888e-08,0.99991342795044,1,1,"chd_cogact_freq"
"62","FAM129A","T cells",0.106694134889311,10.1665266075547,0.0686273866579163,0.794861158198459,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"63","NEK7","T cells",-0.277859810313107,9.88188573209724,0.678146947827077,0.415727869678995,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"64","PTPRC","T cells",0.341942544121065,12.4419885749086,2.32969183241668,0.135794886679369,0.860099425337646,0.860099425337646,"chd_cogact_freq"
"65","ATP2B4","T cells",-0.178856694026226,9.78402274717913,0.184678305768379,0.669982516384648,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"66","TRAF3IP3","T cells",0.184263305711454,9.64901409817301,0.220618609082085,0.641443620336538,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"67","ITPKB","T cells",0.322800588274916,9.51830431187629,0.545251886353042,0.465121930357579,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"68","TTC13","T cells",-0.107235780008281,9.09594139580297,0.0386613172645262,0.845243354041191,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"69","DISC1","T cells",-0.29793001220987,9.26135331037629,0.320407986267058,0.574926285584499,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"70","PCNX2","T cells",-0.324622175936996,9.43929324492207,0.454381136689013,0.504630962998585,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"71","ARID4B","T cells",0.463143642175336,10.487088454612,2.81998511069872,0.101885891859543,0.847715231210662,0.847715231210662,"chd_cogact_freq"
"72","LYST","T cells",-0.169079954579791,10.5571472534112,0.352444502728841,0.556499611348256,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"73","AKT3","T cells",0.197675795712944,10.534876341226,0.353636504305583,0.55583620252761,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"74","HNRNPU","T cells",-0.317242056888769,9.63275010700239,0.787473444425303,0.380842580870728,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"75","SMYD3","T cells",-0.117715293021497,11.026149561797,0.1988131350587,0.65839030336944,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"76","ID2","T cells",-0.25767627843922,9.4232640389745,0.337251152803973,0.565091750114128,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"77","FAM49A","T cells",-0.805081161356016,9.2253446990227,1.91527108846608,0.175025354718269,0.888979176213118,0.888979176213118,"chd_cogact_freq"
"78","PUM2","T cells",-0.0817971034378065,10.2230588373915,0.0830560326780419,0.774875165819883,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"79","ATAD2B","T cells",-0.318019134085479,9.58307307094681,0.60336969669661,0.442444373684955,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"80","ITSN2","T cells",-0.220021569195979,10.0022913592462,0.353401935342638,0.555966631685954,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"81","NCOA1","T cells",0.171900063632913,10.5550286319531,0.455154888133398,0.504270661419564,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"82","RAB10","T cells",0.207801051095506,9.82510568518998,0.286209578085618,0.595997801152757,0.985662321447926,0.985662321447926,"chd_cogact_freq"
"83","BABAM2","T cells",-0.312916987714956,9.9788749748276,0.862858582683118,0.359218156005216,0.985662321447926,0.985662321447926,"chd_cogact_freq"
