"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Oli",0.0110676975506667,2.77683284485343,0.0472189734911935,0.828085683932246,0.999929614139452,0.999929614139452,"ci_num2_gct"
"2","AL669831.5","Oli",0.00280370594793814,4.98652151332889,0.0119963247481209,0.912838734053597,0.999929614139452,0.999929614139452,"ci_num2_gct"
"3","LINC00115","Oli",0.02172856370976,1.42555466673107,0.0752764057088538,0.783945119904873,0.995958420220655,0.995958420220655,"ci_num2_gct"
"4","NOC2L","Oli",0.00148639769461497,4.60541860864563,0.00443304321438075,0.966173719142263,0.999929614139452,0.999929614139452,"ci_num2_gct"
"5","KLHL17","Oli",-0.0899425883700916,1.87234418867065,3.23878708567389,0.072665706318685,0.494249445509368,0.494249445509368,"ci_num2_gct"
"6","HES4","Oli",-0.0694308418490015,1.60544966263734,0.641884983354114,0.423503668110313,0.864688238940787,0.864688238940787,"ci_num2_gct"
"7","ISG15","Oli",0.131602481097638,1.14057432649059,1.62580493932226,0.20302278933582,0.691908533634972,0.691908533634972,"ci_num2_gct"
"8","AGRN","Oli",-0.0524272937034619,5.25112316496474,2.48749376285332,0.115543140958613,0.58188326483332,0.58188326483332,"ci_num2_gct"
"9","C1orf159","Oli",0.035589024892899,5.29885054385105,2.21944841404389,0.137068114723834,0.612903232734577,0.612903232734577,"ci_num2_gct"
"10","TNFRSF18","Oli",-0.136733803121489,-0.340275276454058,0.946936528920579,0.331087139138818,0.807014023888694,0.807014023888694,"ci_num2_gct"
"11","SDF4","Oli",-0.00766147441811477,5.03787649927833,0.144456591461334,0.704091445844567,0.975491402618099,0.975491402618099,"ci_num2_gct"
"12","B3GALT6","Oli",-0.0889205589860186,2.44443458515193,4.17157365208805,0.0417614012208131,0.40509473000408,0.40509473000408,"ci_num2_gct"
"13","UBE2J2","Oli",0.00259751009331269,5.25884892602707,0.0206366334574642,0.885845440477608,0.999929614139452,0.999929614139452,"ci_num2_gct"
"14","LINC01786","Oli",-0.0364026530527866,1.81552185971689,0.453740399783419,0.695994171800126,0.973755344594806,0.973755344594806,"ci_num2_gct"
"15","SCNN1D","Oli",-0.0659058987377784,3.26051418812978,2.49347325817538,0.11510794108503,0.580681084301495,0.580681084301495,"ci_num2_gct"
"16","ACAP3","Oli",-0.0197124681426618,6.78344419108759,0.705663001935821,0.401388104432594,0.851879572391457,0.851879572391457,"ci_num2_gct"
"17","PUSL1","Oli",0.01701598076595,1.66824316486586,0.114399384342918,0.735367109993545,0.985893407746245,0.985893407746245,"ci_num2_gct"
"18","INTS11","Oli",-0.0128024355503531,5.84219132199525,0.448763328706409,0.815624003855271,0.999929614139452,0.999929614139452,"ci_num2_gct"
