"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","HES4","Fib",-0.344456198063733,6.99520252865922,2.59187557230129,0.109670298828004,0.668781897758695,0.668781897758695,"ci_num2_gtt"
"2","MXRA8","Fib",0.0523509885508391,7.30040706470285,0.103318476303454,0.74836348639022,0.978111452391927,0.978111452391927,"ci_num2_gtt"
"3","CCNL2","Fib",-0.14270440100366,7.96886765268689,2.60408317753716,0.136352198707951,0.711545186433026,0.711545186433026,"ci_num2_gtt"
"4","GNB1","Fib",0.0403155459671257,8.39639438348056,0.22408501768985,0.712111733364091,0.969152906188753,0.969152906188753,"ci_num2_gtt"
"5","SKI","Fib",-0.122525185452932,8.02934874223046,1.1901694870557,0.27717331530645,0.825492579492511,0.825492579492511,"ci_num2_gtt"
"6","CAMTA1","Fib",-0.157779483050743,8.44373839433844,2.67766309936881,0.104015772107624,0.651509642348529,0.651509642348529,"ci_num2_gtt"
"7","PER3","Fib",-0.0278788949384139,7.88713048181683,0.0444628282907446,0.83330212356961,0.987749706007765,0.987749706007765,"ci_num2_gtt"
"8","ERRFI1","Fib",-0.184428868873508,7.67805056078195,1.31486168978236,0.25347638565415,0.814349580948521,0.814349580948521,"ci_num2_gtt"
"9","RERE","Fib",0.0787126257825978,9.72813577840879,1.87919944129368,0.269492958103569,0.821699283576166,0.821699283576166,"ci_num2_gtt"
"10","SPSB1","Fib",-0.0136800403124745,7.13661699815737,0.00623071266899962,0.937197381137473,0.993206185297379,0.993206185297379,"ci_num2_gtt"
"11","UBE4B","Fib",-0.0949604843160086,8.14911694812311,1.16917305636122,0.352864454361783,0.85396002787489,0.85396002787489,"ci_num2_gtt"
"12","KIF1B","Fib",-0.131861591905367,8.19221009828015,2.0471868567472,0.154720670665243,0.72577243481867,0.72577243481867,"ci_num2_gtt"
"13","MTOR","Fib",-0.179438176563228,7.11936364825924,1.76595564825278,0.188353673080878,0.745115142469275,0.745115142469275,"ci_num2_gtt"
"14","VPS13D","Fib",-0.0757363934123105,8.67949788093584,0.962289998677454,0.355370384827816,0.85396002787489,0.85396002787489,"ci_num2_gtt"
"15","DHRS3","Fib",-0.0959631092446737,7.57986675995681,0.231586882055929,0.631102534535101,0.951073877862171,0.951073877862171,"ci_num2_gtt"
"16","PRDM2","Fib",0.0293767307695471,8.13800105061476,0.0972788229425736,0.832574733853197,0.987749706007765,0.987749706007765,"ci_num2_gtt"
"17","KAZN","Fib",-0.0448012452679045,10.9950122823442,0.117327280994446,0.732466337773387,0.977437100998856,0.977437100998856,"ci_num2_gtt"
"18","PLEKHM2","Fib",-0.0802259260178388,7.28793103901533,0.386209389405326,0.543348314008103,0.929625670457845,0.929625670457845,"ci_num2_gtt"
"19","FBLIM1","Fib",0.118041607359717,6.72119873884654,0.273066826163652,0.602109567926866,0.945782201713141,0.945782201713141,"ci_num2_gtt"
"20","SPEN","Fib",0.159547916180913,7.97870424587126,2.42535065801639,0.121648969495017,0.695507050084246,0.695507050084246,"ci_num2_gtt"
"21","FBXO42","Fib",-0.0563831902884897,7.81841473029787,0.322236169560714,0.571177982080125,0.935180971673235,0.935180971673235,"ci_num2_gtt"
"22","UBR4","Fib",-0.0896445036093536,7.92765425014505,0.793532819475866,0.37456553519523,0.862247727742865,0.862247727742865,"ci_num2_gtt"
"23","CAPZB","Fib",-0.0836711385039937,9.00111431648693,1.09165890972516,0.349252500754386,0.85396002787489,0.85396002787489,"ci_num2_gtt"
"24","NBL1","Fib",0.127243718262367,7.36232483880724,0.789190588897421,0.375871932601092,0.862706443378372,0.862706443378372,"ci_num2_gtt"
"25","HP1BP3","Fib",0.0136640180490551,8.83648286931528,0.030999201256676,0.860497124085474,0.987749706007765,0.987749706007765,"ci_num2_gtt"
"26","EIF4G3","Fib",-0.0637914776044808,9.67595943424808,0.934118313003023,0.358759164075814,0.855095588711674,0.855095588711674,"ci_num2_gtt"
"27","ECE1","Fib",0.0248905994380801,8.85790989205226,0.066169326737956,0.797376617649872,0.984777816970501,0.984777816970501,"ci_num2_gtt"
"28","ALPL","Fib",-0.890767452311455,6.98798301726104,7.78011706426178,0.00602008598928846,0.230870602186364,0.230870602186364,"ci_num2_gtt"
"29","USP48","Fib",0.176390007324861,7.79525823019343,2.22473251883955,0.138070739544318,0.711545186433026,0.711545186433026,"ci_num2_gtt"
"30","HSPG2","Fib",0.227046781566207,7.49187680958293,2.46982114206811,0.118313165462324,0.69054429324598,0.69054429324598,"ci_num2_gtt"
"31","CDC42","Fib",-0.0204324582669496,7.20849383175528,0.0179081595354773,0.893736405984823,0.991994253178659,0.991994253178659,"ci_num2_gtt"
"32","LUZP1","Fib",-0.162046629471434,7.5173592494963,1.29081409804711,0.257843135401577,0.818224704939811,0.818224704939811,"ci_num2_gtt"
"33","HNRNPR","Fib",-0.0227434978705212,7.75292120672799,0.0490168439917631,0.825106224832511,0.987749706007765,0.987749706007765,"ci_num2_gtt"
"34","ASAP3","Fib",-0.0165967428206692,7.12753103658668,0.0108147908777061,0.917323103096355,0.992791440154399,0.992791440154399,"ci_num2_gtt"
"35","ID3","Fib",-0.216543563696918,7.91328078246416,1.24164165516352,0.267068190520467,0.821699283576166,0.821699283576166,"ci_num2_gtt"
"36","RPL11","Fib",-0.134993620520861,7.06793562117011,0.669366501459,0.56956376463109,0.935171047332843,0.935171047332843,"ci_num2_gtt"
"37","SRSF10","Fib",-0.000598553523842257,7.46174803974326,4.18710655478527e-05,0.994846326843688,0.997102716744099,0.997102716744099,"ci_num2_gtt"
"38","SRRM1","Fib",-0.105041963486418,7.63346052433595,0.903666573500738,0.343442096680444,0.850578434077544,0.850578434077544,"ci_num2_gtt"
"39","CLIC4","Fib",0.111450548885897,8.53272183087828,1.22980549950832,0.269350210245905,0.821699283576166,0.821699283576166,"ci_num2_gtt"
"40","RSRP1","Fib",-0.0257843656761645,8.84333691113603,0.0954036622843244,0.75787687012827,0.978218068791761,0.978218068791761,"ci_num2_gtt"
"41","MAN1C1","Fib",-0.0382024539997856,8.80801673642237,0.206622012467607,0.789802295250099,0.984777816970501,0.984777816970501,"ci_num2_gtt"
"42","ARID1A","Fib",-0.0229112854934415,7.7186878672917,0.0463150534360366,0.865321650655286,0.987749706007765,0.987749706007765,"ci_num2_gtt"
"43","WASF2","Fib",-0.0807755253497404,8.31081203691363,0.812095874894211,0.465044400656251,0.900063153350788,0.900063153350788,"ci_num2_gtt"
"44","AHDC1","Fib",0.0594995087162758,7.24183532460499,0.189887938384148,0.8038544355731,0.986608545947885,0.986608545947885,"ci_num2_gtt"
"45","IFI6","Fib",0.134289179071669,6.54077953556701,0.206161969578761,0.65049698235242,0.953970942591996,0.953970942591996,"ci_num2_gtt"
"46","STX12","Fib",-0.00317964913889952,7.52373962158833,0.000562656880289555,0.98110948844579,0.996913987461732,0.996913987461732,"ci_num2_gtt"
"47","PHACTR4","Fib",0.113876071349745,8.15263344810272,1.16554207747639,0.282179419810218,0.827797092333968,0.827797092333968,"ci_num2_gtt"
"48","EPB41","Fib",0.0371823428586332,7.24493458073674,0.0501207605127807,0.823180327847096,0.987749706007765,0.987749706007765,"ci_num2_gtt"
"49","SRSF4","Fib",-0.00983375911679426,8.01082150356612,0.00848240585460446,0.926750538908657,0.992835086815218,0.992835086815218,"ci_num2_gtt"
"50","PUM1","Fib",-0.043099108467153,8.64310364770667,0.343380154142203,0.880310202712824,0.988049193542297,0.988049193542297,"ci_num2_gtt"
"51","KHDRBS1","Fib",0.0414753665945264,7.55417898005813,0.10732686516827,0.743698639328686,0.977437100998856,0.977437100998856,"ci_num2_gtt"
"52","KPNA6","Fib",-0.156931788653102,7.48103828514317,1.77886054896621,0.31587738105355,0.843731979805847,0.843731979805847,"ci_num2_gtt"
"53","YARS","Fib",0.0992141873964332,7.0899143472832,0.419755934277206,0.545062080915104,0.929625670457845,0.929625670457845,"ci_num2_gtt"
"54","S100PBP","Fib",0.0287021991464598,7.31960771313678,0.0468288053175692,0.832050901137093,0.987749706007765,0.987749706007765,"ci_num2_gtt"
"55","TRIM62","Fib",0.147923623834635,7.1233672419312,0.894724562927536,0.345833309569835,0.85220885368493,0.85220885368493,"ci_num2_gtt"
"56","PHC2","Fib",0.0626546827996047,8.30388628748933,0.368657409369653,0.54472255199371,0.929625670457845,0.929625670457845,"ci_num2_gtt"
"57","CSMD2","Fib",0.109821424568907,8.03087546790536,0.481655385949816,0.488825835653289,0.910330944403231,0.910330944403231,"ci_num2_gtt"
"58","SFPQ","Fib",0.0645419635021811,8.27197618665079,0.450306285972327,0.503297483291058,0.914987314362563,0.914987314362563,"ci_num2_gtt"
"59","ZMYM4","Fib",-0.0927873787595085,8.63623040361432,1.36003720476508,0.245518001619826,0.803771872383382,0.803771872383382,"ci_num2_gtt"
