"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6 CT",-0.0172611382515727,3.75147082609929,0.0558312402190603,0.81334979948805,0.985980997770064,0.985980997770064,"ci_num2_mct"
"2","AL669831.5","Exc L6 CT",0.0177875341422717,5.64194385826629,0.2252287270043,0.635382786343539,0.934890698303514,0.934890698303514,"ci_num2_mct"
"3","NOC2L","Exc L6 CT",-0.0095722878758655,4.68277639997806,0.0449888576881048,0.832148972436425,0.991521872162157,0.991521872162157,"ci_num2_mct"
"4","KLHL17","Exc L6 CT",0.167441030777884,3.03645556812828,4.00510622905777,0.0461404788599295,0.426614215586092,0.426614215586092,"ci_num2_mct"
"5","HES4","Exc L6 CT",-0.283239625849623,2.15121514475178,3.27743540639641,0.0711029208004274,0.49103436684038,0.49103436684038,"ci_num2_mct"
"6","AGRN","Exc L6 CT",0.0293667589200587,3.82250629913056,0.172149793340928,0.678464485196699,0.947717322811147,0.947717322811147,"ci_num2_mct"
"7","C1orf159","Exc L6 CT",0.0936998376196386,5.64760974390467,8.30802223243359,0.00419274756737826,0.153976515255045,0.153976515255045,"ci_num2_mct"
"8","SDF4","Exc L6 CT",-0.03432689961969,5.26646201434705,0.626458746469153,0.429197596703636,0.842622111947542,0.842622111947542,"ci_num2_mct"
"9","B3GALT6","Exc L6 CT",-0.0401856899812162,2.66362431958424,0.178229283758251,0.736440472046756,0.962924344739791,0.962924344739791,"ci_num2_mct"
"10","UBE2J2","Exc L6 CT",0.0212237112443804,4.81057096861259,0.296300419492264,0.612465467126791,0.925342139044123,0.925342139044123,"ci_num2_mct"
"11","LINC01786","Exc L6 CT",-0.139418987832334,2.5334176050712,1.92052425452027,0.166688292377884,0.633485917917639,0.633485917917639,"ci_num2_mct"
"12","SCNN1D","Exc L6 CT",0.0149345972949883,3.33083930130474,0.0368144431337292,0.861870910708908,0.999173593300174,0.999173593300174,"ci_num2_mct"
"13","ACAP3","Exc L6 CT",0.0713495666681749,6.69424144015067,5.2088114529214,0.0230770302687094,0.322842102624207,0.322842102624207,"ci_num2_mct"
"14","PUSL1","Exc L6 CT",0.0736059400968823,2.13536222537545,0.340886291069693,0.559697172546991,0.901902856201601,0.901902856201601,"ci_num2_mct"
"15","INTS11","Exc L6 CT",0.0537762166079951,5.33386193080645,2.16627917278191,0.141972954549205,0.608832240442964,0.608832240442964,"ci_num2_mct"
"16","CPTP","Exc L6 CT",-0.168605030752568,2.7648431209774,3.43546584961055,0.0646586428427389,0.481295668233748,0.481295668233748,"ci_num2_mct"
"17","DVL1","Exc L6 CT",0.0406097590266423,4.28353985184752,0.639258630077258,0.424526005772829,0.840872148289308,0.840872148289308,"ci_num2_mct"
"18","AURKAIP1","Exc L6 CT",-0.0685852389972158,3.69571377364678,1.14028063592769,0.286334890442753,0.754406493926404,0.754406493926404,"ci_num2_mct"
"19","CCNL2","Exc L6 CT",0.0957369013694934,5.92012958502573,10.1036462027849,0.00161274766764932,0.101446806965155,0.101446806965155,"ci_num2_mct"
"20","MRPL20","Exc L6 CT",0.0361433930319856,4.4541246249578,0.618011444877296,0.43232337004909,0.843111215124027,0.843111215124027,"ci_num2_mct"
"21","ANKRD65","Exc L6 CT",0.024679057444879,2.91890152189315,0.0556564148312383,0.813636854485456,0.985980997770064,0.985980997770064,"ci_num2_mct"
"22","ATAD3C","Exc L6 CT",0.26923290534592,2.45688088915594,5.46398706422704,0.0199798992480839,0.304580753869053,0.304580753869053,"ci_num2_mct"
"23","ATAD3B","Exc L6 CT",0.0505523332174664,4.43987946824743,0.928590232505862,0.335900150125797,0.784233044949153,0.784233044949153,"ci_num2_mct"
"24","ATAD3A","Exc L6 CT",0.109494911652826,4.1022103790798,4.09677015840471,0.0437305504563899,0.418024571294947,0.418024571294947,"ci_num2_mct"
"25","TMEM240","Exc L6 CT",-0.160044338185516,2.43750982445857,1.94101616492231,0.164449490114948,0.632461943301339,0.632461943301339,"ci_num2_mct"
"26","SSU72","Exc L6 CT",0.0274892587107786,5.33755899666409,0.681471235936813,0.429045628537659,0.842622111947542,0.842622111947542,"ci_num2_mct"
"27","FNDC10","Exc L6 CT",-0.0724025616633484,3.22281792884476,0.826602760499238,0.428174557851869,0.842622111947542,0.842622111947542,"ci_num2_mct"
"28","AL691432.2","Exc L6 CT",0.112441102013932,3.18763180543971,2.07974039731271,0.150166929101537,0.618576238869661,0.618576238869661,"ci_num2_mct"
"29","MIB2","Exc L6 CT",0.111825699371165,5.30883077501572,7.80942537184951,0.00548608492708576,0.170148375585228,0.170148375585228,"ci_num2_mct"
"30","MMP23B","Exc L6 CT",-0.0615990619954749,2.06252053229337,0.212783219517939,0.644883462022481,0.937373012850932,0.937373012850932,"ci_num2_mct"
"31","CDK11B","Exc L6 CT",0.0241335064473413,4.85590036476141,0.31540541275378,0.680715223901467,0.947775395148843,0.947775395148843,"ci_num2_mct"
"32","SLC35E2B","Exc L6 CT",0.0405033650886768,4.87355928988332,0.730353368841943,0.393357930250229,0.821622468032594,0.821622468032594,"ci_num2_mct"
"33","CDK11A","Exc L6 CT",0.0580886423135647,4.13273642678072,0.827384168470237,0.363660979066139,0.803516988363436,0.803516988363436,"ci_num2_mct"
"34","SLC35E2A","Exc L6 CT",0.0549968384813848,4.80897830754772,1.04019080892458,0.308487187258116,0.764368596861934,0.764368596861934,"ci_num2_mct"
"35","NADK","Exc L6 CT",0.0864729735111057,3.98539933386895,2.37595485803446,0.124127074617924,0.589552413790708,0.589552413790708,"ci_num2_mct"
"36","GNB1","Exc L6 CT",0.002021351345407,7.54879751216355,0.0117396175811538,0.913781030047615,0.999988447343627,0.999988447343627,"ci_num2_mct"
"37","CFAP74","Exc L6 CT",0.0923119235134458,3.99326513085063,2.67318399731594,0.102957886390473,0.550603548992747,0.550603548992747,"ci_num2_mct"
"38","GABRD","Exc L6 CT",-0.0281627950776874,4.60427403844653,0.258515227498342,0.611464937297022,0.924712797570744,0.924712797570744,"ci_num2_mct"
"39","PRKCZ","Exc L6 CT",0.0845349537315118,6.88989440454637,12.7865765377877,0.00039859886678645,0.0470727262395336,0.0470727262395336,"ci_num2_mct"
"40","FAAP20","Exc L6 CT",0.0414551007864596,3.52728198056999,0.333140921997086,0.564189465625443,0.9040596112137,0.9040596112137,"ci_num2_mct"
"41","SKI","Exc L6 CT",0.0494130639246593,6.21267098644448,3.04224768489329,0.0820084267395134,0.515676278211324,0.515676278211324,"ci_num2_mct"
"42","MORN1","Exc L6 CT",-0.00118374015002337,4.36506808706346,0.000717721447209299,0.978642361489511,0.999988447343627,0.999988447343627,"ci_num2_mct"
"43","RER1","Exc L6 CT",0.0235618265339651,4.60820022534593,0.32480728246552,0.569101422324048,0.905622408299318,0.905622408299318,"ci_num2_mct"
"44","PEX10","Exc L6 CT",-0.186873126637718,3.16687614626362,6.08956040589854,0.0140798583882155,0.260197228956033,0.260197228956033,"ci_num2_mct"
"45","PANK4","Exc L6 CT",0.107652319315099,2.85149180614419,1.50243882504769,0.221127204140077,0.693207282806112,0.693207282806112,"ci_num2_mct"
"46","FAM213B","Exc L6 CT",0.0708770108020058,3.47016750308588,1.06718098289837,0.302302048268116,0.762491826795986,0.762491826795986,"ci_num2_mct"
"47","MEGF6","Exc L6 CT",0.0578587746369239,2.05435492136687,0.183764876368652,0.668423351095258,0.945407213865105,0.945407213865105,"ci_num2_mct"
"48","TPRG1L","Exc L6 CT",-0.0719437131118702,5.05211327249271,2.81286287007003,0.094411309147121,0.538707179946774,0.538707179946774,"ci_num2_mct"
"49","WRAP73","Exc L6 CT",0.00360747548680458,3.50035981774328,0.00352377717176107,0.952698397648055,0.999988447343627,0.999988447343627,"ci_num2_mct"
"50","LRRC47","Exc L6 CT",-0.0203633268012243,4.29585018752432,0.193016674986773,0.660690925538403,0.942177403649985,0.942177403649985,"ci_num2_mct"
"51","CEP104","Exc L6 CT",0.0143932762547199,5.6925898544913,0.239327018529371,0.625001485636401,0.930938581192098,0.930938581192098,"ci_num2_mct"
"52","DFFB","Exc L6 CT",-0.0640647834343095,4.82425676688337,2.02474411757941,0.155652811383983,0.62430540643574,0.62430540643574,"ci_num2_mct"
"53","C1orf174","Exc L6 CT",0.0638652653760794,2.89746597849594,0.511603076464593,0.47492638811734,0.864702951288853,0.864702951288853,"ci_num2_mct"
"54","AJAP1","Exc L6 CT",0.0539774947738059,6.47533113358228,3.68435320999982,0.055744543390566,0.455932017321477,0.455932017321477,"ci_num2_mct"
"55","AL365255.1","Exc L6 CT",0.0900452809222601,2.19848534346247,0.316313726193507,0.574194340892209,0.908320079350435,0.908320079350435,"ci_num2_mct"
"56","NPHP4","Exc L6 CT",-0.0118200446743765,5.61290291818419,0.122415243613272,0.745938442913611,0.965743191853639,0.965743191853639,"ci_num2_mct"
"57","KCNAB2","Exc L6 CT",0.0109228150869435,7.06828633460415,0.20542095325275,0.67303436687165,0.94655891351881,0.94655891351881,"ci_num2_mct"
"58","CHD5","Exc L6 CT",0.105506742366,7.57179193948767,14.3479369792524,0.000179034348551228,0.0330433138685062,0.0330433138685062,"ci_num2_mct"
"59","RPL22","Exc L6 CT",0.0732270114972532,4.97704726261787,2.98109069445633,0.0851319326329467,0.520578877867091,0.520578877867091,"ci_num2_mct"
"60","RNF207","Exc L6 CT",-0.0854170719541299,4.27355278303198,2.54209942980241,0.111757120413973,0.564961921737768,0.564961921737768,"ci_num2_mct"
"61","ICMT","Exc L6 CT",-0.0487076517256974,3.09376803417566,0.35023950671632,0.554362709837852,0.900301992162726,0.900301992162726,"ci_num2_mct"
"62","ACOT7","Exc L6 CT",0.0594783880354583,5.85279397633069,4.19136125971697,0.041382650142975,0.408277296172657,0.408277296172657,"ci_num2_mct"
"63","TNFRSF25","Exc L6 CT",0.00387277018832765,5.3105953294541,0.00625462764290804,0.937009615358334,0.999988447343627,0.999988447343627,"ci_num2_mct"
"64","PLEKHG5","Exc L6 CT",-0.0515234584724661,4.63142295974837,1.09073479577351,0.29703500596809,0.76011429257551,0.76011429257551,"ci_num2_mct"
"65","NOL9","Exc L6 CT",-0.0256126960695558,5.10907295198418,0.507995998493457,0.476486354318724,0.864991030114375,0.864991030114375,"ci_num2_mct"
"66","ZBTB48","Exc L6 CT",0.0169820839215643,3.69598743491072,0.0702839082381344,0.821235315043422,0.98764356819678,0.98764356819678,"ci_num2_mct"
"67","KLHL21","Exc L6 CT",0.0269206946871727,4.37947842945956,0.338978185182142,0.560797476018417,0.902138838391008,0.902138838391008,"ci_num2_mct"
"68","PHF13","Exc L6 CT",0.0466431767375409,2.83712248579227,0.263267421853536,0.674692499893689,0.94655891351881,0.94655891351881,"ci_num2_mct"
"69","THAP3","Exc L6 CT",0.00734054717772237,3.16079242953831,0.0108259199728629,0.917191582326229,0.999988447343627,0.999988447343627,"ci_num2_mct"
"70","DNAJC11","Exc L6 CT",-0.0090083381526998,5.79914186494051,0.105879926980673,0.745080428463212,0.965591655953302,0.965591655953302,"ci_num2_mct"
"71","CAMTA1","Exc L6 CT",0.0135331930145022,9.05944395145726,0.695824070418078,0.404763941211662,0.828343338043298,0.828343338043298,"ci_num2_mct"
"72","AL512330.1","Exc L6 CT",-0.208643508083608,1.64814735274603,1.49859965189174,0.244325929404313,0.717394834279076,0.717394834279076,"ci_num2_mct"
"73","VAMP3","Exc L6 CT",-0.0520474756034783,3.68446757101613,0.65588743814814,0.418570264103095,0.838071978028951,0.838071978028951,"ci_num2_mct"
"74","PER3","Exc L6 CT",-0.0100619883947777,6.23840996622552,0.0620971552743351,0.8033588301649,0.983737314883867,0.983737314883867,"ci_num2_mct"
"75","PARK7","Exc L6 CT",-0.0153327255597121,4.77533260912115,0.125991646955299,0.7951024839693,0.981419476911776,0.981419476911776,"ci_num2_mct"
"76","ERRFI1","Exc L6 CT",-0.0183822845199957,4.28625297859622,0.126465496673186,0.722341202207509,0.959034458169942,0.959034458169942,"ci_num2_mct"
"77","AL034417.2","Exc L6 CT",-0.0144233445399216,2.23403699617724,0.0115994615408178,0.914295243033247,0.999988447343627,0.999988447343627,"ci_num2_mct"
"78","SLC45A1","Exc L6 CT",-0.0479506516093241,3.95657008930167,0.780559103270228,0.37758150039551,0.80944511305898,0.80944511305898,"ci_num2_mct"
"79","RERE","Exc L6 CT",0.00629799058392586,8.84737594821986,0.129870040424125,0.91481030459903,0.999988447343627,0.999988447343627,"ci_num2_mct"
"80","AL096855.1","Exc L6 CT",-0.0442617521656515,2.06914460103647,0.103124855873225,0.748304635040999,0.966880462606606,0.966880462606606,"ci_num2_mct"
"81","ENO1","Exc L6 CT",0.00484087650010091,5.82760932106038,0.0194132186856688,0.889269115418593,0.999988447343627,0.999988447343627,"ci_num2_mct"
"82","MIR34AHG","Exc L6 CT",-0.0886347552428061,3.87148961778111,1.16817681683159,0.280526294305295,0.750019639853484,0.750019639853484,"ci_num2_mct"
"83","H6PD","Exc L6 CT",0.0258414651717417,4.49224671701862,0.270729874959727,0.603174183892907,0.921428669940722,0.921428669940722,"ci_num2_mct"
"84","SPSB1","Exc L6 CT",0.0817308128722961,3.13502211286023,0.92814073022394,0.336016983518508,0.784233044949153,0.784233044949153,"ci_num2_mct"
"85","SLC25A33","Exc L6 CT",-0.00926917080733879,3.97095658234263,0.0254408378614049,0.873366246905219,0.999988447343627,0.999988447343627,"ci_num2_mct"
"86","TMEM201","Exc L6 CT",0.0235874171314799,3.40886736675988,0.107786407190047,0.782298727363468,0.977771529703462,0.977771529703462,"ci_num2_mct"
"87","PIK3CD","Exc L6 CT",0.226847299979851,2.78017119109111,5.30917831685803,0.0218031619911531,0.315138875526747,0.315138875526747,"ci_num2_mct"
"88","CLSTN1","Exc L6 CT",0.00550424754678008,8.38835524784197,0.096290258881482,0.756513895685468,0.969692707363846,0.969692707363846,"ci_num2_mct"
"89","CTNNBIP1","Exc L6 CT",0.0864579338863223,5.35820655042624,5.16139349250616,0.0237055968129793,0.325854435136638,0.325854435136638,"ci_num2_mct"
"90","LZIC","Exc L6 CT",-0.0839959603364547,4.15765427601107,2.6740348973108,0.102903320888976,0.550603548992747,0.550603548992747,"ci_num2_mct"
"91","NMNAT1","Exc L6 CT",-0.0222963683454335,4.44090394846608,0.178678315109019,0.672773198011243,0.94655891351881,0.94655891351881,"ci_num2_mct"
"92","UBE4B","Exc L6 CT",0.00857532578778584,7.65913637758107,0.201636488522852,0.653683282352199,0.939914555807257,0.939914555807257,"ci_num2_mct"
"93","KIF1B","Exc L6 CT",0.00978153820417623,8.7566281329305,0.389926809441437,0.532747956950982,0.890219202778364,0.890219202778364,"ci_num2_mct"
"94","AL139424.2","Exc L6 CT",0.0261328947319196,2.62855462838962,0.0774658902139413,0.780927062606982,0.977349180005246,0.977349180005246,"ci_num2_mct"
"95","PGD","Exc L6 CT",0.0663712061767986,3.92696488663913,1.35447136729169,0.245297041700906,0.717717518535208,0.717717518535208,"ci_num2_mct"
"96","DFFA","Exc L6 CT",0.00175242338420372,4.79996029459554,0.00181476457036472,0.96604483901885,0.999988447343627,0.999988447343627,"ci_num2_mct"
"97","PEX14","Exc L6 CT",0.0215953275740834,5.97125043830328,0.609484231045382,0.435513982596214,0.844764793194745,0.844764793194745,"ci_num2_mct"
"98","AL109811.4","Exc L6 CT",0.140865685278311,2.61985135472387,2.12353847826865,0.145954853559936,0.613705103077215,0.613705103077215,"ci_num2_mct"
"99","MASP2","Exc L6 CT",-0.213474688239434,2.54205613849927,3.57583845638394,0.0594580951844716,0.466462527670655,0.466462527670655,"ci_num2_mct"
"100","SRM","Exc L6 CT",-0.0524506054204335,4.46413436478213,1.25579225859857,0.263223544311659,0.736209861430654,0.736209861430654,"ci_num2_mct"
"101","EXOSC10","Exc L6 CT",0.0628903064099462,5.0095489921515,2.48976599227584,0.115499340851358,0.575338585085171,0.575338585085171,"ci_num2_mct"
"102","AL109811.1","Exc L6 CT",-0.0501342679996967,2.25808637335062,0.197165908342022,0.657294831594875,0.941799239505494,0.941799239505494,"ci_num2_mct"
"103","MTOR","Exc L6 CT",0.00817556421813237,5.93712594159356,0.0864869024337975,0.825979165296116,0.988460686232766,0.988460686232766,"ci_num2_mct"
