"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L5_6 IT Car3",0.0417285153603587,3.41589167750505,0.374924017434709,0.5407138742023,0.820692345611012,0.820692345611012,"ci_num2_mtt"
"2","AL669831.5","Exc L5_6 IT Car3",0.0401117132851095,6.0998765633667,1.44564859661857,0.230007294993895,0.565902896900325,0.565902896900325,"ci_num2_mtt"
"3","NOC2L","Exc L5_6 IT Car3",0.0227831230611748,4.89705999040699,0.411852234516822,0.625329768272619,0.869802774220667,0.869802774220667,"ci_num2_mtt"
"4","KLHL17","Exc L5_6 IT Car3",0.108333842873246,3.09840064115968,2.17586915301853,0.141052797413573,0.447556291826727,0.447556291826727,"ci_num2_mtt"
"5","HES4","Exc L5_6 IT Car3",-0.0770277132972309,5.21514131817113,2.19862035019534,0.138997664570053,0.4444692494903,0.4444692494903,"ci_num2_mtt"
"6","ISG15","Exc L5_6 IT Car3",0.220622338728847,2.87111888592185,3.80636882348259,0.0518232291659782,0.271060594369628,0.271060594369628,"ci_num2_mtt"
"7","AGRN","Exc L5_6 IT Car3",0.029142156307004,5.51520352745165,0.48124958382491,0.488298324704438,0.788214366660162,0.788214366660162,"ci_num2_mtt"
"8","C1orf159","Exc L5_6 IT Car3",0.011565912227268,5.47559512100027,0.135885039566001,0.712620430413019,0.916051593964711,0.916051593964711,"ci_num2_mtt"
"9","SDF4","Exc L5_6 IT Car3",0.0765814368081868,5.09492381061298,4.11880708098693,0.0431344603106937,0.24814264424054,0.24814264424054,"ci_num2_mtt"
"10","B3GALT6","Exc L5_6 IT Car3",-0.0245771046259221,3.23973227041425,0.145739184047025,0.702863129509146,0.912679352661738,0.912679352661738,"ci_num2_mtt"
"11","UBE2J2","Exc L5_6 IT Car3",0.0659309438192836,4.8032314749159,3.61081464923738,0.0581931755913768,0.287683038773564,0.287683038773564,"ci_num2_mtt"
"12","LINC01786","Exc L5_6 IT Car3",-0.128187918732829,2.54019411152508,2.16468344175019,0.142075757644526,0.449378777815525,0.449378777815525,"ci_num2_mtt"
"13","SCNN1D","Exc L5_6 IT Car3",-0.0168247639011188,3.19503706273539,0.0633538316356688,0.830804756155514,0.963692549805167,0.963692549805167,"ci_num2_mtt"
"14","ACAP3","Exc L5_6 IT Car3",0.0670210236977555,6.64342449515018,5.88064210416199,0.0157930704311956,0.141610884658517,0.141610884658517,"ci_num2_mtt"
"15","PUSL1","Exc L5_6 IT Car3",0.156884258471189,2.32564159582003,2.99462504324037,0.0843868912878373,0.344489145567423,0.344489145567423,"ci_num2_mtt"
"16","INTS11","Exc L5_6 IT Car3",0.0583930682965073,5.22987569003206,3.36221479113211,0.0675228314410925,0.309548181286738,0.309548181286738,"ci_num2_mtt"
"17","CPTP","Exc L5_6 IT Car3",0.134277080053007,3.14939454063914,4.08569687564833,0.0439774489056627,0.250015532358036,0.250015532358036,"ci_num2_mtt"
"18","DVL1","Exc L5_6 IT Car3",0.098451423866824,4.37572439339139,5.81921662498449,0.0163448131561523,0.144662646717151,0.144662646717151,"ci_num2_mtt"
"19","AURKAIP1","Exc L5_6 IT Car3",0.065718831914375,4.33280844345474,1.95187440160135,0.163234208263473,0.481331605163783,0.481331605163783,"ci_num2_mtt"
"20","CCNL2","Exc L5_6 IT Car3",-0.000720245262747415,6.02358638535451,0.000785605342800501,0.977654625422602,0.99956850466664,0.99956850466664,"ci_num2_mtt"
"21","MRPL20","Exc L5_6 IT Car3",0.0857639095252326,4.83239335269733,5.47456930959777,0.0198337934676844,0.161564770658705,0.161564770658705,"ci_num2_mtt"
"22","ANKRD65","Exc L5_6 IT Car3",0.0149037544547762,3.24635133466574,0.0317844521055083,0.858600517021635,0.972701541407233,0.972701541407233,"ci_num2_mtt"
"23","ATAD3C","Exc L5_6 IT Car3",-0.0610301346227398,1.72501290916529,0.183465768518995,0.668664354863288,0.896654659523185,0.896654659523185,"ci_num2_mtt"
"24","ATAD3B","Exc L5_6 IT Car3",-0.0401409720522133,4.587767449707,0.812159688974623,0.36807707452325,0.698349131310338,0.698349131310338,"ci_num2_mtt"
"25","ATAD3A","Exc L5_6 IT Car3",0.019347019887589,3.88705856759141,0.153070896773107,0.728826536426265,0.923454259038666,0.923454259038666,"ci_num2_mtt"
"26","TMEM240","Exc L5_6 IT Car3",-0.153460929698957,2.25263463710031,2.36319969636334,0.125094008669126,0.423027425022485,0.423027425022485,"ci_num2_mtt"
"27","SSU72","Exc L5_6 IT Car3",0.0855229859478656,5.55800270608681,8.22350370423489,0.004375376719732,0.068402177067046,0.068402177067046,"ci_num2_mtt"
"28","AL645728.1","Exc L5_6 IT Car3",0.003031166471646,2.2067627185403,0.000585194438776346,0.98071364907226,0.99956850466664,0.99956850466664,"ci_num2_mtt"
"29","FNDC10","Exc L5_6 IT Car3",-0.013275788202305,3.41814889227827,0.0390097302617179,0.843539389126728,0.968228553578279,0.968228553578279,"ci_num2_mtt"
"30","AL691432.2","Exc L5_6 IT Car3",0.0310604679388739,3.34177784173741,0.226274836368155,0.634584558183196,0.876445609394056,0.876445609394056,"ci_num2_mtt"
"31","MIB2","Exc L5_6 IT Car3",0.0627089138040999,5.15104690674748,3.34496702681526,0.0682270532206257,0.311448843613257,0.311448843613257,"ci_num2_mtt"
"32","MMP23B","Exc L5_6 IT Car3",0.127969745069258,2.00468394541224,1.10201375369995,0.294519523530299,0.633880118191373,0.633880118191373,"ci_num2_mtt"
"33","CDK11B","Exc L5_6 IT Car3",0.0906851251317382,4.96914669053622,4.26855340410173,0.0395294806662175,0.237193744402463,0.237193744402463,"ci_num2_mtt"
"34","SLC35E2B","Exc L5_6 IT Car3",0.0392259521647873,4.95597154708841,0.900161491672771,0.343366491619353,0.679452015399901,0.679452015399901,"ci_num2_mtt"
"35","CDK11A","Exc L5_6 IT Car3",0.100901576934878,4.11854204684564,2.96305149233683,0.0860348094274151,0.348060955287043,0.348060955287043,"ci_num2_mtt"
