"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Exc NRGN",0.167911184031815,5.31580603604697,4.16567932596164,0.0419440379874814,0.160436345073733,0.160436345073733,"ci_num2_mtt"
"2","NOC2L","Exc NRGN",0.055396664996235,6.1375192935876,1.11372597252883,0.291946534293385,0.55281477447507,0.55281477447507,"ci_num2_mtt"
"3","HES4","Exc NRGN",-0.176824549858679,5.10725969598544,4.0921613413033,0.0437850387791518,0.165709277280736,0.165709277280736,"ci_num2_mtt"
"4","ISG15","Exc NRGN",-0.478783758915738,4.67295726979006,9.48184385879453,0.00222657442447385,0.0209955086473178,0.0209955086473178,"ci_num2_mtt"
"5","AGRN","Exc NRGN",-0.279692236866496,5.52829780572769,13.8701628893817,0.000225684749032099,0.00431294302293152,0.00431294302293152,"ci_num2_mtt"
"6","C1orf159","Exc NRGN",0.206588491396209,5.16139607431814,6.07780986677275,0.0141319595981975,0.0777379553318675,0.0777379553318675,"ci_num2_mtt"
"7","SDF4","Exc NRGN",0.054808861132549,5.95762836361501,0.805664969608045,0.374035992208549,0.637131258035377,0.637131258035377,"ci_num2_mtt"
"8","B3GALT6","Exc NRGN",-0.187271783248596,5.05666038214119,4.31409978308825,0.0384717122010624,0.151903458682904,0.151903458682904,"ci_num2_mtt"
"9","UBE2J2","Exc NRGN",0.0249464906498502,5.74437179154073,0.168992086680088,0.681241758263441,0.878547241005325,0.878547241005325,"ci_num2_mtt"
"10","SCNN1D","Exc NRGN",0.0700305293636771,4.1640396759928,0.171843412105308,0.67871349832146,0.877668767045192,0.877668767045192,"ci_num2_mtt"
"11","ACAP3","Exc NRGN",-0.0252204101694936,6.73150443363131,0.215903768334306,0.642446073474963,0.851586927622448,0.851586927622448,"ci_num2_mtt"
"12","INTS11","Exc NRGN",-0.0221443675380612,6.01217763854248,0.125648235155094,0.723184857469779,0.900311351628532,0.900311351628532,"ci_num2_mtt"
"13","CPTP","Exc NRGN",0.0432028869174201,5.16434977531501,0.287499307942142,0.592142449414745,0.817985170588516,0.817985170588516,"ci_num2_mtt"
"14","DVL1","Exc NRGN",0.0576247913148028,5.78094519143038,0.701824370682633,0.402699995332515,0.662451066268425,0.662451066268425,"ci_num2_mtt"
"15","AURKAIP1","Exc NRGN",-0.0906162865874159,6.40439577392884,2.54935096295963,0.155388433729287,0.371156995869272,0.371156995869272,"ci_num2_mtt"
"16","CCNL2","Exc NRGN",-0.0126394307594677,6.29673306895793,0.0606450330342791,0.805612812473645,0.940462777421658,0.940462777421658,"ci_num2_mtt"
"17","MRPL20","Exc NRGN",0.00576149768049403,6.26370986705649,0.00905043550855609,0.924258910072695,0.983889715439994,0.983889715439994,"ci_num2_mtt"
"18","ANKRD65","Exc NRGN",-0.0123520052399983,5.23938966883531,0.029180832293731,0.864453444327005,0.963352372201804,0.963352372201804,"ci_num2_mtt"
"19","ATAD3C","Exc NRGN",-0.207058755500655,3.6417291009249,1.2051310879788,0.272996356406336,0.532149299363662,0.532149299363662,"ci_num2_mtt"
"20","ATAD3A","Exc NRGN",-0.0581177167541642,4.8012521938583,0.35986425597532,0.548940559748843,0.787014446385933,0.787014446385933,"ci_num2_mtt"
"21","SSU72","Exc NRGN",0.0476898863597191,7.48580642191823,1.49824816821535,0.364859019903844,0.628542332880369,0.628542332880369,"ci_num2_mtt"
"22","FNDC10","Exc NRGN",-0.219726248624433,5.72782612468017,10.9574576424566,0.0010218041753812,0.0123720471954781,0.0123720471954781,"ci_num2_mtt"
"23","AL691432.2","Exc NRGN",-0.074939831772394,4.86517971165301,0.542391346859379,0.461899529447945,0.71317912880136,0.71317912880136,"ci_num2_mtt"
"24","MIB2","Exc NRGN",-0.039674453068703,6.04391514194629,0.426840312470723,0.513940082398787,0.761423633595249,0.761423633595249,"ci_num2_mtt"
"25","CDK11B","Exc NRGN",0.148071106353226,5.56545717921603,4.29124792268124,0.0389859706852512,0.153150447879845,0.153150447879845,"ci_num2_mtt"
"26","SLC35E2B","Exc NRGN",0.122425804610318,5.14097493081659,1.88810597743263,0.170228765325143,0.394708851977621,0.394708851977621,"ci_num2_mtt"
"27","SLC35E2A","Exc NRGN",0.184354734029119,5.32520889853916,4.63608473425461,0.0319375197686046,0.134176943869241,0.134176943869241,"ci_num2_mtt"
"28","NADK","Exc NRGN",-0.108631954643266,5.24843360934273,1.91457456994209,0.222275736696431,0.466156451980622,0.466156451980622,"ci_num2_mtt"
"29","GNB1","Exc NRGN",0.00591795671300659,8.89373120631158,0.039840967705336,0.841899024789672,0.95386222175092,0.95386222175092,"ci_num2_mtt"
