"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh CUX2 MSR1",-0.17635838941977,3.43201810610225,1.44555532096587,0.23003903328979,0.894964640124,0.894964640124,"cogdx_stroke"
"2","AL669831.5","Inh CUX2 MSR1",0.0714277406851281,5.57873718608818,1.34064127356775,0.247694648532091,0.905823452370022,0.905823452370022,"cogdx_stroke"
"3","NOC2L","Inh CUX2 MSR1",0.0730430113384979,4.73616361102513,1.01605964676758,0.314137944923069,0.932959532132641,0.932959532132641,"cogdx_stroke"
"4","KLHL17","Inh CUX2 MSR1",0.00214535103406408,3.37522242461236,0.000284898323095865,0.986542626134342,0.999994457138819,0.999994457138819,"cogdx_stroke"
"5","HES4","Inh CUX2 MSR1",-0.267495156117144,4.57795337219566,6.37233969802385,0.01202395742481,0.567919446097954,0.567919446097954,"cogdx_stroke"
"6","ISG15","Inh CUX2 MSR1",-0.15471148328881,3.40915484723231,0.759765512086415,0.383987493106235,0.948966798966441,0.948966798966441,"cogdx_stroke"
"7","AGRN","Inh CUX2 MSR1",-0.0206459467249371,3.51909810602455,0.0243261660643386,0.876145989976735,0.999994457138819,0.999994457138819,"cogdx_stroke"
"8","C1orf159","Inh CUX2 MSR1",0.015379907986407,5.63124284258216,0.0680312897863705,0.794375417183254,0.999994457138819,0.999994457138819,"cogdx_stroke"
"9","SDF4","Inh CUX2 MSR1",-0.0468810769638661,5.45556746498127,0.487478818177145,0.485508455258025,0.969030601182947,0.969030601182947,"cogdx_stroke"
"10","B3GALT6","Inh CUX2 MSR1",0.0053599901216478,3.34624112677976,0.00138906084189989,0.970290464003058,0.999994457138819,0.999994457138819,"cogdx_stroke"
"11","UBE2J2","Inh CUX2 MSR1",-0.0565922998479692,5.13738122329006,0.820705860001473,0.420197731292285,0.95030851803383,0.95030851803383,"cogdx_stroke"
"12","SCNN1D","Inh CUX2 MSR1",0.084391171942422,3.89679441470061,0.598135573252941,0.4398018699028,0.958428540779115,0.958428540779115,"cogdx_stroke"
"13","ACAP3","Inh CUX2 MSR1",-0.0206425233241585,6.40463991637728,0.196957893942148,0.65745639208237,0.999994457138819,0.999994457138819,"cogdx_stroke"
"14","INTS11","Inh CUX2 MSR1",0.0319611334026405,5.47453771227489,0.302181923167868,0.582861359801472,0.992658959677832,0.992658959677832,"cogdx_stroke"
"15","CPTP","Inh CUX2 MSR1",-0.217463511886251,3.29643288242472,1.8556295268564,0.173988568787709,0.885508306577437,0.885508306577437,"cogdx_stroke"
"16","DVL1","Inh CUX2 MSR1",-0.0283764142651461,4.35791365125986,0.093457344558171,0.760005140670825,0.999994457138819,0.999994457138819,"cogdx_stroke"
"17","AURKAIP1","Inh CUX2 MSR1",-0.235012865841677,4.10279198567239,4.67455966609714,0.0312761471846159,0.657008675983147,0.657008675983147,"cogdx_stroke"
"18","CCNL2","Inh CUX2 MSR1",-0.0516344958339045,6.13455310787907,1.20316722350028,0.379551304233971,0.946465858379494,0.946465858379494,"cogdx_stroke"
"19","MRPL20","Inh CUX2 MSR1",-0.0706985957953355,4.73011292615514,0.755962429379787,0.385178989573181,0.949339637677711,0.949339637677711,"cogdx_stroke"
"20","ATAD3B","Inh CUX2 MSR1",-0.0117924007345507,4.7089246497403,0.0205335515751957,0.886137758878004,0.999994457138819,0.999994457138819,"cogdx_stroke"
"21","ATAD3A","Inh CUX2 MSR1",-0.133929489177802,4.15278754374165,1.65064367223202,0.199704009023663,0.894964640124,0.894964640124,"cogdx_stroke"
"22","SSU72","Inh CUX2 MSR1",-0.0644732533119955,5.29323126466126,1.01883800612518,0.419544435629339,0.95030851803383,0.95030851803383,"cogdx_stroke"
"23","FNDC10","Inh CUX2 MSR1",-0.178280918108381,4.07577045810848,2.77353156666654,0.0967114191982262,0.809995109927724,0.809995109927724,"cogdx_stroke"
"24","MIB2","Inh CUX2 MSR1",-0.0450004839498063,5.29378907459966,0.591389403633421,0.442390614667777,0.958428540779115,0.958428540779115,"cogdx_stroke"
"25","CDK11B","Inh CUX2 MSR1",-0.099113407962119,4.98623992759329,1.89254445901368,0.169777367942678,0.884801872699891,0.884801872699891,"cogdx_stroke"
"26","SLC35E2B","Inh CUX2 MSR1",-0.0140902930683524,4.96224009489693,0.036060462352202,0.849498570331687,0.999994457138819,0.999994457138819,"cogdx_stroke"
"27","CDK11A","Inh CUX2 MSR1",-0.0482154190928084,4.53417930563693,0.246911602489034,0.619563894582609,0.997775423068115,0.997775423068115,"cogdx_stroke"
"28","SLC35E2A","Inh CUX2 MSR1",-0.116439814716319,4.97867749205143,1.96405010986815,0.161949242227117,0.881935236056796,0.881935236056796,"cogdx_stroke"
"29","NADK","Inh CUX2 MSR1",-0.0375677547467424,4.08442559077081,0.151275391114256,0.697551302558669,0.999994457138819,0.999994457138819,"cogdx_stroke"
"30","GNB1","Inh CUX2 MSR1",0.0652255740765828,7.46914641252201,4.77151591644793,0.0295841038708972,0.654603492367241,0.654603492367241,"cogdx_stroke"
"31","CFAP74","Inh CUX2 MSR1",0.0805800995782104,4.19118071893039,0.632349244738974,0.427023067602519,0.951719867919795,0.951719867919795,"cogdx_stroke"
"32","GABRD","Inh CUX2 MSR1",-0.0643937964228848,5.55357661446308,1.11563799583248,0.291573613054471,0.924640810977532,0.924640810977532,"cogdx_stroke"
"33","PRKCZ","Inh CUX2 MSR1",-0.065729690101131,6.72446109900929,2.84225266167807,0.129404987294942,0.841458356907464,0.841458356907464,"cogdx_stroke"
"34","FAAP20","Inh CUX2 MSR1",-0.104674317688353,4.72234395785889,1.9172758918482,0.167021717346249,0.883680584370364,0.883680584370364,"cogdx_stroke"
"35","SKI","Inh CUX2 MSR1",0.0411980677641673,6.68804402365358,1.01247751013671,0.314991286228928,0.932959532132641,0.932959532132641,"cogdx_stroke"
"36","MORN1","Inh CUX2 MSR1",0.075481265262773,4.92209627657128,1.09429995052994,0.338161041102437,0.937100306640605,0.937100306640605,"cogdx_stroke"
"37","RER1","Inh CUX2 MSR1",-0.117965008979492,4.84862986675107,2.52075686767565,0.113241552595218,0.835917432558687,0.835917432558687,"cogdx_stroke"
"38","PEX10","Inh CUX2 MSR1",-0.147980176602045,3.66097269271476,1.24748737175127,0.264783763122968,0.913507517636204,0.913507517636204,"cogdx_stroke"
"39","PLCH2","Inh CUX2 MSR1",-0.0107508533154049,5.60179905259026,0.0287808429300921,0.865382100083122,0.999994457138819,0.999994457138819,"cogdx_stroke"
"40","PANK4","Inh CUX2 MSR1",0.148747120638663,3.84499580855045,1.65358307654195,0.199305058754629,0.894964640124,0.894964640124,"cogdx_stroke"
"41","FAM213B","Inh CUX2 MSR1",0.19058657601366,3.71029496587714,2.17501769333264,0.141148883400161,0.854092135602205,0.854092135602205,"cogdx_stroke"
"42","TPRG1L","Inh CUX2 MSR1",0.0233499595213607,4.32404231227385,0.0676046657589379,0.848771243671416,0.999994457138819,0.999994457138819,"cogdx_stroke"
"43","WRAP73","Inh CUX2 MSR1",0.143547538999097,3.83409367235946,1.43465744757947,0.231800167294056,0.897238565746096,0.897238565746096,"cogdx_stroke"
"44","LRRC47","Inh CUX2 MSR1",-0.0244418485433225,4.30944205509667,0.0726822853060365,0.787626374973362,0.999994457138819,0.999994457138819,"cogdx_stroke"
"45","CEP104","Inh CUX2 MSR1",0.0204365173556078,5.88299144510067,0.143741037385046,0.7048151893289,0.999994457138819,0.999994457138819,"cogdx_stroke"
"46","DFFB","Inh CUX2 MSR1",-0.0152836976106363,5.15543863411948,0.0563220368421187,0.812542576605457,0.999994457138819,0.999994457138819,"cogdx_stroke"
"47","AJAP1","Inh CUX2 MSR1",0.00299967606330573,7.54232951294076,0.00730005206772887,0.931959199237813,0.999994457138819,0.999994457138819,"cogdx_stroke"
"48","AL365255.1","Inh CUX2 MSR1",-0.0273783548809447,3.81708862981824,0.0413313169841999,0.839015517084488,0.999994457138819,0.999994457138819,"cogdx_stroke"
"49","NPHP4","Inh CUX2 MSR1",0.0395039772914446,5.87576764155822,0.532424911153294,0.466067457953885,0.965867214502413,0.965867214502413,"cogdx_stroke"
"50","KCNAB2","Inh CUX2 MSR1",0.0448092273608555,6.92194489536304,1.43885023169783,0.409623908885511,0.949339637677711,0.949339637677711,"cogdx_stroke"
"51","CHD5","Inh CUX2 MSR1",0.0201158303789634,7.73137759609362,0.428620201008226,0.513088182630582,0.972693968270093,0.972693968270093,"cogdx_stroke"
"52","RPL22","Inh CUX2 MSR1",-0.0108616025332938,5.13991274540371,0.0257191719976023,0.872678730344977,0.999994457138819,0.999994457138819,"cogdx_stroke"
"53","RNF207","Inh CUX2 MSR1",0.0223264096524175,4.55564571989851,0.068979814863535,0.792979438788144,0.999994457138819,0.999994457138819,"cogdx_stroke"
"54","ICMT","Inh CUX2 MSR1",-0.0114235029174589,3.8878489968293,0.0104585563723405,0.918602077014705,0.999994457138819,0.999994457138819,"cogdx_stroke"
"55","GPR153","Inh CUX2 MSR1",0.256432776915196,3.82784695403169,4.67967697888211,0.0311843555226007,0.656920881879297,0.656920881879297,"cogdx_stroke"
"56","ACOT7","Inh CUX2 MSR1",-0.0317704900162427,6.22881320876614,0.483290860788176,0.668669034976388,0.999994457138819,0.999994457138819,"cogdx_stroke"
"57","TNFRSF25","Inh CUX2 MSR1",0.0718660154978149,4.07714855265041,0.463128320536946,0.496606512391419,0.97034995042279,0.97034995042279,"cogdx_stroke"
"58","NOL9","Inh CUX2 MSR1",-0.194157131832203,5.27016068442034,9.82967190825432,0.00185950906270687,0.361988767188799,0.361988767188799,"cogdx_stroke"
"59","ZBTB48","Inh CUX2 MSR1",-0.0493805409590536,3.98802326459718,0.202386268527036,0.653074504831216,0.999994457138819,0.999994457138819,"cogdx_stroke"
"60","KLHL21","Inh CUX2 MSR1",-0.00332056273509944,4.56962047862898,0.00149282080493103,0.969201359652605,0.999994457138819,0.999994457138819,"cogdx_stroke"
"61","PHF13","Inh CUX2 MSR1",-0.118110914926163,3.52986028348125,0.828183846880583,0.380809522697169,0.946465858379494,0.946465858379494,"cogdx_stroke"
"62","THAP3","Inh CUX2 MSR1",0.0371860759637231,3.78959188390745,0.104829611038753,0.746298652036945,0.999994457138819,0.999994457138819,"cogdx_stroke"
"63","DNAJC11","Inh CUX2 MSR1",-0.0233569780709396,6.09695883720702,0.241067654432878,0.623737621641225,0.998645900238274,0.998645900238274,"cogdx_stroke"
"64","CAMTA1","Inh CUX2 MSR1",-0.00209333831360758,9.46971704000422,0.00915398365195096,0.923831204917153,0.999994457138819,0.999994457138819,"cogdx_stroke"
"65","VAMP3","Inh CUX2 MSR1",-0.239167998849744,3.9216686619017,4.87539400307218,0.0365222606919998,0.677259791849091,0.677259791849091,"cogdx_stroke"
"66","PER3","Inh CUX2 MSR1",-0.0221904841673384,7.10449792727516,0.256484108419041,0.612858473347955,0.996628885857603,0.996628885857603,"cogdx_stroke"
"67","PARK7","Inh CUX2 MSR1",-0.0717115209156817,5.00536852377952,0.881817629748428,0.348338982837005,0.938350549830161,0.938350549830161,"cogdx_stroke"
"68","ERRFI1","Inh CUX2 MSR1",-0.0299091039945143,4.70171822482688,0.136320493852391,0.712185495356626,0.999994457138819,0.999994457138819,"cogdx_stroke"
"69","AL034417.2","Inh CUX2 MSR1",-0.22425519890984,3.57465391964382,2.39605985784735,0.122526937628434,0.835917432558687,0.835917432558687,"cogdx_stroke"
"70","SLC45A1","Inh CUX2 MSR1",-0.0338477035889362,4.37395103036063,0.136206914238728,0.712300059807408,0.999994457138819,0.999994457138819,"cogdx_stroke"
"71","RERE","Inh CUX2 MSR1",-0.0183433046436153,9.22748922904122,0.779953142680194,0.377749552939882,0.946413015437219,0.946413015437219,"cogdx_stroke"
"72","ENO1","Inh CUX2 MSR1",-0.0849128937253286,5.49972209798748,1.66347196918672,0.197969765245286,0.894964640124,0.894964640124,"cogdx_stroke"
"73","MIR34AHG","Inh CUX2 MSR1",0.0523807972772672,5.28675482966253,0.599196507118955,0.439396875911135,0.958428540779115,0.958428540779115,"cogdx_stroke"
"74","H6PD","Inh CUX2 MSR1",0.0556888028888771,4.4956487870341,0.413870168817404,0.520424524514554,0.973368794603514,0.973368794603514,"cogdx_stroke"
"75","SLC25A33","Inh CUX2 MSR1",-0.0729315195500201,4.65124804402449,0.779563950844671,0.37786845196012,0.946413015437219,0.946413015437219,"cogdx_stroke"
"76","TMEM201","Inh CUX2 MSR1",0.109057274589792,4.28380893560146,1.34244410049625,0.247377562417179,0.90531656181451,0.90531656181451,"cogdx_stroke"
"77","PIK3CD","Inh CUX2 MSR1",-0.112542380030808,5.5206041118544,3.31258404351803,0.0695882450921538,0.762769488718063,0.762769488718063,"cogdx_stroke"
"78","CLSTN1","Inh CUX2 MSR1",0.00555319157240141,8.2223559523494,0.0387527854702913,0.844051210707363,0.999994457138819,0.999994457138819,"cogdx_stroke"
"79","CTNNBIP1","Inh CUX2 MSR1",-0.0099479504642806,4.9147636869192,0.0173370961452084,0.895319137911395,0.999994457138819,0.999994457138819,"cogdx_stroke"
"80","LZIC","Inh CUX2 MSR1",-0.0107739773618309,4.73499511413761,0.0193485959597685,0.889450139989908,0.999994457138819,0.999994457138819,"cogdx_stroke"
"81","NMNAT1","Inh CUX2 MSR1",-0.0644577974224489,4.76641426040222,0.63247570239502,0.426976886785799,0.951719867919795,0.951719867919795,"cogdx_stroke"
"82","UBE4B","Inh CUX2 MSR1",-0.0451169546302321,7.36827499943418,1.97538378057597,0.160746870955787,0.881659663879278,0.881659663879278,"cogdx_stroke"
"83","KIF1B","Inh CUX2 MSR1",-0.0209516558094842,8.58103309921143,0.780426189732262,0.377605107046573,0.946413015437219,0.946413015437219,"cogdx_stroke"
"84","AL139424.2","Inh CUX2 MSR1",-0.0720323246877594,3.07132235054209,0.181234218128481,0.670571142376379,0.999994457138819,0.999994457138819,"cogdx_stroke"
"85","PGD","Inh CUX2 MSR1",-0.130630888962813,4.66855810253192,2.56631111719341,0.1100461002901,0.834970803039103,0.834970803039103,"cogdx_stroke"
"86","DFFA","Inh CUX2 MSR1",-0.0547268609663253,5.22446601092405,0.70701005810229,0.401000794424781,0.949339637677711,0.949339637677711,"cogdx_stroke"
"87","PEX14","Inh CUX2 MSR1",-0.0381767421430254,6.21322213125584,0.656634233199104,0.418290327454314,0.95030851803383,0.95030851803383,"cogdx_stroke"
"88","SRM","Inh CUX2 MSR1",-0.0597536168945112,4.8584694224817,0.623831154488552,0.443089777924109,0.958978196560455,0.958978196560455,"cogdx_stroke"
"89","EXOSC10","Inh CUX2 MSR1",0.0131016750333321,5.35531642905576,0.0450253525429315,0.832078467878617,0.999994457138819,0.999994457138819,"cogdx_stroke"
"90","AL109811.1","Inh CUX2 MSR1",0.0544783128404084,3.27413449620844,0.131111549342871,0.717496475859629,0.999994457138819,0.999994457138819,"cogdx_stroke"
"91","MTOR","Inh CUX2 MSR1",-0.0961647696142059,6.01038300715902,3.56434952075766,0.0598432881926077,0.730938617882932,0.730938617882932,"cogdx_stroke"
"92","DISP3","Inh CUX2 MSR1",0.0416428102727284,3.37757484568496,0.0896316046321302,0.76482016978155,0.999994457138819,0.999994457138819,"cogdx_stroke"
"93","FBXO2","Inh CUX2 MSR1",0.0704468422872964,4.86766344069097,0.802854381771013,0.370844864937019,0.945272814353658,0.945272814353658,"cogdx_stroke"
"94","FBXO44","Inh CUX2 MSR1",-0.0269944684048761,5.86111174967613,0.229465212281105,0.632213811261564,0.998824122230457,0.998824122230457,"cogdx_stroke"
"95","MTHFR","Inh CUX2 MSR1",0.0160840335988875,5.10737356823989,0.0579151260336218,0.809960128904851,0.999994457138819,0.999994457138819,"cogdx_stroke"
"96","CLCN6","Inh CUX2 MSR1",-0.0185475083535278,4.49956361146585,0.0430294010365659,0.835788150623695,0.999994457138819,0.999994457138819,"cogdx_stroke"
"97","KIAA2013","Inh CUX2 MSR1",-0.104415279042888,4.19531061642253,1.09263581820038,0.296594904744651,0.924640810977532,0.924640810977532,"cogdx_stroke"
"98","PLOD1","Inh CUX2 MSR1",0.138776764007037,4.03770621723636,1.84822819224408,0.174847343776011,0.885940960018454,0.885940960018454,"cogdx_stroke"
"99","MFN2","Inh CUX2 MSR1",0.0788653553173837,5.24751833259265,1.36960962871848,0.242659312291813,0.899918525259821,0.899918525259821,"cogdx_stroke"
"100","MIIP","Inh CUX2 MSR1",0.0701892630540453,3.30368453211695,0.216861788328981,0.641725412813625,0.999895707825781,0.999895707825781,"cogdx_stroke"
"101","VPS13D","Inh CUX2 MSR1",0.00768377164617921,7.81985970355975,0.0696716964919569,0.791967632484194,0.999994457138819,0.999994457138819,"cogdx_stroke"
"102","LRRC38","Inh CUX2 MSR1",0.213911301918397,4.05014517496361,3.16253330804544,0.0761968393010712,0.778026320087601,0.778026320087601,"cogdx_stroke"
