"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh LAMP5 NRG1 (Rosehip)",0.0285480115839314,3.10830253353454,0.0771839280651542,0.781310827323587,0.999939090283557,0.999939090283557,"cogdx_stroke"
"2","AL669831.5","Inh LAMP5 NRG1 (Rosehip)",-0.0292009896454944,5.41465982534265,0.370926061781078,0.54288591609906,0.98278307697595,0.98278307697595,"cogdx_stroke"
"3","NOC2L","Inh LAMP5 NRG1 (Rosehip)",-0.0421437773317462,4.57436203195099,0.549739059802565,0.458910074985016,0.96342999220824,0.96342999220824,"cogdx_stroke"
"4","KLHL17","Inh LAMP5 NRG1 (Rosehip)",0.0908734024024811,2.93456995668766,0.588963415207723,0.443325717594213,0.960124864211298,0.960124864211298,"cogdx_stroke"
"5","HES4","Inh LAMP5 NRG1 (Rosehip)",-0.107527240015893,5.23285332510393,3.16520505494935,0.0760707567229527,0.76209082159805,0.76209082159805,"cogdx_stroke"
"6","ISG15","Inh LAMP5 NRG1 (Rosehip)",-0.307944430825866,3.43667284572903,4.25152402404321,0.039935887944955,0.714467609729635,0.714467609729635,"cogdx_stroke"
"7","AGRN","Inh LAMP5 NRG1 (Rosehip)",-0.0915617296670171,3.42361077288839,0.788851468744805,0.375043551334835,0.945427180081957,0.945427180081957,"cogdx_stroke"
"8","C1orf159","Inh LAMP5 NRG1 (Rosehip)",-0.0400575008298445,5.35551471350625,0.669657002990414,0.41371517081492,0.954265147346876,0.954265147346876,"cogdx_stroke"
"9","SDF4","Inh LAMP5 NRG1 (Rosehip)",-0.00566234699679195,5.64020574395061,0.0136107293233515,0.907190873759298,0.999939090283557,0.999939090283557,"cogdx_stroke"
"10","B3GALT6","Inh LAMP5 NRG1 (Rosehip)",0.118393919689102,3.42240643869067,1.72858809613339,0.269698671322258,0.914896336003343,0.914896336003343,"cogdx_stroke"
"11","UBE2J2","Inh LAMP5 NRG1 (Rosehip)",0.0298603994478947,5.15113257112845,0.412626695019182,0.690184025758052,0.999939090283557,0.999939090283557,"cogdx_stroke"
"12","SCNN1D","Inh LAMP5 NRG1 (Rosehip)",-0.0611824085131473,3.4628331835753,0.462173596024195,0.497048923661372,0.973577823717447,0.973577823717447,"cogdx_stroke"
"13","ACAP3","Inh LAMP5 NRG1 (Rosehip)",-0.0112931024607081,6.14879100094057,0.0868857826687181,0.768344942502255,0.999939090283557,0.999939090283557,"cogdx_stroke"
"14","PUSL1","Inh LAMP5 NRG1 (Rosehip)",0.0897318954054346,2.39692464910054,0.392637838741327,0.531315155865247,0.981037926659743,0.981037926659743,"cogdx_stroke"
"15","INTS11","Inh LAMP5 NRG1 (Rosehip)",0.00949405051448859,5.45294781151282,0.0555623933772128,0.813787149175549,0.999939090283557,0.999939090283557,"cogdx_stroke"
"16","CPTP","Inh LAMP5 NRG1 (Rosehip)",-0.00682675891001297,3.31345562788118,0.00374992885915622,0.951204878938769,0.999939090283557,0.999939090283557,"cogdx_stroke"
"17","DVL1","Inh LAMP5 NRG1 (Rosehip)",-0.008934346137193,4.37133169902158,0.0229957449871264,0.879553493657591,0.999939090283557,0.999939090283557,"cogdx_stroke"
"18","AURKAIP1","Inh LAMP5 NRG1 (Rosehip)",-0.073640303364463,4.29647104002141,1.21003047746922,0.318210661382825,0.929111615046561,0.929111615046561,"cogdx_stroke"
"19","CCNL2","Inh LAMP5 NRG1 (Rosehip)",-0.0244957982482634,6.12827648702754,0.511807589923115,0.489881418262803,0.972265416595046,0.972265416595046,"cogdx_stroke"
"20","MRPL20","Inh LAMP5 NRG1 (Rosehip)",-0.000999078937437996,4.87226790138949,0.000264052634084955,0.987044234183748,0.999939090283557,0.999939090283557,"cogdx_stroke"
"21","ATAD3B","Inh LAMP5 NRG1 (Rosehip)",-0.0494466661758938,4.3990306651558,0.630164851124442,0.427820323317982,0.957475848945555,0.957475848945555,"cogdx_stroke"
"22","ATAD3A","Inh LAMP5 NRG1 (Rosehip)",0.0805686061361752,3.87105279369433,1.36711816084266,0.243084986974293,0.910520292925451,0.910520292925451,"cogdx_stroke"
"23","TMEM240","Inh LAMP5 NRG1 (Rosehip)",-0.103431950586787,2.62062642776406,0.567859246530096,0.451605796812272,0.960726914382398,0.960726914382398,"cogdx_stroke"
"24","SSU72","Inh LAMP5 NRG1 (Rosehip)",-0.0893140668890822,5.48512272738747,4.35975939925852,0.129477842105082,0.827171964237786,0.827171964237786,"cogdx_stroke"
"25","FNDC10","Inh LAMP5 NRG1 (Rosehip)",-0.083597032922975,3.85671282475199,1.14812208824533,0.299197681203036,0.922129689592485,0.922129689592485,"cogdx_stroke"
"26","AL691432.2","Inh LAMP5 NRG1 (Rosehip)",0.0330838006678858,3.1904481707379,0.0995139631822685,0.752597354503726,0.999939090283557,0.999939090283557,"cogdx_stroke"
"27","MIB2","Inh LAMP5 NRG1 (Rosehip)",-0.0810114861202778,5.03378085960283,2.40589938004982,0.121761539798514,0.824750489307781,0.824750489307781,"cogdx_stroke"
"28","MMP23B","Inh LAMP5 NRG1 (Rosehip)",-0.151824826462996,3.21262931981148,2.08084362337885,0.150031392441911,0.837559658737881,0.837559658737881,"cogdx_stroke"
"29","CDK11B","Inh LAMP5 NRG1 (Rosehip)",0.046917092488794,4.88131893105206,0.765823438675402,0.382098519048011,0.948642740224365,0.948642740224365,"cogdx_stroke"
"30","SLC35E2B","Inh LAMP5 NRG1 (Rosehip)",-0.0357936733516738,5.07816613930665,0.467843996086872,0.494422883609543,0.973577823717447,0.973577823717447,"cogdx_stroke"
"31","CDK11A","Inh LAMP5 NRG1 (Rosehip)",-0.0207010587369969,4.21264659797203,0.0779867538740692,0.78020561075155,0.999939090283557,0.999939090283557,"cogdx_stroke"
"32","SLC35E2A","Inh LAMP5 NRG1 (Rosehip)",-0.0189994977855257,4.98131271600674,0.0994645543143613,0.752656764934815,0.999939090283557,0.999939090283557,"cogdx_stroke"
