"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6b",-0.0252999800383392,3.08875548333457,1.24053543130246,0.26610097608923,0.486979953101297,0.486979953101297,"cogn_ep_lv"
"2","AL669831.5","Exc L6b",0.00675684448446973,5.8001926764157,0.346338740166664,0.556557109250129,0.750607865857176,0.750607865857176,"cogn_ep_lv"
"3","LINC00115","Exc L6b",0.0390875663423711,1.391488821584,0.599794030270175,0.439158124101909,0.657435915854301,0.657435915854301,"cogn_ep_lv"
"4","NOC2L","Exc L6b",-0.0234467174926909,4.86010764128252,4.60386256814174,0.0325592795272068,0.120957531240034,0.120957531240034,"cogn_ep_lv"
"5","KLHL17","Exc L6b",-0.0783671009646204,2.97002210749603,11.9421360808439,0.000613408550907865,0.00620627442535912,0.00620627442535912,"cogn_ep_lv"
"6","HES4","Exc L6b",0.178752965575365,3.89824544940551,46.5982709287911,3.64664347197316e-11,5.34507373380022e-09,5.34507373380022e-09,"cogn_ep_lv"
"7","ISG15","Exc L6b",-0.0527512157197317,1.5764201943097,1.22098021267314,0.269896395216931,0.491733528378355,0.491733528378355,"cogn_ep_lv"
"8","AGRN","Exc L6b",0.0349291030772538,4.86236513186878,5.30975472613754,0.0217673583526149,0.091666447794885,0.091666447794885,"cogn_ep_lv"
"9","C1orf159","Exc L6b",0.0287112107103697,5.90878342584957,9.6254821025661,0.00206849279240848,0.0157890553083934,0.0157890553083934,"cogn_ep_lv"
"10","SDF4","Exc L6b",0.0296198198059727,5.23942676513965,5.52256642884927,0.0193047340699482,0.0838777633588773,0.0838777633588773,"cogn_ep_lv"
"11","B3GALT6","Exc L6b",0.00262249188027071,3.01231673284919,0.0142518074448599,0.905039260140185,0.969716604220752,0.969716604220752,"cogn_ep_lv"
"12","UBE2J2","Exc L6b",0.00140977540306322,4.90672943526423,0.016718611367814,0.897191138383549,0.966260397864313,0.966260397864313,"cogn_ep_lv"
"13","LINC01786","Exc L6b",0.0836787839387282,2.24501810692247,7.37783835641903,0.00691752360888005,0.039389576163051,0.039389576163051,"cogn_ep_lv"
