"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Exc RELN CHD7",0.0118104637681834,5.93912530820066,0.296592619559161,0.586370925787986,0.856786755473333,0.856786755473333,"cogn_ep_lv"
"2","NOC2L","Exc RELN CHD7",0.0135066194277457,5.03097946477606,0.391582737852484,0.531873685851731,0.825698400541824,0.825698400541824,"cogn_ep_lv"
"3","KLHL17","Exc RELN CHD7",-0.0769171201132794,3.39265019246134,3.48657038472548,0.0626986989241504,0.267852367917091,0.267852367917091,"cogn_ep_lv"
"4","HES4","Exc RELN CHD7",0.209169167466318,4.26325357810258,25.8980575947356,5.86725555333973e-07,0.000101872319993273,0.000101872319993273,"cogn_ep_lv"
"5","ISG15","Exc RELN CHD7",0.108162925836377,2.82244779796573,4.04091560306427,0.0451713412422426,0.219704249949974,0.219704249949974,"cogn_ep_lv"
"6","AGRN","Exc RELN CHD7",0.0841564372927877,5.25500331316274,10.1433018098395,0.0015774207970821,0.0250252742758079,0.0250252742758079,"cogn_ep_lv"
"7","C1orf159","Exc RELN CHD7",0.0201057525816573,5.59610565896223,1.0174755933226,0.313810659456921,0.653505348906343,0.653505348906343,"cogn_ep_lv"
"8","SDF4","Exc RELN CHD7",0.0172573117844883,5.38706336949573,0.718960100850808,0.397060772163178,0.727226736719599,0.727226736719599,"cogn_ep_lv"
"9","B3GALT6","Exc RELN CHD7",0.0692753524953835,3.14742934322931,2.85778902515311,0.0918166783264486,0.33826611348277,0.33826611348277,"cogn_ep_lv"
"10","UBE2J2","Exc RELN CHD7",0.0104512036960203,5.03327362902196,0.265114454269331,0.75673826459105,0.931079842334991,0.931079842334991,"cogn_ep_lv"
"11","SCNN1D","Exc RELN CHD7",0.0284344040812291,3.47835457361648,0.591354062464668,0.798555744185425,0.943062614160805,0.943062614160805,"cogn_ep_lv"
"12","ACAP3","Exc RELN CHD7",-0.0304359649071929,6.83566664219746,4.25641402923603,0.0398344853731254,0.20451356393601,0.20451356393601,"cogn_ep_lv"
"13","INTS11","Exc RELN CHD7",-0.0250244731995899,5.69867200916002,2.07850538705242,0.150274460198287,0.445254946184784,0.445254946184784,"cogn_ep_lv"
"14","CPTP","Exc RELN CHD7",-0.0392516192906355,3.44926484335578,0.995605486249012,0.319060846999134,0.658461133964859,0.658461133964859,"cogn_ep_lv"
"15","DVL1","Exc RELN CHD7",-0.00169050394570793,4.69485141475095,0.00450331773632488,0.946534766700596,0.986129226339709,0.986129226339709,"cogn_ep_lv"
"16","AURKAIP1","Exc RELN CHD7",0.0122635311176157,4.65135882566353,0.180434142048423,0.67125964648369,0.897819934341672,0.897819934341672,"cogn_ep_lv"
"17","CCNL2","Exc RELN CHD7",-0.00273894156266597,6.19206722247495,0.0272482304119475,0.86898323702895,0.96950113508547,0.96950113508547,"cogn_ep_lv"
"18","MRPL20","Exc RELN CHD7",-0.00796662839063764,5.02881714085105,0.115546646800597,0.734118138540842,0.923048448933482,0.923048448933482,"cogn_ep_lv"
"19","ANKRD65","Exc RELN CHD7",0.0411953430231472,3.38934674938441,0.83052897372721,0.362742592854067,0.698364244186334,0.698364244186334,"cogn_ep_lv"
"20","ATAD3B","Exc RELN CHD7",0.0673434684011751,4.74467162083637,6.72402790357699,0.00990861466146682,0.0848093680249773,0.0848093680249773,"cogn_ep_lv"
"21","ATAD3A","Exc RELN CHD7",0.0242036211095083,4.21816516170858,0.790068045239662,0.374685884641244,0.709792371915461,0.709792371915461,"cogn_ep_lv"
"22","TMEM240","Exc RELN CHD7",0.0487220104341946,3.00775708557572,0.918509146972617,0.338523791060675,0.67778060306225,0.67778060306225,"cogn_ep_lv"
"23","SSU72","Exc RELN CHD7",-0.00638284381560962,5.86527436261733,0.141021005098193,0.707494037820399,0.914969412180159,0.914969412180159,"cogn_ep_lv"
"24","FNDC10","Exc RELN CHD7",0.0556798382658021,3.89392059623097,3.03264499711783,0.0824775284112427,0.315946568265349,0.315946568265349,"cogn_ep_lv"
"25","AL691432.2","Exc RELN CHD7",0.045602152820068,3.55695060466686,1.5123659141617,0.219598827272498,0.543364036374175,0.543364036374175,"cogn_ep_lv"
"26","MIB2","Exc RELN CHD7",0.00267551719144603,5.63111571864027,0.0189912681980163,0.89047022948036,0.97351753702316,0.97351753702316,"cogn_ep_lv"
"27","CDK11B","Exc RELN CHD7",-0.00906218406484204,5.17695800802401,0.15815409088254,0.691102509309823,0.906574382119671,0.906574382119671,"cogn_ep_lv"
"28","SLC35E2B","Exc RELN CHD7",0.0356402652321396,5.07093269027649,2.58798907268179,0.108572444794895,0.374965081025848,0.374965081025848,"cogn_ep_lv"
"29","CDK11A","Exc RELN CHD7",-0.0240146231474632,4.40541984519448,0.51513573351082,0.473399566315292,0.783780607723491,0.783780607723491,"cogn_ep_lv"
"30","SLC35E2A","Exc RELN CHD7",0.0250741351851907,4.96740038217554,1.08981984829494,0.297226730430409,0.636207924106754,0.636207924106754,"cogn_ep_lv"
"31","NADK","Exc RELN CHD7",0.0163332244161016,4.25764086062652,0.35634519264868,0.550926389289806,0.838659681555001,0.838659681555001,"cogn_ep_lv"
"32","GNB1","Exc RELN CHD7",-0.0163177118066549,7.81756019134964,2.36514638836229,0.124969666938606,0.403528515401651,0.403528515401651,"cogn_ep_lv"
"33","CFAP74","Exc RELN CHD7",0.0314739197179503,4.8891342988622,1.90189087917665,0.313153915541139,0.653178769433158,0.653178769433158,"cogn_ep_lv"
"34","GABRD","Exc RELN CHD7",0.00883999720221861,6.38491115187868,0.228133363850274,0.633207498410324,0.880446143672001,0.880446143672001,"cogn_ep_lv"
"35","PRKCZ","Exc RELN CHD7",-0.0146435666166772,7.09123223244061,1.16470851078832,0.281229291275754,0.618541001043346,0.618541001043346,"cogn_ep_lv"
"36","FAAP20","Exc RELN CHD7",-0.0770228629975855,3.90759914852373,5.32654611980387,0.0215816074262933,0.140119047360667,0.140119047360667,"cogn_ep_lv"
"37","SKI","Exc RELN CHD7",-0.0379765858411933,6.37661535283896,5.72455394968477,0.0172524038009431,0.12134590034529,0.12134590034529,"cogn_ep_lv"
"38","MORN1","Exc RELN CHD7",-0.00788850047887072,5.43443196344534,0.137494424874729,0.711007509184429,0.916285104755133,0.916285104755133,"cogn_ep_lv"
"39","RER1","Exc RELN CHD7",-0.00266753409415655,5.03594326766323,0.0156728516287302,0.900443523617561,0.977440585638622,0.977440585638622,"cogn_ep_lv"
"40","PLCH2","Exc RELN CHD7",-0.0795994481884827,4.69250335598943,6.4758946501475,0.0113605684930301,0.0932318362351709,0.0932318362351709,"cogn_ep_lv"
"41","PANK4","Exc RELN CHD7",-0.0187804145264085,3.74910567392629,0.259737484584587,0.61061957566789,0.870036970741148,0.870036970741148,"cogn_ep_lv"
