"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L5_6 IT Car3",-0.0195461819791024,3.41588812868329,0.522749907302813,0.470133014436435,0.69079177555539,0.69079177555539,"cogn_global_lv"
"2","AL669831.5","Exc L5_6 IT Car3",0.0193623580070851,6.0998828835656,2.10984309292985,0.14721151276948,0.347617699977038,0.347617699977038,"cogn_global_lv"
"3","NOC2L","Exc L5_6 IT Car3",0.000703508726537102,4.89704836398111,0.00251392372405552,0.960038951268084,0.98988185436735,0.98988185436735,"cogn_global_lv"
"4","KLHL17","Exc L5_6 IT Car3",-0.0911779262987884,3.09841320144613,10.266520025417,0.00147363243975359,0.0146826845668367,0.0146826845668367,"cogn_global_lv"
"5","HES4","Exc L5_6 IT Car3",0.0765100737291718,5.21514616717877,13.3191304495064,0.000300934260631271,0.00453951188809218,0.00453951188809218,"cogn_global_lv"
"6","ISG15","Exc L5_6 IT Car3",0.0266643364074941,2.87109611696578,0.340108213851226,0.560126116445377,0.760983845700332,0.760983845700332,"cogn_global_lv"
"7","AGRN","Exc L5_6 IT Car3",-0.00212191835198695,5.51521415231105,0.0160950840854441,0.899115842814288,0.967292579222741,0.967292579222741,"cogn_global_lv"
"8","C1orf159","Exc L5_6 IT Car3",0.00770433370395386,5.4756065298652,0.387316921445313,0.534100845569707,0.74075432796425,0.74075432796425,"cogn_global_lv"
"9","SDF4","Exc L5_6 IT Car3",0.0135632205018197,5.09492483977385,0.800235161332987,0.371611261293645,0.602867191678429,0.602867191678429,"cogn_global_lv"
"10","B3GALT6","Exc L5_6 IT Car3",0.00194600360064883,3.23973124994553,0.00440852937286412,0.947098224057179,0.984911498458302,0.984911498458302,"cogn_global_lv"
"11","UBE2J2","Exc L5_6 IT Car3",0.00745301008739816,4.8032232766998,0.290095648054612,0.590486833988845,0.783872134162716,0.783872134162716,"cogn_global_lv"
"12","LINC01786","Exc L5_6 IT Car3",0.0353873344313942,2.54019478657979,1.08214699467964,0.298904804483266,0.533014384791327,0.533014384791327,"cogn_global_lv"
