"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh",0.0155251930320638,2.60297423654202,0.733382008208337,0.392353793077281,0.552633778837792,0.552633778837792,"cogn_global_lv"
"2","AL669831.5","Inh",-0.0244335913646143,5.28194387906383,5.516544184043,0.0193728127711253,0.057936431850531,0.057936431850531,"cogn_global_lv"
"3","LINC00115","Inh",-0.00936107728567611,0.555080317953933,0.0887194845825869,0.765981731360577,0.863408467175854,0.863408467175854,"cogn_global_lv"
"4","AL645608.7","Inh",0.0795408548216414,-0.707130547759,2.57838782905149,0.109201022758929,0.220002223321591,0.220002223321591,"cogn_global_lv"
"5","SAMD11","Inh",-0.023599961113204,-1.00231109452877,0.217916367481844,0.640912048567877,0.769389809455908,0.769389809455908,"cogn_global_lv"
"6","NOC2L","Inh",0.0172399630042512,4.48799725055641,4.98836997821567,0.0261266808783813,0.0732098022786243,0.0732098022786243,"cogn_global_lv"
"7","KLHL17","Inh",-0.0537046263109404,2.60053096519349,11.9524102206837,0.000610457614811241,0.00352974294919187,0.00352974294919187,"cogn_global_lv"
"8","AL645608.8","Inh",0.117415836778932,0.318820340389437,10.5664738108971,0.00125920444658743,0.00631932310102358,0.00631932310102358,"cogn_global_lv"
"9","HES4","Inh",0.1971759961335,4.39610306690343,128.070508251982,1.22712446646356e-25,1.86881616823428e-22,1.86881616823428e-22,"cogn_global_lv"
"10","ISG15","Inh",0.0931030784408875,2.56387267738101,11.4520616252166,0.000792059683547594,0.00436680523945288,0.00436680523945288,"cogn_global_lv"
"11","AGRN","Inh",0.0345935946860912,2.95359799807134,3.71037669145956,0.0548553323060226,0.129860799831955,0.129860799831955,"cogn_global_lv"
"12","C1orf159","Inh",0.0194301814931181,5.332837427463,4.78236086557526,0.029390050765737,0.0804346454326875,0.0804346454326875,"cogn_global_lv"
