"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L3-4 RORB CUX2",-0.00407503873221837,3.01881547937922,0.0507382940110645,0.821905936105098,0.941126226855079,0.941126226855079,"cogn_ps_lv"
"2","AL669831.5","Exc L3-4 RORB CUX2",-0.0301020097230351,5.8432422506216,8.33068208268757,0.00412312444694289,0.0367497432778582,0.0367497432778582,"cogn_ps_lv"
"3","LINC00115","Exc L3-4 RORB CUX2",0.0544692924341259,0.53544015906997,2.61417203932007,0.106751636902425,0.306720274759292,0.306720274759292,"cogn_ps_lv"
"4","NOC2L","Exc L3-4 RORB CUX2",-0.00316447583202464,4.66852139301841,0.141635653058426,0.706872660538407,0.884032648026233,0.884032648026233,"cogn_ps_lv"
"5","KLHL17","Exc L3-4 RORB CUX2",-0.0269393380568368,2.95164974217685,4.19791995969886,0.041167449369855,0.167853522689137,0.167853522689137,"cogn_ps_lv"
"6","AL645608.8","Exc L3-4 RORB CUX2",0.127735692660485,-0.299614616501805,6.52866927079482,0.0110079644700312,0.0710167799043314,0.0710167799043314,"cogn_ps_lv"
"7","HES4","Exc L3-4 RORB CUX2",0.172402579249114,4.16307226928994,40.9590895565585,4.63249418607517e-10,2.63910620172821e-07,2.63910620172821e-07,"cogn_ps_lv"
"8","ISG15","Exc L3-4 RORB CUX2",0.0930342027445506,2.28051225562315,8.17661748044059,0.00448003098087117,0.0389326082146978,0.0389326082146978,"cogn_ps_lv"
"9","AL645608.2","Exc L3-4 RORB CUX2",0.0488182470218749,-0.67046017383479,1.64750889604358,0.200088997167416,0.441250026118981,0.441250026118981,"cogn_ps_lv"
"10","AGRN","Exc L3-4 RORB CUX2",-0.00570224593007284,5.46551656511236,0.212781777404091,0.644862551777035,0.845157663824952,0.845157663824952,"cogn_ps_lv"
"11","C1orf159","Exc L3-4 RORB CUX2",0.00607373664723473,5.54891208895232,0.684853296620218,0.408445552262655,0.66303702955159,0.66303702955159,"cogn_ps_lv"
"12","TNFRSF18","Exc L3-4 RORB CUX2",0.0730537021756299,1.13520432407532,4.54520357335882,0.0336589518624673,0.147125201139672,0.147125201139672,"cogn_ps_lv"
"13","TNFRSF4","Exc L3-4 RORB CUX2",-0.00897387092253941,-0.0780979861971524,0.0412423325450413,0.839180756473242,0.94929719440208,0.94929719440208,"cogn_ps_lv"
"14","SDF4","Exc L3-4 RORB CUX2",0.0147954370868266,4.96649610439807,2.04823335001167,0.153213744308737,0.379204842225587,0.379204842225587,"cogn_ps_lv"
"15","B3GALT6","Exc L3-4 RORB CUX2",-0.0218408979828152,2.55006882523129,2.51401001068738,0.113679315862134,0.318416974735934,0.318416974735934,"cogn_ps_lv"
"16","C1QTNF12","Exc L3-4 RORB CUX2",0.0369770966846945,-0.290238218681522,0.982337537758604,0.322259934630062,0.579618734236094,0.579618734236094,"cogn_ps_lv"
"17","UBE2J2","Exc L3-4 RORB CUX2",-0.00427038443622208,4.77892897663595,0.476610894411327,0.490387496248851,0.731339465947264,0.731339465947264,"cogn_ps_lv"
"18","LINC01786","Exc L3-4 RORB CUX2",0.0311125443301064,1.98325585469213,3.33085207243897,0.0687850886278314,0.232191707302341,0.232191707302341,"cogn_ps_lv"
"19","SCNN1D","Exc L3-4 RORB CUX2",0.00588388516530776,3.01446015667484,0.143716358499486,0.704828093673149,0.882869304719647,0.882869304719647,"cogn_ps_lv"
"20","ACAP3","Exc L3-4 RORB CUX2",-0.0295754698662353,6.53976310506615,14.3970608121527,0.000172472359387243,0.00380630892908659,0.00380630892908659,"cogn_ps_lv"
"21","PUSL1","Exc L3-4 RORB CUX2",-0.0102422914767408,1.78972897661576,0.374678910793954,0.540834904229785,0.770369092008591,0.770369092008591,"cogn_ps_lv"
"22","INTS11","Exc L3-4 RORB CUX2",-0.0220078737198481,5.31771649027849,11.1359729639216,0.000931169653934595,0.013326837705893,0.013326837705893,"cogn_ps_lv"
"23","CPTP","Exc L3-4 RORB CUX2",-0.0310255670791187,2.95705142422476,7.21703849512501,0.00754191194776708,0.0553208412506277,0.0553208412506277,"cogn_ps_lv"
"24","TAS1R3","Exc L3-4 RORB CUX2",-0.0376922826442623,-1.02072604892374,0.743025633523613,0.389242928226264,0.644308572638616,0.644308572638616,"cogn_ps_lv"
"25","DVL1","Exc L3-4 RORB CUX2",-0.015001604392449,4.32103719389017,4.56941259865803,0.0331923187005858,0.145790424157904,0.145790424157904,"cogn_ps_lv"
"26","AURKAIP1","Exc L3-4 RORB CUX2",0.049634031911144,4.00059963533454,19.6173785316576,1.24219295915904e-05,0.000562630690478663,0.000562630690478663,"cogn_ps_lv"
"27","CCNL2","Exc L3-4 RORB CUX2",0.00636169158164795,5.887385282631,1.06149492892736,0.303536919521129,0.561591220790152,0.561591220790152,"cogn_ps_lv"
"28","MRPL20","Exc L3-4 RORB CUX2",-0.00145054181140693,4.50209304706083,0.0267767733594468,0.870105565924724,0.962149946166505,0.962149946166505,"cogn_ps_lv"
"29","AL391244.3","Exc L3-4 RORB CUX2",0.00817075655993119,0.887995353590021,0.163064110934288,0.686580611692262,0.870492196166951,0.870492196166951,"cogn_ps_lv"
"30","ANKRD65","Exc L3-4 RORB CUX2",0.00743681622065154,2.5488862263211,0.0862018782368338,0.769224412420417,0.915773116290145,0.915773116290145,"cogn_ps_lv"
"31","ATAD3C","Exc L3-4 RORB CUX2",-0.0502793746813384,1.46081845293859,3.85817444127701,0.050240584077476,0.190459175387238,0.190459175387238,"cogn_ps_lv"
"32","ATAD3B","Exc L3-4 RORB CUX2",0.0056025656110094,4.62118574808836,0.277099393111975,0.598919160428931,0.813577244584956,0.813577244584956,"cogn_ps_lv"
"33","ATAD3A","Exc L3-4 RORB CUX2",0.00466768725976274,3.95174196492132,0.273052233593238,0.601599439098358,0.815156111024592,0.815156111024592,"cogn_ps_lv"
"34","TMEM240","Exc L3-4 RORB CUX2",0.00297733877229687,2.19141902056979,0.0277636983900279,0.867755165480258,0.960979656272946,0.960979656272946,"cogn_ps_lv"
"35","SSU72","Exc L3-4 RORB CUX2",-0.00660389493667288,5.36860387653224,1.13396424438718,0.783741561238253,0.921919623528648,0.921919623528648,"cogn_ps_lv"
"36","AL645728.1","Exc L3-4 RORB CUX2",0.034781341446625,1.86780655976052,4.01330029000562,0.0458600919806887,0.180180962917997,0.180180962917997,"cogn_ps_lv"
