"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6 CT",0.0433193698869836,3.7509472114751,2.84758630935329,0.0924143747324344,0.353077849959694,0.353077849959694,"cogn_ps_lv"
"2","AL669831.5","Exc L6 CT",-0.00728381291395926,5.64395386036342,0.295520997554213,0.587054911592418,0.842866019761386,0.842866019761386,"cogn_ps_lv"
"3","NOC2L","Exc L6 CT",-0.00814447233017209,4.686076456519,0.255937678907945,0.613247714491806,0.857957741247035,0.857957741247035,"cogn_ps_lv"
"4","KLHL17","Exc L6 CT",-0.0185893965188492,3.03442859758352,0.378283330709217,0.591063070219844,0.84493078555273,0.84493078555273,"cogn_ps_lv"
"5","HES4","Exc L6 CT",0.211055917212559,2.14606286599559,14.5276507976867,0.000163517413003714,0.00517361907165159,0.00517361907165159,"cogn_ps_lv"
"6","AGRN","Exc L6 CT",0.123894637505813,3.82352467683402,23.8596703738488,1.58818906824658e-06,0.000150418222542617,0.000150418222542617,"cogn_ps_lv"
"7","C1orf159","Exc L6 CT",0.0307414612387084,5.64605231230671,6.79396511955721,0.00954305663062093,0.0927932774546232,0.0927932774546232,"cogn_ps_lv"
"8","SDF4","Exc L6 CT",0.0326639457160126,5.26605994641178,4.4757731277441,0.0350942924849524,0.20654841971111,0.20654841971111,"cogn_ps_lv"
"9","B3GALT6","Exc L6 CT",-0.0126953197001477,2.66261368134637,0.147013046516044,0.701642284157936,0.901915551517241,0.901915551517241,"cogn_ps_lv"
"10","UBE2J2","Exc L6 CT",0.00563941587777248,4.81041557362841,0.162631372733331,0.686994967276343,0.896262517215221,0.896262517215221,"cogn_ps_lv"
"11","LINC01786","Exc L6 CT",0.00700779290374891,2.53164985579022,0.0411454637739763,0.839376884345954,0.967224169482392,0.967224169482392,"cogn_ps_lv"
"12","SCNN1D","Exc L6 CT",0.0610288760111192,3.33361773892285,5.16713360939511,0.0236320543893394,0.16327552429398,0.16327552429398,"cogn_ps_lv"
"13","ACAP3","Exc L6 CT",0.0223383589924131,6.69381398198087,4.01740493547099,0.0458135557266123,0.242086503273961,0.242086503273961,"cogn_ps_lv"
