"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh L5-6 SST TH",-0.0954429683106988,6.02970366291326,8.11289699473838,0.00488954757112321,0.277676979625615,0.277676979625615,"cogn_ps_lv"
"2","HES4","Inh L5-6 SST TH",0.0862962310183184,5.96719402729354,5.81753461970873,0.0168383161091572,0.399563618209059,0.399563618209059,"cogn_ps_lv"
"3","C1orf159","Inh L5-6 SST TH",0.0807406230181432,6.02148194559524,7.26335174047861,0.0127749201594134,0.377484575618115,0.377484575618115,"cogn_ps_lv"
"4","SDF4","Inh L5-6 SST TH",0.0315886966104614,5.95726642847822,0.84385740204073,0.359484691688967,0.875408263379117,0.875408263379117,"cogn_ps_lv"
"5","ACAP3","Inh L5-6 SST TH",0.0254845448086823,6.4658949348891,1.04717362708431,0.351324736771927,0.871747866329708,0.871747866329708,"cogn_ps_lv"
"6","INTS11","Inh L5-6 SST TH",0.000381096459706598,5.8366339841051,0.000143549380706341,0.996511831484539,1,1,"cogn_ps_lv"
"7","CCNL2","Inh L5-6 SST TH",0.00696046197549699,6.19703084312943,0.0697693207701272,0.814089256998773,0.99410420169732,0.99410420169732,"cogn_ps_lv"
"8","SSU72","Inh L5-6 SST TH",-0.0296336094736398,5.85151443184329,0.834167093803516,0.381229569118276,0.886172509442778,0.886172509442778,"cogn_ps_lv"
"9","MIB2","Inh L5-6 SST TH",0.0155099592605378,5.67555183842001,0.253326293469728,0.668154120567435,0.96395241010745,0.96395241010745,"cogn_ps_lv"
"10","GNB1","Inh L5-6 SST TH",0.00702859336111521,7.58785608471069,0.212854545925494,0.645077849910451,0.960298684973282,0.960298684973282,"cogn_ps_lv"
"11","PRKCZ","Inh L5-6 SST TH",-0.00411455731495283,7.04393743062202,0.0502109099150948,0.822942440239726,0.995035750369493,0.995035750369493,"cogn_ps_lv"
"12","FAAP20","Inh L5-6 SST TH",0.0715343648836313,5.42767148998687,2.68416771344904,0.103039399190899,0.705106225780079,0.705106225780079,"cogn_ps_lv"
"13","SKI","Inh L5-6 SST TH",0.0479787214991051,6.39503570742338,2.92336504286608,0.0889720009908216,0.680936058334773,0.680936058334773,"cogn_ps_lv"
"14","PLCH2","Inh L5-6 SST TH",0.0475920689238096,5.72616504291604,1.41988683893649,0.2349391217201,0.820554031597635,0.820554031597635,"cogn_ps_lv"
"15","CEP104","Inh L5-6 SST TH",-0.015532489968874,6.07868437573735,0.316183961222146,0.614129588657846,0.955517199785594,0.955517199785594,"cogn_ps_lv"
"16","AJAP1","Inh L5-6 SST TH",0.0028747284516231,5.2071000337232,0.00292862313904943,0.95690018176721,1,1,"cogn_ps_lv"
"17","NPHP4","Inh L5-6 SST TH",-0.0575636808973123,6.21038078079095,4.73529486020011,0.0540031640372146,0.587491852571662,0.587491852571662,"cogn_ps_lv"
"18","KCNAB2","Inh L5-6 SST TH",0.0128045257538123,6.93782796276761,0.34478398612287,0.593712618157792,0.953733781363795,0.953733781363795,"cogn_ps_lv"
"19","CHD5","Inh L5-6 SST TH",-0.0124234015569993,7.54621214053106,0.50108399683407,0.507663675707883,0.936843783535135,0.936843783535135,"cogn_ps_lv"
"20","RPL22","Inh L5-6 SST TH",0.0197505223209073,5.69956031219042,0.334838646437711,0.59175153399876,0.953733781363795,0.953733781363795,"cogn_ps_lv"
"21","ACOT7","Inh L5-6 SST TH",0.0128589451663719,6.60358115222222,0.299480102222599,0.653443129631441,0.963529428037199,0.963529428037199,"cogn_ps_lv"
"22","NOL9","Inh L5-6 SST TH",0.00895782915065762,5.76266871144463,0.0792060851508111,0.786674883380522,0.991856534588801,0.991856534588801,"cogn_ps_lv"
"23","DNAJC11","Inh L5-6 SST TH",-0.0215035554931153,6.41789178842839,0.611857951904212,0.435083027900081,0.91324237598495,0.91324237598495,"cogn_ps_lv"
"24","CAMTA1","Inh L5-6 SST TH",-0.0210883341173825,9.44319465098594,2.91129871692685,0.089628835233612,0.681197801380451,0.681197801380451,"cogn_ps_lv"
"25","PER3","Inh L5-6 SST TH",-0.0218251628921754,6.76374154753536,0.708318090784983,0.401082681665319,0.899299208145543,0.899299208145543,"cogn_ps_lv"
"26","PARK7","Inh L5-6 SST TH",-0.0403674717826442,5.46538084830792,1.02450179273572,0.312767441887736,0.860028118492204,0.860028118492204,"cogn_ps_lv"
"27","RERE","Inh L5-6 SST TH",-0.022274886000241,8.91459662778795,3.24703099501585,0.073171032937765,0.639852863351044,0.639852863351044,"cogn_ps_lv"
"28","ENO1","Inh L5-6 SST TH",0.0124363760887672,6.12790775951844,0.201619624475293,0.683460734157436,0.969416083937176,0.969416083937176,"cogn_ps_lv"
"29","PIK3CD","Inh L5-6 SST TH",0.0134920380695769,6.39251629225794,0.219807126199669,0.639735537820438,0.959670248391351,0.959670248391351,"cogn_ps_lv"
"30","CLSTN1","Inh L5-6 SST TH",-0.000747173987363498,8.12383219375603,0.00287314953418233,0.981103343221419,1,1,"cogn_ps_lv"
"31","CTNNBIP1","Inh L5-6 SST TH",-0.0487062973268562,5.75168141259313,2.36125426648272,0.166447240965156,0.775697386568478,0.775697386568478,"cogn_ps_lv"
"32","UBE4B","Inh L5-6 SST TH",-0.0228106983523513,7.6753977256136,1.65605158305543,0.199735330041572,0.798614766643653,0.798614766643653,"cogn_ps_lv"
"33","KIF1B","Inh L5-6 SST TH",-0.0216004533830092,8.87464172160625,3.49111190678174,0.0632704092302571,0.603494748448227,0.603494748448227,"cogn_ps_lv"
"34","DFFA","Inh L5-6 SST TH",0.0308134827753225,5.51419843159129,0.545032122925332,0.461284475092181,0.923052236932614,0.923052236932614,"cogn_ps_lv"
"35","PEX14","Inh L5-6 SST TH",-0.012265827540667,6.60733976784455,0.256038624026223,0.64245170400669,0.959670248391351,0.959670248391351,"cogn_ps_lv"
"36","EXOSC10","Inh L5-6 SST TH",0.00452696295193378,5.8278707084257,0.0209809376010799,0.894126978989633,1,1,"cogn_ps_lv"
"37","MTOR","Inh L5-6 SST TH",0.00630953605988836,6.53082200345544,0.0705352261990964,0.804279260604258,0.993389183383097,0.993389183383097,"cogn_ps_lv"
"38","FBXO2","Inh L5-6 SST TH",-0.0109616179618454,5.68189855743585,0.104303295792662,0.764966245954526,0.988301061661729,0.988301061661729,"cogn_ps_lv"
"39","FBXO44","Inh L5-6 SST TH",0.0143165665631643,6.1855026438548,0.233583046920394,0.631209959282126,0.956830485630317,0.956830485630317,"cogn_ps_lv"
"40","MTHFR","Inh L5-6 SST TH",0.00705396519351413,5.81043176725836,0.0441840358277153,0.847477111148647,0.99705695390178,0.99705695390178,"cogn_ps_lv"
"41","MFN2","Inh L5-6 SST TH",0.000952596906244118,5.81815509276952,0.000909573556920626,0.975972449592463,1,1,"cogn_ps_lv"
"42","VPS13D","Inh L5-6 SST TH",-0.00204006727534712,7.7405065031899,0.0119722780696911,0.91298890261991,1,1,"cogn_ps_lv"
"43","PRDM2","Inh L5-6 SST TH",6.03116520332876e-05,6.9758103824013,9.43754429961926e-06,0.997552145580854,1,1,"cogn_ps_lv"
"44","KAZN","Inh L5-6 SST TH",-0.0262829790198851,11.244277620828,2.89460580710654,0.0905462757653424,0.681199009529968,0.681199009529968,"cogn_ps_lv"
"45","EFHD2","Inh L5-6 SST TH",0.0918086725649093,6.07239598171198,9.24178279193395,0.00340399102192557,0.230939548649237,0.230939548649237,"cogn_ps_lv"
"46","DNAJC16","Inh L5-6 SST TH",-0.00807498691277943,5.98465534533175,0.0740450896900687,0.797841965148363,0.993389183383097,0.993389183383097,"cogn_ps_lv"
"47","DDI2","Inh L5-6 SST TH",0.0147019097753482,6.15588256608646,0.27310833943688,0.626989009865757,0.956830485630317,0.956830485630317,"cogn_ps_lv"
"48","PLEKHM2","Inh L5-6 SST TH",-0.056601453815415,6.36555974163001,5.7949639534527,0.0416745582153785,0.541594911218954,0.541594911218954,"cogn_ps_lv"
"49","SPEN","Inh L5-6 SST TH",0.0243912868087008,6.6226944658255,1.16319691919896,0.295520728584246,0.853925725846244,0.853925725846244,"cogn_ps_lv"
"50","FAM131C","Inh L5-6 SST TH",-0.00568772694612265,5.48333920197302,0.0138929779948534,0.906298962750478,1,1,"cogn_ps_lv"
"51","FBXO42","Inh L5-6 SST TH",0.0131181041837146,6.836941313699,0.450214757106728,0.652174033085854,0.9626770468377,0.9626770468377,"cogn_ps_lv"
"52","NBPF1","Inh L5-6 SST TH",0.015766537533356,6.43651212931433,0.259814305394727,0.610851563841775,0.955212651448179,0.955212651448179,"cogn_ps_lv"
"53","CROCC","Inh L5-6 SST TH",0.00552244815973941,6.44173809782896,0.042490823232403,0.844183879488153,0.99545110036546,0.99545110036546,"cogn_ps_lv"
"54","ATP13A2","Inh L5-6 SST TH",0.0240327680331684,7.15345727228068,1.43770823448222,0.259104925046121,0.842554227514557,0.842554227514557,"cogn_ps_lv"
"55","SDHB","Inh L5-6 SST TH",-0.0650691091121982,5.88581990729324,3.232894729354,0.0737935480327327,0.642145094424752,0.642145094424752,"cogn_ps_lv"
"56","ARHGEF10L","Inh L5-6 SST TH",0.0202801513066905,6.28973821986672,0.531955630611224,0.492481294007791,0.93629251669031,0.93629251669031,"cogn_ps_lv"
"57","IGSF21","Inh L5-6 SST TH",-0.0438445496607097,6.01253233340406,1.49915250448567,0.222349178111535,0.809693032519605,0.809693032519605,"cogn_ps_lv"
"58","UBR4","Inh L5-6 SST TH",0.00143075826472585,7.22988146911763,0.00590922928401705,0.938808324677141,1,1,"cogn_ps_lv"
"59","CAPZB","Inh L5-6 SST TH",-0.0224955393906894,7.43913472333705,1.42233042027714,0.234538282044188,0.819673640515667,0.819673640515667,"cogn_ps_lv"
"60","NBL1","Inh L5-6 SST TH",0.0600398438991084,5.65543778989936,2.6900700944607,0.112625361367398,0.712567485027282,0.712567485027282,"cogn_ps_lv"
"61","OTUD3","Inh L5-6 SST TH",-0.0413050175480313,5.8796589952797,1.3752944659566,0.242402912560623,0.829123709033726,0.829123709033726,"cogn_ps_lv"
"62","CAMK2N1","Inh L5-6 SST TH",0.029823032805259,6.99233852519858,1.53068080350982,0.217568818288079,0.808007731164643,0.808007731164643,"cogn_ps_lv"
"63","PINK1","Inh L5-6 SST TH",0.0543031062851272,5.79961775313129,2.78909137619855,0.133019454145052,0.74521552724759,0.74521552724759,"cogn_ps_lv"
"64","HP1BP3","Inh L5-6 SST TH",0.0305694182351073,7.21631027191013,3.13103814255521,0.1311635142611,0.74521552724759,0.74521552724759,"cogn_ps_lv"
"65","EIF4G3","Inh L5-6 SST TH",-0.00578187372550832,9.15518104273916,0.24000459484409,0.624779695843796,0.956830485630317,0.956830485630317,"cogn_ps_lv"
"66","ECE1","Inh L5-6 SST TH",0.112900742542387,4.82474942818022,2.63326369281036,0.106338838377086,0.705106225780079,0.705106225780079,"cogn_ps_lv"
"67","RAP1GAP","Inh L5-6 SST TH",-0.00332533832926798,6.71607321731851,0.022440499016164,0.888425192546176,1,1,"cogn_ps_lv"
"68","USP48","Inh L5-6 SST TH",-0.0271166598899256,7.07572301667363,2.0698851243988,0.208411982600302,0.806362975413378,0.806362975413378,"cogn_ps_lv"
"69","CDC42","Inh L5-6 SST TH",0.0183275496658862,6.66529384023421,0.598666590538784,0.440068791571413,0.916138382433088,0.916138382433088,"cogn_ps_lv"
"70","EPHB2","Inh L5-6 SST TH",0.0850634486133687,6.4416019012535,10.4337733662469,0.00200673674526879,0.197672954542645,0.197672954542645,"cogn_ps_lv"
"71","KDM1A","Inh L5-6 SST TH",0.00950685971207995,6.66446705587445,0.170733134400555,0.745245724403681,0.983314945008659,0.983314945008659,"cogn_ps_lv"
"72","LUZP1","Inh L5-6 SST TH",-0.0157440496603675,7.00793577086669,0.438679525038725,0.508579693871201,0.937342979783783,0.937342979783783,"cogn_ps_lv"
"73","HNRNPR","Inh L5-6 SST TH",0.00368527714370256,6.1598198365165,0.0158793710549519,0.904182767094173,1,1,"cogn_ps_lv"
"74","RPL11","Inh L5-6 SST TH",0.0026988151888004,5.45107662832955,0.004159702145319,0.948644700379313,1,1,"cogn_ps_lv"
"75","PITHD1","Inh L5-6 SST TH",0.0527841510680853,6.13421601888065,3.56560572953734,0.084074911292261,0.676918661212021,0.676918661212021,"cogn_ps_lv"
"76","SRSF10","Inh L5-6 SST TH",0.00220816119156257,6.38467709442097,0.00675793756387718,0.936875214308705,1,1,"cogn_ps_lv"
"77","NIPAL3","Inh L5-6 SST TH",0.0170596851859283,6.10091595004099,0.336912689745944,0.586488859659509,0.951387552243506,0.951387552243506,"cogn_ps_lv"
"78","RCAN3","Inh L5-6 SST TH",-0.0139163847387194,5.23311711034497,0.0539135199551455,0.81664331486372,0.99410420169732,0.99410420169732,"cogn_ps_lv"
"79","SRRM1","Inh L5-6 SST TH",0.00263677619395364,6.41588969689642,0.0126514134568743,0.916685598616316,1,1,"cogn_ps_lv"
"80","RSRP1","Inh L5-6 SST TH",0.0144527527650279,7.49692168443807,0.400500695511065,0.527607478735697,0.941428096143821,0.941428096143821,"cogn_ps_lv"
"81","TMEM50A","Inh L5-6 SST TH",0.0254391629527112,5.67626624725958,0.56314762842678,0.498446322114129,0.93639693759091,0.93639693759091,"cogn_ps_lv"
"82","MACO1","Inh L5-6 SST TH",-0.0172654787915779,7.14926566744078,0.737918590706525,0.506626699197397,0.936843783535135,0.936843783535135,"cogn_ps_lv"
"83","MAN1C1","Inh L5-6 SST TH",0.0106929304371631,6.61195547301286,0.184853213016723,0.667732541991701,0.96395241010745,0.96395241010745,"cogn_ps_lv"
"84","STMN1","Inh L5-6 SST TH",0.0215601395012124,6.92711211574053,1.14057926080553,0.324100816574381,0.864228816632402,0.864228816632402,"cogn_ps_lv"
"85","DHDDS","Inh L5-6 SST TH",0.0450275180848146,5.82612982202743,1.57853859435471,0.210545829947879,0.808007731164643,0.808007731164643,"cogn_ps_lv"
"86","ARID1A","Inh L5-6 SST TH",0.000190931851781147,6.81179528365216,9.69755218853913e-05,0.992153413324381,1,1,"cogn_ps_lv"
"87","ZDHHC18","Inh L5-6 SST TH",-0.0172183298525578,5.82287088886092,0.242207917621519,0.62933724464365,0.956830485630317,0.956830485630317,"cogn_ps_lv"
"88","NUDC","Inh L5-6 SST TH",0.0279869981836436,5.53732794875626,0.464844436300324,0.496216028364512,0.93639693759091,0.93639693759091,"cogn_ps_lv"
"89","WDTC1","Inh L5-6 SST TH",0.0111136992271733,5.70548433699083,0.0915522584886973,0.764349299914805,0.988301061661729,0.988301061661729,"cogn_ps_lv"
"90","TMEM222","Inh L5-6 SST TH",-0.0400638999578382,5.61040534391659,1.45500274730618,0.287574591770015,0.852153502381576,0.852153502381576,"cogn_ps_lv"
"91","AHDC1","Inh L5-6 SST TH",-0.0281074479971533,5.8804451014775,0.845859298538806,0.408152735198465,0.90249355616967,0.90249355616967,"cogn_ps_lv"
"92","IFI6","Inh L5-6 SST TH",-0.0398961979687072,5.32783266920741,0.431658627592312,0.511987717773401,0.937734668468841,0.937734668468841,"cogn_ps_lv"
"93","STX12","Inh L5-6 SST TH",-0.00812077091047687,7.39468906124883,0.215460773251866,0.661564138611682,0.963771895256763,0.963771895256763,"cogn_ps_lv"
"94","EYA3","Inh L5-6 SST TH",0.00192089023079038,6.5182357371329,0.00664887213407543,0.95504771189264,1,1,"cogn_ps_lv"
"95","ATP5IF1","Inh L5-6 SST TH",0.0123681240827282,6.23982413598303,0.216761389916272,0.665834075980217,0.963771895256763,0.963771895256763,"cogn_ps_lv"
"96","PHACTR4","Inh L5-6 SST TH",-0.00389764299604905,7.00790701617774,0.0305074951266331,0.872627574914089,0.999280620590464,0.999280620590464,"cogn_ps_lv"
"97","TRNAU1AP","Inh L5-6 SST TH",0.0173830209076002,6.35417915147288,0.401513737192838,0.529912399378068,0.942774464973,0.942774464973,"cogn_ps_lv"
"98","YTHDF2","Inh L5-6 SST TH",-0.024719718652275,5.62418378069721,0.662234510061744,0.51512931972763,0.937889887462123,0.937889887462123,"cogn_ps_lv"
"99","OPRD1","Inh L5-6 SST TH",0.0303538917005671,5.55024805542494,0.340454523329589,0.56027330218947,0.949082070452421,0.949082070452421,"cogn_ps_lv"
"100","SRSF4","Inh L5-6 SST TH",0.00686906370960134,6.77197644850425,0.101364066308031,0.77614135820243,0.989568823980488,0.989568823980488,"cogn_ps_lv"
"101","SDC3","Inh L5-6 SST TH",-0.0471633790899922,5.6880072857565,1.67644009410548,0.210029153051445,0.808007731164643,0.808007731164643,"cogn_ps_lv"
"102","PUM1","Inh L5-6 SST TH",-0.029119184572037,7.45646333660952,2.67614829006919,0.113232629151415,0.712866893852526,0.712866893852526,"cogn_ps_lv"
"103","ZCCHC17","Inh L5-6 SST TH",0.0372499129998183,6.3639819459632,2.33551456660199,0.177443727546431,0.787417824807764,0.787417824807764,"cogn_ps_lv"
"104","KHDRBS1","Inh L5-6 SST TH",-0.00186705864746506,6.78826261398746,0.00775203044141578,0.945416468711209,1,1,"cogn_ps_lv"
"105","KPNA6","Inh L5-6 SST TH",-0.049064355052205,6.76505949153715,5.54426541980427,0.0410553006374487,0.539383279527585,0.539383279527585,"cogn_ps_lv"
"106","BSDC1","Inh L5-6 SST TH",0.0191292545874717,6.66627533949003,0.684029260033769,0.460534817022976,0.923038378742202,0.923038378742202,"cogn_ps_lv"
"107","ZBTB8OS","Inh L5-6 SST TH",-0.0077911923095036,7.14236371376178,0.133820553307258,0.801878820314011,0.993389183383097,0.993389183383097,"cogn_ps_lv"
"108","RBBP4","Inh L5-6 SST TH",-0.0305034765066895,6.32042606387203,1.55204620633353,0.278894544839201,0.848722118468892,0.848722118468892,"cogn_ps_lv"
"109","YARS","Inh L5-6 SST TH",-0.00900906941521718,6.24262724443282,0.101511137472692,0.758204771643222,0.986183969945676,0.986183969945676,"cogn_ps_lv"
"110","S100PBP","Inh L5-6 SST TH",-0.0508246352983938,5.98497800988767,2.59200041613617,0.116181179631543,0.717470166671258,0.717470166671258,"cogn_ps_lv"
"111","PHC2","Inh L5-6 SST TH",0.00989554876053296,6.60045067699025,0.153194577254333,0.724647427217176,0.979146753525576,0.979146753525576,"cogn_ps_lv"
"112","CSMD2","Inh L5-6 SST TH",-0.0246042983049245,8.21836342474737,1.93208002836277,0.166191086488477,0.775697386568478,0.775697386568478,"cogn_ps_lv"
"113","SMIM12","Inh L5-6 SST TH",0.00734584141915622,5.830071265359,0.0484013345549552,0.827542787310788,0.99545110036546,0.99545110036546,"cogn_ps_lv"
"114","DLGAP3","Inh L5-6 SST TH",0.0600926243106524,6.66631223241158,5.77598506097589,0.0172283515962265,0.400789324347331,0.400789324347331,"cogn_ps_lv"
"115","SFPQ","Inh L5-6 SST TH",0.0153792055639676,7.32302816668872,0.593478377842536,0.466388363771066,0.923288505493453,0.923288505493453,"cogn_ps_lv"
"116","ZMYM4","Inh L5-6 SST TH",-0.0157917775969213,7.52037328035863,0.784094810726144,0.377034195877206,0.884225456155326,0.884225456155326,"cogn_ps_lv"
"117","KIAA0319L","Inh L5-6 SST TH",0.0211651947509068,7.33095226905861,1.25926474479622,0.324875700517901,0.864228816632402,0.864228816632402,"cogn_ps_lv"
"118","NCDN","Inh L5-6 SST TH",0.0402642031783558,6.71382194415318,2.56139945145358,0.111197466538482,0.710457816976479,0.710457816976479,"cogn_ps_lv"
"119","PSMB2","Inh L5-6 SST TH",0.0448239772125515,5.75027915462851,0.860442997410983,0.35481597562249,0.873779139967303,0.873779139967303,"cogn_ps_lv"
"120","C1orf216","Inh L5-6 SST TH",0.0247991969249648,5.5357238820956,0.420283702187738,0.550683565203607,0.945960260462538,0.945960260462538,"cogn_ps_lv"
"121","AGO4","Inh L5-6 SST TH",-0.0124594187970697,6.75339494210163,0.273208113459821,0.629829883000418,0.956830485630317,0.956830485630317,"cogn_ps_lv"
