"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Mic",-0.0230439312108328,4.32651935853614,0.834812107895701,0.361462058656234,0.745141162595438,0.745141162595438,"cogn_se_lv"
"2","AL669831.5","Mic",0.0133911866136432,5.76050649684594,0.617655638251782,0.432407864200456,0.792307750604414,0.792307750604414,"cogn_se_lv"
"3","NOC2L","Mic",-0.0182607323915745,5.12573998830047,1.50172776408155,0.221162032954254,0.615770449897443,0.615770449897443,"cogn_se_lv"
"4","KLHL17","Mic",0.00711838131144858,3.0733537833678,0.0445225139683976,0.832997183082793,0.992305437584231,0.992305437584231,"cogn_se_lv"
"5","ISG15","Mic",-0.0522848942293328,3.33652966948193,1.03819222937622,0.308888280523946,0.7037092456438,0.7037092456438,"cogn_se_lv"
"6","AGRN","Mic",-0.00611389375590925,3.64377872892241,0.0387083522019113,0.84413239010911,0.994285652225665,0.994285652225665,"cogn_se_lv"
"7","C1orf159","Mic",0.046653715871099,4.94918379746998,7.90141307820823,0.0051945369851845,0.105785455879082,0.105785455879082,"cogn_se_lv"
"8","TNFRSF4","Mic",0.0047114867220833,2.34045600848163,0.00384282797020193,0.95060283751318,0.999603164804232,0.999603164804232,"cogn_se_lv"
"9","SDF4","Mic",0.0221694925884074,5.11571033711623,2.05050670102106,0.152974674199554,0.52782279731307,0.52782279731307,"cogn_se_lv"
"10","B3GALT6","Mic",-0.0121445707098827,3.35234119585897,0.163244543512703,0.686413235698984,0.935886191938234,0.935886191938234,"cogn_se_lv"
"11","UBE2J2","Mic",0.020787042790562,5.83026214087523,2.89929244079313,0.0894333212939752,0.426662501971009,0.426662501971009,"cogn_se_lv"
"12","SCNN1D","Mic",0.0267341204529359,3.2344709480945,0.625534711260768,0.622785802767317,0.907645643093258,0.907645643093258,"cogn_se_lv"
"13","ACAP3","Mic",-0.0142329428098573,5.29714800999665,0.738703041534747,0.390616632088966,0.766992580809123,0.766992580809123,"cogn_se_lv"
"14","INTS11","Mic",0.0222202867877695,5.13866545592343,2.64277694294372,0.104847687981572,0.457719794722296,0.457719794722296,"cogn_se_lv"
"15","DVL1","Mic",-0.050373174990178,3.89170344738614,4.20566831026037,0.0409720626636041,0.300935952574736,0.300935952574736,"cogn_se_lv"
"16","AURKAIP1","Mic",-0.013226501361022,4.2258734414832,0.415912448960999,0.519371519458092,0.847236690507734,0.847236690507734,"cogn_se_lv"
"17","CCNL2","Mic",0.0134436227653621,6.35065519971077,1.46810434357752,0.226395290105896,0.622440687371608,0.622440687371608,"cogn_se_lv"
"18","MRPL20","Mic",0.00786059158948272,5.36187647281653,0.31520764950929,0.72929868623321,0.952293073893329,0.952293073893329,"cogn_se_lv"
"19","ANKRD65","Mic",-0.0512387633511202,2.71463345668242,1.10959114773535,0.292837825740336,0.691757668163837,0.691757668163837,"cogn_se_lv"
"20","ATAD3B","Mic",0.0265580341960677,4.89126830708081,2.37681738542754,0.123977602497569,0.485415946672067,0.485415946672067,"cogn_se_lv"
"21","ATAD3A","Mic",-0.00678187830129197,4.22269078298693,0.113445004471687,0.736440913222973,0.955248767227105,0.955248767227105,"cogn_se_lv"
"22","SSU72","Mic",-0.0142224453648801,5.54561764834688,1.1348958660291,0.287407498988299,0.687624762564806,0.687624762564806,"cogn_se_lv"
"23","FNDC10","Mic",0.0188527275329433,2.66665730925256,0.20088509194801,0.654261913922413,0.922502931331962,0.922502931331962,"cogn_se_lv"
"24","AL691432.2","Mic",-0.0089683592031009,2.86178242368671,0.0564915504077466,0.856808088380293,0.996489111859684,0.996489111859684,"cogn_se_lv"
"25","MIB2","Mic",-0.00829811556275585,4.77389610322576,0.214993860363026,0.643145658403746,0.916927115890868,0.916927115890868,"cogn_se_lv"
"26","CDK11B","Mic",0.0149948367703203,5.78067670885498,1.23616325042061,0.26691223501042,0.667668616555432,0.667668616555432,"cogn_se_lv"
"27","SLC35E2B","Mic",0.00777333129443897,4.83415758530821,0.178938722557724,0.672525325928988,0.929919568318181,0.929919568318181,"cogn_se_lv"
"28","CDK11A","Mic",-0.0143499173480016,5.45103272662758,0.604417855933291,0.437379396428935,0.796778812946839,0.796778812946839,"cogn_se_lv"
