"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L4-5 RORB IL1RAPL2",0.0121382815165935,3.07199433807346,0.307314910869283,0.579679132148529,0.75078340914042,0.75078340914042,"cogn_wo_lv"
"2","AL669831.5","Exc L4-5 RORB IL1RAPL2",0.00433852443058668,5.7637138284617,0.17831254877684,0.67308124987813,0.821855012605865,0.821855012605865,"cogn_wo_lv"
"3","LINC00115","Exc L4-5 RORB IL1RAPL2",0.00142135017772832,0.506589194362748,0.00102240712645513,0.974509748525501,0.99157615022454,0.99157615022454,"cogn_wo_lv"
"4","NOC2L","Exc L4-5 RORB IL1RAPL2",0.00274800844912299,4.80728526585599,0.102439633904077,0.749108345149924,0.870959942859318,0.870959942859318,"cogn_wo_lv"
"5","KLHL17","Exc L4-5 RORB IL1RAPL2",0.0115350748673822,2.86649688330438,0.445730700759424,0.504800074352495,0.688358184479466,0.688358184479466,"cogn_wo_lv"
"6","AL645608.8","Exc L4-5 RORB IL1RAPL2",0.349007814091185,-0.422576774141699,30.6487863893598,5.99538792017823e-08,2.21041387777085e-06,2.21041387777085e-06,"cogn_wo_lv"
"7","HES4","Exc L4-5 RORB IL1RAPL2",0.353265962053649,3.48425887943771,96.0825406465629,3.00725039603461e-20,2.64583357571118e-17,2.64583357571118e-17,"cogn_wo_lv"
"8","ISG15","Exc L4-5 RORB IL1RAPL2",0.120601945004033,1.36483803503474,8.47735529074096,0.00382152637910869,0.0203045469651463,0.0203045469651463,"cogn_wo_lv"
"9","AGRN","Exc L4-5 RORB IL1RAPL2",0.142686724536308,4.63683248875197,79.2391649118929,2.80914408833114e-17,1.35934482434344e-14,1.35934482434344e-14,"cogn_wo_lv"
"10","C1orf159","Exc L4-5 RORB IL1RAPL2",0.0452925302351896,5.37193163149856,31.5715773363276,3.87175683217331e-08,1.5078817956448e-06,1.5078817956448e-06,"cogn_wo_lv"
"11","TNFRSF18","Exc L4-5 RORB IL1RAPL2",0.11313964008882,0.466164895883952,7.74840877967833,0.0056616788355038,0.0274655277042636,0.0274655277042636,"cogn_wo_lv"
"12","TNFRSF4","Exc L4-5 RORB IL1RAPL2",-0.0268659383292565,1.52774202613118,0.669054091295935,0.413926359930373,0.608187658478787,0.608187658478787,"cogn_wo_lv"
"13","SDF4","Exc L4-5 RORB IL1RAPL2",0.0424686709890661,5.05348828679568,13.7100163228449,0.000246979938137312,0.00226781009610333,0.00226781009610333,"cogn_wo_lv"
"14","B3GALT6","Exc L4-5 RORB IL1RAPL2",-0.0312930252186261,2.71874059930977,4.45799812193267,0.0354316908322971,0.109537742812641,0.109537742812641,"cogn_wo_lv"
"15","C1QTNF12","Exc L4-5 RORB IL1RAPL2",0.0655291339386088,-0.0908170032855685,2.62183288810787,0.106284328078221,0.243054776204525,0.243054776204525,"cogn_wo_lv"
"16","UBE2J2","Exc L4-5 RORB IL1RAPL2",0.0149776513376923,4.82990096895069,4.04816726035672,0.0481522685279344,0.136402064924147,0.136402064924147,"cogn_wo_lv"
