"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L5_6 NP",0.188798440920254,3.13126731572568,0.168888882177869,0.722592637277017,0.865643653214256,0.865643653214256,"cogng_random_slope"
"2","AL669831.5","Exc L5_6 NP",-0.0558869501662848,5.42285197002456,0.0602629290041148,0.806233272705656,0.916494480512959,0.916494480512959,"cogng_random_slope"
"3","NOC2L","Exc L5_6 NP",-0.371793181759777,4.80088925136815,2.71638026405456,0.199200677844151,0.405062898686332,0.405062898686332,"cogng_random_slope"
"4","KLHL17","Exc L5_6 NP",-0.220840202124439,3.28280044432984,0.25415670744093,0.614499326202888,0.794635019634482,0.794635019634482,"cogng_random_slope"
"5","HES4","Exc L5_6 NP",1.95016632559576,3.10427216478938,9.8893382435306,0.00181331959432452,0.0155003540479851,0.0155003540479851,"cogng_random_slope"
"6","ISG15","Exc L5_6 NP",1.41316176353601,1.99662788655242,2.32994691643104,0.127862934519124,0.305968361448027,0.305968361448027,"cogng_random_slope"
"7","AGRN","Exc L5_6 NP",0.537585620283954,4.83343853099774,4.04221292478624,0.0451878449277808,0.154502804938855,0.154502804938855,"cogng_random_slope"
"8","C1orf159","Exc L5_6 NP",0.509888932759323,5.35837340719414,6.87410220851954,0.00915008740236355,0.0508448697322158,0.0508448697322158,"cogng_random_slope"
"9","SDF4","Exc L5_6 NP",0.438029367794471,5.14612268275188,3.69970295523095,0.0552812379398603,0.176101298703875,0.176101298703875,"cogng_random_slope"
"10","B3GALT6","Exc L5_6 NP",-0.252389735235279,3.00510505308135,0.301560793382323,0.662962383832823,0.827332355104098,0.827332355104098,"cogng_random_slope"
"11","UBE2J2","Exc L5_6 NP",-0.275691543261771,5.01543484522332,1.93734174515346,0.23252797393016,0.44650178431986,0.44650178431986,"cogng_random_slope"
"12","LINC01786","Exc L5_6 NP",1.83339202586266,2.73515363239779,11.1648105191223,0.000929117419952374,0.00934738174023515,0.00934738174023515,"cogng_random_slope"
"13","SCNN1D","Exc L5_6 NP",0.348211303219621,3.3935849682575,0.748654172114806,0.387530496243849,0.611573329103963,0.611573329103963,"cogng_random_slope"
"14","ACAP3","Exc L5_6 NP",0.404123601732595,6.229389818657,5.20412378337472,0.0231693465700297,0.0987666740908339,0.0987666740908339,"cogng_random_slope"
"15","PUSL1","Exc L5_6 NP",-0.552661671459315,2.50147807982038,0.817704720041653,0.366511003654974,0.591621024845002,0.591621024845002,"cogng_random_slope"
"16","INTS11","Exc L5_6 NP",0.103203095178825,5.42614741375594,0.290492266448714,0.701380531032697,0.852237071584436,0.852237071584436,"cogng_random_slope"
"17","CPTP","Exc L5_6 NP",-0.789405148640449,3.2261416841594,3.53696488597995,0.0608945989823056,0.187492337665127,0.187492337665127,"cogng_random_slope"
"18","DVL1","Exc L5_6 NP",-0.705979262219922,4.39260946372234,8.06913024811883,0.00478188326811208,0.0311619138936826,0.0311619138936826,"cogng_random_slope"
"19","AURKAIP1","Exc L5_6 NP",-0.203048804100468,4.04028160831019,0.375502671970674,0.540441577312813,0.740344888015954,0.740344888015954,"cogng_random_slope"
"20","CCNL2","Exc L5_6 NP",0.309175476952781,6.0594650346841,3.46256492545826,0.0636610589094986,0.193470211134161,0.193470211134161,"cogng_random_slope"
"21","MRPL20","Exc L5_6 NP",-0.182203941075656,4.51183714068809,0.471010305465076,0.493004107153932,0.702844008577332,0.702844008577332,"cogng_random_slope"
"22","VWA1","Exc L5_6 NP",-0.290582746759642,2.99986156408618,0.381160631499908,0.610044240215419,0.791766868612452,0.791766868612452,"cogng_random_slope"
"23","ATAD3C","Exc L5_6 NP",0.139700549730141,3.38465309704308,0.0706736421367304,0.79052428848632,0.90854344329531,0.90854344329531,"cogng_random_slope"
"24","ATAD3B","Exc L5_6 NP",1.01385103966041,4.50834208434181,15.0262753622207,0.000127902336492292,0.00196159550067012,0.00196159550067012,"cogng_random_slope"
"25","ATAD3A","Exc L5_6 NP",0.455849818230744,3.98190758164891,2.62912637524939,0.10587334652793,0.271529134545712,0.271529134545712,"cogng_random_slope"
"26","SSU72","Exc L5_6 NP",-0.570360085695181,5.51536815455785,10.0514008567672,0.001664869613378,0.0145352278769491,0.0145352278769491,"cogng_random_slope"
"27","AL645728.1","Exc L5_6 NP",0.850247922184763,2.42623535166312,1.61642440900767,0.204485402935572,0.411745006086024,0.411745006086024,"cogng_random_slope"
"28","FNDC10","Exc L5_6 NP",-0.339025622659111,3.91443318447257,0.956214011188571,0.32885807604836,0.552822801570518,0.552822801570518,"cogng_random_slope"
"29","AL691432.2","Exc L5_6 NP",-0.327202783287412,3.19085779842922,0.620705417795391,0.431350143675428,0.652485044728979,0.652485044728979,"cogng_random_slope"
"30","MIB2","Exc L5_6 NP",0.0530495565744336,5.8370169998977,0.0915497622855127,0.762406527318825,0.89212421978482,0.89212421978482,"cogng_random_slope"
"31","MMP23B","Exc L5_6 NP",-0.523421857361547,2.96981165008834,1.1275918449268,0.289065177662094,0.510693952427864,0.510693952427864,"cogng_random_slope"
"32","CDK11B","Exc L5_6 NP",-0.122952081404337,4.88766493738128,0.273788944667673,0.601152124645171,0.78509819060245,0.78509819060245,"cogng_random_slope"
"33","SLC35E2B","Exc L5_6 NP",-0.225189181680278,4.89597713246065,0.798862866404,0.372084185941467,0.596848113718776,0.596848113718776,"cogng_random_slope"
"34","CDK11A","Exc L5_6 NP",-1.05475026927314,4.27871866810869,10.2829033544741,0.00147398950129209,0.0132457533114158,0.0132457533114158,"cogng_random_slope"
"35","SLC35E2A","Exc L5_6 NP",0.344583001793154,4.74786504307057,1.67275237704714,0.196793842361599,0.402064151290283,0.402064151290283,"cogng_random_slope"
"36","NADK","Exc L5_6 NP",0.0302173539114648,4.00194510395976,0.0100044642252579,0.920387272526452,0.974540159763932,0.974540159763932,"cogng_random_slope"
"37","GNB1","Exc L5_6 NP",-0.0994828862657144,7.58141548165782,0.987730525454129,0.321025013777164,0.546339571090813,0.546339571090813,"cogng_random_slope"
"38","CFAP74","Exc L5_6 NP",0.675575066118709,3.89086886426676,3.89975667693078,0.0491253938840193,0.163156355096515,0.163156355096515,"cogng_random_slope"
"39","GABRD","Exc L5_6 NP",0.215447577400368,4.38285670869043,0.485629129773273,0.486373587016354,0.697284256176348,0.697284256176348,"cogng_random_slope"
"40","PRKCZ","Exc L5_6 NP",0.368722295549899,7.15689421851547,9.05092123294721,0.00282730825311137,0.0213493174577887,0.0213493174577887,"cogng_random_slope"
"41","FAAP20","Exc L5_6 NP",-0.924319374981401,4.09354576470057,8.8685211092234,0.00311582220654561,0.0229374367557062,0.0229374367557062,"cogng_random_slope"
"42","AL590822.1","Exc L5_6 NP",-0.740953327454279,2.47951414556187,1.48457036982769,0.22393015473496,0.436734842737766,0.436734842737766,"cogng_random_slope"
