"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh L1 PAX6 CA4",-0.456367463046993,5.77171364259222,0.710288317323127,0.400305201754703,0.903054439762877,0.903054439762877,"cogng_random_slope"
"2","HES4","Inh L1 PAX6 CA4",1.24021460619754,6.28452280005398,5.70697128404217,0.0177809429352246,0.37870859945461,0.37870859945461,"cogng_random_slope"
"3","C1orf159","Inh L1 PAX6 CA4",1.23473931475157,6.10937196531355,4.93713620198146,0.0273506904122713,0.450442882098582,0.450442882098582,"cogng_random_slope"
"4","SDF4","Inh L1 PAX6 CA4",0.77414252370112,5.9611393310464,2.10742238692233,0.148075584095234,0.743907213130816,0.743907213130816,"cogng_random_slope"
"5","UBE2J2","Inh L1 PAX6 CA4",0.276634233904786,5.85015245159581,0.229463391317854,0.632419493719959,0.967268295206132,0.967268295206132,"cogng_random_slope"
"6","ACAP3","Inh L1 PAX6 CA4",-0.343539793907818,6.72353638235834,0.753792940819507,0.386267276247451,0.896190017880581,0.896190017880581,"cogng_random_slope"
"7","INTS11","Inh L1 PAX6 CA4",0.158465222190174,6.1656868773919,0.122472290500965,0.726718489685389,0.983977287855363,0.983977287855363,"cogng_random_slope"
"8","CCNL2","Inh L1 PAX6 CA4",-0.265957071440641,6.44478804996297,0.43899500014487,0.508333098001811,0.938147337293862,0.938147337293862,"cogng_random_slope"
"9","SSU72","Inh L1 PAX6 CA4",0.256225788513985,6.03005171638584,0.28507584771441,0.593957139774587,0.957319298565672,0.957319298565672,"cogng_random_slope"
"10","MIB2","Inh L1 PAX6 CA4",0.372273812142653,5.76671855948188,0.406615419615339,0.524385765797965,0.939421173531248,0.939421173531248,"cogng_random_slope"
"11","GNB1","Inh L1 PAX6 CA4",0.0187823909382917,8.09322758865562,0.00578035901019284,0.939468534191732,0.999917091934368,0.999917091934368,"cogng_random_slope"
"12","PRKCZ","Inh L1 PAX6 CA4",0.0835021883788618,6.89046157306108,0.0630737378759951,0.868780756575473,0.999917091934368,0.999917091934368,"cogng_random_slope"
"13","SKI","Inh L1 PAX6 CA4",-0.532796073875859,6.57518356990028,1.96533549492999,0.162417460144106,0.757903988160219,0.757903988160219,"cogng_random_slope"
"14","CEP104","Inh L1 PAX6 CA4",0.105659372469408,6.10831777787778,0.0419472595026007,0.837918343947246,0.999917091934368,0.999917091934368,"cogng_random_slope"
"15","DFFB","Inh L1 PAX6 CA4",0.195623079031587,5.52315628865268,0.090547897529576,0.763778935923051,0.990158822678519,0.990158822678519,"cogng_random_slope"
"16","AJAP1","Inh L1 PAX6 CA4",0.893530525449149,7.40292391030539,9.22997940069017,0.00268229892553504,0.201541795902268,0.201541795902268,"cogng_random_slope"
"17","NPHP4","Inh L1 PAX6 CA4",1.00243932694221,5.93089284149282,3.3802247207927,0.0673927461540907,0.581529262062674,0.581529262062674,"cogng_random_slope"
"18","KCNAB2","Inh L1 PAX6 CA4",-0.100551876796093,6.44151506516033,0.0644860127662102,0.799789168876249,0.99188980478409,0.99188980478409,"cogng_random_slope"
"19","CHD5","Inh L1 PAX6 CA4",-0.461503710937084,7.74014291901352,2.7865099731138,0.0965483376978366,0.650951254792555,0.650951254792555,"cogng_random_slope"
"20","RPL22","Inh L1 PAX6 CA4",0.732592047170298,5.85756098044225,1.6286208299791,0.203300915362752,0.778045618468068,0.778045618468068,"cogng_random_slope"
"21","ACOT7","Inh L1 PAX6 CA4",-0.210409197106807,6.75071939585463,0.359908193141739,0.54920281470894,0.944690515105969,0.944690515105969,"cogng_random_slope"
"22","TNFRSF25","Inh L1 PAX6 CA4",-0.0295123380240586,6.49657329198604,0.00488359443525289,0.944353385097483,0.999917091934368,0.999917091934368,"cogng_random_slope"
"23","PLEKHG5","Inh L1 PAX6 CA4",0.0727608913994035,5.88782077933837,0.0183393211934383,0.892407115698736,0.999917091934368,0.999917091934368,"cogng_random_slope"
"24","DNAJC11","Inh L1 PAX6 CA4",0.00898458839972126,6.19720392284325,0.000301213728301148,0.986169449132585,0.999917091934368,0.999917091934368,"cogng_random_slope"
"25","CAMTA1","Inh L1 PAX6 CA4",-0.148104600827926,9.18789461304719,0.739020331584457,0.390953360648153,0.896354366088957,0.896354366088957,"cogng_random_slope"
"26","PER3","Inh L1 PAX6 CA4",-0.116090166834944,7.05530085176568,0.111295413717185,0.739006374909693,0.985855427661176,0.985855427661176,"cogng_random_slope"
"27","PARK7","Inh L1 PAX6 CA4",-0.16395046851933,5.65830852927952,0.0698873690885419,0.791759629151089,0.990926639357186,0.990926639357186,"cogng_random_slope"
"28","RERE","Inh L1 PAX6 CA4",-0.247596380170368,9.345619027382,2.2926199399515,0.131491163621524,0.724461539522414,0.724461539522414,"cogng_random_slope"
"29","ENO1","Inh L1 PAX6 CA4",0.647916009788576,6.18063889138687,1.7955560141896,0.181696101802048,0.759863633423415,0.759863633423415,"cogng_random_slope"
"30","CLSTN1","Inh L1 PAX6 CA4",-0.391950136519239,8.09967967388016,3.15020760515405,0.0773632250351659,0.606294534830389,0.606294534830389,"cogng_random_slope"
"31","UBE4B","Inh L1 PAX6 CA4",-0.219103625423465,7.67709970627043,0.759664979111422,0.384426895563633,0.895118546813,0.895118546813,"cogng_random_slope"
"32","KIF1B","Inh L1 PAX6 CA4",0.211591359341543,8.90590771746695,1.58140330213452,0.209952742666326,0.779947052752725,0.779947052752725,"cogng_random_slope"
