"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh L5-6 SST TH",-0.372844615174682,6.02844446120473,0.689703122783257,0.407358649508405,0.846041870493019,0.846041870493019,"cogng_random_slope"
"2","HES4","Inh L5-6 SST TH",1.73941509037916,5.96874596347126,12.6796674367314,0.000472302114018938,0.0377185832296622,0.0377185832296622,"cogng_random_slope"
"3","C1orf159","Inh L5-6 SST TH",1.35483692264401,6.02181289795077,11.2880371726952,0.00220642557046046,0.0964636560553111,0.0964636560553111,"cogng_random_slope"
"4","SDF4","Inh L5-6 SST TH",0.245607520898453,5.96759328172877,0.285635392789604,0.593686519599613,0.918709347886339,0.918709347886339,"cogng_random_slope"
"5","ACAP3","Inh L5-6 SST TH",0.741529423995899,6.46590481109363,4.9154333517556,0.0451888319210225,0.448603245706869,0.448603245706869,"cogng_random_slope"
"6","INTS11","Inh L5-6 SST TH",0.196973477489371,5.84272334296505,0.219568876016064,0.66968680449755,0.940624124155645,0.940624124155645,"cogng_random_slope"
"7","CCNL2","Inh L5-6 SST TH",0.266347399160926,6.2082252191788,0.582820385361906,0.507220723778507,0.892925938123404,0.892925938123404,"cogng_random_slope"
"8","SSU72","Inh L5-6 SST TH",-0.555711003275375,5.84903112151802,1.62538680055556,0.224806340194502,0.721518376280657,0.721518376280657,"cogng_random_slope"
"9","GNB1","Inh L5-6 SST TH",-0.0432330940934368,7.59020125012589,0.0454407240186223,0.831435420567201,0.978554688569317,0.978554688569317,"cogng_random_slope"
"10","PRKCZ","Inh L5-6 SST TH",0.560825994777203,7.05091866083723,5.1056727180308,0.0574515888995503,0.488982220927966,0.488982220927966,"cogng_random_slope"
"11","FAAP20","Inh L5-6 SST TH",0.805118695443852,5.42553450044984,1.79510682223924,0.181983604080392,0.692189873902544,0.692189873902544,"cogng_random_slope"
"12","SKI","Inh L5-6 SST TH",0.619010867917176,6.40652177021475,2.66000472150106,0.106464897988508,0.613257995332854,0.613257995332854,"cogng_random_slope"
"13","PLCH2","Inh L5-6 SST TH",0.58632963606667,5.71203840397646,1.15814267390459,0.283282337859588,0.767420297461952,0.767420297461952,"cogng_random_slope"
"14","CEP104","Inh L5-6 SST TH",-0.131493769741841,6.07179847203022,0.124548452454071,0.753874549403822,0.963355944862962,0.963355944862962,"cogng_random_slope"
"15","AJAP1","Inh L5-6 SST TH",0.493525265417198,5.21327688793163,0.431018135525964,0.512322965293399,0.894767520744474,0.894767520744474,"cogng_random_slope"
"16","NPHP4","Inh L5-6 SST TH",-0.499081009203081,6.22215412853546,2.0343046312018,0.20553848170441,0.705706013050281,0.705706013050281,"cogng_random_slope"
"17","KCNAB2","Inh L5-6 SST TH",0.100246500930175,6.95177013657803,0.11810365604202,0.731498974579344,0.955888886924337,0.955888886924337,"cogng_random_slope"
"18","CHD5","Inh L5-6 SST TH",0.0393717078231463,7.54523472817852,0.0282873296968716,0.933135522332133,0.992142481143136,0.992142481143136,"cogng_random_slope"
"19","RPL22","Inh L5-6 SST TH",-0.05172155833504,5.70162237885511,0.0129009868988522,0.9179582416358,0.988210366814819,0.988210366814819,"cogng_random_slope"
"20","ACOT7","Inh L5-6 SST TH",0.61175624325997,6.60340953038432,3.5584074908974,0.0949554809251125,0.586427294290558,0.586427294290558,"cogng_random_slope"
"21","NOL9","Inh L5-6 SST TH",0.107438273692131,5.77345114824843,0.0629244943815043,0.823873539321866,0.975522893506861,0.975522893506861,"cogng_random_slope"
"22","DNAJC11","Inh L5-6 SST TH",0.292882958327584,6.42797568510177,0.622874309652859,0.446941095350779,0.867284063937347,0.867284063937347,"cogng_random_slope"
"23","CAMTA1","Inh L5-6 SST TH",0.00869024362028711,9.44184746599154,0.00278284394255204,0.95798710727169,0.993678729609825,0.993678729609825,"cogng_random_slope"
"24","PER3","Inh L5-6 SST TH",-0.898498358657188,6.76161096277369,7.27578206683806,0.00764903597430766,0.188362777439006,0.188362777439006,"cogng_random_slope"
"25","PARK7","Inh L5-6 SST TH",-0.941368252886219,5.46237291114152,3.18556451387812,0.0826857668602608,0.562166423413066,0.562166423413066,"cogng_random_slope"
"26","RERE","Inh L5-6 SST TH",-0.351975613187297,8.92046812155927,4.84557468202066,0.0289809709990779,0.368599947470614,0.368599947470614,"cogng_random_slope"
"27","ENO1","Inh L5-6 SST TH",-0.0383102784894293,6.12366487184345,0.00990127145037106,0.926500917207214,0.990462010547086,0.990462010547086,"cogng_random_slope"
