"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L5-6 RORB LINC02196",0.653240415139795,3.81600095798286,0.609652051882273,0.435475976534463,0.73908668064259,0.73908668064259,"cognpo_random_slope"
"2","AL669831.5","Exc L5-6 RORB LINC02196",-0.673886707802077,6.14254450231225,2.33792286997766,0.127211293856926,0.406367231863226,0.406367231863226,"cognpo_random_slope"
"3","NOC2L","Exc L5-6 RORB LINC02196",-0.954438234903893,4.98348383742839,4.89986379879258,0.0275391442175136,0.170362273537772,0.170362273537772,"cognpo_random_slope"
"4","KLHL17","Exc L5-6 RORB LINC02196",0.897354257891853,3.29207688865109,1.03421129820292,0.309913135062575,0.631830013753057,0.631830013753057,"cognpo_random_slope"
"5","HES4","Exc L5-6 RORB LINC02196",4.05888180040735,4.88513453561992,32.7325280093636,2.36499343504005e-08,4.56989754460254e-06,4.56989754460254e-06,"cognpo_random_slope"
"6","ISG15","Exc L5-6 RORB LINC02196",1.31510564100325,2.65450784639572,0.727497702145568,0.39431123609631,0.706594758855323,0.706594758855323,"cognpo_random_slope"
"7","AGRN","Exc L5-6 RORB LINC02196",1.02869189275557,4.55354328741963,2.68127260001983,0.102483284858379,0.362296878562842,0.362296878562842,"cognpo_random_slope"
"8","C1orf159","Exc L5-6 RORB LINC02196",0.29082306283746,5.51393523429522,0.544870281841346,0.460943457499382,0.757506416764078,0.757506416764078,"cognpo_random_slope"
"9","SDF4","Exc L5-6 RORB LINC02196",0.385494768433352,5.29097447957468,0.683260744750099,0.409060624453961,0.717336033640535,0.717336033640535,"cognpo_random_slope"
"10","B3GALT6","Exc L5-6 RORB LINC02196",0.127089040864228,3.18686459125283,0.0185609507934151,0.891715361745838,0.985026468237704,0.985026468237704,"cognpo_random_slope"
"11","UBE2J2","Exc L5-6 RORB LINC02196",0.0486904945822158,4.94737239548386,0.0124393740579137,0.911262027426478,0.989548107590361,0.989548107590361,"cognpo_random_slope"
"12","LINC01786","Exc L5-6 RORB LINC02196",0.809327262248014,2.77981023340653,0.471951446758284,0.492571010417078,0.77754504326374,0.77754504326374,"cognpo_random_slope"
"13","SCNN1D","Exc L5-6 RORB LINC02196",-0.471362816983056,3.43851241486154,0.332000159222804,0.564874618318016,0.826090595462272,0.826090595462272,"cognpo_random_slope"
"14","ACAP3","Exc L5-6 RORB LINC02196",-0.593405631315712,6.30401919558804,2.63280521370989,0.105627078170447,0.367753216814955,0.367753216814955,"cognpo_random_slope"
"15","PUSL1","Exc L5-6 RORB LINC02196",0.996484787771178,2.2644867522353,0.534251871240202,0.465340973177607,0.759745059957524,0.759745059957524,"cognpo_random_slope"
"16","INTS11","Exc L5-6 RORB LINC02196",0.164730256451159,5.31842282153657,0.175024586098951,0.675955222571755,0.891037723714427,0.891037723714427,"cognpo_random_slope"
"17","CPTP","Exc L5-6 RORB LINC02196",-1.64863477476321,3.07963140599877,3.28788674702393,0.0706969155094971,0.296093384155373,0.296093384155373,"cognpo_random_slope"
"18","DVL1","Exc L5-6 RORB LINC02196",-0.528311684104064,4.51152500107399,1.05567146437462,0.304953509544895,0.627013420420307,0.627013420420307,"cognpo_random_slope"
"19","AURKAIP1","Exc L5-6 RORB LINC02196",0.335383928522647,4.20526607925033,0.278988863620813,0.992887068192646,0.999800947394641,0.999800947394641,"cognpo_random_slope"
"20","CCNL2","Exc L5-6 RORB LINC02196",0.287002081217537,6.05430614593525,0.803641263365425,0.385183456780909,0.69962784315162,0.69962784315162,"cognpo_random_slope"
"21","MRPL20","Exc L5-6 RORB LINC02196",0.655667170646205,4.63812139615904,1.72790948073322,0.189586700441531,0.495784719192314,0.495784719192314,"cognpo_random_slope"
"22","ANKRD65","Exc L5-6 RORB LINC02196",-0.753405067239004,3.70654279407029,0.673079885800601,0.412569325886712,0.719899525567084,0.719899525567084,"cognpo_random_slope"
"23","ATAD3C","Exc L5-6 RORB LINC02196",0.00861695693155618,3.60486244389445,5.03721434615805e-05,0.994341463212902,0.999800947394641,0.999800947394641,"cognpo_random_slope"
"24","ATAD3B","Exc L5-6 RORB LINC02196",0.34586271884407,4.6829803086257,0.411594643051203,0.521604508016623,0.799016470091503,0.799016470091503,"cognpo_random_slope"
"25","ATAD3A","Exc L5-6 RORB LINC02196",0.219615301901037,4.04945720867871,0.138628198905347,0.709886474538055,0.907996835971784,0.907996835971784,"cognpo_random_slope"
"26","TMEM240","Exc L5-6 RORB LINC02196",-0.40069587027957,2.73317077954808,0.114230710721768,0.735591906579629,0.920254693562554,0.920254693562554,"cognpo_random_slope"
"27","SSU72","Exc L5-6 RORB LINC02196",-0.769408784664444,5.75463997929916,5.13454554196932,0.0240985690169493,0.157584940633345,0.157584940633345,"cognpo_random_slope"
"28","AL645728.1","Exc L5-6 RORB LINC02196",0.78277961411619,2.50716692230931,0.397683539051386,0.602107588763068,0.84745598957453,0.84745598957453,"cognpo_random_slope"
"29","FNDC10","Exc L5-6 RORB LINC02196",-2.81142219973407,4.17450676498614,18.0111986757494,2.85397526122446e-05,0.00134140770363598,0.00134140770363598,"cognpo_random_slope"
"30","AL691432.2","Exc L5-6 RORB LINC02196",-0.740336078934605,3.48740666494389,0.838553748906676,0.360476278162174,0.678761937912973,0.678761937912973,"cognpo_random_slope"
"31","MIB2","Exc L5-6 RORB LINC02196",-0.207547693454623,5.3886816454274,0.220775642407662,0.638758446239073,0.870842090835533,0.870842090835533,"cognpo_random_slope"
"32","MMP23B","Exc L5-6 RORB LINC02196",0.0929514989355736,2.20643995279242,0.00415177703893025,0.948663263249848,0.997937281591976,0.997937281591976,"cognpo_random_slope"
"33","CDK11B","Exc L5-6 RORB LINC02196",0.281195981523447,5.05774215462427,0.386101877313,0.534782555966269,0.807382456941905,0.807382456941905,"cognpo_random_slope"
"34","SLC35E2B","Exc L5-6 RORB LINC02196",0.373674855000832,4.84110202715931,0.480069741487025,0.488875769149107,0.776386408714771,0.776386408714771,"cognpo_random_slope"
"35","CDK11A","Exc L5-6 RORB LINC02196",0.0832375743525616,4.29700796904267,0.0134577824618756,0.90771668587806,0.989109655156646,0.989109655156646,"cognpo_random_slope"
"36","SLC35E2A","Exc L5-6 RORB LINC02196",-0.678022547110159,4.87874357122705,1.39389656358013,0.23859446355904,0.55278473080356,0.55278473080356,"cognpo_random_slope"
"37","NADK","Exc L5-6 RORB LINC02196",0.805139756510812,4.23788018802031,2.0295673283843,0.155205106270799,0.450041751945491,0.450041751945491,"cognpo_random_slope"
"38","GNB1","Exc L5-6 RORB LINC02196",-0.526169879676802,7.77766209825872,7.20194315821575,0.00764791882337947,0.0782893304957028,0.0782893304957028,"cognpo_random_slope"
"39","CFAP74","Exc L5-6 RORB LINC02196",0.542190484629189,4.817893764859,1.13588618277716,0.287298788520852,0.608437146492978,0.608437146492978,"cognpo_random_slope"
"40","GABRD","Exc L5-6 RORB LINC02196",1.25721553758143,5.44553606571672,5.35309240318038,0.0212967326008246,0.145890206225126,0.145890206225126,"cognpo_random_slope"
"41","PRKCZ","Exc L5-6 RORB LINC02196",1.0892994793656,6.86258533368404,16.2303151106079,6.95969930240838e-05,0.00267623637175277,0.00267623637175277,"cognpo_random_slope"
"42","FAAP20","Exc L5-6 RORB LINC02196",1.78295296134962,3.82122611561093,6.7692468630777,0.0096901514255618,0.0909713434613288,0.0909713434613288,"cognpo_random_slope"
"43","AL590822.1","Exc L5-6 RORB LINC02196",0.193681812841997,2.48758222480445,0.023347848811853,0.878648924349644,0.981589037964205,0.981589037964205,"cognpo_random_slope"
"44","SKI","Exc L5-6 RORB LINC02196",-0.0948048096538099,6.02186922813148,0.0754944021453848,0.886098387489068,0.982858332413872,0.982858332413872,"cognpo_random_slope"
"45","MORN1","Exc L5-6 RORB LINC02196",-0.296216361829172,5.390272273175,0.500598437362343,0.479734332263709,0.769349441033745,0.769349441033745,"cognpo_random_slope"
"46","RER1","Exc L5-6 RORB LINC02196",0.682553280537443,4.87365103242301,2.29950146434906,0.130368374850483,0.411140968235593,0.411140968235593,"cognpo_random_slope"
"47","PEX10","Exc L5-6 RORB LINC02196",0.586535954453386,3.47330602581807,0.604795234204509,0.43730882982165,0.740064431705169,0.740064431705169,"cognpo_random_slope"
"48","PLCH2","Exc L5-6 RORB LINC02196",-0.61888085118401,2.53719338324535,0.195059255304577,0.659026694298956,0.88283982797625,0.88283982797625,"cognpo_random_slope"
"49","PANK4","Exc L5-6 RORB LINC02196",-1.19503308353461,3.35702933655876,1.70278435168614,0.192829206809372,0.500287362754794,0.500287362754794,"cognpo_random_slope"
"50","AL139246.5","Exc L5-6 RORB LINC02196",0.71112950555291,2.55225656730745,0.377990776864734,0.539102217417403,0.809659116480702,0.809659116480702,"cognpo_random_slope"
