"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Mic",-1.92937331395316,4.31335566667897,3.92528139649697,0.0483287207426499,0.389076407428796,0.389076407428796,"cognpo_random_slope"
"2","AL669831.5","Mic",-0.260946852640455,5.77155328995097,0.158400551490247,0.690870218314636,0.949694176046738,0.949694176046738,"cognpo_random_slope"
"3","NOC2L","Mic",0.925362363072975,5.126488811283,2.44388341085165,0.11886587063605,0.546673577971416,0.546673577971416,"cognpo_random_slope"
"4","KLHL17","Mic",0.0389138947837493,3.07802338370208,0.00134405521480129,0.97077541942849,0.999571912857335,0.999571912857335,"cognpo_random_slope"
"5","ISG15","Mic",4.08655888514811,3.36510556506235,3.75180460045448,0.0535357127452886,0.401892059982104,0.401892059982104,"cognpo_random_slope"
"6","AGRN","Mic",1.39694124222497,3.65461148296586,1.41727369120026,0.234640169771691,0.699144119090713,0.699144119090713,"cognpo_random_slope"
"7","C1orf159","Mic",1.13026082553397,4.95416021823146,2.92772939486441,0.0879346639859273,0.490363598474724,0.490363598474724,"cognpo_random_slope"
"8","TNFRSF4","Mic",2.0949857108854,2.35378584240944,1.02501978167276,0.332460348831419,0.777068000961261,0.777068000961261,"cognpo_random_slope"
"9","SDF4","Mic",-0.269372048777819,5.12339649754253,0.20189640516547,0.653465910844811,0.94023285266285,0.94023285266285,"cognpo_random_slope"
"10","B3GALT6","Mic",-0.659128850300873,3.34663787419883,0.312249805875914,0.576651663764048,0.910243059639579,0.910243059639579,"cognpo_random_slope"
"11","UBE2J2","Mic",0.23156530611769,5.83138700276977,0.235953838903815,0.627440535497254,0.932294559665489,0.932294559665489,"cognpo_random_slope"
"12","SCNN1D","Mic",0.698476817594653,3.23839121754519,0.292179631275477,0.58916272209405,0.915799850554722,0.915799850554722,"cognpo_random_slope"
"13","ACAP3","Mic",-0.456468442251728,5.29228983777172,0.489646364595279,0.484538780646048,0.866688843369486,0.866688843369486,"cognpo_random_slope"
"14","INTS11","Mic",0.276154506911043,5.14422286487086,0.264940297718825,0.607063346928421,0.922315658070668,0.922315658070668,"cognpo_random_slope"
"15","DVL1","Mic",-0.806690392387327,3.89916720532159,0.670976354553966,0.413255474583244,0.831969978451823,0.831969978451823,"cognpo_random_slope"
"16","AURKAIP1","Mic",0.354237566111292,4.23801951669033,0.183061871355904,0.669011855243851,0.945471326198382,0.945471326198382,"cognpo_random_slope"
"17","CCNL2","Mic",-0.0403762536538598,6.35535090907524,0.00889703286506337,0.924904401692201,0.999571912857335,0.999571912857335,"cognpo_random_slope"
"18","MRPL20","Mic",0.237140615507291,5.37195754241148,0.188752965852164,0.68802865750246,0.948212629201113,0.948212629201113,"cognpo_random_slope"
"19","ANKRD65","Mic",0.897799383328003,2.73077145081577,0.207997090304215,0.648617892626033,0.939530742275556,0.939530742275556,"cognpo_random_slope"
"20","ATAD3B","Mic",0.498340825061794,4.88961055374403,0.532109800140465,0.858707681491747,0.999571912857335,0.999571912857335,"cognpo_random_slope"
"21","ATAD3A","Mic",-0.165333505767696,4.21619742054766,0.0430135781553286,0.877828061576319,0.999571912857335,0.999571912857335,"cognpo_random_slope"
"22","SSU72","Mic",-0.238671561999499,5.55705053143417,0.208174646501775,0.648478087305801,0.939530742275556,0.939530742275556,"cognpo_random_slope"
"23","FNDC10","Mic",1.70122413156918,2.67951575353731,1.03255857692959,0.31024360139887,0.760854320893522,0.760854320893522,"cognpo_random_slope"
"24","AL691432.2","Mic",2.10975600776539,2.87939509861639,2.01081829527832,0.157049473831855,0.604950440319414,0.604950440319414,"cognpo_random_slope"
"25","MIB2","Mic",0.58152838456768,4.76425237319926,0.655846477719959,0.418567207182123,0.835334739250768,0.835334739250768,"cognpo_random_slope"
"26","CDK11B","Mic",0.814692251491866,5.78615933327785,2.48173553845356,0.256371823145362,0.715563209129404,0.715563209129404,"cognpo_random_slope"
"27","SLC35E2B","Mic",0.207856178808701,4.84368760536791,0.086590186998416,0.768727889491296,0.979728436242265,0.979728436242265,"cognpo_random_slope"
"28","CDK11A","Mic",-0.50965219214651,5.45754340940039,0.511505419421218,0.474953284017017,0.862928680790387,0.862928680790387,"cognpo_random_slope"
"29","SLC35E2A","Mic",1.03725837238772,4.94073046466112,1.80883671024392,0.179497839463203,0.638186896039076,0.638186896039076,"cognpo_random_slope"
"30","NADK","Mic",-0.76805004177938,5.27697129663003,1.39644203999468,0.238103275417203,0.702797500148715,0.702797500148715,"cognpo_random_slope"
"31","GNB1","Mic",0.585707061960382,8.65989043042821,5.88624721173574,0.015752136141768,0.239272718917587,0.239272718917587,"cognpo_random_slope"
"32","CFAP74","Mic",1.48223543623602,5.85359339604613,3.21008790389316,0.0740286280294845,0.459548316938694,0.459548316938694,"cognpo_random_slope"
"33","GABRD","Mic",2.70850984068203,3.51905594383022,4.42393899427043,0.0361343777298207,0.341737826386065,0.341737826386065,"cognpo_random_slope"
"34","PRKCZ","Mic",0.318952404499282,5.19415488810888,0.130506675307346,0.718120026826594,0.960218017725005,0.960218017725005,"cognpo_random_slope"
"35","FAAP20","Mic",0.0211206940150306,4.48926327226886,0.000878824712820933,0.976366685977436,0.999571912857335,0.999571912857335,"cognpo_random_slope"
"36","SKI","Mic",1.13542601319063,8.47273833158803,6.67745941159749,0.0101587567023568,0.194597312038739,0.194597312038739,"cognpo_random_slope"
"37","MORN1","Mic",1.67727283088425,3.96368694802203,2.03257710082976,0.15482925355393,0.603798750356476,0.603798750356476,"cognpo_random_slope"
"38","RER1","Mic",-0.621592320990005,5.44291617673299,1.17618784830736,0.278862054961497,0.736673939696276,0.736673939696276,"cognpo_random_slope"
"39","PEX10","Mic",0.103316475931024,3.74783590718771,0.0110177981846746,0.916461713281629,0.999571912857335,0.999571912857335,"cognpo_random_slope"
"40","PANK4","Mic",-0.4474711767253,3.3587952570571,0.139912223495472,0.708589361243086,0.956543655645796,0.956543655645796,"cognpo_random_slope"
"41","TNFRSF14-AS1","Mic",0.515709712193449,3.08700702417294,0.143735396911195,0.810320002766413,0.991466623042341,0.991466623042341,"cognpo_random_slope"
"42","TNFRSF14","Mic",-0.260842635355348,5.02462049781531,0.137796944272515,0.76274801947326,0.977697812156422,0.977697812156422,"cognpo_random_slope"
"43","FAM213B","Mic",0.835672823828371,2.85991450298571,0.290940820393957,0.589953011566063,0.915860095837225,0.915860095837225,"cognpo_random_slope"
"44","TPRG1L","Mic",2.17523878724035,3.63732252343424,4.35732569174588,0.0375556263451281,0.348835769352806,0.348835769352806,"cognpo_random_slope"
"45","WRAP73","Mic",-1.28219327253016,4.38191996093241,2.80006115859371,0.194320326617259,0.657819443505087,0.657819443505087,"cognpo_random_slope"
"46","TP73","Mic",-0.783045119978696,2.07849844001269,0.036053855265785,0.849511756988939,0.999042658193008,0.999042658193008,"cognpo_random_slope"
"47","LRRC47","Mic",0.0333838675040114,4.21181410910044,0.00189127864967743,0.965336071466047,0.999571912857335,0.999571912857335,"cognpo_random_slope"
"48","CEP104","Mic",0.63420285462712,5.42553764342777,1.29086370748629,0.256647583216613,0.715563209129404,0.715563209129404,"cognpo_random_slope"
"49","DFFB","Mic",0.583639676945155,4.34120760461778,0.532792498409584,0.484765644129349,0.866688843369486,0.866688843369486,"cognpo_random_slope"
"50","C1orf174","Mic",-0.604667986898221,3.64414596599748,0.307308035155019,0.579682357957727,0.91036453724056,0.91036453724056,"cognpo_random_slope"
"51","NPHP4","Mic",0.103678630471791,5.72111332677221,0.0395319949965314,0.842511113262171,0.997645307035303,0.997645307035303,"cognpo_random_slope"
"52","KCNAB2","Mic",0.510440980841883,5.09217129194595,0.477012322741269,0.490225549218066,0.869300013694646,0.869300013694646,"cognpo_random_slope"
"53","CHD5","Mic",-0.660507234210335,3.87853982375882,0.276751527932627,0.59916352680824,0.918688225831752,0.918688225831752,"cognpo_random_slope"
"54","RPL22","Mic",-0.346391013927154,4.72709977111935,0.239281094261829,0.625024893134329,0.931042234630376,0.931042234630376,"cognpo_random_slope"
"55","ICMT","Mic",0.517441012711467,3.57008028236632,0.209271656269587,0.647615911024669,0.939371101865815,0.939371101865815,"cognpo_random_slope"
"56","ACOT7","Mic",2.07085581069351,4.26132973948543,4.43356345749991,0.0359337562113498,0.341370015498031,0.341370015498031,"cognpo_random_slope"
"57","TNFRSF25","Mic",2.33078004643788,5.11873502738288,6.02239768954799,0.014600265158119,0.229909554403094,0.229909554403094,"cognpo_random_slope"
"58","PLEKHG5","Mic",2.55989895094975,5.2925912218633,6.43325659335287,0.0116238519956919,0.207377891352504,0.207377891352504,"cognpo_random_slope"
"59","NOL9","Mic",0.496951063785397,5.29690466254139,0.737480152024337,0.391042951127336,0.819080421038149,0.819080421038149,"cognpo_random_slope"
"60","ZBTB48","Mic",0.16940131268178,4.99550626681221,0.0848744692943374,0.770965684729792,0.980719352351551,0.980719352351551,"cognpo_random_slope"
"61","KLHL21","Mic",-1.03635009606063,4.49348967393805,1.84524240314154,0.175191704285265,0.631599115184924,0.631599115184924,"cognpo_random_slope"
"62","PHF13","Mic",-0.154298269263487,3.42957520316724,0.0168298044835682,0.896852993786705,0.999571912857335,0.999571912857335,"cognpo_random_slope"
"63","THAP3","Mic",0.927289913729934,3.69099472990644,0.862848970991327,0.494966044100728,0.870844869175085,0.870844869175085,"cognpo_random_slope"
"64","DNAJC11","Mic",-0.149735810618624,6.11769371673005,0.126489006698246,0.95366870109544,0.999571912857335,0.999571912857335,"cognpo_random_slope"
"65","CAMTA1-DT","Mic",2.45122945650847,2.83424970732814,2.35585436557565,0.125695303088236,0.553359040657506,0.553359040657506,"cognpo_random_slope"
"66","CAMTA1","Mic",0.437549668088533,7.50778397153302,1.78891519269395,0.181906100237872,0.641182404052357,0.641182404052357,"cognpo_random_slope"
"67","VAMP3","Mic",-0.522387586368022,4.59680090319131,0.574427545371972,0.484843463272025,0.866688843369486,0.866688843369486,"cognpo_random_slope"
"68","PER3","Mic",1.96487485507142,5.9872160384204,3.61261315865182,0.0581446052058679,0.414936653549465,0.414936653549465,"cognpo_random_slope"
"69","Z98884.1","Mic",-0.937533638379116,3.28475343447839,0.269296142664637,0.604124424034989,0.921187532950932,0.921187532950932,"cognpo_random_slope"
"70","PARK7","Mic",0.351396357548883,5.18869757938477,0.284622888738728,0.738504462471595,0.968904667985946,0.968904667985946,"cognpo_random_slope"
"71","AL034417.4","Mic",-2.43010382008506,3.0996685074542,2.99628734591804,0.226790059530218,0.690610580805848,0.690610580805848,"cognpo_random_slope"
"72","ERRFI1","Mic",0.860591236399877,3.77606120460695,0.541054743469166,0.462476770739411,0.856283352579323,0.856283352579323,"cognpo_random_slope"
"73","AL034417.2","Mic",2.41627788758234,2.36592900988841,1.38806969057066,0.239512615389078,0.704156628786979,0.704156628786979,"cognpo_random_slope"
"74","SLC45A1","Mic",-0.143246507322004,2.68756871091817,0.0103825587753057,0.91889709723764,0.999571912857335,0.999571912857335,"cognpo_random_slope"
"75","RERE","Mic",0.90849049852121,9.67023861649379,14.8032494953021,0.00014122700904627,0.0180113376586635,0.0180113376586635,"cognpo_random_slope"
"76","AL096855.1","Mic",4.61800062356455,2.78648275764866,7.8427532609802,0.00537891083572581,0.14227053485623,0.14227053485623,"cognpo_random_slope"
"77","ENO1","Mic",0.455767608703263,6.65578888284071,0.455542018678083,0.500149761400243,0.871636499781655,0.871636499781655,"cognpo_random_slope"
"78","SLC2A5","Mic",0.623505315696423,9.00988593942333,1.40801751445804,0.236171329895022,0.700788505039801,0.700788505039801,"cognpo_random_slope"
"79","GPR157","Mic",-0.554556234942456,3.06466077691865,0.134749999140254,0.713773567166949,0.958619259584764,0.958619259584764,"cognpo_random_slope"
"80","MIR34AHG","Mic",0.847831845605843,7.26634785326838,2.31388396164074,0.129104578550561,0.559574438518227,0.559574438518227,"cognpo_random_slope"
"81","LINC01759","Mic",1.75308902688435,3.60754814523322,2.43318911369925,0.11967309705862,0.547194135314972,0.547194135314972,"cognpo_random_slope"
"82","H6PD","Mic",-0.329348416471033,5.42848791930396,0.337705633151994,0.56152165063028,0.905364924492256,0.905364924492256,"cognpo_random_slope"
"83","SPSB1","Mic",-2.02794550171053,3.77449962355967,2.35469250587534,0.125788317425172,0.553470605156427,0.553470605156427,"cognpo_random_slope"
"84","SLC25A33","Mic",0.0856279666101442,5.52985898777333,0.0236786307030745,0.877792002240637,0.999571912857335,0.999571912857335,"cognpo_random_slope"
"85","TMEM201","Mic",-1.76561646507968,3.15077850963328,1.90233467756261,0.168676814910795,0.620070220566765,0.620070220566765,"cognpo_random_slope"
"86","PIK3CD","Mic",0.596576596346556,7.83113251923543,2.08242872666259,0.149875893402251,0.59479825381629,0.59479825381629,"cognpo_random_slope"
"87","PIK3CD-AS2","Mic",2.16484594206957,3.4106297851846,2.99681388967993,0.0842885891272861,0.48297211590239,0.48297211590239,"cognpo_random_slope"
"88","CLSTN1","Mic",1.47581685340641,6.7676040162081,14.7329785997217,0.000146372209274126,0.0183069004858431,0.0183069004858431,"cognpo_random_slope"
"89","CTNNBIP1","Mic",0.907339959886789,5.40735061253767,2.60264562401374,0.107565135631468,0.528519286055939,0.528519286055939,"cognpo_random_slope"
"90","LZIC","Mic",0.632606837430271,4.51476914652359,0.703781447084777,0.402074876159824,0.82588526228906,0.82588526228906,"cognpo_random_slope"
"91","NMNAT1","Mic",0.296053247581741,5.10999412583173,0.214893457407144,0.643239950447598,0.937812541224166,0.937812541224166,"cognpo_random_slope"
