"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Ast",-0.325904868983664,2.71580908250348,0.642997504896116,0.423147392139005,0.667240938635849,0.667240938635849,"cognps_random_slope"
"2","AL669831.5","Ast",-0.278634457416566,4.86446517011801,1.0696254908327,0.301712452315237,0.547785892228802,0.547785892228802,"cognps_random_slope"
"3","LINC00115","Ast",1.20118787313341,1.46762008744199,2.83259526250221,0.0932211512016643,0.266776167899458,0.266776167899458,"cognps_random_slope"
"4","AL645608.1","Ast",-1.55512319407169,1.15027734760393,3.35064850675561,0.0679909909049343,0.218335566651526,0.218335566651526,"cognps_random_slope"
"5","SAMD11","Ast",-1.61800569317441,3.07928161439821,8.74201730091495,0.00331115794006593,0.0282689892093411,0.0282689892093411,"cognps_random_slope"
"6","NOC2L","Ast",-0.18095258974324,4.32009518800267,0.579875595152663,0.446851127691972,0.687700464122601,0.687700464122601,"cognps_random_slope"
"7","KLHL17","Ast",-0.611495234006795,2.6845276427966,1.89157038420446,0.232197828055128,0.471284708958371,0.471284708958371,"cognps_random_slope"
"8","AL645608.8","Ast",0.624806951509327,0.983049707405879,0.309721950469634,0.578190729867397,0.795396981239636,0.795396981239636,"cognps_random_slope"
"9","HES4","Ast",1.38928797969201,4.29289147362199,8.34364240762466,0.00410044849228863,0.0330819632819382,0.0330819632819382,"cognps_random_slope"
"10","ISG15","Ast",1.67168471346622,2.90554463979784,3.09994598224716,0.0791294399128693,0.240042185806116,0.240042185806116,"cognps_random_slope"
"11","AGRN","Ast",-1.29635755979603,4.78836103960122,28.1705231095813,1.92910013098525e-07,1.57827533832015e-05,1.57827533832015e-05,"cognps_random_slope"
"12","C1orf159","Ast",0.756433428191836,5.18933780880548,12.6479992473135,0.000425307738700933,0.00632803017590927,0.00632803017590927,"cognps_random_slope"
"13","SDF4","Ast",-0.261417289938145,4.77801060054915,1.72150694530598,0.527034560248172,0.756914217184894,0.756914217184894,"cognps_random_slope"
"14","B3GALT6","Ast",-0.940323139769887,2.32086013529571,3.9057225031045,0.0774747892299544,0.236609837451301,0.236609837451301,"cognps_random_slope"
"15","UBE2J2","Ast",0.276542269795498,5.08448568764502,2.11647960831692,0.146577645793518,0.356556200681947,0.356556200681947,"cognps_random_slope"
"16","LINC01786","Ast",0.315598979495381,2.08203389611499,0.403333556216389,0.525769223632064,0.756289953355516,0.756289953355516,"cognps_random_slope"
"17","SCNN1D","Ast",0.503267257659253,3.71559449136368,2.71814672670931,0.100070612832766,0.279735578927671,0.279735578927671,"cognps_random_slope"
"18","ACAP3","Ast",-0.66871607474298,5.68168484533846,11.7527383568431,0.000676629654002258,0.00877785449945081,0.00877785449945081,"cognps_random_slope"
"19","PUSL1","Ast",-1.04258610384944,1.80492789767105,3.62850876985605,0.0575807564298697,0.197155056873756,0.197155056873756,"cognps_random_slope"
"20","INTS11","Ast",0.206792996145201,5.46782849593432,1.28193809925328,0.258279705085672,0.500184593612445,0.500184593612445,"cognps_random_slope"
"21","CPTP","Ast",-0.899288567664373,2.87603612495097,6.33664919757666,0.0122529256052421,0.0716234031093958,0.0716234031093958,"cognps_random_slope"
"22","DVL1","Ast",-0.239295807622769,4.34601278726098,1.08236288440645,0.332228528919915,0.580117189976956,0.580117189976956,"cognps_random_slope"
"23","MXRA8","Ast",0.619411810496448,3.71942202290223,3.15748497111989,0.0764094442901863,0.234749553408896,0.234749553408896,"cognps_random_slope"
"24","AURKAIP1","Ast",-0.036564100966523,3.98693792839357,0.0157127468179478,0.900314853051113,0.972595017938082,0.972595017938082,"cognps_random_slope"
"25","CCNL2","Ast",-0.209848114835229,6.81819665959701,1.49815191981266,0.221742726801358,0.459429032203221,0.459429032203221,"cognps_random_slope"
"26","MRPL20","Ast",0.163391695074665,4.80189455605796,0.52621833018394,0.682741643218592,0.862552703751214,0.862552703751214,"cognps_random_slope"
"27","ANKRD65","Ast",0.107082925772354,3.57137206095931,0.0719782405032776,0.788628986809443,0.922721418199393,0.922721418199393,"cognps_random_slope"
"28","VWA1","Ast",-0.991868569702239,4.59676860791885,10.5762075796487,0.00125186128554082,0.0138751824706826,0.0138751824706826,"cognps_random_slope"
"29","ATAD3C","Ast",-0.546016519427002,2.29879052699064,0.97951729414608,0.322971395191731,0.570254811400355,0.570254811400355,"cognps_random_slope"
"30","ATAD3B","Ast",-0.239904792077443,4.58736366656415,0.991620264471368,0.320004128894618,0.567520381390969,0.567520381390969,"cognps_random_slope"
"31","ATAD3A","Ast",-0.484151805264619,3.84683151426134,3.2752984910304,0.0711497150214389,0.224146383565025,0.224146383565025,"cognps_random_slope"
"32","TMEM240","Ast",-0.427699987915989,2.76227706359557,0.998130214754234,0.318422962555392,0.5658493116615,0.5658493116615,"cognps_random_slope"
"33","SSU72","Ast",-0.242324627584635,4.57165102721906,1.33676088294375,0.396635386783459,0.641914752689106,0.641914752689106,"cognps_random_slope"
"34","AL645728.1","Ast",0.846982165962219,2.18659499214688,2.94375813639881,0.0870556214511617,0.256117197839965,0.256117197839965,"cognps_random_slope"
"35","FNDC10","Ast",-1.34105425650582,2.47906424480075,8.04032839204455,0.00482867087854453,0.0371738835566721,0.0371738835566721,"cognps_random_slope"
"36","AL691432.2","Ast",-0.0142823962157777,2.2854928073749,0.000977662157654806,0.975073169211556,0.994514526459835,0.994514526459835,"cognps_random_slope"
