"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Exc NRGN",0.202755883661473,5.33091577675852,0.154547102587744,0.694461345264075,0.999751746871619,0.999751746871619,"cognps_random_slope"
"2","NOC2L","Exc NRGN",0.46312181175303,6.13385812782978,1.9244608056712,0.166228868013322,0.687063043729939,0.687063043729939,"cognps_random_slope"
"3","HES4","Exc NRGN",1.96066222818391,5.09730250236066,7.04525879991787,0.00830220355040111,0.232594769896834,0.232594769896834,"cognps_random_slope"
"4","ISG15","Exc NRGN",1.48813444612157,4.67711924863942,2.01224393342043,0.156904458042915,0.674083386568757,0.674083386568757,"cognps_random_slope"
"5","AGRN","Exc NRGN",-0.115923698926732,5.52336370156254,0.226158980992632,0.634676713567362,0.987996715773723,0.987996715773723,"cognps_random_slope"
"6","C1orf159","Exc NRGN",0.645887437359237,5.17164560452794,1.62966099231644,0.202577533311089,0.734829809523283,0.734829809523283,"cognps_random_slope"
"7","SDF4","Exc NRGN",-0.0568204382590692,5.96116029558418,0.0225603060432615,0.880690727678317,0.999751746871619,0.999751746871619,"cognps_random_slope"
"8","B3GALT6","Exc NRGN",1.03394358944597,5.05877157934354,3.27320824961085,0.0712585916096542,0.531665001632866,0.531665001632866,"cognps_random_slope"
"9","UBE2J2","Exc NRGN",-0.103134788627181,5.75400613322413,0.0759392315451558,0.783036801258497,0.999751746871619,0.999751746871619,"cognps_random_slope"
"10","SCNN1D","Exc NRGN",0.120761421227352,4.1596434646213,0.00358518121541863,0.952287505114157,0.999751746871619,0.999751746871619,"cognps_random_slope"
"11","ACAP3","Exc NRGN",0.105684882551201,6.72983576908446,0.0823714867446444,0.77427506914984,0.999751746871619,0.999751746871619,"cognps_random_slope"
"12","INTS11","Exc NRGN",0.185264736760468,6.01287062562033,0.22694064232317,0.860772219892419,0.999751746871619,0.999751746871619,"cognps_random_slope"
"13","CPTP","Exc NRGN",-0.291371975890437,5.15960201610836,0.368050067332246,0.658585758269319,0.991611262426667,0.991611262426667,"cognps_random_slope"
"14","DVL1","Exc NRGN",-0.304390754041006,5.78801780181276,0.476235031462769,0.490579848130513,0.936981536974949,0.936981536974949,"cognps_random_slope"
"15","AURKAIP1","Exc NRGN",0.335082190046669,6.39678935251076,0.911908973737008,0.340252877962542,0.857025600438538,0.857025600438538,"cognps_random_slope"
"16","CCNL2","Exc NRGN",0.415216912342292,6.31149400660725,1.57781203061645,0.73855022777238,0.999751746871619,0.999751746871619,"cognps_random_slope"
"17","MRPL20","Exc NRGN",0.0694139786244687,6.27016850558262,0.0353900768611776,0.85088722250475,0.999751746871619,0.999751746871619,"cognps_random_slope"
"18","ANKRD65","Exc NRGN",0.0164269432799417,5.25057076586399,5.61018991635202e-05,0.99402797735699,0.999751746871619,0.999751746871619,"cognps_random_slope"
"19","ATAD3C","Exc NRGN",0.733507260140625,3.68108166735252,0.413634859655514,0.520542124409741,0.946491210589521,0.946491210589521,"cognps_random_slope"
"20","ATAD3A","Exc NRGN",0.930116254293987,4.80477737192459,2.29495966809348,0.17747903014944,0.703601840353397,0.703601840353397,"cognps_random_slope"
"21","SSU72","Exc NRGN",-0.309850108401569,7.48287658491427,1.5601951088614,0.212452880856889,0.74173866974116,0.74173866974116,"cognps_random_slope"
"22","FNDC10","Exc NRGN",0.429470778713677,5.72181936510715,0.832709688840329,0.428111285320051,0.905193042913549,0.905193042913549,"cognps_random_slope"
"23","AL691432.2","Exc NRGN",0.344275826144103,4.86911227707256,0.296411201002122,0.586480067648609,0.973820173299745,0.973820173299745,"cognps_random_slope"
"24","MIB2","Exc NRGN",0.00832407448473676,6.04050987677385,0.000375586460885661,0.984548720830932,0.999751746871619,0.999751746871619,"cognps_random_slope"
"25","CDK11B","Exc NRGN",-0.0127727356391857,5.57572905429019,0.00108834457506004,0.973700895950092,0.999751746871619,0.999751746871619,"cognps_random_slope"
"26","SLC35E2B","Exc NRGN",-0.914350827665585,5.14792710205591,2.59749750244056,0.107913958871073,0.605761511937198,0.605761511937198,"cognps_random_slope"
"27","SLC35E2A","Exc NRGN",-0.598264851546545,5.34156566884782,1.24197640052761,0.265838213232717,0.800439413379273,0.800439413379273,"cognps_random_slope"
"28","NADK","Exc NRGN",0.207271433447764,5.24779428146024,0.173208367797703,0.916628752271533,0.999751746871619,0.999751746871619,"cognps_random_slope"
"29","GNB1","Exc NRGN",0.129785544712935,8.8895184819761,0.432036425250594,0.511413812613367,0.94298906798133,0.94298906798133,"cognps_random_slope"
"30","CFAP74","Exc NRGN",0.817347224485201,4.8485843618777,1.60690327481121,0.205751652270612,0.736946727318388,0.736946727318388,"cognps_random_slope"
"31","GABRD","Exc NRGN",1.07431978129448,7.40762415374345,10.5950194253245,0.0012420629123604,0.0924788900776571,0.0924788900776571,"cognps_random_slope"
"32","PRKCZ","Exc NRGN",0.193393455344514,7.56374747741587,0.588708838050561,0.443424634306117,0.912996715531463,0.912996715531463,"cognps_random_slope"
"33","FAAP20","Exc NRGN",-0.314876440849521,4.97523419705236,0.27859924041949,0.59794783602264,0.977529833316961,0.977529833316961,"cognps_random_slope"
"34","SKI","Exc NRGN",-0.235759625436002,6.43727668020519,0.432155440701694,0.511355684507174,0.94298906798133,0.94298906798133,"cognps_random_slope"
