"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","HES4","Fib",1.03950134778811,7.00044660790985,0.597086464262035,0.441100024849505,0.987544252395922,0.987544252395922,"cognps_random_slope"
"2","MXRA8","Fib",-1.34973886270114,7.33211053436031,1.6092479651509,0.206873413756482,0.908139328545473,0.908139328545473,"cognps_random_slope"
"3","CCNL2","Fib",0.562958866555647,7.97331112984437,0.942774868503502,0.333375494388768,0.951477942008083,0.951477942008083,"cognps_random_slope"
"4","GNB1","Fib",-0.391164138587196,8.42094100576077,0.487834498108404,0.972369396999455,0.999302120290706,0.999302120290706,"cognps_random_slope"
"5","SKI","Fib",-0.155582339382606,8.04635791654339,0.0423540114467194,0.837269648293849,0.999302120290706,0.999302120290706,"cognps_random_slope"
"6","CAMTA1","Fib",-0.624922617160702,8.46286762666061,0.978418957861655,0.324434229146535,0.951477942008083,0.951477942008083,"cognps_random_slope"
"7","PER3","Fib",0.474694902871019,7.90591509720472,0.290686357902424,0.590706854528825,0.992218832306582,0.992218832306582,"cognps_random_slope"
"8","ERRFI1","Fib",-1.54397755628804,7.6896138874581,2.05465427782779,0.154151904465267,0.857808487440385,0.857808487440385,"cognps_random_slope"
"9","RERE","Fib",0.193172780935842,9.73927954591641,0.240640833317412,0.624573918785337,0.999302120290706,0.999302120290706,"cognps_random_slope"
"10","SPSB1","Fib",1.35994075862556,7.15703564656681,1.40536563186403,0.237998248480386,0.929429346778011,0.929429346778011,"cognps_random_slope"
"11","UBE4B","Fib",0.0655238435598752,8.16785496489224,0.0124600453076464,0.932053315743913,0.999302120290706,0.999302120290706,"cognps_random_slope"
"12","KIF1B","Fib",-0.0540117450213754,8.20710971726232,0.00818403839365845,0.928056960267713,0.999302120290706,0.999302120290706,"cognps_random_slope"
"13","MTOR","Fib",0.640770837952479,7.14292877923109,0.493596280387444,0.483588570362922,0.990115037312857,0.990115037312857,"cognps_random_slope"
"14","VPS13D","Fib",-0.1225334292846,8.69384152132702,0.0543536571554741,0.914603633624313,0.999302120290706,0.999302120290706,"cognps_random_slope"
"15","DHRS3","Fib",-0.353093772643123,7.60060591376283,0.0711794974161308,0.790051531415583,0.999302120290706,0.999302120290706,"cognps_random_slope"
"16","PRDM2","Fib",-0.183106448060609,8.14533324712938,0.0891367995747805,0.765756004317482,0.999302120290706,0.999302120290706,"cognps_random_slope"
"17","KAZN","Fib",-0.939397397570173,11.0031951348157,1.14759197324391,0.286046458202492,0.951477942008083,0.951477942008083,"cognps_random_slope"
"18","PLEKHM2","Fib",0.381588135436151,7.30497465187725,0.190606349004958,0.699980179297209,0.999302120290706,0.999302120290706,"cognps_random_slope"
"19","FBLIM1","Fib",0.977541471633773,6.75104551880553,0.430869370470202,0.512727490325738,0.990546611194398,0.990546611194398,"cognps_random_slope"
"20","SPEN","Fib",-0.305739662294718,7.99228107260426,0.20875101668988,0.700209291584676,0.999302120290706,0.999302120290706,"cognps_random_slope"
