"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","HES4","End",-0.129905862735259,7.03721353062816,0.0671801116663056,0.795716904987546,0.972311267226253,0.972311267226253,"cognse_random_slope"
"2","ISG15","End",0.583501711598318,7.41612219822579,0.800417898224933,0.371893256285508,0.740730427299872,0.740730427299872,"cognse_random_slope"
"3","CCNL2","End",-0.05044455453171,7.67241067229691,0.0280777368834374,0.948709995315461,0.995990403992651,0.995990403992651,"cognse_random_slope"
"4","VWA1","End",0.113742873703293,7.01866087204113,0.04660359082848,0.82927152530775,0.984778001646394,0.984778001646394,"cognse_random_slope"
"5","GNB1","End",0.065151503443209,9.02266735241118,0.0866229767999766,0.768777536926752,0.969006684539195,0.969006684539195,"cognse_random_slope"
"6","SKI","End",-0.0254899568787144,7.86919928688459,0.00600451666674731,0.964984997566792,0.997180432729773,0.997180432729773,"cognse_random_slope"
"7","CAMTA1","End",0.236492143458766,8.98799803847185,0.79003557449104,0.386706696768082,0.754268580876894,0.754268580876894,"cognse_random_slope"
"8","PER3","End",0.830499699450576,7.36590030431265,2.36744333077888,0.125248996680319,0.49792687478395,0.49792687478395,"cognse_random_slope"
"9","PARK7","End",0.641111794373758,6.82885158250017,1.3058173026013,0.254328166054274,0.652536948390402,0.652536948390402,"cognse_random_slope"
"10","RERE","End",-0.0159068012644433,9.56390950810345,0.00555937348755509,0.940627922745461,0.995990403992651,0.995990403992651,"cognse_random_slope"
"11","ENO1","End",0.911174881008888,7.20054867951966,3.5336195819894,0.0613863523089599,0.376688020903429,0.376688020903429,"cognse_random_slope"
"12","CLSTN1","End",0.744963121851124,7.34364781023696,3.39450565510994,0.0666866942148786,0.389043779435088,0.389043779435088,"cognse_random_slope"
"13","UBE4B","End",0.801417895186305,7.57977017548839,4.48529957411946,0.035248862125264,0.285256231023218,0.285256231023218,"cognse_random_slope"
"14","KIF1B","End",0.306881241558727,8.21171079574183,1.00079397148422,0.328774125910507,0.700790231841717,0.700790231841717,"cognse_random_slope"
"15","PEX14","End",-0.224736910040048,6.95432677003864,0.186519358718222,0.666229505114196,0.924580009745037,0.924580009745037,"cognse_random_slope"
"16","MTOR","End",0.26996374546073,7.12289524531682,0.412159695950735,0.566191218668916,0.872315883224487,0.872315883224487,"cognse_random_slope"
"17","TNFRSF1B","End",-0.145834877486795,7.6287713084842,0.15895912454264,0.690482387246083,0.93562077880458,0.93562077880458,"cognse_random_slope"
"18","VPS13D","End",-0.00324789370201758,8.54177225961941,0.000128383884477689,0.990969345669704,0.999815178456912,0.999815178456912,"cognse_random_slope"
"19","PRDM2","End",0.569011876413122,8.0402841097162,3.30032529048227,0.108107580167742,0.46959607086179,0.46959607086179,"cognse_random_slope"
"20","KAZN","End",1.29141880388699,6.94076155614379,2.6686894490817,0.103693021198993,0.464719491327973,0.464719491327973,"cognse_random_slope"
