"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Exc L5 ET",0.306487059350748,5.44419280755582,0.444035434914764,0.5063811968001,0.861988047876095,0.861988047876095,"cognse_random_slope"
"2","NOC2L","Exc L5 ET",0.0267259910289516,5.037209638708,0.00350543327828651,0.952879871992454,0.99858399835863,0.99858399835863,"cognse_random_slope"
"3","KLHL17","Exc L5 ET",0.744361395416138,3.70995501699058,0.801972901456229,0.372186299949673,0.790935774867748,0.790935774867748,"cognse_random_slope"
"4","HES4","Exc L5 ET",1.99846834353645,5.15312822593588,8.71729798491877,0.0037514294073273,0.134920456367019,0.134920456367019,"cognse_random_slope"
"5","AGRN","Exc L5 ET",0.769781093835282,5.19907747670354,2.07461428391178,0.152210974324686,0.602936408435093,0.602936408435093,"cognse_random_slope"
"6","C1orf159","Exc L5 ET",0.379903466052238,5.68922555357043,1.05238647264651,0.306894185864236,0.750383297633154,0.750383297633154,"cognse_random_slope"
"7","SDF4","Exc L5 ET",-0.264965773480875,5.23193352340234,0.386622507357823,0.53518678772583,0.870852601258355,0.870852601258355,"cognse_random_slope"
"8","UBE2J2","Exc L5 ET",-0.374758161936767,4.90957991586882,0.783182059034021,0.4270505756701,0.819774556969583,0.819774556969583,"cognse_random_slope"
"9","SCNN1D","Exc L5 ET",-0.129913665547776,3.67284222235869,0.0268374306924089,0.870130360490696,0.981452295300587,0.981452295300587,"cognse_random_slope"
"10","ACAP3","Exc L5 ET",0.143921722106349,6.37618283411626,0.280800858419603,0.597095387496269,0.90009885059617,0.90009885059617,"cognse_random_slope"
"11","INTS11","Exc L5 ET",0.236396183226082,5.50234743541851,0.457702591713126,0.567827163543561,0.885963101293691,0.885963101293691,"cognse_random_slope"
"12","DVL1","Exc L5 ET",-0.379688936763239,4.35658181044017,0.461747176807861,0.498036392200212,0.858529258556938,0.858529258556938,"cognse_random_slope"
"13","AURKAIP1","Exc L5 ET",-0.513120266642881,4.83360512800234,1.05549841840199,0.306183004719568,0.749675223788198,0.749675223788198,"cognse_random_slope"
"14","CCNL2","Exc L5 ET",0.353178487729784,5.67383103001707,1.15154473965792,0.285246309086466,0.734289791015062,0.734289791015062,"cognse_random_slope"
"15","MRPL20","Exc L5 ET",0.2864054576969,4.78787610815442,0.375116094288186,0.54131596191096,0.874039035753796,0.874039035753796,"cognse_random_slope"
"16","ATAD3B","Exc L5 ET",0.764468184202746,4.8612106600526,2.20387586764011,0.140124365868295,0.588059565156636,0.588059565156636,"cognse_random_slope"
"17","ATAD3A","Exc L5 ET",-0.850598018313416,4.24478129318614,2.19674481116711,0.140761956279198,0.588280302312158,0.588280302312158,"cognse_random_slope"
"18","SSU72","Exc L5 ET",-0.781550309620833,5.73830661492665,5.18139696123649,0.0244919232192685,0.308356408997141,0.308356408997141,"cognse_random_slope"
"19","FNDC10","Exc L5 ET",0.0104094282644874,4.0354590403431,0.000269814881628438,0.986920096810681,0.999607560127027,0.999607560127027,"cognse_random_slope"
"20","AL691432.2","Exc L5 ET",-0.682958909668648,3.47898390908395,0.713920158075261,0.399723110289173,0.80358475806844,0.80358475806844,"cognse_random_slope"
"21","MIB2","Exc L5 ET",0.147753499438606,5.37395063222155,0.171254999375952,0.679691889964865,0.925156011238973,0.925156011238973,"cognse_random_slope"
"22","CDK11B","Exc L5 ET",0.145964059108227,5.00280744297223,0.10849083207773,0.742407614696532,0.945880274570367,0.945880274570367,"cognse_random_slope"
"23","SLC35E2B","Exc L5 ET",1.00794215185083,4.91999232831899,3.34507988619167,0.0697355320290691,0.462820059963283,0.462820059963283,"cognse_random_slope"
"24","CDK11A","Exc L5 ET",0.478104773953162,4.22279390591699,0.516190724267551,0.473781464014694,0.84593699067336,0.84593699067336,"cognse_random_slope"
"25","SLC35E2A","Exc L5 ET",0.330166051476574,4.66535503291316,0.374421639088045,0.541690010037378,0.874275612025561,0.874275612025561,"cognse_random_slope"
"26","NADK","Exc L5 ET",-6.9944063060061e-05,4.41707786365836,2.20566585086477e-06,0.998817337134077,0.999607560127027,0.999607560127027,"cognse_random_slope"
"27","GNB1","Exc L5 ET",-0.108014168780214,7.29749885913685,0.28091738695551,0.59701938075771,0.90009885059617,0.90009885059617,"cognse_random_slope"
"28","CFAP74","Exc L5 ET",-0.567105017086278,4.89228063805938,1.5461161333024,0.215983866252665,0.66927823325395,0.66927823325395,"cognse_random_slope"
"29","GABRD","Exc L5 ET",-0.00544879382325595,5.78253542178959,0.000228776332490109,0.987955740052272,0.999607560127027,0.999607560127027,"cognse_random_slope"
"30","PRKCZ","Exc L5 ET",0.243035330199743,6.70532680285321,0.976017139346528,0.467746436702314,0.843592324103143,0.843592324103143,"cognse_random_slope"
"31","FAAP20","Exc L5 ET",-0.437267011800336,3.61222694562999,0.272834013208685,0.602340441119986,0.901396445191681,0.901396445191681,"cognse_random_slope"
"32","SKI","Exc L5 ET",0.102338428611918,5.80857482353083,0.0892741048119018,0.765586882243944,0.953134901380996,0.953134901380996,"cognse_random_slope"
"33","MORN1","Exc L5 ET",0.256678557813182,5.14266689235908,0.385638321463334,0.535706061207988,0.870852601258355,0.870852601258355,"cognse_random_slope"
"34","RER1","Exc L5 ET",0.117349750935641,4.93793850589735,0.0655975180405713,0.798269524634249,0.960485528109262,0.960485528109262,"cognse_random_slope"
"35","PEX10","Exc L5 ET",0.0772988575130752,4.16209949041479,0.0171573871015562,0.895992004342425,0.989972454464874,0.989972454464874,"cognse_random_slope"
"36","FAM213B","Exc L5 ET",0.193167219147132,3.66160766839647,0.0555666784244875,0.814022410052067,0.964091992692369,0.964091992692369,"cognse_random_slope"
"37","TPRG1L","Exc L5 ET",-0.735801619772612,5.356064159465,4.10023107743431,0.0449588371093266,0.396935950520312,0.396935950520312,"cognse_random_slope"
"38","WRAP73","Exc L5 ET",0.258820647437375,4.05264296845652,0.124818322680763,0.724447849987822,0.939104042425835,0.939104042425835,"cognse_random_slope"
"39","LRRC47","Exc L5 ET",0.206293939793212,4.68258232560998,0.235071005526951,0.628618241426913,0.907742802352341,0.907742802352341,"cognse_random_slope"
"40","CEP104","Exc L5 ET",-0.072212096026127,5.59646948497907,0.045069546122297,0.923790013421262,0.997031045642233,0.997031045642233,"cognse_random_slope"
"41","DFFB","Exc L5 ET",0.11768911052802,4.74920928339107,0.051330410671176,0.821125882214489,0.965455327129745,0.965455327129745,"cognse_random_slope"
"42","AJAP1","Exc L5 ET",0.338510429781903,6.31059767628784,1.45054974416581,0.230663568444663,0.680934375706162,0.680934375706162,"cognse_random_slope"
"43","NPHP4","Exc L5 ET",0.118450834698563,5.84534422461176,0.108754722882066,0.742105783789326,0.945811275120854,0.945811275120854,"cognse_random_slope"
"44","KCNAB2","Exc L5 ET",-0.566151422018263,7.27727816049916,6.57480198448874,0.0114991813740592,0.220803772519859,0.220803772519859,"cognse_random_slope"
"45","CHD5","Exc L5 ET",-0.483649957558613,6.88145153834321,4.94940244893977,0.0278526707871502,0.327326667373054,0.327326667373054,"cognse_random_slope"
"46","RPL22","Exc L5 ET",-0.788244278000339,4.88871356591735,3.60331859599836,0.0599174425254191,0.441468987866297,0.441468987866297,"cognse_random_slope"
"47","RNF207","Exc L5 ET",-0.264812092578358,4.82800836118482,0.267304283206135,0.606038668673712,0.901857898256458,0.901857898256458,"cognse_random_slope"
"48","ICMT","Exc L5 ET",0.247566214288731,3.94403992405723,0.123224657336166,0.72614056578069,0.93944171875744,0.93944171875744,"cognse_random_slope"
"49","ACOT7","Exc L5 ET",0.492596735066645,6.56941098001578,3.16039013608215,0.0778213516293925,0.48256053235325,0.48256053235325,"cognse_random_slope"
"50","TNFRSF25","Exc L5 ET",0.00875869947672145,5.81034265539551,0.000473275185710813,0.98267737891208,0.999607560127027,0.999607560127027,"cognse_random_slope"
"51","PLEKHG5","Exc L5 ET",0.917838241018626,5.21681955547232,4.00970200457171,0.0473537138337906,0.403028774024872,0.403028774024872,"cognse_random_slope"
"52","NOL9","Exc L5 ET",0.992332996998573,5.18118250993341,5.27296235031602,0.0232854224467851,0.302177034249287,0.302177034249287,"cognse_random_slope"
"53","ZBTB48","Exc L5 ET",0.485905257353898,4.22190136693165,0.570243567611614,0.451550341080755,0.834025477518465,0.834025477518465,"cognse_random_slope"
"54","KLHL21","Exc L5 ET",-1.32937334854256,4.57785876358851,8.76170143457939,0.00366696828972309,0.13444363674522,0.13444363674522,"cognse_random_slope"
"55","DNAJC11","Exc L5 ET",0.243498838966647,6.09671429216179,0.609624125249246,0.436371947017942,0.824858739795037,0.824858739795037,"cognse_random_slope"
"56","CAMTA1","Exc L5 ET",0.215006340784119,9.21111887530891,1.64192246783484,0.202379942826665,0.655681699816923,0.655681699816923,"cognse_random_slope"
"57","VAMP3","Exc L5 ET",-0.306993938991695,3.94140190706367,0.201769868615346,0.654056177661167,0.918211078130714,0.918211078130714,"cognse_random_slope"
"58","PER3","Exc L5 ET",-0.299041547885476,5.85203993609478,0.779379290969788,0.378987163965747,0.794445270169359,0.794445270169359,"cognse_random_slope"
"59","PARK7","Exc L5 ET",-0.614382958231632,5.32165861818615,2.18112040279432,0.142170490583921,0.589549592908213,0.589549592908213,"cognse_random_slope"
"60","ERRFI1","Exc L5 ET",0.242576734594892,4.67524049934383,0.250018969409164,0.617920830389938,0.904059798398669,0.904059798398669,"cognse_random_slope"
"61","SLC45A1","Exc L5 ET",-0.426515216355943,4.57318257357083,0.629460315450541,0.42902259187286,0.821151705242039,0.821151705242039,"cognse_random_slope"
"62","RERE","Exc L5 ET",0.0327743152655323,8.63134314236813,0.0373393345101975,0.88975867837374,0.988177201271822,0.988177201271822,"cognse_random_slope"
"63","ENO1","Exc L5 ET",-0.752856772569065,6.54824966068686,6.70145266358532,0.0107484941601401,0.213631035684609,0.213631035684609,"cognse_random_slope"
"64","GPR157","Exc L5 ET",0.401079239803913,3.61161569864166,0.212637542944168,0.645491058125785,0.915011035724102,0.915011035724102,"cognse_random_slope"
"65","MIR34AHG","Exc L5 ET",0.195884145375438,7.3032914642627,0.357436345017908,0.550990510805242,0.879296869121712,0.879296869121712,"cognse_random_slope"
"66","LINC01759","Exc L5 ET",0.921467801260171,3.55520998069606,1.00477408398016,0.318050539919721,0.760152886801383,0.760152886801383,"cognse_random_slope"
"67","H6PD","Exc L5 ET",0.937433414273025,4.59973208221584,2.6443804512992,0.106377849648937,0.541399217732618,0.541399217732618,"cognse_random_slope"
"68","SPSB1","Exc L5 ET",-1.20791996625183,3.45805270337452,1.77745839300809,0.184831282909832,0.63723481560727,0.63723481560727,"cognse_random_slope"
"69","SLC25A33","Exc L5 ET",-0.0644606620462293,4.53938044086809,0.0137018454698384,0.907000155957872,0.991750418699714,0.991750418699714,"cognse_random_slope"
