"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","ISG15","T cells",13.1960793606011,7.25982596432067,6.47855562159203,0.012837742245125,0.425867411016166,0.425867411016166,"cognwo_random_slope"
"2","GNB1","T cells",3.0752760710692,9.60276847127652,5.93104221356653,0.0170977817507015,0.440204082387463,0.440204082387463,"cognwo_random_slope"
"3","SKI","T cells",-0.569824236817262,8.33665526357499,0.0428535617715818,0.836526670288001,0.98614463660186,0.98614463660186,"cognwo_random_slope"
"4","KCNAB2","T cells",-1.38453713187711,8.78877089724356,0.532427809732952,0.467716716985972,0.907666615273405,0.907666615273405,"cognwo_random_slope"
"5","RERE","T cells",-1.2370581103742,9.97666524927216,0.769249115976652,0.383072756015766,0.884242854866515,0.884242854866515,"cognwo_random_slope"
"6","PIK3CD","T cells",0.0125786694499729,9.36137354392648,5.20888477706715e-05,0.994259456572757,0.998525934012476,0.998525934012476,"cognwo_random_slope"
"7","UBE4B","T cells",0.323174587244697,8.48356942965389,0.022006656008465,0.882442262577962,0.98614463660186,0.98614463660186,"cognwo_random_slope"
"8","TNFRSF1B","T cells",2.16263332708456,9.58761489810267,2.31318472606392,0.132219396315751,0.70207290700303,0.70207290700303,"cognwo_random_slope"
"9","VPS13D","T cells",-0.524974004817904,9.10885826910715,0.132376385663654,0.716939449416654,0.985542821504523,0.985542821504523,"cognwo_random_slope"
"10","PRDM2","T cells",-2.72093410051935,9.28233267606717,4.20265732811558,0.0436326553201626,0.585882033305945,0.585882033305945,"cognwo_random_slope"
"11","SPEN","T cells",1.39246831306168,8.63740922595883,0.439214701451787,0.672535362910639,0.964337825731896,0.964337825731896,"cognwo_random_slope"
"12","FBXO42","T cells",-1.73984624655502,8.53215017157632,0.527948891831948,0.469588827886995,0.907666615273405,0.907666615273405,"cognwo_random_slope"
"13","CAPZB","T cells",3.83122800968817,9.61315807281268,6.65135823510595,0.0117377082903659,0.418158205631253,0.418158205631253,"cognwo_random_slope"
"14","HP1BP3","T cells",0.408545418998031,9.12778797689309,0.0647811902709597,0.803767728098175,0.98614463660186,0.98614463660186,"cognwo_random_slope"
