"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L3-4 RORB CUX2",0.0273731719242467,3.01945803495967,0.163078960503901,0.68656525857196,0.813576262569072,0.813576262569072,"diabetes_sr_rx_bl"
"2","AL669831.5","Exc L3-4 RORB CUX2",-0.0968853401831118,5.84166912394894,6.06016769349987,0.0142710263834082,0.048581159500313,0.048581159500313,"diabetes_sr_rx_bl"
"3","LINC00115","Exc L3-4 RORB CUX2",0.0390284103728534,0.533932618917656,0.0937026690416037,0.759689822158597,0.864239316951923,0.864239316951923,"diabetes_sr_rx_bl"
"4","NOC2L","Exc L3-4 RORB CUX2",0.0851139602263351,4.66753457676418,7.5265771983559,0.00636838076634436,0.0259761566964388,0.0259761566964388,"diabetes_sr_rx_bl"
"5","KLHL17","Exc L3-4 RORB CUX2",-0.0411122126577744,2.95089227812363,0.679031351598268,0.410438808025345,0.579238755279681,0.579238755279681,"diabetes_sr_rx_bl"
"6","AL645608.8","Exc L3-4 RORB CUX2",-0.220588073932699,-0.299533771183172,1.32095802480204,0.251145066216316,0.411659608816822,0.411659608816822,"diabetes_sr_rx_bl"
"7","HES4","Exc L3-4 RORB CUX2",0.096928249776727,4.16626321533855,0.97466986157165,0.32414821761521,0.49248733566434,0.49248733566434,"diabetes_sr_rx_bl"
"8","ISG15","Exc L3-4 RORB CUX2",0.282189350667742,2.27847761389593,5.72856692623557,0.0171768726330094,0.0559659990172229,0.0559659990172229,"diabetes_sr_rx_bl"
"9","AL645608.2","Exc L3-4 RORB CUX2",0.116175299164273,-0.669503389455897,0.684311634724826,0.408626574614969,0.577396104089209,0.577396104089209,"diabetes_sr_rx_bl"
"10","AGRN","Exc L3-4 RORB CUX2",-0.00537073481601917,5.46542786500956,0.0134430998923921,0.907758037380542,0.9575563831844,0.9575563831844,"diabetes_sr_rx_bl"
"11","C1orf159","Exc L3-4 RORB CUX2",-0.0711351354845851,5.54860434667376,6.6435782229825,0.0103285024774553,0.0379116606191856,0.0379116606191856,"diabetes_sr_rx_bl"
