"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L5_6 IT Car3",0.0232547859391181,3.41589350775266,0.049813558490055,0.823512941690524,0.943458438258188,0.943458438258188,"diabetes_sr_rx_bl"
"2","AL669831.5","Exc L5_6 IT Car3",-0.0908161250980584,6.09987330644518,3.16040516311395,0.0762774615154938,0.273483492049478,0.273483492049478,"diabetes_sr_rx_bl"
"3","NOC2L","Exc L5_6 IT Car3",-0.0126507496809663,4.89706598277045,0.0554461067684291,0.930326136916782,0.985159105110471,0.985159105110471,"diabetes_sr_rx_bl"
"4","KLHL17","Exc L5_6 IT Car3",0.0214454156897904,3.09839416614881,0.0391916416187407,0.843179756820853,0.951722240136297,0.951722240136297,"diabetes_sr_rx_bl"
"5","HES4","Exc L5_6 IT Car3",0.0946069517532353,5.21513881571372,1.52233971814951,0.218060118328286,0.490777069748438,0.490777069748438,"diabetes_sr_rx_bl"
"6","ISG15","Exc L5_6 IT Car3",0.259275254573975,2.87113062594034,2.39934545336217,0.122253136348578,0.359472470347098,0.359472470347098,"diabetes_sr_rx_bl"
"7","AGRN","Exc L5_6 IT Car3",-0.0987830095253926,5.51519805327092,2.39185628676191,0.122835803398037,0.360492780146375,0.360492780146375,"diabetes_sr_rx_bl"
"8","C1orf159","Exc L5_6 IT Car3",-0.0765518946856418,5.47558924173718,2.58600519844337,0.108677063146521,0.336514435555506,0.336514435555506,"diabetes_sr_rx_bl"
"9","SDF4","Exc L5_6 IT Car3",0.0219852165889278,5.09492327966686,0.148405274545952,0.700288544945009,0.880772267681463,0.880772267681463,"diabetes_sr_rx_bl"
"10","B3GALT6","Exc L5_6 IT Car3",0.0427747288436965,3.23973279558455,0.189484855881373,0.663603150210896,0.85901629716707,0.85901629716707,"diabetes_sr_rx_bl"
"11","UBE2J2","Exc L5_6 IT Car3",-0.0269877835591356,4.80323570042025,0.261048163760489,0.67328861770505,0.864193845965215,0.864193845965215,"diabetes_sr_rx_bl"
"12","LINC01786","Exc L5_6 IT Car3",-0.0989440960470871,2.5401937630598,0.565732144803907,0.452444894685173,0.720494805318942,0.720494805318942,"diabetes_sr_rx_bl"
"13","SCNN1D","Exc L5_6 IT Car3",-0.00949097897648801,3.1950389752556,0.00838776156202741,0.927078261116525,0.984602937130164,0.984602937130164,"diabetes_sr_rx_bl"
"14","ACAP3","Exc L5_6 IT Car3",0.0434485080504357,6.64342308907421,1.12230430484967,0.290123779331623,0.573044793978262,0.573044793978262,"diabetes_sr_rx_bl"
"15","PUSL1","Exc L5_6 IT Car3",0.116145910103497,2.32564492233329,0.736791003260421,0.391254423904622,0.669889156361207,0.669889156361207,"diabetes_sr_rx_bl"
"16","INTS11","Exc L5_6 IT Car3",0.00342742309057165,5.22987598172824,0.00506395806116887,0.943308225219408,0.987832697034408,0.987832697034408,"diabetes_sr_rx_bl"
"17","CPTP","Exc L5_6 IT Car3",0.154705557805143,3.14940224677696,2.34191460182636,0.142304368296524,0.389596702073863,0.389596702073863,"diabetes_sr_rx_bl"
"18","DVL1","Exc L5_6 IT Car3",-0.0149091198524634,4.37572334240601,0.0575818929921809,0.810494288315382,0.936991192590612,0.936991192590612,"diabetes_sr_rx_bl"
"19","AURKAIP1","Exc L5_6 IT Car3",0.162661688495981,4.3328220927395,5.50324906869937,0.0195160049490756,0.116337823715509,0.116337823715509,"diabetes_sr_rx_bl"
"20","CCNL2","Exc L5_6 IT Car3",0.0503733866546372,6.02358566134602,1.72633462050778,0.189705349005158,0.455466813348087,0.455466813348087,"diabetes_sr_rx_bl"
"21","MRPL20","Exc L5_6 IT Car3",0.0545730883704586,4.8324045023934,0.980626625486943,0.322700542917824,0.607737887619194,0.607737887619194,"diabetes_sr_rx_bl"
"22","ANKRD65","Exc L5_6 IT Car3",-0.0862694499775366,3.24635491604071,0.474009038030204,0.491586190112584,0.748541528486391,0.748541528486391,"diabetes_sr_rx_bl"
"23","ATAD3C","Exc L5_6 IT Car3",-0.0641977223940257,1.7250150748474,0.0674553730779245,0.795224955832054,0.930017222873579,0.930017222873579,"diabetes_sr_rx_bl"
"24","ATAD3B","Exc L5_6 IT Car3",-0.00661153132173714,4.58776539321707,0.00959611363685329,0.922018053266483,0.983541307954645,0.983541307954645,"diabetes_sr_rx_bl"
"25","ATAD3A","Exc L5_6 IT Car3",0.00911277772807218,3.88705607760537,0.015327442702841,0.901538613129624,0.976016393783094,0.976016393783094,"diabetes_sr_rx_bl"
"26","TMEM240","Exc L5_6 IT Car3",-0.0158677325078761,2.25263166287749,0.013262942834012,0.908377824335325,0.979377313479969,0.979377313479969,"diabetes_sr_rx_bl"
"27","SSU72","Exc L5_6 IT Car3",0.0554043214569949,5.55801186305052,1.52319497031448,0.217931142361793,0.490743311956046,0.490743311956046,"diabetes_sr_rx_bl"
