"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh CUX2 MSR1",0.0760556389954987,3.43290053506603,0.189226996089803,0.663822839451953,0.852244796803156,0.852244796803156,"diabetes_sr_rx_bl"
"2","AL669831.5","Inh CUX2 MSR1",-0.240105078331562,5.58121760018346,8.97476294098236,0.00292802701860794,0.0336283761362677,0.0336283761362677,"diabetes_sr_rx_bl"
"3","NOC2L","Inh CUX2 MSR1",0.0358351319530363,4.73079215388758,0.161964265987316,0.687594625912323,0.866260574569967,0.866260574569967,"diabetes_sr_rx_bl"
"4","KLHL17","Inh CUX2 MSR1",-0.114475822276711,3.37885852345476,0.360090142118598,0.548835767108047,0.783371937075298,0.783371937075298,"diabetes_sr_rx_bl"
"5","HES4","Inh CUX2 MSR1",0.22434557817555,4.58290460771961,3.5590472381949,0.0600306810953811,0.239235472124824,0.239235472124824,"diabetes_sr_rx_bl"
"6","ISG15","Inh CUX2 MSR1",0.351463300042055,3.40654455027061,3.1298730731199,0.0777209686560324,0.276984551557575,0.276984551557575,"diabetes_sr_rx_bl"
"7","AGRN","Inh CUX2 MSR1",-0.333304137011143,3.51572465093845,3.53897084414325,0.0607538459524824,0.240984161945922,0.240984161945922,"diabetes_sr_rx_bl"
"8","C1orf159","Inh CUX2 MSR1",-0.0635480474803593,5.6364155773543,0.763315441723656,0.382878545876801,0.661492801555608,0.661492801555608,"diabetes_sr_rx_bl"
"9","SDF4","Inh CUX2 MSR1",0.0199261610750593,5.45160072092832,0.0576714447809349,0.810352339015277,0.933013735715558,0.933013735715558,"diabetes_sr_rx_bl"
"10","B3GALT6","Inh CUX2 MSR1",0.162482128944276,3.34132477038449,0.888712675063887,0.346462045345658,0.629197320562837,0.629197320562837,"diabetes_sr_rx_bl"
"11","UBE2J2","Inh CUX2 MSR1",0.0942394345195477,5.13257701356495,1.53436561884425,0.216269882123679,0.492612097729556,0.492612097729556,"diabetes_sr_rx_bl"
"12","SCNN1D","Inh CUX2 MSR1",0.321704225103458,3.89989529942006,5.97726718242501,0.0149728306957547,0.10024698836029,0.10024698836029,"diabetes_sr_rx_bl"
"13","ACAP3","Inh CUX2 MSR1",0.0584079267929893,6.40786476095296,1.06101037832835,0.303680161178497,0.588924611546684,0.588924611546684,"diabetes_sr_rx_bl"
"14","INTS11","Inh CUX2 MSR1",0.196442556981576,5.47701653015243,7.98283139492693,0.00498700702745748,0.0493871881250046,0.0493871881250046,"diabetes_sr_rx_bl"
"15","CPTP","Inh CUX2 MSR1",0.084274004748148,3.28688852027994,0.2046159968803,0.651294399170162,0.844383865343111,0.844383865343111,"diabetes_sr_rx_bl"
"16","DVL1","Inh CUX2 MSR1",0.18187603462566,4.35263337293558,2.67372098876741,0.102896052928182,0.326695962094951,0.326695962094951,"diabetes_sr_rx_bl"
"17","AURKAIP1","Inh CUX2 MSR1",0.39135413520438,4.10439658795394,9.88142260271662,0.00180894917214957,0.0240060100429335,0.0240060100429335,"diabetes_sr_rx_bl"
"18","CCNL2","Inh CUX2 MSR1",0.0244319713243804,6.13854428328378,0.181118157390643,0.670669757193601,0.855940834697169,0.855940834697169,"diabetes_sr_rx_bl"
"19","MRPL20","Inh CUX2 MSR1",0.245444516153891,4.72540635501128,6.62538715578792,0.0104549478492393,0.0797668818542608,0.0797668818542608,"diabetes_sr_rx_bl"
"20","ATAD3B","Inh CUX2 MSR1",0.154879767321517,4.7112992242679,2.47882332704596,0.116271713140733,0.350136518551914,0.350136518551914,"diabetes_sr_rx_bl"
"21","ATAD3A","Inh CUX2 MSR1",-0.149367258546754,4.15337748350958,1.35819926619466,0.244625606396016,0.52688529715556,0.52688529715556,"diabetes_sr_rx_bl"
"22","SSU72","Inh CUX2 MSR1",0.0552845937359278,5.29253130753138,0.528139696047321,0.467864873080721,0.726517712106887,0.726517712106887,"diabetes_sr_rx_bl"
"23","FNDC10","Inh CUX2 MSR1",0.157072202887933,4.07740189327906,1.59007324372758,0.208136697724948,0.483235573739489,0.483235573739489,"diabetes_sr_rx_bl"
"24","MIB2","Inh CUX2 MSR1",0.180366357700449,5.29553365903844,6.71630598894328,0.00994446084951471,0.0770111511218294,0.0770111511218294,"diabetes_sr_rx_bl"
"25","CDK11B","Inh CUX2 MSR1",0.0302674888139449,4.99118929304985,0.119321181009959,0.729974743790585,0.889349130120402,0.889349130120402,"diabetes_sr_rx_bl"
"26","SLC35E2B","Inh CUX2 MSR1",-0.0933868423214594,4.96216940146014,1.07237432568276,0.301108647976547,0.586978803745277,0.586978803745277,"diabetes_sr_rx_bl"
"27","CDK11A","Inh CUX2 MSR1",-0.0884629796862018,4.53634788535303,0.551915096659784,0.458023385149404,0.720478558250438,0.720478558250438,"diabetes_sr_rx_bl"
"28","SLC35E2A","Inh CUX2 MSR1",0.220022129361459,4.98011167571469,5.1163030559088,0.0243011231916659,0.136251666137015,0.136251666137015,"diabetes_sr_rx_bl"
"29","NADK","Inh CUX2 MSR1",-0.00933557981371203,4.08748921309262,0.00602640201345058,0.997263051825909,0.999284530985016,0.999284530985016,"diabetes_sr_rx_bl"
"30","GNB1","Inh CUX2 MSR1",0.0235936888581283,7.4722701467171,0.404213142976385,0.525327550366692,0.768209793855594,0.768209793855594,"diabetes_sr_rx_bl"
"31","CFAP74","Inh CUX2 MSR1",-0.330332899301201,4.1962693328009,6.23892088932125,0.0129453068254984,0.0909313914610499,0.0909313914610499,"diabetes_sr_rx_bl"
"32","GABRD","Inh CUX2 MSR1",0.0458608488277159,5.55304722634,0.390618875529995,0.532372373191936,0.772607441657386,0.772607441657386,"diabetes_sr_rx_bl"
"33","PRKCZ","Inh CUX2 MSR1",-0.0461928159579863,6.72687202556357,0.92576901881912,0.336614103199065,0.620508036102191,0.620508036102191,"diabetes_sr_rx_bl"
"34","FAAP20","Inh CUX2 MSR1",0.152882413183709,4.71973551775293,2.94493285670432,0.0870122658101717,0.295622428857926,0.295622428857926,"diabetes_sr_rx_bl"
"35","SKI","Inh CUX2 MSR1",0.0103858941140203,6.69101770796195,0.0420139700218246,0.837709619858122,0.947461628581408,0.947461628581408,"diabetes_sr_rx_bl"
"36","MORN1","Inh CUX2 MSR1",0.032858357727551,4.92631697158655,0.141761112573311,0.706759486191721,0.875991908083847,0.875991908083847,"diabetes_sr_rx_bl"
"37","RER1","Inh CUX2 MSR1",0.0714587965638014,4.84827537372269,0.651789100770755,0.420009746172515,0.690610485245699,0.690610485245699,"diabetes_sr_rx_bl"
