"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh L1-6 LAMP5 CA13",0.0868198227950188,3.30466617927803,0.372293092155107,0.542145914104835,0.745557594165815,0.745557594165815,"diabetes_sr_rx_bl"
"2","AL669831.5","Inh L1-6 LAMP5 CA13",-0.126478808604238,5.7200966388423,3.98961015000415,0.046541634653897,0.165901478523739,0.165901478523739,"diabetes_sr_rx_bl"
"3","NOC2L","Inh L1-6 LAMP5 CA13",0.0568435867677614,4.62037658746587,0.471634039026559,0.492683074197826,0.709428039679782,0.709428039679782,"diabetes_sr_rx_bl"
"4","HES4","Inh L1-6 LAMP5 CA13",0.168201150851746,5.02459069778986,3.29530765297087,0.0703186147380987,0.219587471728119,0.219587471728119,"diabetes_sr_rx_bl"
"5","ISG15","Inh L1-6 LAMP5 CA13",0.0203849905384897,3.40883726793415,0.00739497502040071,0.931519454455624,0.977319482684906,0.977319482684906,"diabetes_sr_rx_bl"
"6","AGRN","Inh L1-6 LAMP5 CA13",-0.0499384051733568,4.75670730991276,0.230445137730247,0.631488510580994,0.809467933172233,0.809467933172233,"diabetes_sr_rx_bl"
"7","C1orf159","Inh L1-6 LAMP5 CA13",-0.0529044677768615,5.48997754495765,0.634765282264023,0.426143270729079,0.655929821548525,0.655929821548525,"diabetes_sr_rx_bl"
"8","SDF4","Inh L1-6 LAMP5 CA13",0.109073236741958,5.63668328409263,3.02651860226285,0.0827770735009207,0.246331969398446,0.246331969398446,"diabetes_sr_rx_bl"
"9","B3GALT6","Inh L1-6 LAMP5 CA13",0.275232466437412,3.40903864587725,4.23866963996993,0.0402395766392917,0.150842764550117,0.150842764550117,"diabetes_sr_rx_bl"
"10","UBE2J2","Inh L1-6 LAMP5 CA13",-0.0632106610847685,4.97234255097016,0.808293353123907,0.369232444547887,0.607239767910897,0.607239767910897,"diabetes_sr_rx_bl"
"11","SCNN1D","Inh L1-6 LAMP5 CA13",0.0404801752283417,3.53877660434056,0.0846012787695719,0.77132533201157,0.895547915465175,0.895547915465175,"diabetes_sr_rx_bl"
"12","ACAP3","Inh L1-6 LAMP5 CA13",-0.141021111518956,6.23135391676297,6.40907135472465,0.0117830771827769,0.0645977417867471,0.0645977417867471,"diabetes_sr_rx_bl"
