"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh ENOX2 SPHKAP",-0.189767414686337,5.81964444890241,2.28817984940074,0.131319830196896,0.414392804109928,0.414392804109928,"dxpark"
"2","NOC2L","Inh ENOX2 SPHKAP",0.295517985961236,5.21533735659013,4.54925331052552,0.0366582997084238,0.210685967999317,0.210685967999317,"dxpark"
"3","HES4","Inh ENOX2 SPHKAP",-0.157431131282613,5.33457435465858,1.03663642458814,0.309350937219912,0.623006568063378,0.623006568063378,"dxpark"
"4","C1orf159","Inh ENOX2 SPHKAP",-0.01352999712469,5.76140456161052,0.012711884485111,0.910299700308783,0.973704673835329,0.973704673835329,"dxpark"
"5","SDF4","Inh ENOX2 SPHKAP",0.09820851699519,5.75782419238369,0.633064159196968,0.426805547756981,0.716241495462875,0.716241495462875,"dxpark"
"6","UBE2J2","Inh ENOX2 SPHKAP",-0.0863723617511593,5.42567890775459,0.422881481373566,0.527684569698029,0.788240658777961,0.788240658777961,"dxpark"
"7","ACAP3","Inh ENOX2 SPHKAP",-0.175768804883894,6.45516036172643,3.25927535208217,0.071931819012318,0.304023334161797,0.304023334161797,"dxpark"
"8","INTS11","Inh ENOX2 SPHKAP",0.178640278676584,5.71094731282442,2.97820275356256,0.13427012964568,0.418586252733529,0.418586252733529,"dxpark"
"9","DVL1","Inh ENOX2 SPHKAP",-0.137294256862144,4.76743518435022,0.526866654470928,0.4684416559538,0.747443080370557,0.747443080370557,"dxpark"
"10","AURKAIP1","Inh ENOX2 SPHKAP",0.510639904100315,4.66504994172575,7.45505040882091,0.00666557914384002,0.079847398676673,0.079847398676673,"dxpark"
"11","CCNL2","Inh ENOX2 SPHKAP",0.0491010945837718,6.18768271179453,0.288010370566703,0.664514423442201,0.866653190828377,0.866653190828377,"dxpark"
"12","MRPL20","Inh ENOX2 SPHKAP",0.0388419035650057,5.05269447063225,0.0516627224338086,0.820335618975713,0.941327974059998,0.941327974059998,"dxpark"
"13","ATAD3B","Inh ENOX2 SPHKAP",0.0569890936544954,4.87432758363549,0.124375838836943,0.734154022816969,0.900649057360159,0.900649057360159,"dxpark"
"14","SSU72","Inh ENOX2 SPHKAP",0.213963770542426,5.68353158465829,3.8452373765592,0.0668455414125819,0.291667110296239,0.291667110296239,"dxpark"
"15","FNDC10","Inh ENOX2 SPHKAP",0.122130877955344,4.55117832149406,0.319009824551284,0.57258706161982,0.81717490102981,0.81717490102981,"dxpark"
"16","MIB2","Inh ENOX2 SPHKAP",-0.124243486575705,5.36766329507848,0.766335267874487,0.39243326069753,0.687041786311527,0.687041786311527,"dxpark"
"17","CDK11B","Inh ENOX2 SPHKAP",-0.0245973784625479,5.22996562246281,0.0287739398771983,0.865405989861148,0.958396002237829,0.958396002237829,"dxpark"
"18","SLC35E2B","Inh ENOX2 SPHKAP",-0.062926232847766,5.2440988556854,0.161971598932765,0.687608342896163,0.878130172856795,0.878130172856795,"dxpark"
"19","CDK11A","Inh ENOX2 SPHKAP",0.00173515562911133,4.84815553537218,5.19782103681176e-05,0.99425198459827,0.999576417075391,0.999576417075391,"dxpark"
"20","SLC35E2A","Inh ENOX2 SPHKAP",-0.0147438459105959,5.32007681584526,0.00863880077759028,0.926003540617032,0.979940664201847,0.979940664201847,"dxpark"
"21","NADK","Inh ENOX2 SPHKAP",0.221136668014954,4.3710875259998,1.08403895185358,0.30575326566758,0.620866325182126,0.620866325182126,"dxpark"
"22","GNB1","Inh ENOX2 SPHKAP",-0.0446593288185971,7.40218094513395,0.620578928650628,0.507676987713667,0.77889760394466,0.77889760394466,"dxpark"
"23","GABRD","Inh ENOX2 SPHKAP",-0.178312659688748,4.11508603738073,0.351009831776569,0.553947796612667,0.804986899375488,0.804986899375488,"dxpark"
"24","PRKCZ","Inh ENOX2 SPHKAP",-0.0609449460827739,6.96912572931117,0.753945851451689,0.579671124738983,0.822348721214352,0.822348721214352,"dxpark"
