"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh LAMP5 NRG1 (Rosehip)",0.248944647831902,3.10829777161968,1.73689340854082,0.188374996006736,0.443660443529461,0.443660443529461,"dxpark"
"2","AL669831.5","Inh LAMP5 NRG1 (Rosehip)",-0.112431463979111,5.41464815591497,1.56438002570455,0.211841266269729,0.472548402684118,0.472548402684118,"dxpark"
"3","NOC2L","Inh LAMP5 NRG1 (Rosehip)",0.388481977639906,4.57436376753819,15.8877083098119,8.14684281141381e-05,0.00171228942590623,0.00171228942590623,"dxpark"
"4","KLHL17","Inh LAMP5 NRG1 (Rosehip)",-0.00107940951067185,2.93456673171146,1.83992411943197e-08,0.999891847400532,0.99993659022678,0.99993659022678,"dxpark"
"5","HES4","Inh LAMP5 NRG1 (Rosehip)",0.123521394633484,5.23288178872287,1.32446396456983,0.250559999842327,0.518540389566238,0.518540389566238,"dxpark"
"6","ISG15","Inh LAMP5 NRG1 (Rosehip)",-0.0663215312544956,3.43668137238353,0.0643091819536488,0.799955816394843,0.924459502281937,0.924459502281937,"dxpark"
"7","AGRN","Inh LAMP5 NRG1 (Rosehip)",-0.00278580610978559,3.42360916088795,0.000249959383118581,0.987394688378466,0.996452334007702,0.996452334007702,"dxpark"
"8","C1orf159","Inh LAMP5 NRG1 (Rosehip)",-0.142030881389857,5.35550869164759,2.42011599772803,0.120668962408613,0.339734222027051,0.339734222027051,"dxpark"
"9","SDF4","Inh LAMP5 NRG1 (Rosehip)",0.0518208981907167,5.64020417242269,0.346734145652746,0.556338771835389,0.778853567615888,0.778853567615888,"dxpark"
"10","B3GALT6","Inh LAMP5 NRG1 (Rosehip)",0.207130008861158,3.42241130712877,1.64123675712616,0.200984489549119,0.460551579011058,0.460551579011058,"dxpark"
"11","UBE2J2","Inh LAMP5 NRG1 (Rosehip)",0.130515263980275,5.15112795112717,2.43692251726801,0.119391397288136,0.337460252840573,0.337460252840573,"dxpark"
"12","SCNN1D","Inh LAMP5 NRG1 (Rosehip)",-0.0533690018925264,3.46282674430411,0.103346127960257,0.748037979883173,0.898562852654804,0.898562852654804,"dxpark"
"13","ACAP3","Inh LAMP5 NRG1 (Rosehip)",-0.128116994469745,6.14877597220179,3.24266304628863,0.0725848283316034,0.250273877640051,0.250273877640051,"dxpark"
"14","PUSL1","Inh LAMP5 NRG1 (Rosehip)",0.138195530441462,2.39692512530444,0.27428278457186,0.600797015474488,0.805862634116216,0.805862634116216,"dxpark"
"15","INTS11","Inh LAMP5 NRG1 (Rosehip)",0.0376091679314935,5.45294512316378,0.256193085960812,0.6638104450302,0.848458212867613,0.848458212867613,"dxpark"
"16","CPTP","Inh LAMP5 NRG1 (Rosehip)",0.102109369617736,3.31345799219052,0.338938075922536,0.560809006628943,0.78109185063658,0.78109185063658,"dxpark"
"17","DVL1","Inh LAMP5 NRG1 (Rosehip)",-0.0104398293246931,4.37133153552019,0.00945345430715858,0.937550970439318,0.986269175123269,0.986269175123269,"dxpark"
"18","AURKAIP1","Inh LAMP5 NRG1 (Rosehip)",0.386022899902202,4.29648008918702,11.1481466233437,0.000929521097753475,0.0117945495065235,0.0117945495065235,"dxpark"
"19","CCNL2","Inh LAMP5 NRG1 (Rosehip)",-0.108797949882337,6.1282782802029,2.98858861460558,0.0847147300236627,0.275748147326018,0.275748147326018,"dxpark"
"20","MRPL20","Inh LAMP5 NRG1 (Rosehip)",0.399617731659622,4.8722742564107,20.9388149320676,6.54600089467002e-06,0.000237974349190071,0.000237974349190071,"dxpark"
"21","ATAD3B","Inh LAMP5 NRG1 (Rosehip)",-0.0281182852710913,4.3990310858672,0.0579397082335541,0.877061587048481,0.963467569745421,0.963467569745421,"dxpark"
"22","ATAD3A","Inh LAMP5 NRG1 (Rosehip)",-0.138473183254862,3.87105343095337,1.10596411532388,0.303713689525048,0.572132354119817,0.572132354119817,"dxpark"
"23","TMEM240","Inh LAMP5 NRG1 (Rosehip)",-0.221826670224251,2.62062961121203,0.754395917323243,0.526272428188604,0.757122348430199,0.757122348430199,"dxpark"
"24","SSU72","Inh LAMP5 NRG1 (Rosehip)",0.214905088838266,5.48512944836884,8.05383200136858,0.00479930558429725,0.0393658411240776,0.0393658411240776,"dxpark"
"25","FNDC10","Inh LAMP5 NRG1 (Rosehip)",0.19379486559052,3.85671530639507,1.899426833834,0.244555087688723,0.511679634905995,0.511679634905995,"dxpark"
"26","AL691432.2","Inh LAMP5 NRG1 (Rosehip)",0.203691966636574,3.19044816596456,1.15541967270597,0.28314086810241,0.553080982004423,0.553080982004423,"dxpark"
"27","MIB2","Inh LAMP5 NRG1 (Rosehip)",0.0312878161456267,5.03377866659242,0.10952486739123,0.740879190589996,0.894784475942322,0.894784475942322,"dxpark"
"28","MMP23B","Inh LAMP5 NRG1 (Rosehip)",-0.310329423559217,3.21262461016844,2.42771488291381,0.120089452886376,0.338916218722638,0.338916218722638,"dxpark"
"29","CDK11B","Inh LAMP5 NRG1 (Rosehip)",-0.0179185875982613,4.88131269207482,0.0324253120968554,0.857199188173142,0.953767402164677,0.953767402164677,"dxpark"
"30","SLC35E2B","Inh LAMP5 NRG1 (Rosehip)",-0.00915549671832805,5.07816696618347,0.00915177272944272,0.923840206899541,0.982802280809946,0.982802280809946,"dxpark"
"31","CDK11A","Inh LAMP5 NRG1 (Rosehip)",-0.0124668976981471,4.21262942666941,0.00831410808542569,0.927399150075671,0.984200448960136,0.984200448960136,"dxpark"
"32","SLC35E2A","Inh LAMP5 NRG1 (Rosehip)",-0.121052788567246,4.98130671755819,1.12576914077488,0.289394326893211,0.558046934000172,0.558046934000172,"dxpark"
"33","NADK","Inh LAMP5 NRG1 (Rosehip)",0.102731585488276,4.57948849739825,0.928244258106801,0.335969412621624,0.60363707473616,0.60363707473616,"dxpark"
"34","GNB1","Inh LAMP5 NRG1 (Rosehip)",-0.0214736765475767,7.9514851787775,0.348115834103391,0.555553589377416,0.77877191082546,0.77877191082546,"dxpark"
"35","CFAP74","Inh LAMP5 NRG1 (Rosehip)",-0.136360169498216,3.70470663174705,0.530927026267395,0.466693395418744,0.710979795285429,0.710979795285429,"dxpark"
"36","GABRD","Inh LAMP5 NRG1 (Rosehip)",0.22146416255478,6.73611579607726,10.9635900158153,0.00102372411314049,0.0126740688849131,0.0126740688849131,"dxpark"
"37","PRKCZ","Inh LAMP5 NRG1 (Rosehip)",-0.00530025822419721,6.80769864662139,0.0105328183452632,0.918314432530505,0.980657791989104,0.980657791989104,"dxpark"
"38","FAAP20","Inh LAMP5 NRG1 (Rosehip)",0.182501693991865,4.72531635187863,3.61128404759309,0.058191324465064,0.2180367222372,0.2180367222372,"dxpark"
"39","SKI","Inh LAMP5 NRG1 (Rosehip)",-0.0210308803042413,6.45966853487484,0.111500821692309,0.738637264067023,0.893697335363049,0.893697335363049,"dxpark"
"40","MORN1","Inh LAMP5 NRG1 (Rosehip)",-0.171819761532175,3.91603024561154,1.49737368736168,0.221880077039208,0.484808902956098,0.484808902956098,"dxpark"
"41","RER1","Inh LAMP5 NRG1 (Rosehip)",0.134508222851444,4.85483323001912,2.3398682550296,0.126982656338121,0.350584470163086,0.350584470163086,"dxpark"
"42","PEX10","Inh LAMP5 NRG1 (Rosehip)",0.179275262060341,3.48032442702108,1.21246352522682,0.271584012812721,0.541061974302515,0.541061974302515,"dxpark"
"43","PLCH2","Inh LAMP5 NRG1 (Rosehip)",-0.0225116241893582,5.81416370743072,0.0780021406090112,0.780184486194973,0.915037886051155,0.915037886051155,"dxpark"
"44","PANK4","Inh LAMP5 NRG1 (Rosehip)",0.121759152502696,3.63080018916895,0.537508006223733,0.46394676326994,0.7084544304839,0.7084544304839,"dxpark"
"45","FAM213B","Inh LAMP5 NRG1 (Rosehip)",0.302055408198693,3.45786701841176,3.42620845275306,0.0649921304385978,0.232629850269869,0.232629850269869,"dxpark"
"46","TPRG1L","Inh LAMP5 NRG1 (Rosehip)",0.258136522224786,4.44817048847286,5.57672734740683,0.0187352341968162,0.10157734552372,0.10157734552372,"dxpark"
"47","WRAP73","Inh LAMP5 NRG1 (Rosehip)",-0.162931567699804,3.54796474756656,1.09706624029242,0.313399202388062,0.581757923929057,0.581757923929057,"dxpark"
"48","LRRC47","Inh LAMP5 NRG1 (Rosehip)",0.180941421329637,4.44159607507923,2.75133590497496,0.0980483730112445,0.301437463760722,0.301437463760722,"dxpark"
"49","CEP104","Inh LAMP5 NRG1 (Rosehip)",-0.112406633412773,5.62733634414239,2.62318217815173,0.106192929058745,0.316795469066896,0.316795469066896,"dxpark"
"50","DFFB","Inh LAMP5 NRG1 (Rosehip)",-0.210135870388744,4.76820343366617,5.13890022392165,0.0239909652094953,0.120447091303421,0.120447091303421,"dxpark"
"51","C1orf174","Inh LAMP5 NRG1 (Rosehip)",0.381327877235787,3.18629522714987,4.47505536579855,0.0350827912067813,0.157151515153554,0.157151515153554,"dxpark"
"52","AJAP1","Inh LAMP5 NRG1 (Rosehip)",-0.122172107135203,7.69284207882132,7.63244906503351,0.00602847700780831,0.046616947605316,0.046616947605316,"dxpark"
"53","AL365255.1","Inh LAMP5 NRG1 (Rosehip)",-0.117066141594541,4.4053848813179,0.454724895223738,0.500534551496289,0.736852317380393,0.736852317380393,"dxpark"
"54","NPHP4","Inh LAMP5 NRG1 (Rosehip)",-0.151600502725851,5.34208359661694,3.46927086232234,0.0633371763671048,0.22940415392155,0.22940415392155,"dxpark"
"55","KCNAB2","Inh LAMP5 NRG1 (Rosehip)",-0.100352834702804,6.32690208190837,2.47730188819303,0.123231378169192,0.343968260607251,0.343968260607251,"dxpark"
"56","CHD5","Inh LAMP5 NRG1 (Rosehip)",-0.148038014354496,7.39264401129588,8.14669868541635,0.00456485515689808,0.037922512283571,0.037922512283571,"dxpark"
"57","RPL22","Inh LAMP5 NRG1 (Rosehip)",0.283957997473838,4.8779802088351,9.55365827587934,0.00215173369118771,0.0219887174998599,0.0219887174998599,"dxpark"
"58","RNF207","Inh LAMP5 NRG1 (Rosehip)",0.00940980214859754,4.02910335927005,0.00456953751396527,0.946143074677197,0.988426922340856,0.988426922340856,"dxpark"
"59","ICMT","Inh LAMP5 NRG1 (Rosehip)",0.339409569736912,3.75117865441802,6.25427646994775,0.012835243380037,0.0789276582128461,0.0789276582128461,"dxpark"
"60","GPR153","Inh LAMP5 NRG1 (Rosehip)",-0.00283430242341324,2.54264639728931,1.4373499548474e-05,0.996977145637889,0.998671375299872,0.998671375299872,"dxpark"
"61","ACOT7","Inh LAMP5 NRG1 (Rosehip)",0.0394325168835023,6.24086993363116,0.373554605163013,0.541460641598337,0.767413914935702,0.767413914935702,"dxpark"
"62","TNFRSF25","Inh LAMP5 NRG1 (Rosehip)",-0.194486837962582,6.0641392095245,5.64336977307105,0.0180469589138582,0.0991595941780733,0.0991595941780733,"dxpark"
"63","PLEKHG5","Inh LAMP5 NRG1 (Rosehip)",-0.0922210855209085,5.47318606178121,1.46435816106797,0.232738882238952,0.497799410337248,0.497799410337248,"dxpark"
"64","NOL9","Inh LAMP5 NRG1 (Rosehip)",0.0003729606335409,5.05449231593562,3.30215311268663e-05,0.995418230744279,0.998034916985605,0.998034916985605,"dxpark"
"65","ZBTB48","Inh LAMP5 NRG1 (Rosehip)",0.0384735146637213,3.67070518173331,0.0729483861806686,0.787246842576413,0.917829457388377,0.917829457388377,"dxpark"
"66","KLHL21","Inh LAMP5 NRG1 (Rosehip)",0.143455615390367,4.43555610228437,1.98834014400627,0.159382103241324,0.402192472238469,0.402192472238469,"dxpark"
"67","PHF13","Inh LAMP5 NRG1 (Rosehip)",-0.138835835781646,3.25453921425069,0.588163162010612,0.463917246106871,0.7084544304839,0.7084544304839,"dxpark"
"68","THAP3","Inh LAMP5 NRG1 (Rosehip)",0.0438000134102357,3.67146092847041,0.10469893999243,0.746450766742629,0.898040035543038,0.898040035543038,"dxpark"
"69","DNAJC11","Inh LAMP5 NRG1 (Rosehip)",-0.144913682223515,5.71816317581701,4.07238753064156,0.0443345738688215,0.182113004095938,0.182113004095938,"dxpark"
"70","CAMTA1","Inh LAMP5 NRG1 (Rosehip)",-0.119195487935784,9.11654978114344,15.6226022315087,9.31690679273959e-05,0.00189079260231998,0.00189079260231998,"dxpark"
"71","VAMP3","Inh LAMP5 NRG1 (Rosehip)",4.59068933942417e-05,3.8300275871084,4.81953303667531e-07,0.999446472180065,0.999831971860764,0.999831971860764,"dxpark"
"72","PER3","Inh LAMP5 NRG1 (Rosehip)",-0.021358640383078,7.41320428459714,0.113402513222846,0.736500357967901,0.892277339511186,0.892277339511186,"dxpark"
