"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh LAMP5 RELN",0.119924983733068,5.65097454370239,0.491420897546297,0.483933420369816,0.821863489281319,0.821863489281319,"dxpark"
"2","NOC2L","Inh LAMP5 RELN",0.128466980429944,5.09343006568852,0.37610742654611,0.540240547937525,0.853877625805735,0.853877625805735,"dxpark"
"3","HES4","Inh LAMP5 RELN",0.170945893626437,5.76686588617384,0.910515796794345,0.340881358077937,0.729569248081437,0.729569248081437,"dxpark"
"4","AGRN","Inh LAMP5 RELN",-0.353107355655829,4.62968834824252,1.41057471572224,0.236066219018362,0.649977126021374,0.649977126021374,"dxpark"
"5","C1orf159","Inh LAMP5 RELN",-0.175870970448657,5.91031462664888,1.00402826483106,0.31728772498065,0.712111149226797,0.712111149226797,"dxpark"
"6","SDF4","Inh LAMP5 RELN",-0.0430594952586394,5.84268335213679,0.0665371021466807,0.796655217549801,0.957488307402675,0.957488307402675,"dxpark"
"7","UBE2J2","Inh LAMP5 RELN",0.162519026243404,5.45641406699584,0.797664563489336,0.372634720369146,0.753814512367829,0.753814512367829,"dxpark"
"8","SCNN1D","Inh LAMP5 RELN",-0.0364808369338764,4.20693894347948,0.00750157616440906,0.931048190764289,0.99405831421078,0.99405831421078,"dxpark"
"9","ACAP3","Inh LAMP5 RELN",-0.00484308633336381,6.81718047520871,0.00154677714788371,0.968658792494495,0.994782143723198,0.994782143723198,"dxpark"
"10","INTS11","Inh LAMP5 RELN",0.0828575945016973,5.69852147702522,0.208279759164936,0.648507569146441,0.902344296056398,0.902344296056398,"dxpark"
"11","DVL1","Inh LAMP5 RELN",-0.219146495273223,4.90250846456284,0.736169281769786,0.391696569683093,0.762335199385634,0.762335199385634,"dxpark"
"12","CCNL2","Inh LAMP5 RELN",-0.156611632943347,6.29572008132479,1.14152215391893,0.286341402381579,0.695726684649726,0.695726684649726,"dxpark"
"13","MRPL20","Inh LAMP5 RELN",0.363578882011477,5.17939710266433,2.9947130894872,0.0847466065519812,0.425627126835112,0.425627126835112,"dxpark"
"14","SSU72","Inh LAMP5 RELN",0.226310766067997,5.67523556103571,1.75633605020399,0.186268489384633,0.58799508575627,0.58799508575627,"dxpark"
