"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh RYR3 TSHZ2",0.225680077300517,3.32248253241487,0.885268993168212,0.347376105758177,0.698991262595408,0.698991262595408,"dxpark"
"2","AL669831.5","Inh RYR3 TSHZ2",-0.019404300897308,5.54094198013404,0.0342329274206204,0.853313548647987,0.96558959247229,0.96558959247229,"dxpark"
"3","NOC2L","Inh RYR3 TSHZ2",0.248095076180181,4.75128715523096,4.49752103970124,0.038885124182612,0.246475148378115,0.246475148378115,"dxpark"
"4","KLHL17","Inh RYR3 TSHZ2",0.110721725039752,3.41155794148862,0.215224630123883,0.642975509243326,0.885300464649789,0.885300464649789,"dxpark"
"5","HES4","Inh RYR3 TSHZ2",-0.11449037573791,3.7884054775276,0.262536915927534,0.6086881354583,0.869259541147415,0.869259541147415,"dxpark"
"6","ISG15","Inh RYR3 TSHZ2",0.00510597523863462,3.1267048379557,5.0007782158775e-05,0.994361521129904,0.999828585754699,0.999828585754699,"dxpark"
"7","AGRN","Inh RYR3 TSHZ2",-0.224661560163431,3.36458739750378,0.70679624317555,0.401052086876099,0.743042870171792,0.743042870171792,"dxpark"
"8","C1orf159","Inh RYR3 TSHZ2",-0.30987481614173,5.40086672616356,7.02193130885987,0.00839695518834078,0.102008983118085,0.102008983118085,"dxpark"
"9","SDF4","Inh RYR3 TSHZ2",0.0166235197907637,5.77619017522991,0.0274875849598233,0.868409724315345,0.970938826820478,0.970938826820478,"dxpark"
"10","UBE2J2","Inh RYR3 TSHZ2",0.0440792249215456,5.2434753899858,0.213083164043518,0.644632619928149,0.885750142349407,0.885750142349407,"dxpark"
"11","SCNN1D","Inh RYR3 TSHZ2",0.044085049209108,3.79127055389766,0.050134814239501,0.822952362815688,0.95624042311253,0.95624042311253,"dxpark"
"12","ACAP3","Inh RYR3 TSHZ2",-0.180707429208392,6.61184057529476,6.64424451284286,0.0103336697346248,0.118111361929856,0.118111361929856,"dxpark"
"13","INTS11","Inh RYR3 TSHZ2",0.0579750064889311,5.55693025689981,0.387458756224309,0.541837763639172,0.834172491338932,0.834172491338932,"dxpark"
"14","CPTP","Inh RYR3 TSHZ2",0.0856914113990296,3.45401151135518,0.151345749922585,0.697476273815631,0.909434541442205,0.909434541442205,"dxpark"
"15","DVL1","Inh RYR3 TSHZ2",0.0752683552633771,4.54529144318085,0.293543250673357,0.588284748818976,0.85867541951646,0.85867541951646,"dxpark"
"16","AURKAIP1","Inh RYR3 TSHZ2",0.358388521314036,4.18123171779658,4.94612194395879,0.0267519496191577,0.200976230902659,0.200976230902659,"dxpark"
"17","CCNL2","Inh RYR3 TSHZ2",-0.08269482242221,6.17909787253694,1.11853234829176,0.290924295012109,0.649667886676554,0.649667886676554,"dxpark"
"18","MRPL20","Inh RYR3 TSHZ2",0.17522675038068,4.82149701415918,1.90193763167644,0.168694169744601,0.507929404308563,0.507929404308563,"dxpark"
"19","ATAD3B","Inh RYR3 TSHZ2",-0.165228753777578,4.62575305911608,1.54085426813688,0.21527661708399,0.566090989470063,0.566090989470063,"dxpark"
"20","ATAD3A","Inh RYR3 TSHZ2",-0.0506002578550283,4.13398345764902,0.0883367096980089,0.766469124823867,0.93722423708621,0.93722423708621,"dxpark"
"21","SSU72","Inh RYR3 TSHZ2",0.186201323509949,5.27982509137507,3.53706802894324,0.0607961817613671,0.313931682606609,0.313931682606609,"dxpark"
"22","FNDC10","Inh RYR3 TSHZ2",0.273318732684592,3.95351782883266,2.24716979832365,0.134711239559006,0.459588253308364,0.459588253308364,"dxpark"
"23","AL691432.2","Inh RYR3 TSHZ2",0.642074077041618,3.27747290762947,7.83718892614715,0.00538632920809826,0.0779042484605477,0.0779042484605477,"dxpark"
"24","MIB2","Inh RYR3 TSHZ2",-0.0474311598382996,5.29491997290429,0.16691249880954,0.683106681297238,0.90389046120531,0.90389046120531,"dxpark"
"25","CDK11B","Inh RYR3 TSHZ2",-0.17635405999466,4.9542859971975,1.77456970266074,0.183637003705784,0.526068757199313,0.526068757199313,"dxpark"
"26","SLC35E2B","Inh RYR3 TSHZ2",-0.0329132988180157,5.00510192372993,0.0917984595585845,0.830870703256332,0.958345270208082,0.958345270208082,"dxpark"
"27","CDK11A","Inh RYR3 TSHZ2",-0.301723496740127,4.45651672562886,2.89255390344938,0.0898295016568849,0.379283525773539,0.379283525773539,"dxpark"
"28","SLC35E2A","Inh RYR3 TSHZ2",-0.149146818035106,4.8606455214522,1.14818124231855,0.284628230702419,0.642218085950889,0.642218085950889,"dxpark"
"29","NADK","Inh RYR3 TSHZ2",-0.301950290626301,4.38298701099655,4.01373952580333,0.0458593153823768,0.269028828660026,0.269028828660026,"dxpark"
