"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh LAMP5",0.0191167399832779,2.89662357928843,0.152963527247678,0.695940385329086,0.80572762576495,0.80572762576495,"gpath"
"2","AL669831.5","Inh LAMP5",0.0793873665495547,5.48617316831338,11.3323444002878,0.000840120771271752,0.00414282970066916,0.00414282970066916,"gpath"
"3","NOC2L","Inh LAMP5",-0.0196252545254532,4.49514054062298,0.543882044063506,0.492188469105783,0.636562598614729,0.636562598614729,"gpath"
"4","KLHL17","Inh LAMP5",0.124400452293332,2.67411918654264,4.92802606126419,0.0270192994432624,0.070912998003206,0.070912998003206,"gpath"
"5","HES4","Inh LAMP5",-0.284285499217352,5.08769246563199,68.3836906445271,2.3401046714216e-15,1.82976269520732e-13,1.82976269520732e-13,"gpath"
"6","ISG15","Inh LAMP5",-0.070979331114285,3.22358912236963,0.881311223725632,0.348444414921286,0.497728580973422,0.497728580973422,"gpath"
"7","AGRN","Inh LAMP5",-0.00895521330275389,4.00470751760998,0.0483572700007183,0.826065938893251,0.90103435876683,0.90103435876683,"gpath"
"8","C1orf159","Inh LAMP5",0.0136439233897398,5.38327999820216,0.337405801964041,0.561677879457247,0.697813335291186,0.697813335291186,"gpath"
"9","SDF4","Inh LAMP5",-0.0511658097551113,5.57725178923451,3.97815781672066,0.0468142867910696,0.110336702874575,0.110336702874575,"gpath"
"10","B3GALT6","Inh LAMP5",-0.0703484425856442,3.187729218387,2.63074800383947,0.105649060548601,0.206528726476534,0.206528726476534,"gpath"
"11","UBE2J2","Inh LAMP5",-0.0108488902962085,5.00406887224578,0.235156561819357,0.641122360834848,0.763117303989657,0.763117303989657,"gpath"
"12","LINC01786","Inh LAMP5",-0.0515177903392025,2.37698388189171,0.749926622544111,0.387050742196533,0.537316640881012,0.537316640881012,"gpath"
"13","SCNN1D","Inh LAMP5",-0.0439899573534492,3.26195955199874,0.897606047871295,0.344031870565967,0.493450196202736,0.493450196202736,"gpath"
"14","ACAP3","Inh LAMP5",0.0668011815600289,6.21139220718279,11.2155980106709,0.000893002473686952,0.00435827900504588,0.00435827900504588,"gpath"
"15","PUSL1","Inh LAMP5",-0.0620987349859223,1.94767436579731,0.764752927671547,0.382402455905417,0.5326242279524,0.5326242279524,"gpath"
"16","INTS11","Inh LAMP5",-0.00495580398375589,5.3928551787908,0.0564295946124948,0.812359962702169,0.892236360708449,0.892236360708449,"gpath"
"17","CPTP","Inh LAMP5",0.0226335671634098,3.02611079507974,0.234377771296441,0.628577978083445,0.752512116444877,0.752512116444877,"gpath"
"18","DVL1","Inh LAMP5",0.0204244385092565,4.24863002503176,0.473287719117714,0.563989879299422,0.699102051243908,0.699102051243908,"gpath"
"19","AURKAIP1","Inh LAMP5",-0.258468396576239,4.02928364167871,55.9191457321294,5.35654757119875e-13,2.70588485555401e-11,2.70588485555401e-11,"gpath"
"20","CCNL2","Inh LAMP5",0.0104657557428506,6.01004813554142,0.389318342239095,0.533035637489433,0.67252801228175,0.67252801228175,"gpath"
"21","MRPL20","Inh LAMP5",-0.0916490956654396,4.65497090517579,12.1201444747902,0.000557304372162347,0.00295008076009597,0.00295008076009597,"gpath"
"22","ANKRD65","Inh LAMP5",-0.192481244354239,1.60821478233133,3.99755290406544,0.0462843061153224,0.109315440214531,0.109315440214531,"gpath"
"23","VWA1","Inh LAMP5",-0.164947061325983,2.59239516264978,8.8504419232075,0.00311906713892224,0.0124491683253209,0.0124491683253209,"gpath"
"24","ATAD3C","Inh LAMP5",0.0616169345359679,1.7772283016139,0.526291689235816,0.468620589943084,0.614351437809982,0.614351437809982,"gpath"
"25","ATAD3B","Inh LAMP5",-0.0895229097203382,4.33797143301043,8.49886932425081,0.00376612254193012,0.0145192765188494,0.0145192765188494,"gpath"
"26","ATAD3A","Inh LAMP5",0.000313893884894872,3.72644126330428,6.61421197664709e-05,0.993515357284028,0.997904660239199,0.997904660239199,"gpath"
"27","TMEM240","Inh LAMP5",0.0171123839085531,2.34129461738635,0.0772593306655953,0.781198935895028,0.871225579065087,0.871225579065087,"gpath"
"28","SSU72","Inh LAMP5",-0.0603917176795283,5.31048207772652,8.02834301617536,0.00485290068626405,0.0177722072964827,0.0177722072964827,"gpath"
"29","AL645728.1","Inh LAMP5",-0.193856105261462,2.09004600944065,6.26608986460849,0.0127296069748964,0.0388226602761362,0.0388226602761362,"gpath"
"30","FNDC10","Inh LAMP5",-0.00595761605901698,3.80287572408313,0.0248045203850309,0.874939530368563,0.934438469661282,0.934438469661282,"gpath"
"31","AL691432.2","Inh LAMP5",-0.0778755458333133,2.90040225451677,2.50185718912806,0.114551462283584,0.219544523542201,0.219544523542201,"gpath"
"32","MIB2","Inh LAMP5",0.0206325771719606,4.96036871903391,0.596765134369649,0.440299411518916,0.588132789580015,0.588132789580015,"gpath"
"33","MMP23B","Inh LAMP5",0.00284920561505187,3.043091430899,0.00380116828080573,0.950871381795241,0.977136866421692,0.977136866421692,"gpath"
"34","CDK11B","Inh LAMP5",0.0208339310266341,4.76223946690197,0.591630048893592,0.442271546214686,0.590230751643748,0.590230751643748,"gpath"
"35","SLC35E2B","Inh LAMP5",0.0249885515670931,4.97985372355756,0.8572060427122,0.355114580553961,0.504755785548562,0.504755785548562,"gpath"
"36","CDK11A","Inh LAMP5",0.144905817672867,4.06702381766959,11.9383192459225,0.000612541359842683,0.00319136446654176,0.00319136446654176,"gpath"
"37","SLC35E2A","Inh LAMP5",0.0612644788480085,4.90532248799776,3.7814798740915,0.0525668543031329,0.120475952331783,0.120475952331783,"gpath"
"38","NADK","Inh LAMP5",-0.0461563404449322,4.38528179804427,2.66885038652362,0.10316548482243,0.202555446358984,0.202555446358984,"gpath"
"39","GNB1","Inh LAMP5",0.0188167416014181,7.84818518595523,2.84988008214938,0.0922085090046338,0.185858368623079,0.185858368623079,"gpath"
"40","TMEM52","Inh LAMP5",0.019477246079472,1.79191175247102,0.0601265789786609,0.80642953443237,0.888977439531746,0.888977439531746,"gpath"
"41","CFAP74","Inh LAMP5",0.0540593803158146,3.18771398922244,1.07206278916973,0.301144280890874,0.44905872683058,0.44905872683058,"gpath"
"42","GABRD","Inh LAMP5",-0.180640434180728,6.3752196560201,58.5169479845064,1.70187727261277e-13,9.26577626200285e-12,9.26577626200285e-12,"gpath"
"43","PRKCZ","Inh LAMP5",-0.0307910011433443,6.75953328349427,4.18435420172763,0.0414929882743793,0.100188391529792,0.100188391529792,"gpath"
"44","FAAP20","Inh LAMP5",-0.0182480431860141,4.68895701963557,0.513133073805723,0.474229613077324,0.619770209124881,0.619770209124881,"gpath"
"45","SKI","Inh LAMP5",0.0935308418148387,6.55040388219916,24.2310198401442,1.2803688655819e-06,1.50691932138142e-05,1.50691932138142e-05,"gpath"
"46","MORN1","Inh LAMP5",-0.0458383914549708,3.89487743412493,1.94201481710543,0.177670831371158,0.305898479873042,0.305898479873042,"gpath"
"47","RER1","Inh LAMP5",-0.00354566494666344,4.75448252836731,0.022777117148524,0.935559078965916,0.969294785800375,0.969294785800375,"gpath"
"48","PEX10","Inh LAMP5",-0.132263675535118,3.32768138670379,9.67360806236046,0.00201170529518997,0.00865692852438305,0.00865692852438305,"gpath"
"49","PLCH2","Inh LAMP5",0.0767922895336532,5.59813237468705,11.7276179028906,0.000683547069370349,0.003481684656876,0.003481684656876,"gpath"
"50","PANK4","Inh LAMP5",0.0431635315590399,3.42603363230661,0.917096652666149,0.338852741062324,0.488538181013747,0.488538181013747,"gpath"
"51","TNFRSF14","Inh LAMP5",0.0339782307568947,2.14447950121429,0.216153246640686,0.642255374710757,0.763853567984675,0.763853567984675,"gpath"
"52","FAM213B","Inh LAMP5",-0.00851402375159631,3.2803848070102,0.0398040285681042,0.841971899821748,0.912151737591547,0.912151737591547,"gpath"
"53","MEGF6","Inh LAMP5",-0.193726965346611,1.86740840907363,5.53527465545485,0.019150564674912,0.0540436361530439,0.0540436361530439,"gpath"
"54","TPRG1L","Inh LAMP5",-0.118581822445259,4.24543258860004,14.1345288909127,0.000197216852103285,0.00122221236337196,0.00122221236337196,"gpath"
"55","WRAP73","Inh LAMP5",-0.104828919748937,3.31629080596562,7.09619648895448,0.00805653083900105,0.0267943446455465,0.0267943446455465,"gpath"
"56","LRRC47","Inh LAMP5",-0.106181400560432,4.2456590194865,13.7180137838024,0.000244187154633021,0.0014645251624257,0.0014645251624257,"gpath"
"57","CEP104","Inh LAMP5",0.00200600516743011,5.59073674834157,0.012488469223237,0.911079719907264,0.956960374992705,0.956960374992705,"gpath"
"58","DFFB","Inh LAMP5",0.020539868771778,4.70370817096077,0.731678062108935,0.392883597361873,0.543565939353223,0.543565939353223,"gpath"
"59","C1orf174","Inh LAMP5",0.0967895140430334,2.93389452059739,4.29051555520754,0.0390059620258154,0.0955805370527564,0.0955805370527564,"gpath"
"60","AJAP1","Inh LAMP5",0.0531333546037759,7.62518399243734,17.2679033719125,4.02100041765099e-05,0.000306262726111241,0.000306262726111241,"gpath"
"61","AL365255.1","Inh LAMP5",-0.120817500890572,4.73196033566839,7.79310444640288,0.00551180815225568,0.0196850291151989,0.0196850291151989,"gpath"
"62","NPHP4","Inh LAMP5",0.0368940858384878,5.41537780022901,3.31485849810136,0.069449593458058,0.149518017550301,0.149518017550301,"gpath"
"63","KCNAB2","Inh LAMP5",0.0109787817743933,6.29658272778901,0.49176590963315,0.649484438564171,0.769829160368756,0.769829160368756,"gpath"
"64","CHD5","Inh LAMP5",0.0777791258344889,7.41349340046966,25.2364935959915,7.84815869339373e-07,9.65422031739647e-06,9.65422031739647e-06,"gpath"
"65","RPL22","Inh LAMP5",-0.00185880994519843,4.95555290216002,0.0067220467851082,0.934699736205983,0.96902035744703,0.96902035744703,"gpath"
"66","RNF207","Inh LAMP5",0.0148715842732,4.09017575342275,0.196230212619061,0.658035381925843,0.776424967987768,0.776424967987768,"gpath"
"67","ICMT","Inh LAMP5",-0.0458291675045934,3.55575286151538,1.60252631120369,0.206328003589323,0.340444249356336,0.340444249356336,"gpath"
"68","GPR153","Inh LAMP5",-0.0372405478828938,2.7656382570579,0.334147652848026,0.563572381463498,0.698941921390627,0.698941921390627,"gpath"
"69","ACOT7","Inh LAMP5",-0.0299540816264048,6.16655044766993,2.70706987282216,0.100738567168663,0.199013161857189,0.199013161857189,"gpath"
"70","TNFRSF25","Inh LAMP5",0.0271723565375364,5.98879604515732,1.29439992223177,0.255961893452191,0.398289386445137,0.398289386445137,"gpath"
"71","PLEKHG5","Inh LAMP5",-0.0384263239799967,5.29233651427048,3.11104871960571,0.078573538659632,0.164479009816955,0.164479009816955,"gpath"
"72","NOL9","Inh LAMP5",-0.0313553374472803,4.97405918355916,2.12819633801812,0.145444244041382,0.262657295750407,0.262657295750407,"gpath"
"73","ZBTB48","Inh LAMP5",-0.0761363760761029,3.56268363747902,3.87392257065715,0.0497748486786834,0.115883794041281,0.115883794041281,"gpath"
"74","KLHL21","Inh LAMP5",0.0943108619118165,4.38885785982654,13.0296800133333,0.00034802513312193,0.00199686551791272,0.00199686551791272,"gpath"
"75","PHF13","Inh LAMP5",0.0316346149294574,3.0307246733431,0.580368240390479,0.581981922320104,0.714058447383819,0.714058447383819,"gpath"
"76","THAP3","Inh LAMP5",0.0133877323491815,3.45158507413981,0.127123929250076,0.753035637077256,0.850593504305799,0.850593504305799,"gpath"
"77","DNAJC11","Inh LAMP5",-0.030668279502856,5.78270298210168,3.08657832724815,0.0797531671353796,0.166364631316884,0.166364631316884,"gpath"
"78","CAMTA1","Inh LAMP5",0.0224557777532354,9.1687066925439,7.15561209895534,0.00779881656822541,0.02618606750866,0.02618606750866,"gpath"
"79","AL512330.1","Inh LAMP5",-0.340725553858773,1.53751882570177,12.4455860101272,0.000470729362775232,0.00255528863840322,0.00255528863840322,"gpath"
"80","VAMP3","Inh LAMP5",0.0228257079453765,3.66509912610737,0.486247749072311,0.540990949823395,0.679764677528328,0.679764677528328,"gpath"
"81","PER3","Inh LAMP5",0.063331516321059,7.22708836160673,11.5141579846306,0.000764021381621085,0.00381491654545855,0.00381491654545855,"gpath"
"82","PARK7","Inh LAMP5",-0.143954561079762,5.16417176014162,37.3215166893404,2.49950878694627e-09,5.68773671332974e-08,5.68773671332974e-08,"gpath"
"83","AL034417.4","Inh LAMP5",0.245452066151435,1.63713744714756,8.52150940115961,0.0037205938851697,0.0144040898517469,0.0144040898517469,"gpath"
"84","ERRFI1","Inh LAMP5",-0.0146953377533729,4.20307628906117,0.244684347020394,0.629730114671669,0.753768641452124,0.753768641452124,"gpath"
"85","AL034417.2","Inh LAMP5",-0.0192907398043695,2.18766099664541,0.0669769488806095,0.795931663263311,0.881835653449704,0.881835653449704,"gpath"
"86","SLC45A1","Inh LAMP5",-0.155025086339221,3.991685881593,22.9150587602888,2.43677574239473e-06,2.63774693764378e-05,2.63774693764378e-05,"gpath"
"87","RERE","Inh LAMP5",0.0575361950839883,9.4289764887958,61.5902138056719,4.42691209549356e-14,2.72282877839980e-12,2.72282877839980e-12,"gpath"
"88","AL096855.1","Inh LAMP5",-0.189031391962294,1.84755960313319,6.09427168419519,0.0140052287056669,0.0419728566714178,0.0419728566714178,"gpath"
"89","ENO1","Inh LAMP5",-0.130431813419543,5.52000524351503,30.0632480111538,7.67824833595494e-08,1.24580850484037e-06,1.24580850484037e-06,"gpath"
"90","SLC2A5","Inh LAMP5",-0.148625135225519,1.62177641797871,2.89451953486228,0.0897065627696275,0.182088714818217,0.182088714818217,"gpath"
