"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh PAX6",0.0334708162834936,5.56268840920779,0.323595293494403,0.569961819971299,0.86619269848132,0.86619269848132,"gpath"
"2","NOC2L","Inh PAX6",0.0984918900905538,5.22950583961713,2.50114249551819,0.133512870698466,0.463137083714875,0.463137083714875,"gpath"
"3","HES4","Inh PAX6",-0.106774470550436,6.34800190837591,4.43430788480977,0.0362134645822144,0.245319023590417,0.245319023590417,"gpath"
"4","C1orf159","Inh PAX6",-0.1210627647275,5.95322116601554,4.72522640577334,0.0306549383468242,0.223800900493188,0.223800900493188,"gpath"
"5","SDF4","Inh PAX6",-0.109044239449762,5.77911907149433,3.6591616140276,0.0568955958735301,0.306936271051739,0.306936271051739,"gpath"
"6","UBE2J2","Inh PAX6",-0.0246567062606629,5.62181631643028,0.162604487043816,0.687111931704163,0.91130581988216,0.91130581988216,"gpath"
"7","ACAP3","Inh PAX6",-0.027321632337035,6.51050838519805,0.468223054266323,0.503750480535868,0.832030512947905,0.832030512947905,"gpath"
"8","INTS11","Inh PAX6",-0.000398125712012529,5.93301206051348,6.45215467572931e-05,0.993597394859128,0.999920680740582,0.999920680740582,"gpath"
"9","DVL1","Inh PAX6",0.0574416797104312,5.17016172438431,0.751652535640773,0.386778662723669,0.751339616282196,0.751339616282196,"gpath"
"10","AURKAIP1","Inh PAX6",-0.138419688541291,4.93653979131913,2.65728176830188,0.104326551978183,0.411055990120729,0.411055990120729,"gpath"
"11","CCNL2","Inh PAX6",0.0896934999440907,6.24473402028397,4.52056799236285,0.0344624973699381,0.239456474205128,0.239456474205128,"gpath"
"12","MRPL20","Inh PAX6",-0.0219323567532124,5.25132245794635,0.114078063452762,0.735829551405854,0.927511547305533,0.927511547305533,"gpath"
"13","SSU72","Inh PAX6",-0.0191567194971421,5.85048923597725,0.146324332245873,0.702395568457264,0.914713475193445,0.914713475193445,"gpath"
"14","MIB2","Inh PAX6",-0.053427897801494,5.57929251146897,0.867112316747404,0.352647604724156,0.724753640913568,0.724753640913568,"gpath"
"15","CDK11B","Inh PAX6",0.0218796998107388,5.22775642819481,0.0906606792965246,0.763587314105652,0.936182194386677,0.936182194386677,"gpath"
"16","SLC35E2B","Inh PAX6",-0.0318820777942652,5.30834337362909,0.194624481207848,0.659473683683446,0.901152507784531,0.901152507784531,"gpath"
"17","SLC35E2A","Inh PAX6",-0.00618021278270238,5.26489436246015,0.00661203597003954,0.935256474023035,0.995406301051704,0.995406301051704,"gpath"
"18","GNB1","Inh PAX6",0.00785093485084881,7.92743804140988,0.092949899856998,0.760711697176614,0.935276010923483,0.935276010923483,"gpath"
"19","PRKCZ","Inh PAX6",-0.0346500636743361,6.73154794777697,1.02347742866604,0.391891440387504,0.753988119288616,0.753988119288616,"gpath"
"20","SKI","Inh PAX6",-0.00580413833463924,6.39677483827244,0.0211019657238111,0.895469143979581,0.985090951252698,0.985090951252698,"gpath"
"21","MORN1","Inh PAX6",0.0985193469210829,4.7591539882338,1.30160865100415,0.255003129913901,0.636258204641323,0.636258204641323,"gpath"
"22","RER1","Inh PAX6",-0.0122207151768985,5.37260899851399,0.0389728413069406,0.859746744957868,0.97146262150428,0.97146262150428,"gpath"
"23","PLCH2","Inh PAX6",-0.0317037140767651,5.14256943556389,0.168370756359306,0.681912646387772,0.909831716871056,0.909831716871056,"gpath"
"24","CEP104","Inh PAX6",-0.0390490643388076,5.95673526282857,0.631521219069338,0.437966545806451,0.791307687615502,0.791307687615502,"gpath"
"25","DFFB","Inh PAX6",-0.0469215627619083,5.32062427143099,0.570736447358424,0.450672271530776,0.7998226782689,0.7998226782689,"gpath"
"26","AJAP1","Inh PAX6",-0.0295970739582975,7.16995392937804,0.829313447183104,0.36334175974033,0.732163763757341,0.732163763757341,"gpath"
"27","AL365255.1","Inh PAX6",-0.0105737835917703,5.2233994461425,0.0163036696198895,0.898499487074218,0.986167640406098,0.986167640406098,"gpath"
"28","NPHP4","Inh PAX6",0.0194047827929598,5.72310722474342,0.127165838828983,0.721687418565736,0.923104879630598,0.923104879630598,"gpath"
"29","KCNAB2","Inh PAX6",0.0115098296766355,6.27403863655549,0.0870839713465885,0.768160627978103,0.93764217038163,0.93764217038163,"gpath"
"30","CHD5","Inh PAX6",0.0968520951363898,7.61355189548213,11.4766623095215,0.000817657770058621,0.0239566817108858,0.0239566817108858,"gpath"
"31","RPL22","Inh PAX6",-0.0495450314544685,5.67581975412038,0.796942803253872,0.372861055961281,0.740016704777697,0.740016704777697,"gpath"
"32","RNF207","Inh PAX6",0.102530943354857,5.39661348994257,2.71127071181735,0.100888618096684,0.407593106322197,0.407593106322197,"gpath"
"33","GPR153","Inh PAX6",0.0465097286526739,5.28625496983719,0.392899951508219,0.531346682760069,0.848438472379101,0.848438472379101,"gpath"
"34","ACOT7","Inh PAX6",-0.00883469232032007,6.62172245737909,0.0507967462223066,0.821865379445196,0.960249943231222,0.960249943231222,"gpath"
"35","TNFRSF25","Inh PAX6",-0.0429411277653502,6.24353345259023,0.86534706603797,0.353137323572299,0.724753640913568,0.724753640913568,"gpath"
"36","PLEKHG5","Inh PAX6",-0.181531401101356,5.59384811220883,9.36947043028401,0.00244509758068642,0.0503830551090789,0.0503830551090789,"gpath"
"37","NOL9","Inh PAX6",0.0333461988262009,5.55033682468694,0.353751003965789,0.622387493932945,0.890801977170621,0.890801977170621,"gpath"
"38","KLHL21","Inh PAX6",0.00461579770851382,5.3090634583404,0.00504421809743668,0.983824830740125,0.999920680740582,0.999920680740582,"gpath"
"39","DNAJC11","Inh PAX6",-0.0101775339842623,6.04077154776961,0.039670352444068,0.842287180245424,0.965480090994465,0.965480090994465,"gpath"
"40","CAMTA1","Inh PAX6",0.00552400904533614,9.24190070449022,0.0926409033762352,0.761097568900826,0.935384437246598,0.935384437246598,"gpath"
"41","PER3","Inh PAX6",0.0532890323278635,6.89625534611103,1.96043003963708,0.16269784613334,0.514427644905578,0.514427644905578,"gpath"
"42","PARK7","Inh PAX6",-0.127187445966469,5.46409098944364,3.71499407667788,0.0550503332475962,0.303412263960535,0.303412263960535,"gpath"
"43","RERE","Inh PAX6",0.0232191311899131,9.23757565900796,1.63643622021009,0.201992292744846,0.574045075384345,0.574045075384345,"gpath"
"44","ENO1","Inh PAX6",-0.0584029001854188,6.0457017513519,1.37426342049812,0.242188249102744,0.623405508177693,0.623405508177693,"gpath"
"45","SLC25A33","Inh PAX6",-0.219826814768605,5.32069257992117,9.4951853186469,0.00228882892698006,0.0480410582226772,0.0480410582226772,"gpath"
"46","CLSTN1","Inh PAX6",0.0591835655716744,8.10685991029688,6.03997672720189,0.0146599172493114,0.148518699527042,0.148518699527042,"gpath"
"47","CTNNBIP1","Inh PAX6",-0.0542551011651567,5.17462516422238,0.536482541055246,0.464575137455597,0.809365780308957,0.809365780308957,"gpath"
"48","LZIC","Inh PAX6",0.109539598315571,4.97043041474381,1.85711465423039,0.174175261086887,0.53331296790869,0.53331296790869,"gpath"
"49","UBE4B","Inh PAX6",0.0186680916303133,7.58119476402247,0.521437111957819,0.47089912343191,0.813202600027272,0.813202600027272,"gpath"
"50","KIF1B","Inh PAX6",0.00384523211026235,8.84915227965383,0.0437260929595979,0.83453305638133,0.963849349513204,0.963849349513204,"gpath"
"51","DFFA","Inh PAX6",0.116334428485205,5.53615321434585,3.72932089818864,0.0545872008046756,0.302606912747687,0.302606912747687,"gpath"
"52","PEX14","Inh PAX6",-0.0149888003124334,6.23908026330017,0.1156621441501,0.734071147789543,0.927511547305533,0.927511547305533,"gpath"
"53","SRM","Inh PAX6",-0.0302796752722745,5.72722088776441,0.242276034699586,0.622995771420512,0.891055063041939,0.891055063041939,"gpath"
"54","EXOSC10","Inh PAX6",0.0120914032718537,5.73637276927792,0.04355134345074,0.83485922817274,0.963966207569754,0.963966207569754,"gpath"
"55","MTOR","Inh PAX6",-0.0736679407933157,6.47365859857035,3.20119767885774,0.0747857908317043,0.355120012782076,0.355120012782076,"gpath"
"56","DISP3","Inh PAX6",0.100446874255012,5.7155830878802,2.68999870131383,0.102228076861277,0.409730347791828,0.409730347791828,"gpath"
"57","FBXO2","Inh PAX6",0.00225394971257487,5.4877593048598,0.00163737001771537,0.986982781935313,0.999920680740582,0.999920680740582,"gpath"
"58","FBXO44","Inh PAX6",0.0846629589361847,6.23701392240929,3.40353603605011,0.0662307546282153,0.331230321685623,0.331230321685623,"gpath"
"59","MTHFR","Inh PAX6",0.0919778985367033,5.43911871315345,2.30789588548329,0.152036304480127,0.495200377613356,0.495200377613356,"gpath"
"60","CLCN6","Inh PAX6",0.0245326684253577,5.24280565147685,0.141384396872444,0.707225086474351,0.915873561315834,0.915873561315834,"gpath"
"61","MFN2","Inh PAX6",-0.0172726440745688,5.65315456450057,0.104703335513906,0.74652531836131,0.929243542470461,0.929243542470461,"gpath"
"62","VPS13D","Inh PAX6",0.0662536897262365,7.97476075197659,7.45995112243713,0.00675466916209422,0.094857214888603,0.094857214888603,"gpath"
"63","PRDM2","Inh PAX6",0.0274471642164248,6.77537432708443,0.652220685216827,0.442113952430916,0.793713219423292,0.793713219423292,"gpath"
"64","KAZN","Inh PAX6",-0.0108175395339801,12.3111845355746,0.781845594500296,0.377420492262393,0.743535328241339,0.743535328241339,"gpath"
"65","DNAJC16","Inh PAX6",-0.0692809669188354,5.61549563971319,1.45043139400193,0.229589172133832,0.610561962816308,0.610561962816308,"gpath"
