"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","HES4","SMC",-0.153674993194788,9.7005404919202,0.663324498068035,0.419340619878472,0.999135023621077,0.999135023621077,"gpath"
"2","ISG15","SMC",-1.04501333302927,8.86997523103693,3.39769440137734,0.0713575322351489,0.999135023621077,0.999135023621077,"gpath"
"3","GNB1","SMC",0.147798889638876,9.26229307746301,0.803439356517857,0.524757758175627,0.999135023621077,0.999135023621077,"gpath"
"4","SKI","SMC",0.1804286391097,8.51832704467415,0.550795828539022,0.461545619340878,0.999135023621077,0.999135023621077,"gpath"
"5","PRDM16","SMC",0.0983797191514083,9.04090851024726,0.182041605250284,0.671498646026648,0.999135023621077,0.999135023621077,"gpath"
"6","CAMTA1","SMC",-0.117830307090433,9.09158166360725,0.423050038374645,0.518465902117019,0.999135023621077,0.999135023621077,"gpath"
"7","ERRFI1","SMC",-0.501206215883445,9.1206446147978,3.37905149484974,0.0721130843748183,0.999135023621077,0.999135023621077,"gpath"
"8","RERE","SMC",0.071390114181497,9.36694763804156,0.181981282796846,0.671549797779438,0.999135023621077,0.999135023621077,"gpath"
"9","ENO1","SMC",-0.140530904590797,8.69036218837902,0.438852588210057,0.510789645550096,0.999135023621077,0.999135023621077,"gpath"
"10","KIF1B","SMC",-0.406971321617996,8.78714845030265,3.08403797330301,0.0853305778755418,0.999135023621077,0.999135023621077,"gpath"
"11","VPS13D","SMC",-0.155848448211412,9.43761875735251,0.772985701985553,0.383598517563889,0.999135023621077,0.999135023621077,"gpath"
"12","KAZN","SMC",-0.723699312071063,8.28371658973727,6.60070998800624,0.0132983786488528,0.999135023621077,0.999135023621077,"gpath"
"13","FBLIM1","SMC",0.335864041235297,8.77847166773014,2.52895752286175,0.118224304107453,0.999135023621077,0.999135023621077,"gpath"
"14","SPEN","SMC",-0.131332119466222,8.55874689421492,0.303614340869803,0.584136305748232,0.999135023621077,0.999135023621077,"gpath"
"15","HSPB7","SMC",0.161596417898937,7.99328007736984,0.271565760020596,0.604637342571259,0.999135023621077,0.999135023621077,"gpath"
"16","ARHGEF10L","SMC",0.0213250666592272,9.49763131115425,0.013694290655047,0.90732184165045,0.999135023621077,0.999135023621077,"gpath"
"17","UBR4","SMC",0.127793281277538,8.45154857452523,0.287272774707008,0.594405231670594,0.999135023621077,0.999135023621077,"gpath"
"18","CAPZB","SMC",0.0202968939631465,9.3613530359919,0.0132801161609464,0.90872767937347,0.999135023621077,0.999135023621077,"gpath"
"19","NBL1","SMC",0.12615468128538,8.59339615503406,0.285574258271916,0.595494087592944,0.999135023621077,0.999135023621077,"gpath"
"20","CAMK2N1","SMC",-0.219923465125662,8.46313089565636,0.839295919247545,0.364097866651427,0.999135023621077,0.999135023621077,"gpath"
"21","HP1BP3","SMC",0.0434124365382522,8.79870325031027,0.0571144648562485,0.812115783678259,0.999135023621077,0.999135023621077,"gpath"
"22","EIF4G3","SMC",0.1070350454464,9.18387463270736,0.429118370058145,0.515494194288936,0.999135023621077,0.999135023621077,"gpath"
"23","ECE1","SMC",0.108621869644676,10.0146078492554,0.438532637340903,0.510943077049501,0.999135023621077,0.999135023621077,"gpath"
"24","HSPG2","SMC",0.484397825632677,9.35893184866305,7.14951791741569,0.0101675528157004,0.999135023621077,0.999135023621077,"gpath"
"25","ID3","SMC",-0.0997876577441039,9.45103688636963,0.27588627928566,0.601785772552692,0.999135023621077,0.999135023621077,"gpath"
"26","RPL11","SMC",0.0182557739142393,9.61714761757255,0.0116590519222482,0.914456051821481,0.999135023621077,0.999135023621077,"gpath"
"27","CLIC4","SMC",-0.0969683234802559,9.90480642546162,0.367483644439261,0.547185277666226,0.999135023621077,0.999135023621077,"gpath"
"28","RSRP1","SMC",0.245622750936961,8.46710599744808,1.06607668103651,0.306917077777492,0.999135023621077,0.999135023621077,"gpath"
"29","STMN1","SMC",-0.384175906981957,8.42772798971282,2.22206375640875,0.14247904393744,0.999135023621077,0.999135023621077,"gpath"
"30","WASF2","SMC",0.0253417307101069,8.85582873988582,0.0208148867578811,0.885877824790371,0.999135023621077,0.999135023621077,"gpath"
"31","IFI6","SMC",-0.289643656116547,7.97388058813462,0.340262252832171,0.562360856501505,0.999135023621077,0.999135023621077,"gpath"
"32","SRSF4","SMC",-0.136747685606677,8.57817239108311,0.420899557773561,0.519526318223852,0.999135023621077,0.999135023621077,"gpath"
"33","PUM1","SMC",0.310534148423634,8.99049501969368,2.58234672125223,0.11450534231872,0.999135023621077,0.999135023621077,"gpath"
"34","TINAGL1","SMC",0.35297781782646,8.53228083807392,2.38951089708674,0.128604867805381,0.999135023621077,0.999135023621077,"gpath"
"35","KPNA6","SMC",-0.10302970828755,8.12646172376785,0.145683958120082,0.704349451480406,0.999135023621077,0.999135023621077,"gpath"
"36","PHC2","SMC",-0.115191513189821,8.61625974913976,0.220247574766755,0.64093888066764,0.999135023621077,0.999135023621077,"gpath"
"37","GJA4","SMC",-0.136026477330411,8.24242586123528,0.186625242351697,0.667640879114187,0.999135023621077,0.999135023621077,"gpath"
"38","SFPQ","SMC",-0.0658274991247566,8.47574928460925,0.0632607417989302,0.802469378325479,0.999135023621077,0.999135023621077,"gpath"
"39","ZMYM4","SMC",0.0332031238724541,9.11339788741531,0.0272931883642131,0.869463085416458,0.999135023621077,0.999135023621077,"gpath"
"40","KIAA0319L","SMC",-0.100959570990631,8.05127899635104,0.110730059772438,0.740738064409281,0.999135023621077,0.999135023621077,"gpath"
"41","THRAP3","SMC",0.00412334061829747,8.38799051740607,0.000182831475372748,0.989266778602461,0.999135023621077,0.999135023621077,"gpath"
"42","MACF1","SMC",0.142982923118557,10.7367771659347,1.21498597436891,0.275746851314736,0.999135023621077,0.999135023621077,"gpath"
"43","HEYL","SMC",-0.142909097805235,8.46530597465241,0.383360815390315,0.538686421039219,0.999135023621077,0.999135023621077,"gpath"
"44","CAP1","SMC",-0.106721804093205,8.90257697111915,0.293070850968756,0.590719347739787,0.999135023621077,0.999135023621077,"gpath"
