"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","HES4","End",0.0473205159029887,7.02504818332992,0.421631119921074,0.51672941447848,0.839985722605716,0.839985722605716,"gpath_3neocort"
"2","ISG15","End",-0.244850973246959,7.36849272050985,7.0323769020827,0.0085246129932597,0.150428618355998,0.150428618355998,"gpath_3neocort"
"3","CCNL2","End",0.0201588249007557,7.64139271200498,0.216377300618895,0.748465368298002,0.947404203026277,0.947404203026277,"gpath_3neocort"
"4","VWA1","End",-0.0393793971046729,7.00168564560953,0.280882756144619,0.596600716127651,0.886914570641621,0.886914570641621,"gpath_3neocort"
"5","GNB1","End",-0.0214440143192675,9.01577615211616,0.445625670564402,0.505044682270933,0.834164362437495,0.834164362437495,"gpath_3neocort"
"6","SKI","End",-0.0283539257222248,7.85340325595611,0.349166524377117,0.555127250741565,0.86376720179181,0.86376720179181,"gpath_3neocort"
"7","CAMTA1","End",-0.0315350130197323,8.98432775539031,0.678011388442196,0.411069021365318,0.781123117868787,0.781123117868787,"gpath_3neocort"
"8","PER3","End",-0.0679464027358038,7.33634909221474,0.794718202184475,0.37354742452885,0.752911331446558,0.752911331446558,"gpath_3neocort"
"9","PARK7","End",-0.102118428633656,6.79623922493057,1.64680975511791,0.200600005177745,0.631207088312065,0.631207088312065,"gpath_3neocort"
"10","RERE","End",0.043913779177029,9.54877585808468,2.12691722956161,0.146005761777954,0.554850160118283,0.554850160118283,"gpath_3neocort"
"11","ENO1","End",-0.0803292988760362,7.17341461290726,1.42571120861653,0.233614521974826,0.671388321641671,0.671388321641671,"gpath_3neocort"
"12","CLSTN1","End",-0.0971279095058435,7.31476930543101,3.01145434112692,0.110252038859394,0.484313141563832,0.484313141563832,"gpath_3neocort"
"13","UBE4B","End",0.0203923421266474,7.55713031595679,0.15323465881798,0.940384505223195,0.998285822145814,0.998285822145814,"gpath_3neocort"
"14","KIF1B","End",-0.0840980922572263,8.20616034373746,3.40942940046253,0.0660247455033558,0.387826026107947,0.387826026107947,"gpath_3neocort"
"15","PEX14","End",-0.0396077189995181,6.92508858544981,0.260981753057026,0.609904142834567,0.893541314879078,0.893541314879078,"gpath_3neocort"
"16","MTOR","End",0.0496371317179483,7.10424375503997,0.747585301314418,0.388083247809732,0.765217138879731,0.765217138879731,"gpath_3neocort"
"17","TNFRSF1B","End",0.0626902299831341,7.60065584577137,1.43094637740829,0.232760500530363,0.671388321641671,0.671388321641671,"gpath_3neocort"
"18","VPS13D","End",0.0216445467557507,8.52234670685568,0.313295193208921,0.576173871950842,0.876563161028029,0.876563161028029,"gpath_3neocort"
"19","PRDM2","End",-0.0370209644213039,8.02508319273349,0.684644060747015,0.479044423292552,0.823541691789213,0.823541691789213,"gpath_3neocort"
"20","KAZN","End",-0.0331104123525586,6.93698276071773,0.112181587475213,0.737959081586103,0.9441367205346,0.9441367205346,"gpath_3neocort"
"21","SPEN","End",0.0112313247225234,8.24576795904495,0.0586372228969319,0.808864511069409,0.970470808852587,0.970470808852587,"gpath_3neocort"
"22","SRARP","End",0.0703613925049037,8.72271369224398,2.96100997476352,0.0865506887355163,0.433660966264657,0.433660966264657,"gpath_3neocort"
