"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Exc NRGN",0.0225680389770292,5.31576112840641,0.167024520932253,0.683000506760112,0.914641146000249,0.914641146000249,"gpath_3neocort"
"2","NOC2L","Exc NRGN",-0.038523738620224,6.13754619636663,1.28923418228849,0.262004445297702,0.585742890443172,0.585742890443172,"gpath_3neocort"
"3","HES4","Exc NRGN",-0.359312793050362,5.1072019128443,24.5323671937735,1.10239367479273e-06,9.96424841368959e-05,9.96424841368959e-05,"gpath_3neocort"
"4","ISG15","Exc NRGN",-0.0415523324843863,4.6729133924761,0.257415424086891,0.612196245872293,0.877201504546803,0.877201504546803,"gpath_3neocort"
"5","AGRN","Exc NRGN",-0.0848927784151301,5.52838174226696,3.44109493513834,0.0643692853419518,0.288119414128367,0.288119414128367,"gpath_3neocort"
"6","C1orf159","Exc NRGN",-0.086510116331739,5.16136665715221,2.66576733893639,0.103358210044223,0.367599115843505,0.367599115843505,"gpath_3neocort"
"7","SDF4","Exc NRGN",-0.0156388310005249,5.95759983546448,0.157851926891347,0.691365426967423,0.917495915912451,0.917495915912451,"gpath_3neocort"
"8","B3GALT6","Exc NRGN",-0.202130674104061,5.05668927122705,11.2188091304604,0.000890916672803976,0.0176651521309136,0.0176651521309136,"gpath_3neocort"
"9","UBE2J2","Exc NRGN",0.0109919157682546,5.74438216508202,0.081924737469844,0.816957491289937,0.956404622036943,0.956404622036943,"gpath_3neocort"
"10","SCNN1D","Exc NRGN",0.108918587674529,4.16404958901299,1.70540360010271,0.19237427453898,0.504335274745122,0.504335274745122,"gpath_3neocort"
"11","ACAP3","Exc NRGN",0.0550814464988457,6.73153041581613,2.53596452426883,0.112111873920101,0.383766097250214,0.383766097250214,"gpath_3neocort"
"12","INTS11","Exc NRGN",0.0215870932771476,6.01212954084849,0.292390499542255,0.591861505378903,0.865198542238967,0.865198542238967,"gpath_3neocort"
"13","CPTP","Exc NRGN",-0.0979143045100611,5.16438360357214,3.5980146073055,0.058608064246158,0.272734094889473,0.272734094889473,"gpath_3neocort"
"14","DVL1","Exc NRGN",-0.014275678660903,5.78095317017507,0.105314501822157,0.745721800428095,0.939573882166906,0.939573882166906,"gpath_3neocort"
"15","AURKAIP1","Exc NRGN",-0.0790728742439398,6.40429829814736,4.69703224384555,0.0308364705542822,0.188303292191791,0.188303292191791,"gpath_3neocort"
"16","CCNL2","Exc NRGN",-0.000452245530673893,6.29663912038946,0.000194141165534424,0.988890397095062,0.997941797832907,0.997941797832907,"gpath_3neocort"
"17","MRPL20","Exc NRGN",-0.0132234391215233,6.26361803958369,0.127120596142584,0.721634639755764,0.930492268432024,0.930492268432024,"gpath_3neocort"
"18","ANKRD65","Exc NRGN",-0.191874528674904,5.23937922237642,9.28368031547704,0.00247385902103573,0.0352560050540503,0.0352560050540503,"gpath_3neocort"
"19","ATAD3C","Exc NRGN",-0.112517236685281,3.64176173864285,0.970087930006553,0.325286108034605,0.655208898195382,0.655208898195382,"gpath_3neocort"
