"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh L5-6 PVALB STON2",-0.0200834951550249,5.56035518630766,0.137262451874964,0.711358268574887,0.918195139657398,0.918195139657398,"gpath_3neocort"
"2","NOC2L","Inh L5-6 PVALB STON2",0.042981083966304,4.75577262873895,0.510830348832411,0.47550331888987,0.797296932497164,0.797296932497164,"gpath_3neocort"
"3","HES4","Inh L5-6 PVALB STON2",-0.324784036097343,5.00128195546692,20.927386062669,7.79475669236509e-06,0.00102654583590966,0.00102654583590966,"gpath_3neocort"
"4","ISG15","Inh L5-6 PVALB STON2",-0.184098588159565,3.57324493271657,1.77897705861533,0.183592256912091,0.53681573190228,0.53681573190228,"gpath_3neocort"
"5","AGRN","Inh L5-6 PVALB STON2",-0.0863615669453609,4.3263750513858,0.872682778908546,0.351191881585895,0.708743866901462,0.708743866901462,"gpath_3neocort"
"6","C1orf159","Inh L5-6 PVALB STON2",-0.0760313835129032,5.7584591077014,3.19867703819621,0.075011995501938,0.363638742277103,0.363638742277103,"gpath_3neocort"
"7","SDF4","Inh L5-6 PVALB STON2",0.0288394557280185,5.49840825868885,0.403393530319762,0.544915983191156,0.843529914472208,0.843529914472208,"gpath_3neocort"
"8","UBE2J2","Inh L5-6 PVALB STON2",0.0962009547327732,5.12834616880721,3.18492797472552,0.0756362678382518,0.364774418139887,0.364774418139887,"gpath_3neocort"
"9","ACAP3","Inh L5-6 PVALB STON2",0.058443425602495,6.08243774599795,2.60601091912931,0.107828197496876,0.421422074030057,0.421422074030057,"gpath_3neocort"
"10","INTS11","Inh L5-6 PVALB STON2",-0.0137338818416274,5.54978019733391,0.0893660110723468,0.765254213476394,0.93946779796386,0.93946779796386,"gpath_3neocort"
"11","DVL1","Inh L5-6 PVALB STON2",-0.0672904015478371,4.45506643964887,0.765342035288822,0.382573128678762,0.734553928534527,0.734553928534527,"gpath_3neocort"
"12","AURKAIP1","Inh L5-6 PVALB STON2",-0.000930652666778075,4.37341895501376,9.84027243766399e-05,0.992093848526612,0.999965780974558,0.999965780974558,"gpath_3neocort"
"13","CCNL2","Inh L5-6 PVALB STON2",-0.0406149827582857,5.97941570642712,1.08133508269783,0.299489314613107,0.664198999668552,0.664198999668552,"gpath_3neocort"
"14","MRPL20","Inh L5-6 PVALB STON2",-0.0735150468142118,4.64570791787707,1.14466466809726,0.285788603073055,0.652159238096874,0.652159238096874,"gpath_3neocort"
"15","ATAD3B","Inh L5-6 PVALB STON2",-0.0728992996219331,5.15389601086964,1.9094399089549,0.168364109752141,0.517335581683204,0.517335581683204,"gpath_3neocort"
"16","ATAD3A","Inh L5-6 PVALB STON2",-0.0657940044026065,4.65229353748,1.04228418264365,0.308361831857839,0.671918035223951,0.671918035223951,"gpath_3neocort"
"17","SSU72","Inh L5-6 PVALB STON2",-0.0400881052701065,5.21299081674894,0.712999373070469,0.399325981590537,0.745797471419197,0.745797471419197,"gpath_3neocort"
"18","FNDC10","Inh L5-6 PVALB STON2",0.0964193139798407,4.49348886595536,1.85786574780953,0.174202192738384,0.524295519141978,0.524295519141978,"gpath_3neocort"
"19","MIB2","Inh L5-6 PVALB STON2",-0.0811284429992808,5.27993111796544,2.53138404871535,0.112973689750843,0.432584718640673,0.432584718640673,"gpath_3neocort"
"20","CDK11B","Inh L5-6 PVALB STON2",0.18715674483936,5.00490554796802,10.866578270374,0.00113386526106477,0.0376124865701226,0.0376124865701226,"gpath_3neocort"
"21","SLC35E2B","Inh L5-6 PVALB STON2",-0.0295101202601236,5.03014368233145,0.281374547677961,0.596312686108016,0.868102265228215,0.868102265228215,"gpath_3neocort"
"22","CDK11A","Inh L5-6 PVALB STON2",0.166878974959135,4.52578146308855,5.5344665058565,0.019487942654121,0.194476690642502,0.194476690642502,"gpath_3neocort"
"23","SLC35E2A","Inh L5-6 PVALB STON2",0.0625756361001549,4.93256169421637,1.1010511298542,0.295135189903522,0.659523758314398,0.659523758314398,"gpath_3neocort"
"24","GNB1","Inh L5-6 PVALB STON2",0.000797556143225052,7.3925800941732,0.00115215011919615,0.972951729147589,0.999620935364557,0.999620935364557,"gpath_3neocort"
"25","CFAP74","Inh L5-6 PVALB STON2",-0.0963069711537621,4.67633228485828,1.52577037664487,0.218006708077957,0.580732194383137,0.580732194383137,"gpath_3neocort"
"26","GABRD","Inh L5-6 PVALB STON2",-0.0201946019975843,6.1936228387467,0.251178915537665,0.616724779133157,0.876248147418101,0.876248147418101,"gpath_3neocort"
"27","PRKCZ","Inh L5-6 PVALB STON2",0.0255183722570904,6.69969323390608,0.765389069771924,0.406918873080706,0.750464427077764,0.750464427077764,"gpath_3neocort"
"28","FAAP20","Inh L5-6 PVALB STON2",-0.129738486940406,4.70122991898434,4.46968764729867,0.03557643502469,0.25722503646576,0.25722503646576,"gpath_3neocort"
"29","SKI","Inh L5-6 PVALB STON2",0.0118189044164196,5.99226500679804,0.0997514844007065,0.75241404118928,0.934951085920975,0.934951085920975,"gpath_3neocort"
"30","MORN1","Inh L5-6 PVALB STON2",-0.0302974036379334,5.1924898978459,0.369525162775863,0.602944514247391,0.871287401136878,0.871287401136878,"gpath_3neocort"
"31","RER1","Inh L5-6 PVALB STON2",-0.0455281971101858,4.75246729392699,0.46252755787915,0.497128007707004,0.811309921702832,0.811309921702832,"gpath_3neocort"
"32","PLCH2","Inh L5-6 PVALB STON2",-0.0767042038936366,6.19211601289617,4.19271882235371,0.041732423645333,0.276710666958085,0.276710666958085,"gpath_3neocort"
"33","TPRG1L","Inh L5-6 PVALB STON2",0.00824088774854584,4.38631534317664,0.012874423605569,0.992885508604206,0.999965780974558,0.999965780974558,"gpath_3neocort"
"34","LRRC47","Inh L5-6 PVALB STON2",0.0188974072423367,4.41968673116251,0.0612573892072718,0.804739975910346,0.956334274846661,0.956334274846661,"gpath_3neocort"
