"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Exc NRGN",-0.042648062955854,5.31565770662779,0.296195706334396,0.586597630113191,0.896449284813793,0.896449284813793,"hypertension_bl"
"2","NOC2L","Exc NRGN",-0.0102682523085611,6.13760815998886,0.0427542733897497,0.946591670806508,0.998068004080774,0.998068004080774,"hypertension_bl"
"3","HES4","Exc NRGN",0.176340609960005,5.10706860867593,4.35147150764933,0.0376459016477172,0.245899304187205,0.245899304187205,"hypertension_bl"
"4","ISG15","Exc NRGN",0.782128244494041,4.67281218749111,29.4208260345435,1.04083705352371e-07,2.42853910651242e-05,2.42853910651242e-05,"hypertension_bl"
"5","AGRN","Exc NRGN",0.179870269184022,5.52857497425093,7.59100014730569,0.00614938044731877,0.0803342890988922,0.0803342890988922,"hypertension_bl"
"6","C1orf159","Exc NRGN",-0.0275189647272529,5.16129891003646,0.102239997063489,0.749334301475949,0.961636102162727,0.961636102162727,"hypertension_bl"
"7","SDF4","Exc NRGN",-0.0215840578707041,5.95753413248836,0.138811395487031,0.709673993345179,0.947354742128786,0.947354742128786,"hypertension_bl"
"8","B3GALT6","Exc NRGN",0.17669263067522,5.05675570818816,4.57903172858202,0.0330041992447093,0.230682880435847,0.230682880435847,"hypertension_bl"
"9","UBE2J2","Exc NRGN",-0.0120311868191118,5.7444060175981,0.0443901048829742,0.92241118929169,0.998000264655257,0.998000264655257,"hypertension_bl"
"10","SCNN1D","Exc NRGN",-0.0580915338096007,4.16407262419491,0.171788372418549,0.678762023405576,0.934159037150637,0.934159037150637,"hypertension_bl"
"11","ACAP3","Exc NRGN",-0.0596946779918619,6.73159020602948,1.36824315748844,0.242849807057807,0.627481873348179,0.627481873348179,"hypertension_bl"
"12","INTS11","Exc NRGN",-0.122652807240952,6.01201887861095,4.39585763127244,0.0366894071081568,0.242329125376092,0.242329125376092,"hypertension_bl"
"13","CPTP","Exc NRGN",0.0163955802850927,5.16446155005239,0.0610221486810245,0.805021520825396,0.980707194972957,0.980707194972957,"hypertension_bl"
"14","DVL1","Exc NRGN",-0.0155936520588737,5.78097158201912,0.0538691185837101,0.81658790799182,0.983296041023103,0.983296041023103,"hypertension_bl"
"15","AURKAIP1","Exc NRGN",0.0350510134897536,6.40407376239073,0.434924833667795,0.509983190753516,0.84994514072366,0.84994514072366,"hypertension_bl"
"16","CCNL2","Exc NRGN",-0.0499179324549282,6.29642272728145,1.07407966196492,0.300687235952304,0.687980624471942,0.687980624471942,"hypertension_bl"
"17","MRPL20","Exc NRGN",-0.0315630303575815,6.26340657833736,0.327307558228253,0.567588345378916,0.884377908265765,0.884377908265765,"hypertension_bl"
"18","ANKRD65","Exc NRGN",0.0571676931973853,5.23935489933797,0.431688415561592,0.511560821483461,0.850594915801055,0.850594915801055,"hypertension_bl"
"19","ATAD3C","Exc NRGN",0.201679761238218,3.64183692684421,1.40355146844622,0.236872995398382,0.620022635750579,0.620022635750579,"hypertension_bl"
"20","ATAD3A","Exc NRGN",0.112373421815192,4.80122516611743,1.59254869505987,0.207739239410988,0.581947000825534,0.581947000825534,"hypertension_bl"
"21","SSU72","Exc NRGN",0.0076460924328541,7.48564485716539,0.0430174095020974,0.835804006397422,0.986230228326004,0.986230228326004,"hypertension_bl"
"22","FNDC10","Exc NRGN",0.18996954184823,5.72805602779991,9.44725993192828,0.00226786480312286,0.0425170228374435,0.0425170228374435,"hypertension_bl"
"23","AL691432.2","Exc NRGN",-0.00537764514420801,4.86512611429225,0.00234677882970821,0.961388285964574,0.998068004080774,0.998068004080774,"hypertension_bl"
"24","MIB2","Exc NRGN",-0.103076581006387,6.04395500503509,3.30571483813557,0.0698294006646034,0.345008742127758,0.345008742127758,"hypertension_bl"
"25","CDK11B","Exc NRGN",0.0736716032402136,5.56532585343108,1.22011189887362,0.270040186813325,0.657783615748809,0.657783615748809,"hypertension_bl"
"26","SLC35E2B","Exc NRGN",0.0105575283149964,5.14079913582384,0.0177917201382907,0.893959296491214,0.996461082945978,0.996461082945978,"hypertension_bl"
"27","SLC35E2A","Exc NRGN",-0.0843853295184149,5.32527327418964,1.07446896335055,0.300599779672079,0.687980624471942,0.687980624471942,"hypertension_bl"
"28","NADK","Exc NRGN",0.00773350741117954,5.24849105086166,0.012164943760184,0.912234018809347,0.996923559831496,0.996923559831496,"hypertension_bl"
"29","GNB1","Exc NRGN",0.00756289170739625,8.89365585829685,0.0702063546101731,0.791180761493611,0.976133371872282,0.976133371872282,"hypertension_bl"
"30","CFAP74","Exc NRGN",0.133418097992675,4.84560942872047,2.02306911354071,0.155749069597996,0.512352890992765,0.512352890992765,"hypertension_bl"
"31","GABRD","Exc NRGN",-0.0343426662611587,7.4093634089279,0.493414354688929,0.482839818421901,0.831350095465524,0.831350095465524,"hypertension_bl"
"32","PRKCZ","Exc NRGN",-0.0596416201840872,7.55638524518573,2.56210278707335,0.596704274159517,0.901138484038579,0.901138484038579,"hypertension_bl"
"33","FAAP20","Exc NRGN",-0.091753430540887,4.97179967614029,1.01946051542644,0.313291855057367,0.699175527572518,0.699175527572518,"hypertension_bl"
"34","SKI","Exc NRGN",-0.0116286196348115,6.42024597886168,0.0475086351920465,0.827574000119959,0.985262488226734,0.985262488226734,"hypertension_bl"
"35","MORN1","Exc NRGN",-0.108550078153477,5.46566636085032,2.28657048210953,0.131332223864364,0.471161893772607,0.471161893772607,"hypertension_bl"
"36","RER1","Exc NRGN",-0.0159122948862477,6.10249675558062,0.0845222444349135,0.812815806384873,0.982172827346674,0.982172827346674,"hypertension_bl"
"37","PEX10","Exc NRGN",0.060137630250825,4.8050788354567,0.440557689263605,0.507257378771952,0.849102700655797,0.849102700655797,"hypertension_bl"
"38","PLCH2","Exc NRGN",0.133652048311052,4.70261058202989,1.66281620185886,0.198010706207983,0.570996108011499,0.570996108011499,"hypertension_bl"
"39","PANK4","Exc NRGN",0.135269499472296,4.83387455409859,2.21798977241151,0.13724309300769,0.479776986810505,0.479776986810505,"hypertension_bl"
"40","FAM213B","Exc NRGN",0.192301242192708,5.94918425913089,11.9786399895722,0.000599501627980628,0.0168481788054052,0.0168481788054052,"hypertension_bl"
"41","TPRG1L","Exc NRGN",0.102474040820895,7.54958246204475,6.06680055509324,0.0142187964837587,0.139723002077915,0.139723002077915,"hypertension_bl"
"42","WRAP73","Exc NRGN",0.0679749155015716,4.588640849948,0.510557564501453,0.885931317689342,0.994356070072398,0.994356070072398,"hypertension_bl"
"43","LRRC47","Exc NRGN",0.0928915476761631,6.15261290889435,3.06190710090688,0.0809576923132767,0.373963410211374,0.373963410211374,"hypertension_bl"
"44","CEP104","Exc NRGN",0.0481691047397183,5.51385314104063,0.529971038989826,0.907862976158172,0.996781488268214,0.996781488268214,"hypertension_bl"
"45","C1orf174","Exc NRGN",-0.0393483699956328,4.73511436524361,0.167976000645796,0.718536583948067,0.949874035191031,0.949874035191031,"hypertension_bl"
"46","AJAP1","Exc NRGN",0.264400691507991,6.84209709433509,30.0092568354912,7.85538032345677e-08,2.02084694321133e-05,2.02084694321133e-05,"hypertension_bl"
"47","NPHP4","Exc NRGN",0.137716756516764,5.26678286111364,3.06713614303105,0.0806998583793794,0.373460184096086,0.373460184096086,"hypertension_bl"
"48","KCNAB2","Exc NRGN",0.121330736908488,8.51181070265502,13.6991281668808,0.000246394293605309,0.00886048009943394,0.00886048009943394,"hypertension_bl"
"49","CHD5","Exc NRGN",0.130538146745373,8.02517030784801,12.9325207335625,0.000365692491936403,0.0119527071393773,0.0119527071393773,"hypertension_bl"
"50","RPL22","Exc NRGN",-0.0804372293948274,6.19510821545272,2.18760440021943,0.13995707040283,0.484736594162472,0.484736594162472,"hypertension_bl"
"51","ICMT","Exc NRGN",0.0667442850883296,5.69376395653771,1.17727679287735,0.27860149274629,0.666636960821257,0.666636960821257,"hypertension_bl"
"52","ACOT7","Exc NRGN",0.115283488013736,7.86417177623238,10.4213991981805,0.00135430008542726,0.0295384625154168,0.0295384625154168,"hypertension_bl"
"53","TNFRSF25","Exc NRGN",-0.20606455615349,5.83391316845608,7.24580315556811,0.00742203631553708,0.0912564832766955,0.0912564832766955,"hypertension_bl"
"54","PLEKHG5","Exc NRGN",-0.00557170669188563,5.68128750866954,0.005315692280071,0.941917197470256,0.998068004080774,0.998068004080774,"hypertension_bl"
"55","NOL9","Exc NRGN",-0.0493861948733418,5.4939337535743,0.587610291207339,0.443822392862633,0.807829074650441,0.807829074650441,"hypertension_bl"
"56","KLHL21","Exc NRGN",0.0644974771770805,5.9656425123171,1.12132917476625,0.290307547024814,0.67854730018961,0.67854730018961,"hypertension_bl"
"57","PHF13","Exc NRGN",0.144375951622844,4.75919417912059,2.16122353433808,0.142362476551301,0.488663920340033,0.488663920340033,"hypertension_bl"
"58","THAP3","Exc NRGN",-0.0917720873694522,4.68418796131561,0.94761381349865,0.330948954082892,0.717461291338301,0.717461291338301,"hypertension_bl"
"59","DNAJC11","Exc NRGN",-0.0640019007809266,5.89130003042276,1.26384249002811,0.918490550886742,0.997574367967742,0.997574367967742,"hypertension_bl"
"60","CAMTA1","Exc NRGN",0.0095102304770069,9.08923022005699,0.112899508036248,0.835649492205861,0.986230228326004,0.986230228326004,"hypertension_bl"
"61","PER3","Exc NRGN",-0.196208751236903,6.36394144857683,12.9414457777869,0.0003640108970344,0.0119527071393773,0.0119527071393773,"hypertension_bl"
