"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","OPC",0.0679597832940773,2.40014350286392,0.980309145113875,0.322795053460459,0.843709132956634,0.843709132956634,"hypertension_bl"
"2","AL669831.5","OPC",-0.0405480401026083,5.03966010162676,1.76418132609404,0.277044556945105,0.820152722766086,0.820152722766086,"hypertension_bl"
"3","NOC2L","OPC",0.0258370924565022,4.5058269362256,0.606085830947833,0.448450025378919,0.894745500216821,0.894745500216821,"hypertension_bl"
"4","KLHL17","OPC",-0.0394162898393525,2.21999177846329,0.250315064001586,0.617162496535434,0.964437956743541,0.964437956743541,"hypertension_bl"
"5","HES4","OPC",0.193473750618669,2.39888554630195,5.5679444150452,0.0188314525085821,0.436757300998671,0.436757300998671,"hypertension_bl"
"6","ISG15","OPC",0.342733607413776,3.63229283445893,7.32868195899061,0.00711347146740294,0.344553259208756,0.344553259208756,"hypertension_bl"
"7","AGRN","OPC",0.0151382841050799,5.22821970076936,0.240254634896552,0.624324244851256,0.966029777395055,0.966029777395055,"hypertension_bl"
"8","C1orf159","OPC",0.0225073649972718,4.39934863391144,0.421009629648745,0.516852089092773,0.925578263250669,0.925578263250669,"hypertension_bl"
"9","SDF4","OPC",-0.0086978319271739,4.80798237529665,0.103147109301525,0.759080489648097,0.999816767430928,0.999816767430928,"hypertension_bl"
"10","B3GALT6","OPC",0.0238989799774893,2.83092449027013,0.170926851398226,0.67953835758442,0.981837972775446,0.981837972775446,"hypertension_bl"
"11","UBE2J2","OPC",0.0376014375756372,4.87631742233731,2.08881914524722,0.205867667402386,0.769944309263226,0.769944309263226,"hypertension_bl"
"12","LINC01786","OPC",0.129991527128245,2.90229757861374,4.64131479957726,0.0318816449142004,0.497576561992494,0.497576561992494,"hypertension_bl"
"13","SCNN1D","OPC",0.0034297206068143,4.03430417458531,0.00568535558547174,0.939937786031998,0.999816767430928,0.999816767430928,"hypertension_bl"
"14","ACAP3","OPC",0.0372223621915861,7.54499445710376,2.38671792948416,0.123258868026519,0.694014627177925,0.694014627177925,"hypertension_bl"
"15","PUSL1","OPC",0.0140792923810981,1.94219993657476,0.030027508159891,0.86252632551288,0.999816767430928,0.999816767430928,"hypertension_bl"
"16","INTS11","OPC",0.0075977722509398,5.28542338235696,0.107886703268775,0.742756182968836,0.997380045600892,0.997380045600892,"hypertension_bl"
"17","CPTP","OPC",-0.0449313642253493,2.76158887057965,0.59200271670163,0.442155987785943,0.894472790413487,0.894472790413487,"hypertension_bl"
"18","DVL1","OPC",-0.022188661489935,3.94849837728326,0.377939290999918,0.67369445228473,0.980397112357855,0.980397112357855,"hypertension_bl"
"19","AURKAIP1","OPC",-0.0347933914715197,3.57956757616262,0.566008116536852,0.452346773494332,0.89684093848634,0.89684093848634,"hypertension_bl"
"20","CCNL2","OPC",0.00907808091224249,5.91728608983795,0.159610263187969,0.689755198529276,0.984563022051219,0.984563022051219,"hypertension_bl"
"21","MRPL20","OPC",0.0232105706206102,4.20992488693553,0.489274826872484,0.484707807103699,0.91238023790198,0.91238023790198,"hypertension_bl"
"22","ANKRD65","OPC",0.072462400392292,2.56026238546014,1.08883053558336,0.297438616695848,0.831080505359548,0.831080505359548,"hypertension_bl"
"23","VWA1","OPC",-0.103173885610632,4.85039064941392,6.80001876636209,0.00949939570192943,0.361564589119545,0.361564589119545,"hypertension_bl"
"24","ATAD3C","OPC",-0.00245463903271132,2.21428548232308,0.000527939487864125,0.981681547127767,0.999816767430928,0.999816767430928,"hypertension_bl"
"25","ATAD3B","OPC",0.127075564016731,4.14982477895921,11.5099616978406,0.00077010773537253,0.159802778383711,0.159802778383711,"hypertension_bl"
"26","ATAD3A","OPC",0.0362252248282047,3.76115845003527,0.775131509230447,0.379228281668501,0.871290182179049,0.871290182179049,"hypertension_bl"
"27","TMEM240","OPC",0.00150085270565499,2.7204540053693,0.000541904863907699,0.98144088644402,0.999816767430928,0.999816767430928,"hypertension_bl"
"28","SSU72","OPC",0.0429475839557619,4.38839860119292,1.68840273329549,0.202174401567134,0.76880767329388,0.76880767329388,"hypertension_bl"
"29","FNDC10","OPC",-0.0664318454547107,1.92834199659982,0.554690476003297,0.456898912481114,0.898370268671919,0.898370268671919,"hypertension_bl"
"30","AL691432.2","OPC",-0.030410486329849,2.6137602974001,0.248620969513235,0.6183557467629,0.96486286984302,0.96486286984302,"hypertension_bl"
"31","MIB2","OPC",-0.0217242557526204,4.44016470326415,0.389678741981685,0.687457359600598,0.984212225301215,0.984212225301215,"hypertension_bl"
"32","CDK11B","OPC",0.00279456971730709,4.51805369012924,0.00583515261601845,0.939153196855828,0.999816767430928,0.999816767430928,"hypertension_bl"
"33","SLC35E2B","OPC",-0.000144242172547867,4.88631208491531,3.08144375350696e-05,0.995574015146276,0.999816767430928,0.999816767430928,"hypertension_bl"
