"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Exc RELN CHD7",0.13770374185905,5.96674715961314,4.46652561099616,0.0360276345747896,0.132565732458822,0.132565732458822,"lifetime_cogact_freq_bl"
"2","NOC2L","Exc RELN CHD7",0.0167894957704511,5.07732734869679,0.050746121002569,0.82204113560427,0.922506553669187,0.922506553669187,"lifetime_cogact_freq_bl"
"3","HES4","Exc RELN CHD7",-0.308080472525039,4.36864628365505,11.1577628989792,0.00102904934486744,0.0119432407213447,0.0119432407213447,"lifetime_cogact_freq_bl"
"4","AGRN","Exc RELN CHD7",-0.245951587861494,5.28767643315129,18.826792078495,2.45193822745752e-05,0.000794066793662729,0.000794066793662729,"lifetime_cogact_freq_bl"
"5","C1orf159","Exc RELN CHD7",0.0933955953200245,5.69224115150898,2.13337085031558,0.145972961087704,0.32738942824926,0.32738942824926,"lifetime_cogact_freq_bl"
"6","SDF4","Exc RELN CHD7",-0.0402172184672789,5.40113618435416,0.333667878146313,0.564273084478378,0.754673362781151,0.754673362781151,"lifetime_cogact_freq_bl"
"7","B3GALT6","Exc RELN CHD7",-0.230538520412047,3.28289972414196,2.54372029447636,0.112594792349938,0.279579423576127,0.279579423576127,"lifetime_cogact_freq_bl"
"8","UBE2J2","Exc RELN CHD7",-0.0697290545638684,5.05952053915194,1.11954052502509,0.362618735203141,0.575917946768868,0.575917946768868,"lifetime_cogact_freq_bl"
"9","SCNN1D","Exc RELN CHD7",0.0427632748383256,3.58132084731353,0.135108728585553,0.951607696777066,0.98273494922826,0.98273494922826,"lifetime_cogact_freq_bl"
"10","ACAP3","Exc RELN CHD7",0.147201735770305,6.82237808673112,9.53943814790384,0.00235019585783559,0.0210394980789166,0.0210394980789166,"lifetime_cogact_freq_bl"
"11","INTS11","Exc RELN CHD7",-0.0314939138257573,5.75076969841673,0.28573100050009,0.593669104140629,0.77584563327113,0.77584563327113,"lifetime_cogact_freq_bl"
"12","CPTP","Exc RELN CHD7",-0.167039269437699,3.61071182154302,1.63593026881371,0.202631445824616,0.403118074123861,0.403118074123861,"lifetime_cogact_freq_bl"
"13","DVL1","Exc RELN CHD7",-0.130692612923571,4.7428282601479,2.41328207030614,0.122173358374993,0.29319389069729,0.29319389069729,"lifetime_cogact_freq_bl"
"14","AURKAIP1","Exc RELN CHD7",-0.116651376802007,4.76859788517827,1.47085681571187,0.226896585753433,0.43260202940848,0.43260202940848,"lifetime_cogact_freq_bl"
"15","CCNL2","Exc RELN CHD7",-0.115012198048548,6.16334727793931,4.32593824379134,0.0390391905679802,0.139470129216353,0.139470129216353,"lifetime_cogact_freq_bl"
"16","MRPL20","Exc RELN CHD7",-0.143315794956942,5.11497807995431,3.45735927432214,0.0647025028719158,0.19369176125969,0.19369176125969,"lifetime_cogact_freq_bl"
"17","ATAD3B","Exc RELN CHD7",0.0289494986760335,4.80706979102971,0.118505461660523,0.731087442818057,0.871361740493977,0.871361740493977,"lifetime_cogact_freq_bl"
"18","ATAD3A","Exc RELN CHD7",0.00112721376911853,4.28327007541517,0.000125262342032964,0.991083359851311,0.996838374962184,0.996838374962184,"lifetime_cogact_freq_bl"
"19","TMEM240","Exc RELN CHD7",-0.124712082653988,3.07088613197156,0.590079524707481,0.443456271065193,0.651367350741011,0.651367350741011,"lifetime_cogact_freq_bl"
"20","SSU72","Exc RELN CHD7",-0.120163624352969,5.95083305055586,4.46399364672827,0.0360796443163529,0.132624596085063,0.132624596085063,"lifetime_cogact_freq_bl"
"21","FNDC10","Exc RELN CHD7",-0.287388649937937,3.8820088135596,7.46874598124634,0.00694327085744962,0.0443934409632909,0.0443934409632909,"lifetime_cogact_freq_bl"
"22","AL691432.2","Exc RELN CHD7",-0.196886797874005,3.63613461480859,2.47150211209592,0.117790179857355,0.287239192860342,0.287239192860342,"lifetime_cogact_freq_bl"
"23","MIB2","Exc RELN CHD7",-0.141287231196776,5.68319714383432,4.33522080069087,0.0388323574208783,0.139032730985118,0.139032730985118,"lifetime_cogact_freq_bl"
