"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","OPC",0.00197155832604268,2.40296618753149,0.388461716145385,0.533509210768038,0.867713339864825,0.867713339864825,"parksc_lv"
"2","AL669831.5","OPC",-0.00130008710632546,5.04156827843116,0.865275817377477,0.391156882469467,0.788537743241247,0.788537743241247,"parksc_lv"
"3","NOC2L","OPC",0.000577445568537637,4.50620984231374,0.145306150539622,0.703289913948253,0.943526374320284,0.943526374320284,"parksc_lv"
"4","KLHL17","OPC",-0.000766745501976234,2.2227980308932,0.0442797963865245,0.83345460748915,0.986012838899012,0.986012838899012,"parksc_lv"
"5","HES4","OPC",-0.00970987330689926,2.39641693072687,6.23359307374878,0.012987385247848,0.20505820927193,0.20505820927193,"parksc_lv"
"6","ISG15","OPC",0.00765592449316824,3.63302984009792,1.88411964501583,0.170732969111227,0.578843338036527,0.578843338036527,"parksc_lv"
"7","AGRN","OPC",5.45124599197708e-05,5.22952071894501,0.00147464546135529,0.969389453738106,0.999846335232371,0.999846335232371,"parksc_lv"
"8","C1orf159","OPC",-0.00152805326768279,4.40117104613919,0.90744446021816,0.341441363271549,0.751351709122103,0.751351709122103,"parksc_lv"
"9","SDF4","OPC",0.000935049714881283,4.80907867346853,0.570085297773103,0.502072093323298,0.852085392202752,0.852085392202752,"parksc_lv"
"10","B3GALT6","OPC",-0.000216448478535817,2.83336838073714,0.00636332765577745,0.936464748871362,0.999846335232371,0.999846335232371,"parksc_lv"
"11","UBE2J2","OPC",-0.00219018324115556,4.87741258450459,3.31833229651682,0.0693524946333782,0.415353521016838,0.415353521016838,"parksc_lv"
"12","LINC01786","OPC",-0.00122515763572142,2.90498533243581,0.193360562412325,0.66040174815022,0.926930449399648,0.926930449399648,"parksc_lv"
"13","SCNN1D","OPC",-6.3246407267619e-05,4.03505072876809,0.000976378054072342,0.975090074042241,0.999846335232371,0.999846335232371,"parksc_lv"
"14","ACAP3","OPC",-0.00254817936218467,7.54460871360782,5.50094644931976,0.019555999629078,0.241513368356468,0.241513368356468,"parksc_lv"
"15","PUSL1","OPC",-0.00418941650914819,1.94541667840842,1.2424774441705,0.265747978932989,0.687116211551041,0.687116211551041,"parksc_lv"
"16","INTS11","OPC",-0.00110342074316771,5.2857988615087,1.08079386232426,0.299227384343778,0.716181034789895,0.716181034789895,"parksc_lv"
"17","CPTP","OPC",0.00259188074951832,2.76395442665863,0.927463932182816,0.357032949490504,0.763657780119622,0.763657780119622,"parksc_lv"
"18","DVL1","OPC",-0.000635590922656862,3.95038319296665,0.146289248512726,0.702335835163796,0.943526374320284,0.943526374320284,"parksc_lv"
"19","AURKAIP1","OPC",0.000920294038623911,3.58106658181947,0.189785572642519,0.663359841015452,0.928133305320554,0.928133305320554,"parksc_lv"
"20","CCNL2","OPC",-0.00161742467216774,5.9172195734987,2.45619005513012,0.117953096052475,0.503974352980331,0.503974352980331,"parksc_lv"
"21","MRPL20","OPC",0.000453545355683538,4.21188921311597,0.0883452666804562,0.914170898252045,0.999846335232371,0.999846335232371,"parksc_lv"
"22","ANKRD65","OPC",1.74960938071152e-05,2.56176339239875,0.000113600533160802,0.991502009563605,0.999846335232371,0.999846335232371,"parksc_lv"
"23","VWA1","OPC",0.00547875609747601,4.8515705554216,9.49145847940396,0.00222539181230646,0.0930437559960981,0.0930437559960981,"parksc_lv"
"24","ATAD3C","OPC",-0.00296612138390223,2.21651428967873,0.585584098011289,0.444640116381254,0.819529688272803,0.819529688272803,"parksc_lv"
"25","ATAD3B","OPC",-0.000308920691645486,4.15114214073373,0.0315835479359317,0.859046091952149,0.993182871670518,0.993182871670518,"parksc_lv"
"26","ATAD3A","OPC",0.000593338249692919,3.76246283679913,0.0981464502310963,0.80949197819588,0.978950951735957,0.978950951735957,"parksc_lv"
"27","TMEM240","OPC",0.00182528156389551,2.72156480623508,0.380086633664096,0.537951914915751,0.870618640485779,0.870618640485779,"parksc_lv"
"28","SSU72","OPC",-0.00329910148348093,4.38845565650834,4.74570827698433,0.0300286859636853,0.293784888069608,0.293784888069608,"parksc_lv"
"29","FNDC10","OPC",0.00342435561682286,1.92838856645547,0.680826537101075,0.409856213721569,0.800163662409097,0.800163662409097,"parksc_lv"
"30","AL691432.2","OPC",-0.000272311856847809,2.61627153083948,0.0092475293784554,0.959289774470197,0.999846335232371,0.999846335232371,"parksc_lv"
"31","MIB2","OPC",-0.00257292756207475,4.44176352608978,2.59478493028175,0.108104499942255,0.486484094681997,0.486484094681997,"parksc_lv"
"32","CDK11B","OPC",-0.000868541833969523,4.5191535419636,0.266487892711637,0.606018820951475,0.903475070916502,0.903475070916502,"parksc_lv"
"33","SLC35E2B","OPC",0.000715991041853402,4.88888556196536,0.254620481649837,0.61415326381439,0.905723761691855,0.905723761691855,"parksc_lv"
"34","CDK11A","OPC",0.00470707276797057,3.94141623936281,4.23509026205736,0.0403259941146767,0.3353330443936,0.3353330443936,"parksc_lv"
"35","SLC35E2A","OPC",0.000799985245608876,4.76918104775173,0.154253690332963,0.694738738968681,0.940393709468762,0.940393709468762,"parksc_lv"
"36","NADK","OPC",-0.00278036751996937,4.05694490056016,3.26289790587389,0.0717103143772604,0.420177490558596,0.420177490558596,"parksc_lv"
"37","GNB1","OPC",-0.00118895152232191,7.25454320820862,3.2679779111722,0.111380355343237,0.491202462810126,0.491202462810126,"parksc_lv"
"38","PRKCZ","OPC",0.00198660226398594,5.17890309834271,2.49997813027875,0.114738164765329,0.497040997423778,0.497040997423778,"parksc_lv"
"39","FAAP20","OPC",0.000787027194594757,4.3935783033026,0.314669539324419,0.695481751563589,0.940444727730012,0.940444727730012,"parksc_lv"
"40","SKI","OPC",0.00080865063386032,5.57992125920912,0.328745353577777,0.566761734656056,0.883630868234805,0.883630868234805,"parksc_lv"
"41","MORN1","OPC",-0.00130830431933943,3.06132908187179,0.298265464936249,0.585314824483063,0.892363576256329,0.892363576256329,"parksc_lv"
"42","RER1","OPC",0.00215221578910458,4.84440716338056,3.18006305756908,0.0753958955376729,0.428771187085064,0.428771187085064,"parksc_lv"
"43","PEX10","OPC",0.00291641460043321,3.71426138264849,2.42349666488085,0.120418648130407,0.507621038830238,0.507621038830238,"parksc_lv"
"44","PANK4","OPC",0.000623394069487341,2.77035781848644,0.0497840083967524,0.823567839046396,0.983225566642059,0.983225566642059,"parksc_lv"
"45","HES5","OPC",-0.00438177021880401,3.06607339525319,0.632008967392088,0.427150410341923,0.810221516935746,0.810221516935746,"parksc_lv"
"46","TNFRSF14","OPC",0.00365447168082683,2.87130980541182,1.82706143357839,0.177335429350637,0.587117165786405,0.587117165786405,"parksc_lv"
"47","FAM213B","OPC",0.00133577442152924,2.40073666428212,0.17321489236383,0.677521726391056,0.93373834117918,0.93373834117918,"parksc_lv"
"48","LINC00982","OPC",-0.00239372047124363,2.72268083526804,0.529942010031435,0.467110990834059,0.83125874578578,0.83125874578578,"parksc_lv"
"49","PRDM16","OPC",0.00280782308254951,3.88365118905745,0.97457072749524,0.324215080816019,0.738502349976949,0.738502349976949,"parksc_lv"
"50","TPRG1L","OPC",0.00114362054082738,3.06021609333493,0.237083362881331,0.630125831786632,0.912776875078129,0.912776875078129,"parksc_lv"
"51","WRAP73","OPC",-7.87850586021991e-05,3.84429287263622,0.00202550849717909,0.964128104170543,0.999846335232371,0.999846335232371,"parksc_lv"
"52","TP73","OPC",0.00115644693733221,1.79999211393734,0.0746444178406139,0.784849619541824,0.971825966729805,0.971825966729805,"parksc_lv"
