"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh ENOX2 SPHKAP",-0.00600923448927384,5.81709214264408,0.233239711946626,0.629452339088208,0.989335946337789,0.989335946337789,"phys5itemsum_lv"
"2","NOC2L","Inh ENOX2 SPHKAP",0.00750284715833752,5.20819930855331,0.272890452863964,0.608495948873752,0.985678268389692,0.985678268389692,"phys5itemsum_lv"
"3","HES4","Inh ENOX2 SPHKAP",-0.0171080424022924,5.33608489306696,1.13485688580397,0.287520872056695,0.944954196155775,0.944954196155775,"phys5itemsum_lv"
"4","C1orf159","Inh ENOX2 SPHKAP",-0.00187277777272209,5.76195951970853,0.0234065084944586,0.87849824139812,0.99993359193855,0.99993359193855,"phys5itemsum_lv"
"5","SDF4","Inh ENOX2 SPHKAP",0.0213359402047183,5.74895067688121,2.96288625438275,0.0861333466480707,0.906948035389712,0.906948035389712,"phys5itemsum_lv"
"6","UBE2J2","Inh ENOX2 SPHKAP",0.0118760595623871,5.42267456467995,0.814298317422065,0.370772728865388,0.960787851351721,0.960787851351721,"phys5itemsum_lv"
"7","ACAP3","Inh ENOX2 SPHKAP",-0.00408942955220511,6.45292029628603,0.179415445352406,0.672152137544751,0.990223527079076,0.990223527079076,"phys5itemsum_lv"
"8","INTS11","Inh ENOX2 SPHKAP",-0.0163864427875369,5.70754835573466,2.21896164727009,0.172185928083598,0.93466879835424,0.93466879835424,"phys5itemsum_lv"
"9","DVL1","Inh ENOX2 SPHKAP",-0.000489181492854181,4.76585117661561,0.00052119636251481,0.981799900693998,0.99993359193855,0.99993359193855,"phys5itemsum_lv"
"10","AURKAIP1","Inh ENOX2 SPHKAP",-0.0509979886380459,4.66025956496424,5.76822505577369,0.0168712118613389,0.748846394384918,0.748846394384918,"phys5itemsum_lv"
"11","CCNL2","Inh ENOX2 SPHKAP",-0.009794688230523,6.18795963611974,1.10065554345573,0.294890338749934,0.944954196155775,0.944954196155775,"phys5itemsum_lv"
"12","MRPL20","Inh ENOX2 SPHKAP",-0.022734811648229,5.04561037323134,1.72446467425444,0.190032116302614,0.941112741362822,0.941112741362822,"phys5itemsum_lv"
