"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","HES4","End",0.0527368536540027,7.02504747008128,0.50840602677838,0.476504808595408,0.880934593582878,0.880934593582878,"plaq_d"
"2","ISG15","End",-0.227378765865927,7.36850183888642,6.42104350172206,0.0118985234374688,0.249110694009169,0.249110694009169,"plaq_d"
"3","CCNL2","End",0.0152905851690424,7.64139523279109,0.125955143566561,0.966879473300063,0.999076605584719,0.999076605584719,"plaq_d"
"4","VWA1","End",0.0137276999521277,7.00168635925295,0.0375737041191087,0.846461450528853,0.99894748021694,0.99894748021694,"plaq_d"
"5","GNB1","End",-0.0436298713342192,9.01577551951688,1.9494612945746,0.163902237917636,0.657498313847022,0.657498313847022,"plaq_d"
"6","SKI","End",0.0201215672421078,7.8534029474845,0.186943253630107,0.763781513778242,0.98382827360361,0.98382827360361,"plaq_d"
"7","CAMTA1","End",-0.0152228855774986,8.98432586295726,0.172704165351608,0.678081518790791,0.949609517015814,0.949609517015814,"plaq_d"
"8","PER3","End",0.028081747537097,7.3363508880301,0.15034969935836,0.698536345351065,0.956655378919268,0.956655378919268,"plaq_d"
"9","PARK7","End",-0.0111293401459376,6.79624419813348,0.0197225299701381,0.888429587226276,0.99894748021694,0.99894748021694,"plaq_d"
"10","RERE","End",0.0410709392889381,9.54877462382769,2.01140795565886,0.157384608090101,0.648654723201537,0.648654723201537,"plaq_d"
"11","ENO1","End",-0.0483472487983351,7.1734142260338,0.524022120151138,0.46981809674656,0.878145586745345,0.878145586745345,"plaq_d"
"12","CLSTN1","End",-0.075007316061234,7.31476904789093,1.87770663297484,0.187870949901944,0.690429722218284,0.690429722218284,"plaq_d"
"13","UBE4B","End",-0.0304777689593654,7.55712753859652,0.35612906512737,0.551212187828709,0.912528308504893,0.912528308504893,"plaq_d"
"14","KIF1B","End",0.0295700153743542,8.20615922106519,0.493240127995462,0.483148810226807,0.884086435467377,0.884086435467377,"plaq_d"
"15","PEX14","End",-0.0433051968620585,6.92508839159958,0.312847608312022,0.576446350975761,0.919736564555351,0.919736564555351,"plaq_d"
"16","MTOR","End",-0.0507437326732072,7.10424657816186,0.726629525887695,0.425942368771094,0.851751543580336,0.851751543580336,"plaq_d"
"17","TNFRSF1B","End",0.113300091920981,7.6006565732732,4.9442200455948,0.027085893724574,0.358039443589348,0.358039443589348,"plaq_d"
"18","VPS13D","End",0.0614282535242103,8.522346829316,2.75950865220794,0.0979504943013989,0.566826404464212,0.566826404464212,"plaq_d"
"19","PRDM2","End",0.0216566231681279,8.02508302713627,0.254020769537544,0.614708660787435,0.93383823973117,0.93383823973117,"plaq_d"
"20","KAZN","End",0.202780667923066,6.93698094355951,4.34485377061171,0.0381517070764542,0.404061261309719,0.404061261309719,"plaq_d"
"21","SPEN","End",0.0319234651511377,8.24576452373942,0.503445079408713,0.478661554750306,0.881877772194158,0.881877772194158,"plaq_d"
"22","SRARP","End",0.0794313743625173,8.7227179971312,4.14281585481653,0.0428823924866928,0.422392162489791,0.422392162489791,"plaq_d"
"23","FBXO42","End",-0.0901999126055283,7.32661579678088,2.23378583497786,0.136302944285821,0.621479876708561,0.621479876708561,"plaq_d"
"24","UBR4","End",0.106016040018106,7.81181330915831,5.92766858667899,0.0156161143642009,0.279654857935154,0.279654857935154,"plaq_d"
"25","CAPZB","End",0.0067712329264588,8.04953471174595,0.0295978643067719,0.863547146816495,0.99894748021694,0.99894748021694,"plaq_d"
"26","CDA","End",-0.118418346703614,7.18566810472291,2.54401580212938,0.111995450772591,0.593966768513208,0.593966768513208,"plaq_d"
"27","PINK1","End",0.0420847918721608,7.2055454311773,0.518801348414978,0.472036562439787,0.878145586745345,0.878145586745345,"plaq_d"
"28","HP1BP3","End",0.085757827118315,8.36842685384865,5.49478127793514,0.0198689502731566,0.315645369112192,0.315645369112192,"plaq_d"
"29","EIF4G3","End",-0.0212961133889091,9.36319319454007,0.438982116421448,0.508233777693574,0.894641892878279,0.894641892878279,"plaq_d"
"30","ECE1","End",0.0609004022824261,8.24595744875221,1.745682521747,0.187646729482646,0.690429722218284,0.690429722218284,"plaq_d"
"31","ALPL","End",0.0541173452436935,7.8689257418471,0.603464333659444,0.438004819719962,0.861008989240671,0.861008989240671,"plaq_d"
"32","USP48","End",-0.0549795454459079,7.50621438924548,0.994337117509183,0.319663469255313,0.790891350745587,0.790891350745587,"plaq_d"
"33","HSPG2","End",0.0701124282804409,7.71079471330938,1.03451557512267,0.31009868612284,0.788384608570261,0.788384608570261,"plaq_d"
"34","CDC42","End",-0.0436795790526844,7.86515557953181,1.01433219578607,0.31485579470082,0.788384608570261,0.788384608570261,"plaq_d"
"35","LUZP1","End",-0.0348643689849275,8.2028465409194,0.646562387207438,0.422119946741715,0.851205733748279,0.851205733748279,"plaq_d"
"36","HNRNPR","End",-0.0224265962543389,7.769319438526,0.245230021893055,0.620895553375387,0.93383823973117,0.93383823973117,"plaq_d"
"37","ID3","End",0.0428991246743209,9.33866317119883,0.763626003470596,0.383047530967204,0.831006282265908,0.831006282265908,"plaq_d"
"38","RPL11","End",0.00863883778004693,7.84390143513627,0.0345873052717146,0.85261619433038,0.99894748021694,0.99894748021694,"plaq_d"
"39","SRSF10","End",-0.0627847275007102,7.6378036234314,1.86667519146556,0.17310266030533,0.675300152205417,0.675300152205417,"plaq_d"
"40","SRRM1","End",0.0303254206693858,7.24677273045763,0.28797482911554,0.592005705808196,0.92410001866889,0.92410001866889,"plaq_d"
"41","CLIC4","End",-0.0204769697134111,9.07442231828928,0.206175320635122,0.650181744551209,0.94072640856807,0.94072640856807,"plaq_d"
"42","RSRP1","End",0.00828663023277358,8.50837807139671,0.0510553158582019,0.821424439514847,0.996590899337041,0.996590899337041,"plaq_d"
"43","MACO1","End",-0.0320949113260345,7.28781807441715,0.320243177786626,0.780694254547728,0.985951312949171,0.985951312949171,"plaq_d"
"44","FAM110D","End",0.148136375435688,7.02301540932312,3.68614292557839,0.0560216166990116,0.461781958403409,0.461781958403409,"plaq_d"
"45","SH3BGRL3","End",0.0154748932214038,7.18367286922892,0.071528514388061,0.789347986580993,0.989272619904455,0.989272619904455,"plaq_d"
"46","ARID1A","End",0.0514591182158198,7.85014111508138,1.23001258419418,0.268486513703699,0.765383658559891,0.765383658559891,"plaq_d"
"47","WASF2","End",0.0137208320004297,8.67065818656394,0.157643329628077,0.691679472765396,0.954720570869603,0.954720570869603,"plaq_d"
"48","FGR","End",-0.0191113480173757,7.46680006405365,0.104232110009446,0.747082815892824,0.978656087535764,0.978656087535764,"plaq_d"
"49","IFI6","End",-0.180120259706409,7.44410273456429,4.97699709039403,0.026587616019081,0.356029570830223,0.356029570830223,"plaq_d"
"50","STX12","End",-0.00378463331838256,8.83666864871522,0.00956218322843709,0.922181437802941,0.999076605584719,0.999076605584719,"plaq_d"
"51","EYA3","End",-0.0711887928109111,7.19991108786783,1.0857012231067,0.298447507726028,0.78485631264294,0.78485631264294,"plaq_d"
"52","PHACTR4","End",-0.0257036094265395,8.01089616809118,0.313952349185551,0.575774313539843,0.919736564555351,0.919736564555351,"plaq_d"
"53","EPB41","End",0.0554658209030231,7.39199438742934,1.00470570973013,0.317158443390497,0.788384608570261,0.788384608570261,"plaq_d"
"54","SRSF4","End",0.0436360638586817,8.59209029394081,1.55574514091503,0.213474206976198,0.725977337776311,0.725977337776311,"plaq_d"
"55","PUM1","End",-0.0349448336519653,8.50143680467526,0.940615288582062,0.333071259479787,0.800608013673905,0.800608013673905,"plaq_d"
"56","TINAGL1","End",0.0534518116517576,7.58592254330076,0.832500845389036,0.36244274565642,0.814098583592022,0.814098583592022,"plaq_d"
"57","KHDRBS1","End",0.0188560644483785,7.76310340858676,0.164236562477517,0.685637441497578,0.951300365718851,0.951300365718851,"plaq_d"
"58","KPNA6","End",-0.0103556345334313,7.32318202628322,0.0382134349922114,0.845176381596235,0.99894748021694,0.99894748021694,"plaq_d"
"59","RBBP4","End",0.00471051404818692,7.11154178550865,0.00596843677011929,0.938482897118913,0.999076605584719,0.999076605584719,"plaq_d"
"60","S100PBP","End",-0.092695260539433,7.07690850168057,2.01615048087932,0.156897980942428,0.648654723201537,0.648654723201537,"plaq_d"
"61","RNF19B","End",0.135790292213439,7.02879323977179,3.35471670380414,0.0682207123066561,0.499856162498455,0.499856162498455,"plaq_d"
"62","PHC2","End",0.00974231663916222,7.59759702704767,0.0293472900425712,0.864120301812364,0.99894748021694,0.99894748021694,"plaq_d"
