"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh VIP THSD7B",0.0345637398264086,5.63609626645907,0.66752173194323,0.414586708491335,0.88032312725114,0.88032312725114,"plaq_d"
"2","C1orf159","Inh VIP THSD7B",0.00803719693111622,5.7671202353182,0.0396858933477824,0.842235389254991,0.994600720816831,0.994600720816831,"plaq_d"
"3","SDF4","Inh VIP THSD7B",-0.0761993102108157,5.79366831310344,3.56146256739952,0.060132784227468,0.577435750491514,0.577435750491514,"plaq_d"
"4","UBE2J2","Inh VIP THSD7B",0.00859009387450349,5.44699464723095,0.0357171859006078,0.850232732184501,0.996362456085262,0.996362456085262,"plaq_d"
"5","ACAP3","Inh VIP THSD7B",0.00710679630876672,6.43323873463121,0.0497452075749333,0.823664019461423,0.990386073857888,0.990386073857888,"plaq_d"
"6","INTS11","Inh VIP THSD7B",0.00585043996679965,5.77389871417614,0.024136302743663,0.876646525603741,0.999780165056722,0.999780165056722,"plaq_d"
"7","DVL1","Inh VIP THSD7B",-0.0704563578445836,5.03401495497774,1.73170702564938,0.189230835715093,0.765236831458733,0.765236831458733,"plaq_d"
"8","CCNL2","Inh VIP THSD7B",-0.0343238781934564,6.23250203208683,1.19243538985597,0.296418884359412,0.828301703602087,0.828301703602087,"plaq_d"
"9","MRPL20","Inh VIP THSD7B",-0.0728617373125449,5.0352957740123,1.47107366391894,0.226162027334689,0.786832622832775,0.786832622832775,"plaq_d"
"10","ATAD3B","Inh VIP THSD7B",-0.0558077679543703,4.96716227376028,0.908753770089053,0.341238058778927,0.846379943003399,0.846379943003399,"plaq_d"
"11","SSU72","Inh VIP THSD7B",-0.010525767700594,5.51929972262366,0.0617733729981463,0.803890359020195,0.986459332795453,0.986459332795453,"plaq_d"
"12","MIB2","Inh VIP THSD7B",0.0365086101457673,5.5407195087865,0.727082568223375,0.394533154145287,0.87059618293634,0.87059618293634,"plaq_d"
"13","CDK11B","Inh VIP THSD7B",0.00617874119156234,5.25542873562596,0.0154235757328985,0.90124941655539,0.999780165056722,0.999780165056722,"plaq_d"
"14","SLC35E2B","Inh VIP THSD7B",-0.0464980826850108,5.21310931752245,0.741910200295348,0.389760264360356,0.869449282246153,0.869449282246153,"plaq_d"
"15","CDK11A","Inh VIP THSD7B",0.0917796879037912,4.77290762401582,1.98184603228159,0.16026555440733,0.724527485504273,0.724527485504273,"plaq_d"
