"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L4-5 RORB GABRG1",0.0127890489048246,3.40078353144513,0.172087638470516,0.678497530419398,0.789595487330287,0.789595487330287,"plaq_n"
"2","AL669831.5","Exc L4-5 RORB GABRG1",0.0317163199917405,6.26740027306757,5.2916566496313,0.0219696809206836,0.0586350927401393,0.0586350927401393,"plaq_n"
"3","LINC00115","Exc L4-5 RORB GABRG1",-0.0767964715869553,0.979755115196189,1.59464092256884,0.207439815556989,0.334371447409308,0.334371447409308,"plaq_n"
"4","NOC2L","Exc L4-5 RORB GABRG1",0.00741931211930998,4.82916670577852,0.27543984605653,0.60001229699612,0.727030105337519,0.727030105337519,"plaq_n"
"5","KLHL17","Exc L4-5 RORB GABRG1",0.0658649625680483,3.06728204999743,6.29362335289086,0.0125335278316084,0.0375188898314287,0.0375188898314287,"plaq_n"
"6","HES4","Exc L4-5 RORB GABRG1",-0.283537431405613,3.43789245643301,25.7769692023962,6.01803651238252e-07,8.62997314824155e-06,8.62997314824155e-06,"plaq_n"
"7","ISG15","Exc L4-5 RORB GABRG1",-0.0163324303674083,1.45685530440773,0.0576751008525721,0.810338698439825,0.887737432295159,0.887737432295159,"plaq_n"
"8","AGRN","Exc L4-5 RORB GABRG1",-0.0114804118510247,4.95255820620662,0.2863383960043,0.592890041227804,0.721505961893008,0.721505961893008,"plaq_n"
"9","C1orf159","Exc L4-5 RORB GABRG1",-0.0103220301102032,5.45897382172951,0.64498829015994,0.422413002867828,0.565550573536581,0.565550573536581,"plaq_n"
"10","TNFRSF18","Exc L4-5 RORB GABRG1",-0.193636705175476,1.44452688770554,12.5478944528262,0.000446055139994833,0.00243857544436485,0.00243857544436485,"plaq_n"
"11","TNFRSF4","Exc L4-5 RORB GABRG1",0.0315366867312462,2.06336307050579,0.402958051154354,0.525948110107013,0.659210458028411,0.659210458028411,"plaq_n"
"12","SDF4","Exc L4-5 RORB GABRG1",-0.014141960692896,5.18627228577158,0.761905356981729,0.383284946221966,0.527484328210987,0.527484328210987,"plaq_n"
"13","B3GALT6","Exc L4-5 RORB GABRG1",-0.0366360504340399,2.7233594239952,1.83252459339376,0.176635440049215,0.297236688818715,0.297236688818715,"plaq_n"
"14","C1QTNF12","Exc L4-5 RORB GABRG1",-0.20453119170309,0.42893210212526,6.47158245534735,0.0113570576160578,0.0347786224803371,0.0347786224803371,"plaq_n"
"15","UBE2J2","Exc L4-5 RORB GABRG1",-0.00404410555560267,4.90052229042845,0.0976103528365321,0.955791379041811,0.979820908543098,0.979820908543098,"plaq_n"
"16","LINC01786","Exc L4-5 RORB GABRG1",-0.0499148709521907,2.26612534415405,2.1675760081742,0.141777206694459,0.25199061118563,0.25199061118563,"plaq_n"
"17","SCNN1D","Exc L4-5 RORB GABRG1",-0.0202521380909035,3.20268640342033,0.590799322084496,0.442588332853641,0.583916811684438,0.583916811684438,"plaq_n"
"18","ACAP3","Exc L4-5 RORB GABRG1",0.0195892111926086,6.55380244536542,2.81839986095,0.0940125442990204,0.184121526552183,0.184121526552183,"plaq_n"
"19","PUSL1","Exc L4-5 RORB GABRG1",-0.0308509942541792,1.98373490673366,0.798835990786089,0.372008164249517,0.515719346595151,0.515719346595151,"plaq_n"
"20","INTS11","Exc L4-5 RORB GABRG1",0.049822168585233,5.36326623511343,17.3035612295214,3.94346370378685e-05,0.000309893171175966,0.000309893171175966,"plaq_n"
"21","CPTP","Exc L4-5 RORB GABRG1",0.03840145139307,2.76293291015341,2.49627392247684,0.163922988472599,0.280980158437006,0.280980158437006,"plaq_n"
"22","DVL1","Exc L4-5 RORB GABRG1",0.0481646690457985,4.49860000821366,10.9048191040774,0.00105018245106008,0.00491625110941536,0.00491625110941536,"plaq_n"
"23","AURKAIP1","Exc L4-5 RORB GABRG1",-0.0324341925013684,4.29706458680651,3.20161808213079,0.0743629111891504,0.153710947065386,0.153710947065386,"plaq_n"
"24","CCNL2","Exc L4-5 RORB GABRG1",0.0112896660777278,6.09482071721634,1.46989890421176,0.226115997942053,0.356958516154202,0.356958516154202,"plaq_n"
"25","MRPL20","Exc L4-5 RORB GABRG1",0.00288111198298859,4.62647715078105,0.0334181447098478,0.855047637766841,0.919685247498128,0.919685247498128,"plaq_n"
"26","AL391244.3","Exc L4-5 RORB GABRG1",-0.129004727539207,1.32796322292288,9.06700221272282,0.00277684146329376,0.0110189716274222,0.0110189716274222,"plaq_n"
"27","ANKRD65","Exc L4-5 RORB GABRG1",-0.046611832147045,3.55445938871644,2.31897409978427,0.128637250269046,0.23399804999952,0.23399804999952,"plaq_n"
"28","ATAD3C","Exc L4-5 RORB GABRG1",0.027709737129107,3.04991786511199,0.489041209761178,0.48478377309568,0.622908699785414,0.622908699785414,"plaq_n"
"29","ATAD3B","Exc L4-5 RORB GABRG1",-0.0432099965589926,4.415244739175,6.09874994839471,0.0139670882533087,0.0409118212111095,0.0409118212111095,"plaq_n"
"30","ATAD3A","Exc L4-5 RORB GABRG1",-0.0250108666080849,3.76134855102209,1.92367011616318,0.166266845715149,0.283886834241505,0.283886834241505,"plaq_n"
"31","TMEM240","Exc L4-5 RORB GABRG1",-0.0524914063350453,2.11818768475209,1.72914926740989,0.189313742858322,0.313017853184599,0.313017853184599,"plaq_n"
"32","SSU72","Exc L4-5 RORB GABRG1",0.0350685198776829,5.6690812220231,11.1390089185364,0.000928883506667573,0.00443768819008007,0.00443768819008007,"plaq_n"
"33","AL645728.1","Exc L4-5 RORB GABRG1",-0.0394192301331566,1.7611214675021,1.11577780749724,0.291501498042279,0.431637887649233,0.431637887649233,"plaq_n"
"34","FNDC10","Exc L4-5 RORB GABRG1",-0.0259257453659507,3.74641172006478,1.46300099743511,0.227206305480466,0.358129014021414,0.358129014021414,"plaq_n"
"35","AL691432.2","Exc L4-5 RORB GABRG1",0.0124242095928559,3.44784782999575,0.375186450363321,0.540557603132184,0.673292288403724,0.673292288403724,"plaq_n"
"36","MIB2","Exc L4-5 RORB GABRG1",0.0115248263091292,5.39335237475034,0.730015681203912,0.393417225385918,0.537365376648277,0.537365376648277,"plaq_n"
"37","MMP23B","Exc L4-5 RORB GABRG1",0.0393386069584795,1.63614016016177,0.719315248466183,0.39690331088269,0.54078944865647,0.54078944865647,"plaq_n"
"38","CDK11B","Exc L4-5 RORB GABRG1",0.0292536883554286,5.13955507554929,3.63123073850208,0.0574604181753925,0.125932339318969,0.125932339318969,"plaq_n"
"39","FO704657.1","Exc L4-5 RORB GABRG1",0.0408444756949802,0.741818003676797,0.480425849116382,0.549501856950201,0.681343261633742,0.681343261633742,"plaq_n"
