"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh RYR3 TSHZ2",-0.09149416348845,3.32012692784721,1.93406597942008,0.165142706872193,0.432592657207146,0.432592657207146,"plaq_n"
"2","AL669831.5","Inh RYR3 TSHZ2",0.0340856222014164,5.53747009721521,1.62154236850409,0.203669181688357,0.482953696102495,0.482953696102495,"plaq_n"
"3","NOC2L","Inh RYR3 TSHZ2",-0.0134745541860377,4.74672973354887,0.189162109118981,0.714447424932363,0.890060641788091,0.890060641788091,"plaq_n"
"4","KLHL17","Inh RYR3 TSHZ2",0.0807033268711236,3.40162343692466,1.65865597700537,0.198582632363585,0.477154024975505,0.477154024975505,"plaq_n"
"5","HES4","Inh RYR3 TSHZ2",-0.162749047307817,3.78465161319474,7.87907494002504,0.00526333379814603,0.0536274754363841,0.0536274754363841,"plaq_n"
"6","ISG15","Inh RYR3 TSHZ2",-0.0376251769996822,3.12059055964257,0.234723808781091,0.628327224709258,0.840896310503928,0.840896310503928,"plaq_n"
"7","AGRN","Inh RYR3 TSHZ2",-0.015526902468538,3.35828056741515,0.0549174247004545,0.814845878415728,0.941016588883286,0.941016588883286,"plaq_n"
"8","C1orf159","Inh RYR3 TSHZ2",-0.0542226033694567,5.40310044704328,3.53993161580838,0.0606858300380748,0.250399380167036,0.250399380167036,"plaq_n"
"9","SDF4","Inh RYR3 TSHZ2",-0.0863112500557561,5.77483610095317,10.8194161911426,0.00109990229612562,0.0178462011875278,0.0178462011875278,"plaq_n"
"10","UBE2J2","Inh RYR3 TSHZ2",-0.031283751686456,5.23993479660459,1.61738563957692,0.204248402310203,0.483594046255502,0.483594046255502,"plaq_n"
"11","SCNN1D","Inh RYR3 TSHZ2",-0.0705750178833274,3.7860958187535,1.89672763238238,0.169270252925121,0.438245714045279,0.438245714045279,"plaq_n"
"12","ACAP3","Inh RYR3 TSHZ2",0.0129025414470146,6.61144646685783,0.518686498238278,0.471853201338825,0.736461353212114,0.736461353212114,"plaq_n"
"13","INTS11","Inh RYR3 TSHZ2",-0.00883538406827626,5.5587848987377,0.137551963513965,0.749029951382868,0.906877242012534,0.906877242012534,"plaq_n"
"14","CPTP","Inh RYR3 TSHZ2",0.0025400970598914,3.4490363793945,0.00274760098193871,0.958224016388097,0.993296730670497,0.993296730670497,"plaq_n"
"15","DVL1","Inh RYR3 TSHZ2",0.0329943057908333,4.53948892568642,0.828791178378096,0.363209724904555,0.649441294595446,0.649441294595446,"plaq_n"
"16","AURKAIP1","Inh RYR3 TSHZ2",-0.0898115125618245,4.17360804234505,4.34295320759352,0.0378419531558997,0.188179868194343,0.188179868194343,"plaq_n"
"17","CCNL2","Inh RYR3 TSHZ2",-0.0336820713325512,6.17771029717056,2.8500149408472,0.0922082213302877,0.315502346041637,0.315502346041637,"plaq_n"
"18","MRPL20","Inh RYR3 TSHZ2",-0.0240134855224088,4.81934902423655,0.545933579245767,0.460448294543823,0.727020552244117,0.727020552244117,"plaq_n"
"19","ATAD3B","Inh RYR3 TSHZ2",-0.0551437668229305,4.62687441115747,2.71263881010418,0.100397642099686,0.332325502196249,0.332325502196249,"plaq_n"
"20","ATAD3A","Inh RYR3 TSHZ2",-0.0576309540821906,4.13341371001022,1.7770442847744,0.183325624211604,0.457213514784043,0.457213514784043,"plaq_n"
"21","SSU72","Inh RYR3 TSHZ2",0.0170547872728856,5.27784224704988,0.460657550237037,0.497737353829401,0.75578988701212,0.75578988701212,"plaq_n"
"22","FNDC10","Inh RYR3 TSHZ2",-0.0235378248214153,3.94852540799387,0.216087301777507,0.642308517851806,0.848130384756951,0.848130384756951,"plaq_n"
"23","AL691432.2","Inh RYR3 TSHZ2",0.0446114577700775,3.27114271337031,0.502342873618794,0.478914839895685,0.742073839833391,0.742073839833391,"plaq_n"
"24","MIB2","Inh RYR3 TSHZ2",-0.0221588697817927,5.29394754441672,0.565400970141917,0.452566061764424,0.721985110183906,0.721985110183906,"plaq_n"
"25","CDK11B","Inh RYR3 TSHZ2",-0.0176505528548578,4.95352951465432,0.294418119320518,0.587726879856667,0.814192846013778,0.814192846013778,"plaq_n"
"26","SLC35E2B","Inh RYR3 TSHZ2",0.00838241275756923,5.00165964080966,0.0936633532099926,0.824792078393039,0.945536632252576,0.945536632252576,"plaq_n"
"27","CDK11A","Inh RYR3 TSHZ2",0.0867683144517029,4.45122737670345,4.10574779850977,0.0434482926506959,0.205690755849336,0.205690755849336,"plaq_n"
"28","SLC35E2A","Inh RYR3 TSHZ2",-0.00348386091004092,4.86229270692446,0.00974032145829499,0.921434944710976,0.983384793254837,0.983384793254837,"plaq_n"
"29","NADK","Inh RYR3 TSHZ2",-0.0046338129289558,4.37732847652454,0.0163243252386995,0.946631531156964,0.989343993885065,0.989343993885065,"plaq_n"
"30","GNB1","Inh RYR3 TSHZ2",0.0207792741816525,7.62315644627726,2.90159880227118,0.0893239838677002,0.311347178454661,0.311347178454661,"plaq_n"
"31","PRKCZ","Inh RYR3 TSHZ2",-0.00453322238374791,6.55761961787695,0.0804057370702149,0.925445225075663,0.984066589964058,0.984066589964058,"plaq_n"
"32","FAAP20","Inh RYR3 TSHZ2",-0.0123607773307671,4.30952070049653,0.0951554402249377,0.757894687362492,0.911947247897259,0.911947247897259,"plaq_n"
"33","SKI","Inh RYR3 TSHZ2",0.020645035040253,6.62514482811964,1.27968343140258,0.258684075633356,0.546998517981884,0.546998517981884,"plaq_n"
"34","MORN1","Inh RYR3 TSHZ2",-0.0780722755926948,4.23895435783028,3.67918212730151,0.0558584138871451,0.237966391606056,0.237966391606056,"plaq_n"
"35","RER1","Inh RYR3 TSHZ2",0.000204346142548507,4.85915256286715,5.11971031757967e-05,0.994294835057126,0.999105551136751,0.999105551136751,"plaq_n"
"36","PEX10","Inh RYR3 TSHZ2",-0.101610998136279,3.67591667772537,3.75253774570136,0.0534814903873384,0.232937033106125,0.232937033106125,"plaq_n"
"37","PLCH2","Inh RYR3 TSHZ2",0.0660257521005139,3.92586055703373,1.59106181834087,0.207962119629782,0.488871275757024,0.488871275757024,"plaq_n"
"38","PANK4","Inh RYR3 TSHZ2",0.123543103982298,3.2596846517397,3.3974765967815,0.0660887664088115,0.261771175530896,0.261771175530896,"plaq_n"
"39","FAM213B","Inh RYR3 TSHZ2",0.021317860685228,3.70967062289867,0.161281786309313,0.688208936311062,0.87566077427148,0.87566077427148,"plaq_n"
"40","TPRG1L","Inh RYR3 TSHZ2",-0.027605420273272,4.29119670516148,0.553213385004807,0.592680526820238,0.817510742163713,0.817510742163713,"plaq_n"
"41","WRAP73","Inh RYR3 TSHZ2",-0.0342361764795639,3.79883531899626,0.454521100095336,0.500612980092426,0.758344073052725,0.758344073052725,"plaq_n"
"42","LRRC47","Inh RYR3 TSHZ2",-0.040226696314406,4.46519313922591,1.15008828418769,0.284223430115072,0.575637622691834,0.575637622691834,"plaq_n"
"43","CEP104","Inh RYR3 TSHZ2",0.00256117232993579,5.66371716067,0.0134463015041628,0.907748029105244,0.979064081457042,0.979064081457042,"plaq_n"
"44","DFFB","Inh RYR3 TSHZ2",0.0685876896088495,4.86549394297104,5.16366720723133,0.0274286148832291,0.15488484913223,0.15488484913223,"plaq_n"
"45","C1orf174","Inh RYR3 TSHZ2",0.130569514662558,3.3928722173926,5.14753905471033,0.0238495784635741,0.141518855825998,0.141518855825998,"plaq_n"
"46","AJAP1","Inh RYR3 TSHZ2",-0.0151739921802098,6.4090529872114,0.663649012689184,0.535381278848973,0.779984016474756,0.779984016474756,"plaq_n"
"47","NPHP4","Inh RYR3 TSHZ2",-0.04705063180547,6.06811709781021,4.21188065230013,0.0408386546248071,0.197244370263458,0.197244370263458,"plaq_n"
"48","KCNAB2","Inh RYR3 TSHZ2",-0.0342290519596206,6.52008420868847,3.12317089456632,0.0780033976150119,0.288694738015019,0.288694738015019,"plaq_n"
"49","CHD5","Inh RYR3 TSHZ2",0.0436156564445393,7.29530321310556,7.8459899114826,0.00535847166743839,0.054197983318141,0.054197983318141,"plaq_n"
"50","RPL22","Inh RYR3 TSHZ2",-0.0338151327008023,5.12045760640955,1.51665156668085,0.298710251696418,0.589987073448893,0.589987073448893,"plaq_n"
"51","RNF207","Inh RYR3 TSHZ2",0.0147081416543753,4.23173466064069,0.128367955744343,0.720332745726601,0.892908346578959,0.892908346578959,"plaq_n"
"52","ICMT","Inh RYR3 TSHZ2",0.0431424161559978,4.07409014513761,0.982085256098952,0.322326411519535,0.611433919005164,0.611433919005164,"plaq_n"
"53","GPR153","Inh RYR3 TSHZ2",-0.0727145862525483,3.45233475555301,1.36116216262497,0.244080900288634,0.53238090294008,0.53238090294008,"plaq_n"
"54","ACOT7","Inh RYR3 TSHZ2",-0.0109236890632255,6.34999811183076,0.34413662318212,0.5578057195047,0.796941805225281,0.796941805225281,"plaq_n"
"55","TNFRSF25","Inh RYR3 TSHZ2",-0.0295178606565843,6.49742079094414,1.66012567082883,0.198384308468699,0.477154024975505,0.477154024975505,"plaq_n"
"56","PLEKHG5","Inh RYR3 TSHZ2",0.016613914944905,5.52545808518574,0.438461918529001,0.508274306832707,0.764163205778132,0.764163205778132,"plaq_n"
"57","NOL9","Inh RYR3 TSHZ2",-0.0406433736459497,5.23984996311067,2.67184519816145,0.102980468211536,0.337162273879127,0.337162273879127,"plaq_n"
"58","ZBTB48","Inh RYR3 TSHZ2",-0.0986825252702113,4.2164648334104,5.91478912697208,0.015483714970266,0.107608796566918,0.107608796566918,"plaq_n"
"59","KLHL21","Inh RYR3 TSHZ2",0.0554719920862172,4.998350601148,3.7395879734665,0.053893145968324,0.233714047788944,0.233714047788944,"plaq_n"
"60","PHF13","Inh RYR3 TSHZ2",0.0969061671853869,3.77507137916574,3.3226307934577,0.0691321193357461,0.268700981275003,0.268700981275003,"plaq_n"
"61","THAP3","Inh RYR3 TSHZ2",-0.102494667430026,3.91227077051656,4.69122928146696,0.0309494437885539,0.16588599627328,0.16588599627328,"plaq_n"
"62","DNAJC11","Inh RYR3 TSHZ2",-0.0425275696121981,5.99426262954212,4.45375015273008,0.0354893986735066,0.181689723008991,0.181689723008991,"plaq_n"
"63","CAMTA1","Inh RYR3 TSHZ2",-0.00787140026158959,9.79081303357884,0.974745325596045,0.324139005143646,0.613485456672204,0.613485456672204,"plaq_n"
"64","VAMP3","Inh RYR3 TSHZ2",-0.0640311884547665,4.04178404901487,2.07355321078453,0.150710047671129,0.415027161111587,0.415027161111587,"plaq_n"
"65","PER3","Inh RYR3 TSHZ2",0.00207831475200815,7.26462752655003,0.0134870121796831,0.907609108796401,0.979064081457042,0.979064081457042,"plaq_n"
"66","PARK7","Inh RYR3 TSHZ2",-0.030313572179583,5.08154352881325,1.00261920628769,0.317326143601593,0.607366940073111,0.607366940073111,"plaq_n"
"67","ERRFI1","Inh RYR3 TSHZ2",0.016731154614716,4.68501504117007,0.257339767464566,0.612253223576786,0.832074099573599,0.832074099573599,"plaq_n"
"68","AL034417.2","Inh RYR3 TSHZ2",-0.0736552184428241,3.23905891423576,0.978408558903963,0.323232689350941,0.612555232631695,0.612555232631695,"plaq_n"
"69","SLC45A1","Inh RYR3 TSHZ2",-0.129952707557506,4.3942805448538,10.8566711106512,0.0010786118697491,0.0176571410282148,0.0176571410282148,"plaq_n"
"70","RERE","Inh RYR3 TSHZ2",0.0104453237536911,8.74382386378846,1.39084099913395,0.239014165280185,0.526412705744522,0.526412705744522,"plaq_n"
"71","ENO1","Inh RYR3 TSHZ2",-0.0311691211974038,5.39842196347165,1.20906703151511,0.272225546043712,0.561808964764938,0.561808964764938,"plaq_n"
"72","MIR34AHG","Inh RYR3 TSHZ2",-0.11683371042748,4.32188737366993,6.95213825006408,0.00872147403879206,0.0743566880057071,0.0743566880057071,"plaq_n"
"73","H6PD","Inh RYR3 TSHZ2",-0.0128970859383232,4.57047610278995,0.114927291847504,0.734793349266843,0.899789693908622,0.899789693908622,"plaq_n"
"74","SLC25A33","Inh RYR3 TSHZ2",-0.0581215388699882,5.01621009912606,3.75912914909505,0.0532732442359643,0.232659899397297,0.232659899397297,"plaq_n"
"75","TMEM201","Inh RYR3 TSHZ2",-0.0227734975555694,3.694280966885,0.195457375269399,0.658668786135401,0.859172170421148,0.859172170421148,"plaq_n"
"76","PIK3CD","Inh RYR3 TSHZ2",-0.0021758111838526,3.52993252462592,0.00142480462890845,0.969909909916639,0.995997261934717,0.995997261934717,"plaq_n"
"77","CLSTN1","Inh RYR3 TSHZ2",0.0312968619270566,7.64811285204999,6.72114872363328,0.00990190662603435,0.0807584364861374,0.0807584364861374,"plaq_n"
"78","CTNNBIP1","Inh RYR3 TSHZ2",-0.00683175135808636,5.44177021225871,0.0847292920611759,0.771149522853614,0.91933478308822,0.91933478308822,"plaq_n"
"79","LZIC","Inh RYR3 TSHZ2",-0.0407350241321289,4.5361051089996,1.39606998555948,0.238134818927154,0.525296154832937,0.525296154832937,"plaq_n"
"80","NMNAT1","Inh RYR3 TSHZ2",0.0212007777109847,4.23651889486044,0.288122251902317,0.724035951463961,0.894350911101548,0.894350911101548,"plaq_n"
"81","UBE4B","Inh RYR3 TSHZ2",-0.00730217779593967,7.35413380403726,0.307025413467553,0.60503384357323,0.826408298337256,0.826408298337256,"plaq_n"
"82","KIF1B","Inh RYR3 TSHZ2",-0.000321135806814348,8.66121879225849,0.00124615234223789,0.971858686659815,0.996047068167682,0.996047068167682,"plaq_n"
"83","PGD","Inh RYR3 TSHZ2",-0.00620488890434659,4.43282151123131,0.0315782576523661,0.859052828257369,0.959433911092152,0.959433911092152,"plaq_n"
"84","DFFA","Inh RYR3 TSHZ2",0.0047308800212172,5.18675853781294,0.0318403007991157,0.858475402616999,0.959330128151315,0.959330128151315,"plaq_n"
"85","PEX14","Inh RYR3 TSHZ2",-0.0525183635430143,5.95061875818258,6.14935547444425,0.0135864044033251,0.0988902951342487,0.0988902951342487,"plaq_n"
"86","SRM","Inh RYR3 TSHZ2",-0.055735739940327,5.3188074599264,3.96596424372812,0.0471572173160634,0.216172833385612,0.216172833385612,"plaq_n"
"87","EXOSC10","Inh RYR3 TSHZ2",-0.0349736600424015,5.34407565433414,1.96060271435888,0.162279409587632,0.429411866048259,0.429411866048259,"plaq_n"
"88","AL109811.1","Inh RYR3 TSHZ2",0.00356826750607378,3.56552189289234,0.00427179586695365,0.947923171176639,0.989700095184927,0.989700095184927,"plaq_n"
"89","MTOR","Inh RYR3 TSHZ2",0.0109126565995774,6.33031917922089,0.442985670876198,0.519944593329733,0.770781684419507,0.770781684419507,"plaq_n"
"90","UBIAD1","Inh RYR3 TSHZ2",-0.0206155835517661,3.93613045548554,0.205047595044062,0.650940103287749,0.853617692149269,0.853617692149269,"plaq_n"
"91","DISP3","Inh RYR3 TSHZ2",0.0597506631186093,3.54773558967373,1.09629204919864,0.295758712951293,0.586761554224816,0.586761554224816,"plaq_n"
"92","FBXO2","Inh RYR3 TSHZ2",0.0509781705537852,4.76341829013835,2.60613302434267,0.107295917544329,0.345125046081539,0.345125046081539,"plaq_n"
"93","FBXO44","Inh RYR3 TSHZ2",0.0706763965971173,6.03985051522588,12.1245547209572,0.00055656886028055,0.0108535282753614,0.0108535282753614,"plaq_n"
"94","FBXO6","Inh RYR3 TSHZ2",0.0593214781840854,3.28741540945993,0.843932621002679,0.358867614587714,0.64482326537527,0.64482326537527,"plaq_n"
"95","MAD2L2","Inh RYR3 TSHZ2",0.0330671864947783,3.39646058126523,0.297299285123713,0.585906108526469,0.813290574925118,0.813290574925118,"plaq_n"
"96","DRAXIN","Inh RYR3 TSHZ2",0.0688147403529131,3.36448873833127,1.26327679710455,0.261753957977911,0.550036436823399,0.550036436823399,"plaq_n"
"97","MTHFR","Inh RYR3 TSHZ2",0.0032520760510932,5.25153132032804,0.0165064180794639,0.897840441145351,0.975793649658629,0.975793649658629,"plaq_n"
"98","CLCN6","Inh RYR3 TSHZ2",-0.0330815895170238,4.80092683233836,1.01494373661932,0.425535202702163,0.701030428460028,0.701030428460028,"plaq_n"
"99","KIAA2013","Inh RYR3 TSHZ2",0.0512524469709328,4.21008796015312,1.79797200678727,0.180773159038816,0.453586868627943,0.453586868627943,"plaq_n"
"100","PLOD1","Inh RYR3 TSHZ2",-0.0640338236627018,4.48255381487467,2.8746309680876,0.0908193881679568,0.313423409104971,0.313423409104971,"plaq_n"
