"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L5_6 IT Car3",0.00208638713510453,3.41589664345943,0.722589548398075,0.395851865326068,0.641087546523661,0.641087546523661,"plaq_n_mf"
"2","AL669831.5","Exc L5_6 IT Car3",0.000712952040118874,6.09986773059664,0.327481875338599,0.567497171734405,0.778750334560338,0.778750334560338,"plaq_n_mf"
"3","NOC2L","Exc L5_6 IT Car3",-0.00135566484290752,4.89707624333691,1.05739571432744,0.304489417557802,0.551382095644299,0.551382095644299,"plaq_n_mf"
"4","KLHL17","Exc L5_6 IT Car3",0.00679144215927145,3.09838307706224,6.72063195000144,0.00991250600652387,0.066562345195458,0.066562345195458,"plaq_n_mf"
"5","HES4","Exc L5_6 IT Car3",-0.00510133956114748,5.21513452571753,6.69097629350252,0.0100756592960459,0.0674942115952209,0.0674942115952209,"plaq_n_mf"
"6","ISG15","Exc L5_6 IT Car3",-0.00252743662317745,2.87115073548245,0.346671194358339,0.556366982048796,0.771209365136233,0.771209365136233,"plaq_n_mf"
"7","AGRN","Exc L5_6 IT Car3",0.00153114897675434,5.51518868307929,0.963095489506425,0.327056861657965,0.576111224796996,0.576111224796996,"plaq_n_mf"
"8","C1orf159","Exc L5_6 IT Car3",-0.00129572786134679,5.47557917635656,1.27645063910334,0.259300368052822,0.502868355150746,0.502868355150746,"plaq_n_mf"
"9","SDF4","Exc L5_6 IT Car3",-0.000253082490786348,5.0949223697406,0.032313513518573,0.857440843085084,0.950271501629488,0.950271501629488,"plaq_n_mf"
"10","B3GALT6","Exc L5_6 IT Car3",0.00066114815030802,3.23973369357373,0.084330242980423,0.771677338319246,0.906519414287889,0.906519414287889,"plaq_n_mf"
"11","UBE2J2","Exc L5_6 IT Car3",-0.00123442564679999,4.80324293575112,0.915139234317797,0.339386330833546,0.587091946535567,0.587091946535567,"plaq_n_mf"
"12","LINC01786","Exc L5_6 IT Car3",-0.00533565683077355,2.54019316554469,2.70587852062194,0.100838058568505,0.291329297975214,0.291329297975214,"plaq_n_mf"
"13","SCNN1D","Exc L5_6 IT Car3",-0.00614673910534924,3.1950422518305,5.95119859119379,0.0151817687739864,0.0879421042294593,0.0879421042294593,"plaq_n_mf"
"14","ACAP3","Exc L5_6 IT Car3",0.00245764260529834,6.64342068269649,5.85607916426156,0.0160100535187393,0.0910239258778776,0.0910239258778776,"plaq_n_mf"
"15","PUSL1","Exc L5_6 IT Car3",-0.00354808722372257,2.32565061966225,1.08879730214096,0.297426974777423,0.544012040490111,0.544012040490111,"plaq_n_mf"
"16","INTS11","Exc L5_6 IT Car3",0.00173121761426007,5.22987648312837,2.19506524505146,0.151509939246652,0.369647172969882,0.369647172969882,"plaq_n_mf"
"17","CPTP","Exc L5_6 IT Car3",0.0044979036488424,3.14941544574116,3.42842813917959,0.064888805213613,0.222053459361766,0.222053459361766,"plaq_n_mf"
"18","DVL1","Exc L5_6 IT Car3",0.00440892216338607,4.37572154427561,8.99884542234138,0.00288657124506247,0.0285340315787364,0.0285340315787364,"plaq_n_mf"
"19","AURKAIP1","Exc L5_6 IT Car3",-0.00351443232409039,4.33284546939878,4.09229039711756,0.0438062688126058,0.174256244497922,0.174256244497922,"plaq_n_mf"
"20","CCNL2","Exc L5_6 IT Car3",0.000131713046718468,6.02358442283947,0.0195372273092865,0.900103378394808,0.969997436851096,0.969997436851096,"plaq_n_mf"
"21","MRPL20","Exc L5_6 IT Car3",-0.000893307404539464,4.83242359621093,0.440663575560319,0.507220543794183,0.733897672928537,0.733897672928537,"plaq_n_mf"
"22","ANKRD65","Exc L5_6 IT Car3",0.00479338295808076,3.24636104897351,2.63672745733816,0.105279858793346,0.298885211037868,0.298885211037868,"plaq_n_mf"
"23","ATAD3C","Exc L5_6 IT Car3",0.0124381525859807,1.72501878490736,6.04163016085163,0.0144353868870714,0.0849588544115947,0.0849588544115947,"plaq_n_mf"
"24","ATAD3B","Exc L5_6 IT Car3",-0.00553214225780466,4.58776187079945,10.932677553881,0.00103840856259169,0.0138370416247641,0.0138370416247641,"plaq_n_mf"
"25","ATAD3A","Exc L5_6 IT Car3",-0.00306780638829713,3.88705181403971,2.7819084286536,0.0961903224286004,0.282730438141855,0.282730438141855,"plaq_n_mf"
"26","TMEM240","Exc L5_6 IT Car3",-0.00401920973819232,2.25262656800196,1.11245436784253,0.292245227321418,0.539251366261056,0.539251366261056,"plaq_n_mf"
"27","SSU72","Exc L5_6 IT Car3",0.00346806551650242,5.55802754283837,10.298182798972,0.00144925981573769,0.0174688603089919,0.0174688603089919,"plaq_n_mf"
"28","AL645728.1","Exc L5_6 IT Car3",-0.00439689878400707,2.20675409986828,1.17129482783564,0.279848308104407,0.525719525644104,0.525719525644104,"plaq_n_mf"
"29","FNDC10","Exc L5_6 IT Car3",0.0043862221061131,3.41815434499012,3.18127542710615,0.075315559553016,0.24368702967347,0.24368702967347,"plaq_n_mf"
"30","AL691432.2","Exc L5_6 IT Car3",0.000392353654519205,3.34179120378897,0.0280526851167349,0.868526255483499,0.955506917342425,0.955506917342425,"plaq_n_mf"
"31","MIB2","Exc L5_6 IT Car3",0.000104334808602958,5.15104594270155,0.0067205565942949,0.934708252557225,0.982985353878887,0.982985353878887,"plaq_n_mf"
"32","MMP23B","Exc L5_6 IT Car3",0.00840121711409364,2.00468588889452,3.89326622379219,0.0492325361657049,0.187364982550103,0.187364982550103,"plaq_n_mf"
"33","CDK11B","Exc L5_6 IT Car3",0.00233660555349393,4.96916423107318,2.12552986851918,0.145720723711604,0.361718960507535,0.361718960507535,"plaq_n_mf"
"34","SLC35E2B","Exc L5_6 IT Car3",0.000313932993850624,4.95596847401817,0.0427669470323599,0.836279792844826,0.939673998614088,0.939673998614088,"plaq_n_mf"
"35","CDK11A","Exc L5_6 IT Car3",0.00269852962034621,4.11856053240091,1.55960567326504,0.212521634325027,0.450001857210025,0.450001857210025,"plaq_n_mf"
"36","SLC35E2A","Exc L5_6 IT Car3",0.000439177406399866,4.8073292760434,0.0613052420869499,0.804583647698813,0.923740319995854,0.923740319995854,"plaq_n_mf"
"37","NADK","Exc L5_6 IT Car3",-0.000342230332721192,4.13694643057603,0.0501996963657477,0.822841244485666,0.932681443738269,0.932681443738269,"plaq_n_mf"
"38","GNB1","Exc L5_6 IT Car3",0.00197623060158211,7.93538826128538,13.4647249094572,0.00027923212202064,0.00540339279822716,0.00540339279822716,"plaq_n_mf"
"39","CFAP74","Exc L5_6 IT Car3",0.00348499939892826,4.87414978855064,4.65390366986291,0.0316337737374018,0.143102903730945,0.143102903730945,"plaq_n_mf"
"40","GABRD","Exc L5_6 IT Car3",0.000316979263090702,5.6802856739043,0.0567822887169829,0.81178934536875,0.927908935883876,0.927908935883876,"plaq_n_mf"
"41","PRKCZ","Exc L5_6 IT Car3",-0.00131698152622831,7.0534150435197,2.86832828754296,0.0911899979045197,0.274298784905603,0.274298784905603,"plaq_n_mf"
