"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh L1-6 LAMP5 CA13",-0.00242155654972741,3.30466611431983,0.398619214326007,0.528206899075456,0.760154289160266,0.760154289160266,"plaq_n_mf"
"2","AL669831.5","Inh L1-6 LAMP5 CA13",0.00188948548302591,5.72009643752019,1.39914127098629,0.23765386287866,0.497580126912787,0.497580126912787,"plaq_n_mf"
"3","NOC2L","Inh L1-6 LAMP5 CA13",-0.00209189616210256,4.62037654524874,0.877589364439741,0.407938968117259,0.665690907437368,0.665690907437368,"plaq_n_mf"
"4","HES4","Inh L1-6 LAMP5 CA13",-0.00854626783857211,5.02459100718086,10.7913794864474,0.00112064926389923,0.0151885330233809,0.0151885330233809,"plaq_n_mf"
"5","ISG15","Inh L1-6 LAMP5 CA13",-0.00215530675115073,3.40883713274081,0.169917413264275,0.680432409921483,0.855396736702283,0.855396736702283,"plaq_n_mf"
"6","AGRN","Inh L1-6 LAMP5 CA13",0.000256511698121134,4.75670714838523,0.00918940021813764,0.923684424766392,0.978811798566627,0.978811798566627,"plaq_n_mf"
"7","C1orf159","Inh L1-6 LAMP5 CA13",-0.000204001721776283,5.48997731166229,0.0139881852265043,0.90591887270995,0.972232835590002,0.972232835590002,"plaq_n_mf"
"8","SDF4","Inh L1-6 LAMP5 CA13",-0.00206643945649869,5.63668322907031,1.50352460351242,0.220937317883454,0.47561492320646,0.47561492320646,"plaq_n_mf"
"9","B3GALT6","Inh L1-6 LAMP5 CA13",-0.00319022867381254,3.40903867194361,0.703212091219884,0.425564335369092,0.681800056552374,0.681800056552374,"plaq_n_mf"
"10","UBE2J2","Inh L1-6 LAMP5 CA13",-0.00422052877307775,4.97234246600023,5.12448980290416,0.0241896473875641,0.122790394853727,0.122790394853727,"plaq_n_mf"
"11","SCNN1D","Inh L1-6 LAMP5 CA13",0.00112888620194718,3.5387766007665,0.0926594008511096,0.761000324088262,0.900095215090529,0.900095215090529,"plaq_n_mf"
"12","ACAP3","Inh L1-6 LAMP5 CA13",0.00245254963591877,6.23135356178773,2.95178393618945,0.0866491373319222,0.274221035532136,0.274221035532136,"plaq_n_mf"
"13","INTS11","Inh L1-6 LAMP5 CA13",0.00342219035910314,5.45648746396507,4.4549067132179,0.0354955042154653,0.157245004861647,0.157245004861647,"plaq_n_mf"
"14","CPTP","Inh L1-6 LAMP5 CA13",-0.000813940303832523,3.29266281395792,0.0354752769595838,0.850710144553354,0.948794216262394,0.948794216262394,"plaq_n_mf"
"15","DVL1","Inh L1-6 LAMP5 CA13",0.000951128776085176,4.35884797408167,0.155075092123483,0.73659924673723,0.889787689278599,0.889787689278599,"plaq_n_mf"
"16","AURKAIP1","Inh L1-6 LAMP5 CA13",-0.0137689118734427,4.03766800200581,20.2881544303785,9.0335477397345e-06,0.000373529543489089,0.000373529543489089,"plaq_n_mf"
"17","CCNL2","Inh L1-6 LAMP5 CA13",0.00145023887202136,5.96005215672288,1.21817088412306,0.270462665072568,0.53211348202503,0.53211348202503,"plaq_n_mf"
"18","MRPL20","Inh L1-6 LAMP5 CA13",-0.00512544837870404,4.58942533058303,4.57897094150522,0.0330435104935108,0.150847582709523,0.150847582709523,"plaq_n_mf"
"19","ATAD3B","Inh L1-6 LAMP5 CA13",-0.00409692668752555,4.56310566084376,2.88776743782168,0.0901248907977724,0.280602154269186,0.280602154269186,"plaq_n_mf"
"20","ATAD3A","Inh L1-6 LAMP5 CA13",-0.00169823840809373,3.98263589538602,0.378214099933381,0.538952029097364,0.767341398528111,0.767341398528111,"plaq_n_mf"
"21","SSU72","Inh L1-6 LAMP5 CA13",-0.00536892597652378,5.2413995250213,8.09814135695501,0.00468663390905783,0.0410981742794302,0.0410981742794302,"plaq_n_mf"
"22","FNDC10","Inh L1-6 LAMP5 CA13",0.000955090983048657,4.13438229361935,0.131799221166217,0.716788461577244,0.878379109334863,0.878379109334863,"plaq_n_mf"
"23","AL691432.2","Inh L1-6 LAMP5 CA13",-0.00450219207091758,3.24524770482099,1.14149792846566,0.28605730788062,0.548735019741367,0.548735019741367,"plaq_n_mf"
"24","MIB2","Inh L1-6 LAMP5 CA13",-0.000793594653409836,5.03747300880903,0.170164248560098,0.8631489113836,0.953291911734548,0.953291911734548,"plaq_n_mf"
"25","MMP23B","Inh L1-6 LAMP5 CA13",-0.00168266290866538,3.48920237182629,0.210475511488154,0.646673895986151,0.836427227763253,0.836427227763253,"plaq_n_mf"
"26","CDK11B","Inh L1-6 LAMP5 CA13",0.00117464953579546,4.79641525648724,0.289889898958129,0.590626338845182,0.800584518416883,0.800584518416883,"plaq_n_mf"
"27","SLC35E2B","Inh L1-6 LAMP5 CA13",0.00224441713366498,5.07637876796333,1.19762971704027,0.27453311170183,0.536659438547903,0.536659438547903,"plaq_n_mf"
"28","CDK11A","Inh L1-6 LAMP5 CA13",0.00105727940502153,4.14263129140301,0.119316207426641,0.729980569150054,0.885119580764648,0.885119580764648,"plaq_n_mf"
"29","SLC35E2A","Inh L1-6 LAMP5 CA13",0.000235711883552921,5.00829635227338,0.0123198242102874,0.911682866807407,0.974389521538311,0.974389521538311,"plaq_n_mf"
"30","NADK","Inh L1-6 LAMP5 CA13",0.000174534483260521,4.43107529694731,0.00553918024983866,0.955655085369346,0.989985624741849,0.989985624741849,"plaq_n_mf"
"31","GNB1","Inh L1-6 LAMP5 CA13",0.000658149921223878,7.78129770393197,0.636099576341198,0.425656431972474,0.681800056552374,0.681800056552374,"plaq_n_mf"
"32","TMEM52","Inh L1-6 LAMP5 CA13",-0.00250981586287846,2.57999610244233,0.174303120097738,0.67656621735601,0.853181592385972,0.853181592385972,"plaq_n_mf"
"33","CFAP74","Inh L1-6 LAMP5 CA13",0.00145389300771922,3.28418805195403,0.10623111088197,0.744667249972768,0.892223788359162,0.892223788359162,"plaq_n_mf"
"34","GABRD","Inh L1-6 LAMP5 CA13",-0.0083408513150133,6.14773591498893,20.7385452313338,7.2316400945723e-06,0.000316170415317537,0.000316170415317537,"plaq_n_mf"
"35","PRKCZ","Inh L1-6 LAMP5 CA13",-0.00222212214306529,6.79187933438358,4.18974829889357,0.0414002703376519,0.173659043183864,0.173659043183864,"plaq_n_mf"
"36","FAAP20","Inh L1-6 LAMP5 CA13",-0.000124170047115452,4.91868315171632,0.00360855752415855,0.952132455479118,0.989087783747462,0.989087783747462,"plaq_n_mf"
"37","SKI","Inh L1-6 LAMP5 CA13",0.00205447954592098,6.76683137393326,2.93990694094206,0.0872828121979111,0.275496343966358,0.275496343966358,"plaq_n_mf"
"38","MORN1","Inh L1-6 LAMP5 CA13",0.00159542818829437,4.24546928744196,0.409409030882593,0.522679657720037,0.75558739806459,0.75558739806459,"plaq_n_mf"
"39","RER1","Inh L1-6 LAMP5 CA13",-0.0026513023095658,4.84962874314296,2.09864398366493,0.177257207916987,0.419109017672302,0.419109017672302,"plaq_n_mf"
"40","PEX10","Inh L1-6 LAMP5 CA13",-0.00516808516922401,3.67971355439714,2.07475538117489,0.150629591616969,0.380725188260214,0.380725188260214,"plaq_n_mf"
"41","PLCH2","Inh L1-6 LAMP5 CA13",0.00418207029144918,5.39890235227458,5.4842677421173,0.0197370471688432,0.107719239984586,0.107719239984586,"plaq_n_mf"
"42","PANK4","Inh L1-6 LAMP5 CA13",0.00502897094822983,3.66106842251531,2.20968206732004,0.138028766332408,0.361381174441448,0.361381174441448,"plaq_n_mf"
