"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","GNB1","Inh L6 SST NPY",0.00269700907616008,8.04601973553857,0.120409550229622,0.763301631255907,1,1,"plaq_n_mf"
"2","PRKCZ","Inh L6 SST NPY",-0.00112461929859944,7.33091584415675,0.0128790096961017,0.922229214592707,1,1,"plaq_n_mf"
"3","AJAP1","Inh L6 SST NPY",-0.0125671002084399,7.17127304988161,1.17556387676033,0.337256727612513,1,1,"plaq_n_mf"
"4","KCNAB2","Inh L6 SST NPY",-0.00578156324748334,7.27721456420471,0.233335146632879,0.63528347379134,1,1,"plaq_n_mf"
"5","CHD5","Inh L6 SST NPY",-0.00522566434023663,7.90040311545584,0.410207102352436,0.586273870003566,1,1,"plaq_n_mf"
"6","ACOT7","Inh L6 SST NPY",-0.0060034758256647,7.00214298691633,0.186625988679833,0.688709051476644,1,1,"plaq_n_mf"
"7","CAMTA1","Inh L6 SST NPY",0.00177640066269477,10.0437440251023,0.0789290016952546,0.782177477117986,1,1,"plaq_n_mf"
"8","PER3","Inh L6 SST NPY",0.0156355109039132,7.24842237322278,1.46924719604811,0.242201517824654,1,1,"plaq_n_mf"
"9","RERE","Inh L6 SST NPY",0.00235453669458535,9.73668783870702,0.0908411063188364,0.766801456293363,1,1,"plaq_n_mf"
"10","CLSTN1","Inh L6 SST NPY",0.00259087332404186,8.56158675073396,0.133629058566852,0.74947239306236,1,1,"plaq_n_mf"
"11","UBE4B","Inh L6 SST NPY",-0.0151460213544777,8.05449889461311,3.42379012567961,0.0822902691463667,1,1,"plaq_n_mf"
"12","KIF1B","Inh L6 SST NPY",-0.00550713668729063,9.54757662578404,0.644216317784139,0.43337309056499,1,1,"plaq_n_mf"
"13","PEX14","Inh L6 SST NPY",-0.0110711085811403,7.68293062207472,1.63609748993204,0.293676193683468,1,1,"plaq_n_mf"
"14","VPS13D","Inh L6 SST NPY",-0.00794207546212316,8.48216147846593,0.725805277541904,0.406202273371041,1,1,"plaq_n_mf"
"15","PRDM2","Inh L6 SST NPY",-0.0241135345222329,7.65650252402505,4.50722700091836,0.0488852713362674,1,1,"plaq_n_mf"
"16","KAZN","Inh L6 SST NPY",-0.00505412853699547,12.0877764038887,0.813563201592072,0.379792230218445,1,1,"plaq_n_mf"
"17","FBXO42","Inh L6 SST NPY",-0.00697656397605909,7.66747837521068,0.432764689451904,0.519529809104547,1,1,"plaq_n_mf"
"18","CROCC","Inh L6 SST NPY",0.000158347188151652,7.17532871108536,0.000148308651136476,0.990426587940938,1,1,"plaq_n_mf"
"19","ATP13A2","Inh L6 SST NPY",-0.00285623085385319,7.49720610366972,0.069036513680245,0.806437625548588,1,1,"plaq_n_mf"
"20","UBR4","Inh L6 SST NPY",0.0076266115460685,7.35430829785907,0.488293461602044,0.512225061349911,1,1,"plaq_n_mf"
"21","CAPZB","Inh L6 SST NPY",-0.00690565718224987,7.71722432790614,0.681854017753758,0.467605237710061,1,1,"plaq_n_mf"
"22","CAMK2N1","Inh L6 SST NPY",-0.0140816984275922,7.26682920841287,0.620157143714734,0.441935314268902,1,1,"plaq_n_mf"
"23","HP1BP3","Inh L6 SST NPY",-0.00134665639180885,7.28682184007986,0.0128163826427593,0.912981762825706,1,1,"plaq_n_mf"
"24","EIF4G3","Inh L6 SST NPY",-0.00110583051368969,9.59677390147622,0.0299766321267091,0.864607775826101,1,1,"plaq_n_mf"
"25","RAP1GAP","Inh L6 SST NPY",-0.00254206063286148,7.50836494904393,0.050189816103648,0.825429415987793,1,1,"plaq_n_mf"
"26","KDM1A","Inh L6 SST NPY",-0.00283041436182142,7.12440627351415,0.0363987212029187,0.850976146209277,1,1,"plaq_n_mf"
"27","LUZP1","Inh L6 SST NPY",-0.0142545100199467,7.92676067400083,2.29067555224402,0.148699327472798,1,1,"plaq_n_mf"
"28","RSRP1","Inh L6 SST NPY",0.0072946287111382,7.66105712152577,0.381312144995944,0.545164211915249,1,1,"plaq_n_mf"
"29","MACO1","Inh L6 SST NPY",0.00680514468372225,7.35372162708604,0.544224336383816,0.539889072500039,1,1,"plaq_n_mf"
"30","STMN1","Inh L6 SST NPY",-0.00516232427552568,7.10622481943917,0.0967708521172074,0.75955836417455,1,1,"plaq_n_mf"
"31","ARID1A","Inh L6 SST NPY",0.00798787615201501,7.18777961460564,0.400742815930866,0.535210881957892,1,1,"plaq_n_mf"
"32","STX12","Inh L6 SST NPY",0.0106027280394376,7.67654223243689,1.39561490653122,0.272791665573771,1,1,"plaq_n_mf"
"33","ATP5IF1","Inh L6 SST NPY",-0.0366676989177044,6.65563909279453,2.82017565858113,0.111546847859449,1,1,"plaq_n_mf"
"34","PHACTR4","Inh L6 SST NPY",-0.0105970970436574,7.48357598427335,1.26514254518627,0.32355362915029,1,1,"plaq_n_mf"
"35","SRSF4","Inh L6 SST NPY",-0.00430587753305256,7.34255901668456,0.150209270878192,0.70800365629918,1,1,"plaq_n_mf"
"36","PUM1","Inh L6 SST NPY",0.00498762643677193,7.67132244855091,0.261649384558338,0.615632601011818,1,1,"plaq_n_mf"
"37","ZCCHC17","Inh L6 SST NPY",-0.0269665933087738,6.93533484286351,3.68089121280764,0.0721581122831723,1,1,"plaq_n_mf"
"38","KHDRBS1","Inh L6 SST NPY",-0.012404412325051,7.23340428266499,1.18549557084688,0.315063190103598,1,1,"plaq_n_mf"
"39","KPNA6","Inh L6 SST NPY",-0.00234902684238158,7.18832652953684,0.0483018843285677,0.846263271163645,1,1,"plaq_n_mf"
