"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh RYR3 TSHZ2",-0.00560870329576717,3.32013045061976,1.31002316186617,0.253123673558036,0.583359532687081,0.583359532687081,"plaq_n_mf"
"2","AL669831.5","Inh RYR3 TSHZ2",0.00221761642009117,5.53748145498656,1.27046962817026,0.260402468459081,0.591980523805184,0.591980523805184,"plaq_n_mf"
"3","NOC2L","Inh RYR3 TSHZ2",0.00033458768425007,4.74673449134635,0.0212477227653034,0.884184792387734,0.973439573099952,0.973439573099952,"plaq_n_mf"
"4","KLHL17","Inh RYR3 TSHZ2",0.00286553645171182,3.40162252560184,0.374708677514668,0.540821355485428,0.805681677054994,0.805681677054994,"plaq_n_mf"
"5","HES4","Inh RYR3 TSHZ2",-0.0100707654621618,3.78464497532309,5.38918532335809,0.0207995661858112,0.158521953664461,0.158521953664461,"plaq_n_mf"
"6","ISG15","Inh RYR3 TSHZ2",-0.00533100699466954,3.12058988601965,0.806353578502668,0.369779214876628,0.687156916479435,0.687156916479435,"plaq_n_mf"
"7","AGRN","Inh RYR3 TSHZ2",-0.00369098552281181,3.35828547361765,0.563526414106605,0.453315715552298,0.745025847143312,0.745025847143312,"plaq_n_mf"
"8","C1orf159","Inh RYR3 TSHZ2",-0.00379066397713712,5.40310534686547,3.1470515248499,0.0768792426959151,0.317952951620909,0.317952951620909,"plaq_n_mf"
"9","SDF4","Inh RYR3 TSHZ2",-0.00609498434155832,5.77483467657598,9.74138201591946,0.00194193503739189,0.0364984200617501,0.0364984200617501,"plaq_n_mf"
"10","UBE2J2","Inh RYR3 TSHZ2",-0.00217647130305483,5.23993750403452,1.42472102915666,0.233385770265044,0.56002697540395,0.56002697540395,"plaq_n_mf"
"11","SCNN1D","Inh RYR3 TSHZ2",-0.00619421179262122,3.78610445752311,2.62302018929308,0.106168119628546,0.37450125433481,0.37450125433481,"plaq_n_mf"
"12","ACAP3","Inh RYR3 TSHZ2",0.000345129956567108,6.61146314438022,0.0681483513805056,0.794196037511191,0.935837051860705,0.935837051860705,"plaq_n_mf"
"13","INTS11","Inh RYR3 TSHZ2",-0.000611238877491126,5.55878211623024,0.119877996013129,0.729361880401296,0.904262357297843,0.904262357297843,"plaq_n_mf"
"14","CPTP","Inh RYR3 TSHZ2",2.95626203331136e-05,3.44903650531456,0.000199823567032567,0.98872911258681,0.997986763473102,0.997986763473102,"plaq_n_mf"
"15","DVL1","Inh RYR3 TSHZ2",0.00391005173954092,4.53949079077246,2.17105974749498,0.141471863376152,0.437114031621679,0.437114031621679,"plaq_n_mf"
"16","AURKAIP1","Inh RYR3 TSHZ2",-0.00794633180197215,4.17361018270329,5.79776530697208,0.0165307546520844,0.138106988321588,0.138106988321588,"plaq_n_mf"
"17","CCNL2","Inh RYR3 TSHZ2",-0.00152416275205512,6.17770786969618,1.06916138741278,0.301804222366268,0.633529274148515,0.633529274148515,"plaq_n_mf"
"18","MRPL20","Inh RYR3 TSHZ2",0.000261853489604977,4.81934840100336,0.0124748950411128,0.911128380858418,0.982482758210172,0.982482758210172,"plaq_n_mf"
"19","ATAD3B","Inh RYR3 TSHZ2",-0.00266817840836848,4.62687591597038,1.17049519904813,0.279997781341532,0.611462982204032,0.611462982204032,"plaq_n_mf"
"20","ATAD3A","Inh RYR3 TSHZ2",-0.00205333879356784,4.13342047408228,0.416824273588645,0.518922512722448,0.793507599832424,0.793507599832424,"plaq_n_mf"
