"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","OPC",-0.000570823797973387,2.40243960281677,0.0439026094251017,0.834154400657626,0.942968106370725,0.942968106370725,"plaq_n_mf"
"2","AL669831.5","OPC",0.00120523838657657,5.04138921720154,0.955855501700001,0.331054387391244,0.596216601888972,0.596216601888972,"plaq_n_mf"
"3","NOC2L","OPC",-0.00275081908587654,4.50641106398269,4.09323144201745,0.0437998868710455,0.181768136881969,0.181768136881969,"plaq_n_mf"
"4","KLHL17","OPC",0.0052186613600624,2.22211613841469,2.83160576719482,0.0933000061821719,0.288505652826651,0.288505652826651,"plaq_n_mf"
"5","HES4","OPC",-0.0168969700059629,2.40029617765704,22.8351864728109,2.5827966046976e-06,0.000183545728073537,0.000183545728073537,"plaq_n_mf"
"6","ISG15","OPC",0.00920083634373145,3.63227489850753,3.63978079823036,0.0572162402648691,0.213700586923891,0.213700586923891,"plaq_n_mf"
"7","AGRN","OPC",0.000799465251736944,5.22950824554417,0.422189504026751,0.516264300401345,0.751720322092579,0.751720322092579,"plaq_n_mf"
"8","C1orf159","OPC",-0.00262642168558115,4.40153832778213,3.3990457101697,0.0660625606148552,0.232469382121308,0.232469382121308,"plaq_n_mf"
"9","SDF4","OPC",0.00044798814099678,4.80883330849427,0.166521818042787,0.79342765482941,0.924008892862575,0.924008892862575,"plaq_n_mf"
"10","B3GALT6","OPC",0.00226716465908031,2.83245143839514,0.982181934875272,0.322331787733373,0.58879745334037,0.58879745334037,"plaq_n_mf"
"11","UBE2J2","OPC",-0.00305280769945704,4.87748337427352,8.14843224315833,0.00456143292810248,0.0412984907453005,0.0412984907453005,"plaq_n_mf"
"12","LINC01786","OPC",0.00162061128199738,2.90428560740968,0.448624331947416,0.503421841534282,0.741702232762559,0.741702232762559,"plaq_n_mf"
"13","SCNN1D","OPC",-0.00270779126083001,4.0360602568245,2.02535759736939,0.155565585544206,0.389265098353884,0.389265098353884,"plaq_n_mf"
"14","ACAP3","OPC",-0.00281603446477911,7.54558794269484,8.32774589618948,0.00414169348373805,0.0385956318042489,0.0385956318042489,"plaq_n_mf"
"15","PUSL1","OPC",0.00608719555844351,1.9440111711286,3.68837469008335,0.0555891287762265,0.209558413416878,0.209558413416878,"plaq_n_mf"
"16","INTS11","OPC",-0.00161857959158587,5.28645746861389,2.95914076605098,0.0862596835308064,0.27470532501452,0.27470532501452,"plaq_n_mf"
"17","CPTP","OPC",0.00802086521602585,2.76316341429316,12.1032235841169,0.000565569144757089,0.00945732717366994,0.00945732717366994,"plaq_n_mf"
"18","DVL1","OPC",-0.000353558206659647,3.94990982867157,0.0597136383238912,0.807089469750022,0.929738623924771,0.929738623924771,"plaq_n_mf"
"19","AURKAIP1","OPC",0.00274375980794155,3.58017730567746,2.23585671120424,0.135725083128281,0.358543418506575,0.358543418506575,"plaq_n_mf"
"20","CCNL2","OPC",0.00182036716789335,5.91801440932761,4.02551898556418,0.0455704662069654,0.187050064919753,0.187050064919753,"plaq_n_mf"
"21","MRPL20","OPC",-0.00264955358718546,4.2108902453311,3.80223638910682,0.0519664586674545,0.20179813710875,0.20179813710875,"plaq_n_mf"
"22","ANKRD65","OPC",0.00169514140698187,2.56182191322401,0.381977770845828,0.536940642602742,0.766385891639128,0.766385891639128,"plaq_n_mf"
"23","VWA1","OPC",0.00291637933889912,4.85044234749018,3.42435091194914,0.0650672770583466,0.23048446590656,0.23048446590656,"plaq_n_mf"
"24","ATAD3C","OPC",-0.00209837655251571,2.21638742013259,0.381554676609978,0.537166096193267,0.766385891639128,0.766385891639128,"plaq_n_mf"
"25","ATAD3B","OPC",-0.00545694409386545,4.15164081960039,12.242756980589,0.000526111476785253,0.00902956922198176,0.00902956922198176,"plaq_n_mf"
"26","ATAD3A","OPC",-0.00153037761148735,3.76283000324276,0.820954328703598,0.365512258133589,0.628331777535871,0.628331777535871,"plaq_n_mf"
"27","TMEM240","OPC",0.0013952074598189,2.7220320401471,0.301277295595165,0.583425817194503,0.798749249531687,0.798749249531687,"plaq_n_mf"
"28","SSU72","OPC",0.00221016924022529,4.38939505231823,2.79997908228346,0.0951412859809312,0.291540640047219,0.291540640047219,"plaq_n_mf"
"29","FNDC10","OPC",0.00247496162511616,1.93031691557994,0.504360122082829,0.478054093213489,0.720591027169305,0.720591027169305,"plaq_n_mf"
"30","AL691432.2","OPC",0.00232882154958969,2.61534585645888,0.885466904375015,0.347344830287793,0.611160342005314,0.611160342005314,"plaq_n_mf"
"31","MIB2","OPC",0.000104571093346278,4.44188363990728,0.00557953051451663,0.940498214862425,0.986876516147402,0.986876516147402,"plaq_n_mf"
"32","CDK11B","OPC",-0.0015200749828325,4.5194502807131,1.02582960864897,0.311825975222476,0.57736111137494,0.57736111137494,"plaq_n_mf"
"33","SLC35E2B","OPC",0.00100762668998769,4.88777205513986,0.650767874446704,0.420375235221765,0.67467407724707,0.67467407724707,"plaq_n_mf"
"34","CDK11A","OPC",-0.00012316836572043,3.94151116586971,0.00357178334651405,0.952376713474242,0.990807807783154,0.990807807783154,"plaq_n_mf"
"35","SLC35E2A","OPC",0.000805541941455444,4.76934884923412,0.206311678088098,0.649949724638881,0.840675958247458,0.840675958247458,"plaq_n_mf"
"36","NADK","OPC",-0.00142205862073584,4.05624453846333,1.09972179717187,0.295036416003703,0.559350772980924,0.559350772980924,"plaq_n_mf"
"37","GNB1","OPC",-0.0017936830689515,7.25514444305933,9.27081593532648,0.00250117666705009,0.0269091364157125,0.0269091364157125,"plaq_n_mf"
"38","PRKCZ","OPC",-0.000993827098714485,5.17752085816403,0.799324325245898,0.371897647941987,0.632623346112727,0.632623346112727,"plaq_n_mf"
