"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6 CT",-0.125859467291916,3.73061069160283,1.89322860387044,0.170635916098038,0.585695121382374,0.585695121382374,"social_isolation_avg"
"2","AL669831.5","Exc L6 CT",-0.00203220192283267,5.6255782278854,0.00215434227584849,0.963033676411074,0.999905100408673,0.999905100408673,"social_isolation_avg"
"3","NOC2L","Exc L6 CT",-0.0409461457196582,4.65167158316012,0.459160009722319,0.498931720246532,0.842077166605269,0.842077166605269,"social_isolation_avg"
"4","KLHL17","Exc L6 CT",-0.182382365750101,3.06411747814186,3.00826064912555,0.0846414558187502,0.451419114868962,0.451419114868962,"social_isolation_avg"
"5","HES4","Exc L6 CT",-0.0584502796063116,2.22188703078922,0.103456834917345,0.748112544034545,0.952522605185053,0.952522605185053,"social_isolation_avg"
"6","AGRN","Exc L6 CT",-0.140361661144921,3.79061502657612,2.50221772557313,0.115532188991417,0.506746574715616,0.506746574715616,"social_isolation_avg"
"7","C1orf159","Exc L6 CT",0.0251760730369108,5.64119647161466,0.445741778412338,0.505263263501067,0.845670865857425,0.845670865857425,"social_isolation_avg"
"8","SDF4","Exc L6 CT",-0.0365036697250691,5.21822791704013,0.48414014506259,0.487496637073489,0.835398019142378,0.835398019142378,"social_isolation_avg"
"9","B3GALT6","Exc L6 CT",-0.159624097363498,2.59273754076379,1.62049263392938,0.204749416338387,0.62724678901913,0.62724678901913,"social_isolation_avg"
"10","UBE2J2","Exc L6 CT",-0.0156651102843909,4.77545396326977,0.10258405557216,0.749141093057877,0.952522605185053,0.952522605185053,"social_isolation_avg"
"11","SCNN1D","Exc L6 CT",0.0899930254066539,3.29468740130008,0.854970588501483,0.356451731456546,0.759236762557519,0.759236762557519,"social_isolation_avg"
"12","ACAP3","Exc L6 CT",-0.00415756582346015,6.64432023221492,0.0130469731895145,0.909194619687789,0.996226329930173,0.996226329930173,"social_isolation_avg"
"13","INTS11","Exc L6 CT",0.0106739287026466,5.3214207782591,0.0600137691101272,0.806767635562475,0.972466208615151,0.972466208615151,"social_isolation_avg"
"14","CPTP","Exc L6 CT",-0.00963912841249892,2.72911602499862,0.00489030789100405,0.975357406054941,0.999905100408673,0.999905100408673,"social_isolation_avg"
"15","DVL1","Exc L6 CT",-0.0861064501451097,4.25367690377628,1.82877383697285,0.178056434298435,0.596676662253903,0.596676662253903,"social_isolation_avg"
"16","AURKAIP1","Exc L6 CT",-0.0952096204766944,3.63236148043582,1.49755355734467,0.222730092740847,0.648405433287999,0.648405433287999,"social_isolation_avg"
"17","CCNL2","Exc L6 CT",0.0224412031504887,5.89522709332122,0.438624351618258,0.508677921458567,0.847411932648168,0.847411932648168,"social_isolation_avg"
"18","MRPL20","Exc L6 CT",-0.0892209989936791,4.40792850372612,2.81591183382696,0.0951587944768122,0.470539079810452,0.470539079810452,"social_isolation_avg"
"19","ANKRD65","Exc L6 CT",0.101835605563732,2.86724403525981,0.731384470713304,0.393630312398534,0.781120617088072,0.781120617088072,"social_isolation_avg"
"20","ATAD3C","Exc L6 CT",-0.0257106912181016,2.45409461983774,0.0352268094973407,0.851343501605936,0.983427392880599,0.983427392880599,"social_isolation_avg"
"21","ATAD3B","Exc L6 CT",0.0975708341861111,4.41035975702757,2.3573629556461,0.12653924330951,0.523937368291917,0.523937368291917,"social_isolation_avg"
"22","ATAD3A","Exc L6 CT",0.0826947265245812,4.05860442882389,1.42551344496863,0.234150127141125,0.657660450060533,0.657660450060533,"social_isolation_avg"
"23","TMEM240","Exc L6 CT",0.108471914389294,2.44962909506767,0.591731468698091,0.44281056258518,0.808578031427243,0.808578031427243,"social_isolation_avg"
"24","SSU72","Exc L6 CT",-0.0764196264633035,5.31948570863387,3.55743225752708,0.079475816742812,0.443101426095184,0.443101426095184,"social_isolation_avg"
"25","AL645728.1","Exc L6 CT",-0.137842102650391,2.17816195189987,0.754783780144124,0.386182438149551,0.776872883737524,0.776872883737524,"social_isolation_avg"
"26","FNDC10","Exc L6 CT",-0.0177299952651029,3.19905438424955,0.0307696865126788,0.860962544768207,0.985950069679729,0.985950069679729,"social_isolation_avg"
"27","AL691432.2","Exc L6 CT",-0.139412602819115,3.18531190624815,2.03158859880396,0.155880525045303,0.561608250140997,0.561608250140997,"social_isolation_avg"
"28","MIB2","Exc L6 CT",0.0487829373766935,5.2744592155978,1.19242818193608,0.276374974672321,0.696814587079479,0.696814587079479,"social_isolation_avg"
"29","MMP23B","Exc L6 CT",-0.12296982592794,2.07794689539144,0.477636491340356,0.490431096605341,0.836797925409551,0.836797925409551,"social_isolation_avg"
"30","CDK11B","Exc L6 CT",-0.0338978971986605,4.85922894278284,0.44891749005692,0.503752392296304,0.845062452384858,0.845062452384858,"social_isolation_avg"
"31","SLC35E2B","Exc L6 CT",0.0372067690197921,4.86748859652789,0.406824212475685,0.524438186205504,0.852493243656237,0.852493243656237,"social_isolation_avg"
"32","CDK11A","Exc L6 CT",-0.0255339949283119,4.13790247991095,0.106843623103992,0.744166023583084,0.951456393851147,0.951456393851147,"social_isolation_avg"
"33","SLC35E2A","Exc L6 CT",-0.0365806136079662,4.78556738421874,0.314314974551597,0.575777471301458,0.878766203452843,0.878766203452843,"social_isolation_avg"
"34","NADK","Exc L6 CT",-0.0339599305425716,3.95886899843139,0.223529623590322,0.636965907227717,0.908448930467251,0.908448930467251,"social_isolation_avg"
"35","GNB1","Exc L6 CT",-0.0213172564664102,7.53541565346247,0.965764664359746,0.373719421069174,0.767174648443892,0.767174648443892,"social_isolation_avg"
"36","CFAP74","Exc L6 CT",-0.110219550441891,3.96302590508907,2.61405559404937,0.107762113459381,0.492948937637093,0.492948937637093,"social_isolation_avg"
"37","GABRD","Exc L6 CT",-0.0872551397257907,4.56399393330745,1.63489048883819,0.202758941624024,0.624429715908141,0.624429715908141,"social_isolation_avg"
"38","PRKCZ","Exc L6 CT",0.00843813561572517,6.90376561944794,0.0714081753361381,0.789619110857056,0.965734123171966,0.965734123171966,"social_isolation_avg"
"39","FAAP20","Exc L6 CT",-0.0886550509699529,3.47862718819427,0.927131886460771,0.336967662379229,0.745616027509105,0.745616027509105,"social_isolation_avg"
"40","SKI","Exc L6 CT",0.0228828040761768,6.20975871795857,0.468440413268489,0.494631206876059,0.839014437457402,0.839014437457402,"social_isolation_avg"
"41","MORN1","Exc L6 CT",-0.092297359107321,4.35752150533234,2.91992472305439,0.0969043630260442,0.472647222146584,0.472647222146584,"social_isolation_avg"
"42","RER1","Exc L6 CT",0.00458684041943772,4.56767914280483,0.00745777665381637,0.931282439653501,0.999905100408673,0.999905100408673,"social_isolation_avg"
"43","PEX10","Exc L6 CT",-0.112177426846761,3.15096844016251,1.48596993215169,0.224520121110437,0.650234804391443,0.650234804391443,"social_isolation_avg"
"44","PANK4","Exc L6 CT",-0.142385773308634,2.82825200734544,1.50523792488031,0.22155211129919,0.647711661510026,0.647711661510026,"social_isolation_avg"
"45","FAM213B","Exc L6 CT",-0.0422302321062996,3.43984943729048,0.27439934184759,0.610878782403548,0.89560407910934,0.89560407910934,"social_isolation_avg"
"46","MEGF6","Exc L6 CT",-0.0590264122235513,2.08528868885242,0.138473139792443,0.710263972413633,0.939057151098238,0.939057151098238,"social_isolation_avg"
"47","TPRG1L","Exc L6 CT",-0.0190838412020157,4.99312901585937,0.139118633457969,0.709620282353511,0.939057151098238,0.939057151098238,"social_isolation_avg"
"48","WRAP73","Exc L6 CT",-0.0474517346090501,3.49554180336893,0.326161458886467,0.568677246865013,0.875313975436465,0.875313975436465,"social_isolation_avg"
"49","LRRC47","Exc L6 CT",-0.0447774923381875,4.25417750527031,0.612014985610404,0.435111073737607,0.804458233040569,0.804458233040569,"social_isolation_avg"
"50","CEP104","Exc L6 CT",-0.00321122076254595,5.6998642193778,0.00752395202090699,0.930979000857089,0.999905100408673,0.999905100408673,"social_isolation_avg"
"51","DFFB","Exc L6 CT",-0.0144733617419093,4.82867966104746,0.0770409281140773,0.854774342465517,0.98460791058541,0.98460791058541,"social_isolation_avg"
"52","C1orf174","Exc L6 CT",-0.263311211747191,2.94853892226199,6.44055743264932,0.0120468905666546,0.18632566891657,0.18632566891657,"social_isolation_avg"
"53","AJAP1","Exc L6 CT",-0.0427178711436266,6.48354542757547,1.31353947474139,0.253354591745261,0.675572271873899,0.675572271873899,"social_isolation_avg"
"54","AL365255.1","Exc L6 CT",-0.00767143124172668,2.18852202518607,0.00243586937260523,0.960694310768021,0.999905100408673,0.999905100408673,"social_isolation_avg"
"55","NPHP4","Exc L6 CT",0.0742350709363623,5.62076521516801,3.48045708401852,0.0638088893710471,0.40551389548521,0.40551389548521,"social_isolation_avg"
"56","KCNAB2","Exc L6 CT",-0.0385236259602377,7.07008198791018,2.11290039448597,0.147893315933688,0.55116190966876,0.55116190966876,"social_isolation_avg"
"57","CHD5","Exc L6 CT",0.0816897570993855,7.60066152482908,7.21540324555775,0.00794017366136309,0.152212041393308,0.152212041393308,"social_isolation_avg"
"58","RPL22","Exc L6 CT",0.0053812274211184,4.96036808266602,0.0124367306720169,0.91133460310524,0.996887518273527,0.996887518273527,"social_isolation_avg"
"59","RNF207","Exc L6 CT",0.054713250088322,4.28003224756108,0.763096592660351,0.38358512369706,0.775034683946963,0.775034683946963,"social_isolation_avg"
"60","ICMT","Exc L6 CT",-0.215573561956561,3.03658771329244,4.39111318405903,0.0375981073915235,0.322595698593599,0.322595698593599,"social_isolation_avg"
"61","ACOT7","Exc L6 CT",-0.0415325327364945,5.81356614629596,1.42816632725299,0.302621159571067,0.718382917120041,0.718382917120041,"social_isolation_avg"
"62","TNFRSF25","Exc L6 CT",0.0129782781327417,5.28031465507216,0.0518079490477524,0.820218309075411,0.976546435257564,0.976546435257564,"social_isolation_avg"
"63","PLEKHG5","Exc L6 CT",-0.0514938265198373,4.6127460349486,0.822138342469253,0.365830409897427,0.762614443036584,0.762614443036584,"social_isolation_avg"
"64","NOL9","Exc L6 CT",0.00163932109271608,5.09286359240762,0.0015342331822394,0.968801067798067,0.999905100408673,0.999905100408673,"social_isolation_avg"
"65","ZBTB48","Exc L6 CT",-0.0629701110088589,3.60383101711691,0.575382883748559,0.449171027339331,0.811787706045744,0.811787706045744,"social_isolation_avg"
"66","KLHL21","Exc L6 CT",-0.1549999142143,4.36877225263825,7.63867415118921,0.0063386708234831,0.136791315726324,0.136791315726324,"social_isolation_avg"
"67","PHF13","Exc L6 CT",-0.282736376128212,2.83204209585737,6.99629664077872,0.00892809213982788,0.160590901548524,0.160590901548524,"social_isolation_avg"
"68","THAP3","Exc L6 CT",0.0465060624086459,3.15367664346086,0.258524687087457,0.611790241721195,0.896102823301764,0.896102823301764,"social_isolation_avg"
"69","DNAJC11","Exc L6 CT",-0.0312648643679691,5.80569264375764,0.936597028597504,0.334520024210594,0.744122272898275,0.744122272898275,"social_isolation_avg"
"70","CAMTA1","Exc L6 CT",-0.0296705247763669,9.06228047227567,2.66677994140348,0.104301351139014,0.48814737512043,0.48814737512043,"social_isolation_avg"
"71","AL512330.1","Exc L6 CT",0.21549960424498,1.62293116494294,1.01443438403808,0.315264567432053,0.727705217260236,0.727705217260236,"social_isolation_avg"
"72","VAMP3","Exc L6 CT",-0.0386754182990635,3.67008742988095,0.212072962986739,0.64573200234361,0.910832944339934,0.910832944339934,"social_isolation_avg"
"73","PER3","Exc L6 CT",0.0570864694944316,6.25830216116902,1.36827531052585,0.243734697314597,0.665786327195096,0.665786327195096,"social_isolation_avg"
"74","PARK7","Exc L6 CT",0.00655016600152159,4.70538889144854,0.0156233577951928,0.969227374291351,0.999905100408673,0.999905100408673,"social_isolation_avg"
"75","ERRFI1","Exc L6 CT",-0.0518419000896461,4.28432086894747,0.676701868642172,0.411869294319712,0.790189492791571,0.790189492791571,"social_isolation_avg"
"76","SLC45A1","Exc L6 CT",0.00287250518290072,3.92203524673627,0.00205110925528423,0.963929611516252,0.999905100408673,0.999905100408673,"social_isolation_avg"
"77","RERE","Exc L6 CT",0.0230107351663844,8.87357867786278,1.32316112360712,0.251630079770067,0.674580715766728,0.674580715766728,"social_isolation_avg"
"78","AL096855.1","Exc L6 CT",-0.183751197331905,2.03199996166356,1.35445621234464,0.257829931802276,0.678229306437043,0.678229306437043,"social_isolation_avg"
"79","ENO1","Exc L6 CT",-0.0249346418158471,5.76176934936711,0.41091323616605,0.522363710822892,0.852493243656237,0.852493243656237,"social_isolation_avg"
"80","MIR34AHG","Exc L6 CT",-0.13030116156051,3.8664709990025,2.34498685862016,0.12753277047924,0.525528147846434,0.525528147846434,"social_isolation_avg"
"81","H6PD","Exc L6 CT",0.0473248510090777,4.5066757993102,0.603227096263713,0.585804186889404,0.884386540406097,0.884386540406097,"social_isolation_avg"
"82","SPSB1","Exc L6 CT",-0.0884711486510005,3.15097650111775,0.727892221722999,0.394759592622917,0.78120981166771,0.78120981166771,"social_isolation_avg"
"83","SLC25A33","Exc L6 CT",0.0252554420026531,3.9760358662822,0.117372290878843,0.732322467839025,0.947405903112105,0.947405903112105,"social_isolation_avg"
"84","TMEM201","Exc L6 CT",-0.121091430555026,3.41508122456531,1.90556684470681,0.169256646056244,0.583641064579201,0.583641064579201,"social_isolation_avg"
"85","PIK3CD","Exc L6 CT",0.182288433359579,2.77305078262676,2.37589341042832,0.125067838243463,0.521088227154723,0.521088227154723,"social_isolation_avg"
"86","CLSTN1","Exc L6 CT",-0.0388967527557626,8.37513420417849,3.54280547467273,0.0615013779800735,0.399559091668129,0.399559091668129,"social_isolation_avg"
"87","CTNNBIP1","Exc L6 CT",0.0980856698121141,5.35551462089501,4.09114297050858,0.0446649711141871,0.346667557277833,0.346667557277833,"social_isolation_avg"
"88","LZIC","Exc L6 CT",-0.0112784716685326,4.15192668611852,0.0362559843923445,0.849213475070911,0.983408080050613,0.983408080050613,"social_isolation_avg"
"89","NMNAT1","Exc L6 CT",-0.0864141450797606,4.44942524547209,1.88635066366856,0.171410431221189,0.587339171124193,0.587339171124193,"social_isolation_avg"
"90","UBE4B","Exc L6 CT",0.0432169487470528,7.68783386528739,3.334152193787,0.06959792887967,0.418367073568783,0.418367073568783,"social_isolation_avg"
"91","KIF1B","Exc L6 CT",0.0363257048854471,8.77394095788164,3.69969271463791,0.0560820952471973,0.383022372322733,0.383022372322733,"social_isolation_avg"
"92","AL139424.2","Exc L6 CT",0.0816385460917677,2.64445313789757,0.534229576913364,0.465833424410915,0.821741200202489,0.821741200202489,"social_isolation_avg"
"93","PGD","Exc L6 CT",-0.0667292093759269,3.89251318211316,0.877629344063796,0.368728871549655,0.764810884052141,0.764810884052141,"social_isolation_avg"
"94","DFFA","Exc L6 CT",0.0303195612369977,4.80883324365001,0.379323893495893,0.538783448933704,0.859817035508982,0.859817035508982,"social_isolation_avg"
"95","PEX14","Exc L6 CT",-0.0124514385591236,5.96454130975134,0.146630639443231,0.702251386848156,0.935666562653822,0.935666562653822,"social_isolation_avg"
"96","AL109811.4","Exc L6 CT",0.0587982996075239,2.63008940250615,0.207444217359999,0.649355268593872,0.912998894580514,0.912998894580514,"social_isolation_avg"
"97","MASP2","Exc L6 CT",0.0853721818764894,2.47237489704475,0.376583334514382,0.552091293764737,0.867469250848826,0.867469250848826,"social_isolation_avg"
"98","SRM","Exc L6 CT",0.0165984103553247,4.44553131463719,0.0919161081584925,0.762123384585005,0.957288811047712,0.957288811047712,"social_isolation_avg"
"99","EXOSC10","Exc L6 CT",0.132406577816322,5.01363061111775,7.59473892117255,0.00648814238757407,0.138951002027831,0.138951002027831,"social_isolation_avg"
"100","AL109811.1","Exc L6 CT",-0.00128661156069867,2.21989938725944,0.000129318005094437,0.990940049676326,0.999905100408673,0.999905100408673,"social_isolation_avg"
"101","MTOR","Exc L6 CT",-0.0268148741194449,5.92034007259909,0.596175937691849,0.571534278706332,0.87656871175932,0.87656871175932,"social_isolation_avg"
"102","UBIAD1","Exc L6 CT",-0.0776244583519979,3.24577804451001,0.721314348210795,0.396899436762532,0.782424207589788,0.782424207589788,"social_isolation_avg"
"103","AL031731.1","Exc L6 CT",0.321163338558603,1.71257399922967,2.49115247549084,0.116334198504949,0.50852604194688,0.50852604194688,"social_isolation_avg"
"104","FBXO2","Exc L6 CT",-0.0892341222131487,4.47218496114885,2.19698066209016,0.140120126870303,0.540493887162331,0.540493887162331,"social_isolation_avg"
"105","FBXO44","Exc L6 CT",-0.000103315614775232,5.55093907047941,9.88873069379184e-07,0.999207725029419,0.999905100408673,0.999905100408673,"social_isolation_avg"
"106","MAD2L2","Exc L6 CT",-0.482335120794585,1.93290121991427,7.89718488500472,0.00552825400369064,0.13112268902991,0.13112268902991,"social_isolation_avg"
"107","MTHFR","Exc L6 CT",0.0479159889444699,4.91487463282516,0.85800134367863,0.355602818605046,0.758583207859605,0.758583207859605,"social_isolation_avg"
"108","CLCN6","Exc L6 CT",0.105342527172807,4.15211518753517,2.23084188085495,0.137121251900634,0.536748195551741,0.536748195551741,"social_isolation_avg"
"109","KIAA2013","Exc L6 CT",-0.049943427978198,4.08797603634517,0.659328648302167,0.417924882909614,0.793159554800595,0.793159554800595,"social_isolation_avg"
"110","PLOD1","Exc L6 CT",-0.11560640104324,3.70979709922692,2.47213619976475,0.117727022988572,0.510093384683721,0.510093384683721,"social_isolation_avg"
"111","MFN2","Exc L6 CT",-0.0823146330586815,5.08509450319202,2.82235082255795,0.0947844177660757,0.470359270290235,0.470359270290235,"social_isolation_avg"
"112","MIIP","Exc L6 CT",0.000755749082341845,2.88396914242166,5.47022473189454e-05,0.994107435636853,0.999905100408673,0.999905100408673,"social_isolation_avg"
"113","VPS13D","Exc L6 CT",-0.00957455551858791,7.46877998211878,0.0998116461670529,0.752440695989553,0.953255033467119,0.953255033467119,"social_isolation_avg"
"114","DHRS3","Exc L6 CT",-0.0907614914941111,3.29680900533015,0.627772910363727,0.429270177434677,0.800960915069449,0.800960915069449,"social_isolation_avg"
"115","PRDM2","Exc L6 CT",-0.0679273467504811,7.44229918391566,6.84353704214866,0.00969140599786401,0.16691477589364,0.16691477589364,"social_isolation_avg"
"116","KAZN","Exc L6 CT",-0.0567177340243588,9.91353399538142,2.29848076993108,0.131345252702516,0.529696099803747,0.529696099803747,"social_isolation_avg"
"117","FHAD1","Exc L6 CT",-0.0314133457661429,3.26276746891307,0.0817356298577665,0.775304682596258,0.962027840116222,0.962027840116222,"social_isolation_avg"
"118","EFHD2","Exc L6 CT",-0.0977064377262659,6.58697610138336,6.02305691863881,0.0151212207901611,0.211183995746022,0.211183995746022,"social_isolation_avg"
"119","CASP9","Exc L6 CT",-0.00688433542540171,3.9376248797464,0.00919987540110019,0.923699509458373,0.999655726717186,0.999655726717186,"social_isolation_avg"
"120","DNAJC16","Exc L6 CT",0.0301709909671068,5.55613150588386,0.748253079291277,0.388240617266524,0.777527716915965,0.777527716915965,"social_isolation_avg"
"121","DDI2","Exc L6 CT",0.0581618271862498,5.65755227526674,2.77036869861479,0.0978536148666761,0.472702418997782,0.472702418997782,"social_isolation_avg"
"122","PLEKHM2","Exc L6 CT",-0.119289271509309,5.83089963744541,11.5754384046788,0.000832055760276007,0.0515211872093028,0.0515211872093028,"social_isolation_avg"
"123","SLC25A34","Exc L6 CT",0.0246094889930107,3.00901273787563,0.0526066993115623,0.818861798591511,0.97612079138438,0.97612079138438,"social_isolation_avg"
"124","UQCRHL","Exc L6 CT",-0.21880872002642,2.8133794386863,4.693676429757,0.0316566123757822,0.297117795832794,0.297117795832794,"social_isolation_avg"
