"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","HES4","Fib",0.175982952453798,6.89458374663177,0.202751209641677,0.654002231928026,0.999550714250891,0.999550714250891,"social_isolation_avg"
"2","MXRA8","Fib",0.225126882435675,7.42214198773308,0.495505016426094,0.483987162544748,0.977771412235857,0.977771412235857,"social_isolation_avg"
"3","CCNL2","Fib",0.029145427789485,8.02472195785629,0.026481549505882,0.934784902885141,0.999550714250891,0.999550714250891,"social_isolation_avg"
"4","GNB1","Fib",-0.257328228117326,8.48932098157959,2.6443580194682,0.108739980965796,0.816458374068632,0.816458374068632,"social_isolation_avg"
"5","SKI","Fib",0.168851265008263,8.12599614981161,0.702865916431652,0.404883990751666,0.942688953096518,0.942688953096518,"social_isolation_avg"
"6","CAMTA1","Fib",0.06792509234086,8.47939046789689,0.157141149268906,0.693096158712983,0.999550714250891,0.999550714250891,"social_isolation_avg"
"7","PER3","Fib",0.072180165228826,8.01436628697144,0.0967702438844633,0.756732380779868,0.999550714250891,0.999550714250891,"social_isolation_avg"
"8","ERRFI1","Fib",0.240250111730042,7.83271464457333,0.874634067430626,0.353124915591977,0.917030840039367,0.917030840039367,"social_isolation_avg"
"9","RERE","Fib",-0.175246599696469,9.80583494354563,2.31173452994493,0.222128684159046,0.85829196508726,0.85829196508726,"social_isolation_avg"
"10","SPSB1","Fib",-0.00914005378196154,7.34968823503778,0.000819983855763749,0.977242839132803,0.999550714250891,0.999550714250891,"social_isolation_avg"
"11","UBE4B","Fib",0.112205988154932,8.25223485033219,0.348550912914394,0.556974428625962,0.996059922239358,0.996059922239358,"social_isolation_avg"
"12","KIF1B","Fib",-0.203693559675797,8.29061111374686,1.12860982469026,0.34308126266165,0.914883367097733,0.914883367097733,"social_isolation_avg"
"13","MTOR","Fib",-0.22620629069295,7.3601237779933,0.845595878443772,0.361189273655052,0.917030840039367,0.917030840039367,"social_isolation_avg"
"14","VPS13D","Fib",-0.271841358887705,8.65027221936438,3.75548543266441,0.0569651669331321,0.755897273494363,0.755897273494363,"social_isolation_avg"
"15","DHRS3","Fib",-0.513595700638772,7.4309206525326,1.65070159654877,0.20340711075927,0.851610282430153,0.851610282430153,"social_isolation_avg"
"16","PRDM2","Fib",-0.0129139148143422,8.25047077074574,0.00531025530839468,0.996048709699508,0.999550714250891,0.999550714250891,"social_isolation_avg"
"17","KAZN","Fib",0.00364363193072033,11.0077342234942,2.86387812063233e-06,0.998654905668232,0.999550714250891,0.999550714250891,"social_isolation_avg"
"18","PLEKHM2","Fib",0.130321558298867,7.45269892098539,0.33841095798681,0.562752924258061,0.996059922239358,0.996059922239358,"social_isolation_avg"
"19","FBLIM1","Fib",0.113424066261391,6.94618237552757,0.0872236962238623,0.76867479831556,0.999550714250891,0.999550714250891,"social_isolation_avg"
"20","SPEN","Fib",0.0445554968920177,8.11122049340976,0.0566020015679191,0.812695261622242,0.999550714250891,0.999550714250891,"social_isolation_avg"
"21","FBXO42","Fib",0.0622970390628412,7.76352114546829,0.0865549678150684,0.769537516224393,0.999550714250891,0.999550714250891,"social_isolation_avg"
"22","UBR4","Fib",-0.167264225558829,8.03262816320426,0.740332064179886,0.502275015651758,0.983543776818592,0.983543776818592,"social_isolation_avg"
"23","CAPZB","Fib",-0.0226997075150827,8.9948532460587,0.0242146758525473,0.935549555911575,0.999550714250891,0.999550714250891,"social_isolation_avg"
"24","NBL1","Fib",-0.00889439299927052,7.60469302281009,0.0012904363227569,0.971453744486745,0.999550714250891,0.999550714250891,"social_isolation_avg"
"25","HP1BP3","Fib",0.0726842807007581,8.95686158797741,0.236479842950089,0.918025639981108,0.999550714250891,0.999550714250891,"social_isolation_avg"
"26","EIF4G3","Fib",-0.0158580406367576,9.7017226110501,0.0157497725658774,0.900515215243209,0.999550714250891,0.999550714250891,"social_isolation_avg"
"27","ECE1","Fib",-0.224492424681674,9.02864469475719,1.76707257763844,0.188375301764687,0.842522465361536,0.842522465361536,"social_isolation_avg"
"28","ALPL","Fib",0.431549270027786,6.57467240044989,0.951276135705595,0.3329978518029,0.90341647545796,0.90341647545796,"social_isolation_avg"
"29","USP48","Fib",-0.332153145162341,7.89307658242375,2.17985336578685,0.144639213344077,0.824640141063069,0.824640141063069,"social_isolation_avg"
"30","HSPG2","Fib",-0.00385088898995512,7.65212990065715,0.000457524678041386,0.982999984161544,0.999550714250891,0.999550714250891,"social_isolation_avg"
"31","CDC42","Fib",-0.341372271184491,7.42336080392677,1.41911591131026,0.237865505164504,0.8648049884241,0.8648049884241,"social_isolation_avg"
"32","LUZP1","Fib",-0.294974207201923,7.6179979737886,1.30385876963612,0.257683848916844,0.873112849196837,0.873112849196837,"social_isolation_avg"
"33","HNRNPR","Fib",0.295334334811288,7.90927995695374,2.50299911954041,0.118466634282933,0.816458374068632,0.816458374068632,"social_isolation_avg"
"34","ASAP3","Fib",-0.130972861602323,7.15833471557291,0.224614059465659,0.637129014026787,0.999550714250891,0.999550714250891,"social_isolation_avg"
"35","ID3","Fib",-0.474299066541002,7.8574190892193,1.39291024794959,0.242200211826382,0.8648049884241,0.8648049884241,"social_isolation_avg"
"36","RPL11","Fib",-0.204444046354208,7.22774311804859,0.397379139371913,0.530648138614642,0.9886777623404,0.9886777623404,"social_isolation_avg"
"37","SRSF10","Fib",0.152223139388021,7.54299011547613,0.414770307071952,0.521816275545609,0.9886777623404,0.9886777623404,"social_isolation_avg"
"38","SRRM1","Fib",0.208783283656399,7.72053439138952,1.02686970061343,0.314639048581639,0.898795665245722,0.898795665245722,"social_isolation_avg"
"39","CLIC4","Fib",-0.254725192652416,8.64570158078345,2.18236521535851,0.144411764962354,0.824640141063069,0.824640141063069,"social_isolation_avg"
"40","RSRP1","Fib",0.0317825888185192,8.90352238159652,0.0379679661898563,0.84611309788953,0.999550714250891,0.999550714250891,"social_isolation_avg"
"41","MAN1C1","Fib",-0.476771611699348,8.81986223633102,7.97557461189473,0.00628217753654828,0.529110168156952,0.529110168156952,"social_isolation_avg"
"42","ARID1A","Fib",-0.209797685791491,7.86351499196204,1.16297757921778,0.284820584677917,0.895059380512178,0.895059380512178,"social_isolation_avg"
"43","WASF2","Fib",-0.0715916249357392,8.38796434851266,0.187450881816799,0.798196402928632,0.999550714250891,0.999550714250891,"social_isolation_avg"
"44","STX12","Fib",0.335412858707958,7.66448113660483,1.84437144146231,0.17911836898969,0.842522465361536,0.842522465361536,"social_isolation_avg"
"45","PHACTR4","Fib",0.26544317642684,8.1246776218041,1.80679263833591,0.183549749779935,0.842522465361536,0.842522465361536,"social_isolation_avg"
"46","EPB41","Fib",0.034038255655649,7.2909594221398,0.0139657095316797,0.906290880579487,0.999550714250891,0.999550714250891,"social_isolation_avg"
"47","SRSF4","Fib",-0.299786426221692,8.06380397189992,2.51268506025688,0.117769714393072,0.816458374068632,0.816458374068632,"social_isolation_avg"
"48","PUM1","Fib",-0.0318416347783814,8.68594907866622,0.0520019204533649,0.820328999782102,0.999550714250891,0.999550714250891,"social_isolation_avg"
"49","KPNA6","Fib",-0.25392359914445,7.59554892693192,1.18788114407833,0.279767276410554,0.89477292714065,0.89477292714065,"social_isolation_avg"
"50","YARS","Fib",0.272625118662799,7.31410232377211,1.04074081905328,0.311417974306547,0.897085112899891,0.897085112899891,"social_isolation_avg"
"51","S100PBP","Fib",-0.159370309436574,7.44080893988246,0.359632639329377,0.550787792317198,0.994366281993578,0.994366281993578,"social_isolation_avg"
"52","PHC2","Fib",0.0209765360470104,8.62314968599408,0.0127534463362184,0.910431963525377,0.999550714250891,0.999550714250891,"social_isolation_avg"
