"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Ast",-0.0284387592355618,2.6627406761188,0.201176618849608,0.794139334790842,0.996358196091689,0.996358196091689,"social_isolation_lv"
"2","AL669831.5","Ast",-0.0495861410428514,4.83051080667831,1.3848849434919,0.240835803525439,0.731032494697324,0.731032494697324,"social_isolation_lv"
"3","LINC00115","Ast",-0.00840114172029468,1.4465914051053,0.00509639452624672,0.943167960325946,0.99991553943144,0.99991553943144,"social_isolation_lv"
"4","AL645608.1","Ast",0.303152884806652,1.16574827781571,4.41473208295821,0.0370322654146885,0.376613962279693,0.376613962279693,"social_isolation_lv"
"5","SAMD11","Ast",0.260625741952205,3.23770484073852,10.001783997104,0.00183780479520616,0.0936476007238726,0.0936476007238726,"social_isolation_lv"
"6","NOC2L","Ast",0.03135728979525,4.2948644223067,0.647230004081495,0.422173675975885,0.857380747985448,0.857380747985448,"social_isolation_lv"
"7","KLHL17","Ast",0.00281908444472347,2.70582602232256,0.00136076575607102,0.970615033858458,0.99991553943144,0.99991553943144,"social_isolation_lv"
"8","AL645608.8","Ast",-0.0499609149404597,0.986471910932447,0.0529950214987114,0.818194619450687,0.99991553943144,0.99991553943144,"social_isolation_lv"
"9","HES4","Ast",-0.033376993432543,4.27944170341218,0.206381938698467,0.650169366317677,0.959114352491881,0.959114352491881,"social_isolation_lv"
"10","ISG15","Ast",-0.0110099378969301,2.56137674122799,0.00709670161210814,0.932958376920394,0.99991553943144,0.99991553943144,"social_isolation_lv"
"11","AGRN","Ast",-0.00136481279833305,4.82735130142386,0.000994175735978181,0.974881611841275,0.99991553943144,0.99991553943144,"social_isolation_lv"
"12","C1orf159","Ast",-0.0579500918881846,5.17184801190788,2.74142688803062,0.0995322674045976,0.545817323415453,0.545817323415453,"social_isolation_lv"
"13","SDF4","Ast",0.00235982793829644,4.77489398760377,0.00545728268325788,0.993034660482363,0.99991553943144,0.99991553943144,"social_isolation_lv"
"14","B3GALT6","Ast",0.0850625921311621,2.2631659704852,1.15880531391484,0.419247012179185,0.856132891134618,0.856132891134618,"social_isolation_lv"
"15","UBE2J2","Ast",-0.0171094679167162,5.09193414582397,0.337977098765535,0.561731713797727,0.920696589203807,0.920696589203807,"social_isolation_lv"
"16","LINC01786","Ast",0.0876761571273716,2.16775443855991,1.29532818066046,0.408472825959923,0.848557622570973,0.848557622570973,"social_isolation_lv"
"17","SCNN1D","Ast",-0.0422906764026296,3.72297508666054,0.709898795015144,0.400603563038566,0.84498066516658,0.84498066516658,"social_isolation_lv"
"18","ACAP3","Ast",0.0231777668468164,5.69785151065452,0.544499898173594,0.461541579877116,0.876504530663015,0.876504530663015,"social_isolation_lv"
"19","PUSL1","Ast",-0.101718985848409,1.81234912925059,1.38640515409973,0.240578778928641,0.731032494697324,0.731032494697324,"social_isolation_lv"
"20","INTS11","Ast",0.0936288956968733,5.49883741274521,12.1483788813431,0.000618109557345376,0.0523096323202614,0.0523096323202614,"social_isolation_lv"
